listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1754773,Centrally located in Accra with Chocolates to go!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ec7fdf2a-0147-4781-8d79-70303a0ed6c4.jpg,34,9220860,Yaaba,,,True,5.5733,-0.196,2.0,1.0,1.0,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Iron,Dedicated workspace,Baking sheet,Private entrance",,False,2.0,Moderate,GHS,0,0,71,4.87,4.8,4.8,4.9,4.9,4.9,4.8,6948.0,87855.0,41.9,498.8,0.452,0.63,19.0,240.7,26.5,335.3,165,103,200,365,1753.0,17971.0,39.0,400.2,0.5,0.763,19.5,199.7,29.7,304.6,45,31,45,90,Accra,Ghana,GH,Africa
5059526,NEW! Luxury Studio at Embassy Gardens,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a1c70987-687b-4df7-a207-02b51803ac5f.jpg,14,26125588,Alex,,,False,5.586,-0.1673,2.0,,,1.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Gym,Elevator,Free street parking,Hot tub,Refrigerator,Dishes and silverware,Cooking basics,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",True,False,4.0,Moderate,GHS,50,0,55,4.6,4.8,4.7,4.5,4.6,4.9,4.6,6428.0,73122.0,67.7,792.1,0.238,0.282,16.1,184.9,19.0,218.4,87,56,278,365,1391.0,14249.0,73.3,750.4,0.189,0.0,14.3,146.9,0.0,0.0,17,0,73,90,Accra,Ghana,GH,Africa
5296203,Studio Apt. in the center of Osu,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/68216885/b474493a_original.jpg,10,27429560,Linda,,,True,5.561,-0.1856,2.0,1.0,1.0,1.0,False,"Hot water,TV,Air conditioning,Wifi,Kitchen,Dishes and silverware",,False,5.0,Moderate,GHS,20,10,21,4.9,5.0,5.0,4.8,5.0,5.0,4.9,2533.0,26171.0,53.3,633.1,0.126,0.157,6.8,70.6,8.5,87.9,46,72,319,365,641.0,6564.0,48.9,501.0,0.144,0.271,6.9,70.7,12.9,132.5,13,42,77,90,Accra,Ghana,GH,Africa
5385757,Oasis in Accra Central Osu Black Star Square,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-5385757/original/e8f1887e-5d8d-4a46-aa1d-03b9500e9218.jpeg,14,14499704,Kobina,,,True,5.5534,-0.1795,,,1.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Pets allowed,Hot water,Gym,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Outdoor furniture,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Outdoor dining area,Bathtub",,False,2.0,Moderate,GHS,10,20,59,4.92,4.9,5.0,4.8,5.0,4.8,4.9,1719.0,17611.0,66.9,799.7,0.071,0.093,4.7,47.7,6.1,62.2,26,85,339,365,971.0,9948.0,63.8,653.1,0.167,0.0,10.7,109.4,0.0,0.0,15,0,75,90,Accra,Ghana,GH,Africa
6531925,Oasis Garden - Researchers' Home(1 out of 6 rooms),Private room in home,private_room,https://a0.muscache.com/im/pictures/d3d5201d-58ae-4cb0-94e7-30778984aa89.jpg,13,34168361,Gladys & Gidi,,,True,5.6235,-0.179,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Barbecue utensils,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free parking on premises,Single level home,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,3.0,Moderate,GHS,25,18,107,4.83,4.9,4.9,4.9,4.9,4.6,4.8,1423.0,18280.0,47.5,561.5,0.082,0.0,3.8,48.7,0.0,0.0,30,0,335,365,668.0,6842.0,45.3,464.2,0.156,0.0,7.1,73.2,0.0,0.0,14,0,76,90,Accra,Ghana,GH,Africa
6595028,Delightful 2 bed 2 bath townhouse in North Legon,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/2df5dbee-0679-4ade-ad44-1ee94514cc72.jpg,72,25692974,Francis,495719656,Rashid,False,5.6704,-0.185,4.0,2.0,2.0,2.0,True,"Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Free parking on premises,Pets allowed",,False,3.0,Moderate,GHS,53,0,19,4.79,4.8,4.7,4.8,5.0,4.8,4.8,14993.0,182429.0,58.4,688.7,0.674,0.812,38.9,477.5,46.9,575.2,246,62,119,365,3179.0,32561.0,55.7,571.0,0.6,0.831,33.0,337.7,45.6,467.5,54,25,36,90,Accra,Ghana,GH,Africa
7289222,Oasis Green - Researchers' Home(2 out of 6 rooms),Private room in home,private_room,https://a0.muscache.com/im/pictures/8d294f44-9d50-44b4-b065-d9486307a37a.jpg,15,34168361,Gladys & Gidi,,,True,5.6235,-0.179,,,2.0,0.0,False,"Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Barbecue utensils,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,3.0,Moderate,GHS,25,18,74,4.91,4.8,5.0,4.9,5.0,4.7,4.9,691.0,7079.0,47.8,567.1,0.038,0.0,1.8,18.7,0.0,0.0,14,0,351,365,691.0,7079.0,46.6,477.7,0.156,0.0,7.4,75.8,0.0,0.0,14,0,76,90,Accra,Ghana,GH,Africa
8229898,#3 Feel @ home,Private room in home,private_room,https://a0.muscache.com/im/pictures/c28ea500-d7ee-4ea6-88cc-1655fb098d4d.jpg,10,42478601,Benjamin,,,False,5.5969,-0.1224,,,1.0,0.0,False,"TV,Wifi,Babysitter recommendations,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Body soap,Breakfast,Outdoor furniture,Microwave,Refrigerator,Cooking basics,Wine glasses,Beach access,BBQ grill,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Toaster",,False,2.0,Strict,GHS,5,8,24,4.63,4.7,4.7,4.5,4.7,4.4,4.7,180.0,1841.0,16.8,197.5,0.027,0.0,0.5,4.9,0.0,0.0,10,0,355,365,180.0,1841.0,17.3,176.7,0.111,0.0,1.9,19.9,0.0,0.0,10,0,80,90,Accra,Ghana,GH,Africa
8786587,Cozy Studio in East Legon,Entire loft,entire_home,https://a0.muscache.com/im/pictures/44f205cb-148d-4f05-8f35-d90c7857c262.jpg,14,46017663,Brian Kwami,"214300187,700007212","Richard,Jeremy",False,5.6367,-0.1444,3.0,1.0,2.0,1.5,False,"Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Window guards,Babysitter recommendations,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Bread maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,GHS,20,0,44,4.84,4.9,5.0,4.9,5.0,4.9,4.7,1157.0,15725.0,70.3,841.6,0.044,0.101,3.1,42.0,7.0,96.3,16,206,349,365,0.0,0.0,67.4,690.4,0.0,0.0,0.0,0.0,0.0,0.0,0,17,90,90,Accra,Ghana,GH,Africa
9306878,Rustic private BR w/BA near Osu + Airport,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/3ffa4d1e-85b0-4c64-8104-daa178f7626f.jpg,22,34912692,Jennifer,,,False,5.5816,-0.1451,,,2.0,0.0,False,"Cleaning products,Hot water,Washer,Essentials,Bed linens,Drying rack for clothing,Safe,Clothing storage,Books and reading material,Board games,Ceiling fan,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Baking sheet,Blender,Dining table,Patio or balcony,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Limited,GHS,0,0,28,4.75,4.8,5.0,4.6,4.9,4.5,4.7,5181.0,64826.0,34.6,408.8,0.416,0.487,14.2,177.6,16.6,207.8,152,53,213,365,1814.0,18581.0,33.8,346.7,0.6,0.0,20.2,206.5,0.0,0.0,54,0,36,90,Accra,Ghana,GH,Africa
