listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
307096,"air conditioning, balcony, fiber, beach 15 minutes on foot",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-307096/original/8af0f5c7-047c-4c90-98f0-7c638db7c756.jpeg,36.0,1580064,Anita,,,True,30.4134,-9.5878,6.0,3.0,5.0,1.5,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Dining table,Patio or balcony,Free parking on premises,Free street parking,Luggage dropoff allowed",,False,3.0,Flexible,MAD,29.0,0.0,92,4.79,4.9,4.9,4.7,4.9,4.7,4.8,14394.0,133307.0,66.7,626.4,0.54,0.672,38.2,353.5,47.5,440.3,197,72,168,365,3907.0,36100.0,59.0,544.9,0.667,0.0,41.2,380.3,0.0,0.0,60,0,30,90,Agadir,Morocco,MA,Africa
511357,A TYPICAL MORROCAN HOUSE IN AGADIR,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-511357/original/eb617860-08f0-453b-b3c5-c10f7a9362df.jpeg,61.0,2518910,Wacyl,,,True,30.3804,-9.5671,,6.0,12.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Crib,Indoor fireplace,Portable fans,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Resort access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,BBQ grill,Free parking on premises,Single level home,Pets allowed,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed",,False,1.0,Firm,MAD,0.0,0.0,71,4.68,4.6,4.8,4.5,4.9,4.4,4.5,1631.0,15081.0,57.5,541.7,0.099,0.0,4.5,41.3,0.0,0.0,36,0,329,365,1068.0,9869.0,45.8,423.4,0.289,0.0,11.9,109.7,0.0,0.0,26,0,64,90,Agadir,Morocco,MA,Africa
676093,"High standing, Downtown and beach all within walking distance",Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-676093/original/18f836d5-9d9a-4670-966e-b322c4117272.jpeg,53.0,3415865,Aziza,,,False,30.4141,-9.5872,4.0,2.0,3.0,2.0,False,"Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Rice maker,Dining table,Patio or balcony,Backyard,Free parking on premises,Free street parking,Elevator,Paid parking on premises,Pets allowed,Long term stays allowed",,False,4.0,Limited,MAD,23.0,0.0,63,4.66,4.7,4.8,4.6,4.8,4.7,4.6,10367.0,95810.0,61.9,581.6,0.419,0.588,27.6,254.9,38.7,357.8,153,105,212,365,2790.0,25780.0,55.5,513.0,0.522,0.547,30.0,277.0,31.4,289.9,47,4,43,90,Agadir,Morocco,MA,Africa
768325,Villa Dar Nouar in the heart of downtown Agadir,Entire home,entire_home,https://a0.muscache.com/im/pictures/199f2976-d349-4b38-bc62-96c1b631bfc6.jpg,62.0,4053220,Ahmed,,,False,30.4129,-9.5788,9.0,4.0,6.0,3.0,False,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Window guards,Babysitter recommendations,Air conditioning,Portable fans,Heating,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Paid parking on premises,Long term stays allowed",,False,3.0,Firm,MAD,83.0,0.0,16,5.0,4.8,4.8,5.0,5.0,4.8,4.8,9806.0,91449.0,154.0,1447.1,0.162,0.173,25.0,233.7,26.8,250.2,59,24,306,365,2463.0,22761.0,154.6,1428.6,0.156,0.212,24.6,227.3,33.5,310.0,14,24,76,90,Agadir,Morocco,MA,Africa
891847,Nice 4 Bedrooms Riad in Agadir  1081,Entire villa,entire_home,https://a0.muscache.com/im/pictures/005f119d-2cec-4f54-ac41-327f90cd510a.jpg,56.0,4729846,Best Home Away,,,False,30.4359,-9.582,8.0,4.0,4.0,3.0,False,"TV,Cable TV,Blender,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Hot water,Bed linens,Trash compactor,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Bidet,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Private entrance,Bathtub",,False,3.0,Strict,MAD,0.0,0.0,6,4.67,4.5,5.0,4.0,5.0,4.3,4.7,4388.0,40962.0,289.4,2719.9,0.044,0.0,12.0,112.2,0.0,0.0,16,0,349,365,0.0,0.0,300.6,2777.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Agadir,Morocco,MA,Africa
1608231,DELIGHTFUL VILLA WITH GARDEN,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1608231/original/8421a870-6335-41c1-bbdc-f144bf10e930.jpeg,32.0,8566115,Laurence METIVIER,,,True,30.4305,-9.5897,4.0,2.0,4.0,2.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pets allowed,Luggage dropoff allowed",,False,3.0,Moderate,MAD,47.0,0.0,20,4.7,4.8,4.7,4.5,4.8,4.7,4.8,10146.0,97768.0,94.5,885.2,0.329,0.506,26.1,252.4,40.2,388.7,120,128,245,365,0.0,0.0,100.6,929.3,0.0,0.0,0.0,0.0,0.0,0.0,0,75,90,90,Agadir,Morocco,MA,Africa
1929374,Nice riad-style house in the center of Agadir,Entire home,entire_home,https://a0.muscache.com/im/pictures/d8b6f341-41f0-45f4-be98-07c419912773.jpg,54.0,8566115,Laurence METIVIER,,,True,30.4235,-9.5898,6.0,3.0,3.0,3.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Moderate,MAD,46.0,0.0,64,4.69,4.8,4.9,4.6,4.8,4.7,4.7,18371.0,173023.0,90.7,850.9,0.523,0.562,47.6,448.4,51.1,481.4,191,25,174,365,1237.0,11431.0,85.7,791.5,0.133,0.185,12.2,112.8,16.9,156.2,12,25,78,90,Agadir,Morocco,MA,Africa
2384558,Amazing pool apartment in Agadir,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2e41c6ff-45d2-4549-bc4b-37bbdd0b52b2.jpg,83.0,12180202,Sana,,,False,30.4355,-9.5609,5.0,1.0,4.0,1.0,False,"TV,Wifi,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Room-darkening shades,Portable fans,Hot water,Outdoor shower,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Pocket wifi,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Essentials,Long term stays allowed,Hangers,Dining table,Outdoor playground,Iron,Baking sheet,Private entrance",False,False,2.0,Firm,MAD,17.0,0.0,66,4.17,4.5,4.3,4.3,4.3,3.9,4.3,740.0,6840.0,39.9,373.6,0.047,0.067,1.9,17.9,2.8,25.6,17,110,348,365,0.0,0.0,53.7,496.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Agadir,Morocco,MA,Africa
2483204,3 Rooms Clean on the 4th floor - elevator,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/57868843/f5639a9e_original.jpg,11.0,12704883,Aadil,,,False,30.3944,-9.5504,4.0,2.0,3.0,1.0,False,"Washer,Hangers,Bed linens,TV,Kitchen,Refrigerator,Dishes and silverware,Patio or balcony,Free parking on premises,Elevator",,False,4.0,Moderate,MAD,0.0,0.0,75,4.41,4.6,4.8,4.2,4.8,4.4,4.6,1893.0,17517.0,31.4,294.2,0.159,0.184,5.2,48.0,6.0,55.4,58,49,307,365,333.0,3077.0,33.1,306.3,0.111,0.132,3.7,34.2,4.4,40.5,10,14,80,90,Agadir,Morocco,MA,Africa
2892667,Stylish apartment in Agadir – pure comfort!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ac33b4c8-fee9-44de-9515-3bab126b85c4.jpg,24.0,1805043,Mohamed,,,False,30.4088,-9.583,5.0,1.0,4.0,1.0,False,"TV,Cable TV,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Beach access,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Dedicated workspace,Baking sheet,Freezer",,False,7.0,Moderate,MAD,28.0,0.0,1,,,,,,,,1553.0,14355.0,54.8,515.2,0.077,0.0,4.1,37.9,0.0,0.0,28,0,337,365,0.0,0.0,56.0,517.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Agadir,Morocco,MA,Africa
