listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
48268,Cairo- Nasr City- Fully Furnished,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDgyNjg%3D/original/6643f40b-694f-4ea4-9093-1f6e19a1ed5c.jpeg,43,219844,Mohammed,,,True,30.0697,31.3468,4.0,3.0,3.0,1.5,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free street parking,Hot tub,Elevator,Smoking allowed,Long term stays allowed",,False,5.0,Flexible,EGP,0.0,0.0,81,4.73,4.8,4.9,4.4,5.0,4.8,4.7,6778.0,337358.0,29.8,1485.7,0.622,0.0,18.6,924.3,0.0,0.0,227,0,138,365,1959.0,96951.0,26.7,1320.3,0.811,0.0,21.8,1077.2,0.0,0.0,73,0,17,90,Cairo,Egypt,EG,Africa
4005567,Nice Flat in Elrehab Beautiful Apartment with Rehab,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/50370724/f6658bdc_original.jpg,10,20768341,Ashraf,,,True,30.0706,31.4837,4.0,2.0,3.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Smoking allowed,Hot water,Mosquito net,Bed linens,Microwave,Refrigerator,Dishes and silverware,Oven,Clothing storage,Stove,Washer,Shower gel,Shampoo,Hangers,Dining table,Iron,Freezer",False,,4.0,Flexible,EGP,0.0,0.0,41,4.98,5.0,5.0,4.9,5.0,4.8,5.0,4078.0,204456.0,34.7,1729.8,0.326,0.0,11.2,560.2,0.0,0.0,119,0,246,365,0.0,0.0,35.2,1742.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Cairo,Egypt,EG,Africa
4337765,Private home  @ New Cairo,Entire home,entire_home,https://a0.muscache.com/im/pictures/4cfa0607-6442-4425-93be-8edec1df40bb.jpg,28,22514809,Shady,,,False,30.0586,31.5289,6.0,2.0,3.0,2.0,False,"TV,Washer,EV charger,Cable TV,Shower gel,Wifi,Patio or balcony,Air conditioning,Fire extinguisher,Safe,Smoking allowed,Hot water,Elevator,Extra pillows and blankets,Free street parking,Hot tub,Refrigerator,Bathtub,Dishes and silverware,Heating,Oven",False,False,3.0,Flexible,EGP,0.0,0.0,11,4.45,4.5,4.5,4.2,4.5,4.3,4.5,827.0,40931.0,27.4,1366.5,0.06,0.066,2.3,112.1,2.5,122.5,22,31,343,365,0.0,0.0,24.1,1192.7,0.0,0.0,0.0,0.0,0.0,0.0,0,31,90,90,Cairo,Egypt,EG,Africa
4473374,Charming Historic Apartment opera square,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/caff8380-7546-4b0b-bdf8-1f482c0262d3.jpg,78,22052959,Lotfy Omar,237361338,Lotfy,True,30.0507,31.2452,5.0,3.0,3.0,1.5,False,"Bathtub,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,High chair,Air conditioning,Portable fans,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Dining table,Elevator,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Moderate,EGP,22.0,0.0,251,4.63,4.7,4.9,4.4,4.9,4.8,4.7,6251.0,311870.0,39.0,1942.7,0.411,0.426,15.7,782.8,16.3,811.7,150,13,215,365,2004.0,99185.0,37.8,1870.3,0.533,0.623,20.3,1005.3,23.7,1175.0,48,13,42,90,Cairo,Egypt,EG,Africa
7629182,1001 Nights Cairo/Heliopolis/Korba,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f8cc0e63-6448-4f2b-ba4c-a4537faa0e48.jpg,35,12914630,Daniel,,,False,30.0953,31.3227,4.0,2.0,2.0,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Ceiling fan,Pets allowed,Hot water,Mini fridge,Bed linens,Laundromat nearby,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Patio or balcony,Essentials,Long term stays allowed,Dining table,Iron,Dedicated workspace,Bathtub",False,False,2.0,Firm,EGP,30.0,25.0,45,4.71,4.8,4.9,4.7,4.9,4.8,4.8,2882.0,143576.0,48.2,2403.5,0.153,0.0,7.4,368.9,0.0,0.0,56,0,309,365,150.0,7425.0,42.7,2112.9,0.033,0.0,1.3,66.0,0.0,0.0,3,0,87,90,Cairo,Egypt,EG,Africa
8056294,"Spacious, Luxurious 3-Bedroom in Nasr City",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-8056294/original/f4a961f6-3bcd-4269-a704-bd6890ee2fd9.jpeg,97,42023853,Chadi,,,False,30.0671,31.3384,6.0,3.0,4.0,2.5,False,"Bathtub,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,Exercise equipment,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Trash compactor,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Elevator,Gym,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Firm,EGP,0.0,0.0,15,5.0,4.9,5.0,5.0,5.0,5.0,4.9,10050.0,501906.0,85.8,4277.2,0.323,0.344,27.5,1375.1,29.3,1463.3,118,22,247,365,1519.0,75187.0,88.4,4376.7,0.189,0.0,16.9,835.4,0.0,0.0,17,0,73,90,Cairo,Egypt,EG,Africa
8421222,Beautiful apartment in kattameya heights…,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/299edcfc-0ef4-4064-b7df-04807aa6c563.jpg,15,8900471,Eman,,,False,29.9943,31.4064,5.0,3.0,3.0,2.5,False,"Hair dryer,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Fire extinguisher,Wifi,Kitchen,Free parking on premises,Hot tub,Elevator,Pets allowed",,False,3.0,Flexible,EGP,0.0,0.0,12,4.75,4.6,4.8,4.7,5.0,4.8,4.7,5432.0,268866.0,93.4,4655.9,0.162,0.0,14.9,736.6,0.0,0.0,59,0,306,365,3418.0,169180.0,91.0,4502.0,0.422,0.0,38.0,1879.8,0.0,0.0,38,0,52,90,Cairo,Egypt,EG,Africa
9247742,Private Room in BEAUTIFUL Area,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/e5236e47-772e-481c-8982-51c5ae50cb41.jpg,20,31976428,Sara,,,False,29.9556,31.2598,,,1.0,0.0,False,"TV,Washer,Dryer,Wifi,Air conditioning,Kitchen,Essentials,Free parking on premises,Shampoo,Lock on bedroom door,Smoking allowed,Breakfast,Elevator,Hot tub,Heating",,False,1.0,Flexible,EGP,0.0,0.0,1,,,,,,,,311.0,15393.0,26.2,1308.4,0.033,0.0,0.9,42.2,0.0,0.0,12,0,353,365,152.0,7524.0,25.3,1251.0,0.067,0.0,1.7,83.6,0.0,0.0,6,0,84,90,Cairo,Egypt,EG,Africa
9279204,Modern central 2-bedroom in Maadi Degla,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0700980a-ca12-4a05-b59f-23e129aa8164.jpg,27,3398147,Samah,,,False,29.9658,31.2746,6.0,2.0,4.0,1.5,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Patio or balcony,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Strict,EGP,40.0,0.0,221,4.84,4.9,4.9,4.8,4.9,4.8,4.7,1805.0,89502.0,51.4,2561.4,0.088,0.0,4.3,212.7,0.0,0.0,32,0,333,365,1047.0,51820.0,49.2,2436.8,0.211,0.0,10.3,509.8,0.0,0.0,19,0,71,90,Cairo,Egypt,EG,Africa
9403109,Spacious Luxury Flat in Cairo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d4a960f4-aadf-4cf5-bde9-c064cddb5adf.jpg,29,21653102,Bettina,,,False,30.0614,31.3365,6.0,3.0,3.0,2.5,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,First aid kit,Fire extinguisher,Bidet,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub,Baby bath,High chair,Children’s books and toys,Blender,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Toaster",,False,3.0,Flexible,EGP,52.0,0.0,55,4.96,5.0,5.0,4.9,5.0,4.8,4.9,24155.0,1206249.0,110.9,5530.4,0.532,0.562,60.6,3029.8,64.1,3205.4,194,20,171,365,1731.0,85678.0,98.2,4862.2,0.178,0.229,18.1,894.8,23.2,1150.4,16,20,74,90,Cairo,Egypt,EG,Africa
9468570,"bright apartment, Cairo Madinaty",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-9468570/original/eaff11bf-4479-4117-93fe-4f93fd09c922.jpeg,52,48055924,Ibtissame,,,True,30.0966,31.635,5.0,2.0,2.0,2.0,False,"TV,Washer,Wifi,Patio or balcony,Air conditioning,Kitchen,Essentials,Free parking on premises,Hair dryer,Hot water,Iron,Conditioner,Hot tub,Refrigerator,Heating,Cooking basics",True,False,3.0,Flexible,EGP,10.0,0.0,5,4.8,4.6,4.8,4.8,5.0,4.8,4.8,4288.0,212798.0,44.9,2239.8,0.247,0.297,11.6,573.5,13.9,690.9,90,62,275,365,0.0,0.0,44.3,2192.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Cairo,Egypt,EG,Africa
