listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
15007,Blaauwberg House on the beach in Bloubergstrand,Entire home,entire_home,https://a0.muscache.com/im/pictures/3b654aa4-248e-4f36-a367-95fa233220a9.jpg,37,59072,Dirk,,,False,-33.8,18.4606,6.0,3.0,4.0,3.0,False,"TV,Cable TV,Wifi,Waterfront,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Pets allowed,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Barbecue utensils,Sun loungers,Bread maker,Toaster",False,False,2.0,Firm,ZAR,60.0,0.0,48,4.81,4.9,5.0,4.8,4.9,4.9,4.8,13734.0,249895.0,226.5,4122.3,0.162,0.211,35.5,646.2,46.4,845.4,59,86,306,365,3421.0,61563.0,268.7,4835.3,0.156,0.286,36.0,648.0,66.1,1190.3,14,41,76,90,Cape Town,South Africa,ZA,Africa
15704,Hollywood Mansion & Spa Camps Bay with Butler,Entire villa,entire_home,https://a0.muscache.com/im/pictures/3a44fe94-b7bc-4241-91f0-ce3bcbbaabcb.jpg,85,61441,Kevin,,,False,-33.9659,18.3772,15.0,7.0,7.0,7.5,False,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Pets allowed,Hot water,Gym,Free street parking,Outdoor furniture,Indoor fireplace,Heating,Cooking basics,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Outdoor kitchen",False,False,4.0,Strict,ZAR,0.0,0.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,66421.0,1214102.0,2351.1,42794.6,0.09,0.194,182.0,3326.3,390.7,7141.8,33,195,332,365,11701.0,210559.0,2954.3,53163.1,0.056,0.185,130.0,2339.5,433.4,7798.5,5,63,85,90,Cape Town,South Africa,ZA,Africa
16259,"idyllic private Cottage, cleaning weekdays incl.",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/0a99cd29-0475-4352-9730-ab3ec4495258.jpg,14,63255,Cheryl,,,False,-33.9961,18.4656,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Cleaning products,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Safe,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,2.0,Strict,ZAR,17.0,20.0,17,5.0,5.0,5.0,5.0,5.0,5.0,4.8,2875.0,51862.0,86.1,1564.7,0.088,0.17,7.6,136.2,14.7,264.5,32,177,333,365,106.0,1908.0,105.3,1895.0,0.011,0.048,1.0,17.8,4.2,76.3,1,69,89,90,Cape Town,South Africa,ZA,Africa
19271,Largo House self catering suite,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-19271/original/de9864da-7645-4721-a13c-6aaadfb62305.jpg,21,73439,Beverley,,,True,-33.9792,18.4555,2.0,1.0,1.0,1.0,False,"Pets allowed,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,2.0,Flexible,ZAR,0.0,12.0,183,4.97,5.0,5.0,5.0,5.0,5.0,5.0,12255.0,223135.0,39.8,723.6,0.844,0.856,33.6,611.3,34.0,619.8,308,5,57,365,3578.0,64404.0,41.6,749.2,0.956,0.0,39.8,715.6,0.0,0.0,86,0,4,90,Cape Town,South Africa,ZA,Africa
36347,Cosy Downtown Loft with Views over Rooftop Deck,Entire loft,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-36347/original/da369b3a-5389-463d-a768-86fa83f66472.jpeg,28,156196,Alan,,,False,-33.9246,18.4224,2.0,,2.0,1.0,False,"Pets allowed,Wifi,Hair dryer,Cleaning products,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Sound system,Books and reading material,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Pool,Elevator,Gym,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Firm,ZAR,20.0,0.0,290,4.78,4.9,4.9,4.9,4.9,4.6,4.8,7779.0,144714.0,85.7,1559.8,0.241,0.458,20.8,386.6,39.5,735.0,88,173,277,365,0.0,0.0,93.9,1689.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Cape Town,South Africa,ZA,Africa
82212,Perfect Beachfront Apartment #1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODIyMTI%3D/original/f1ef1c17-2b5a-4faa-82cf-c623cfc67d5c.jpeg,15,404176,Gayle,,,False,-33.9179,18.3863,4.0,2.0,3.0,1.0,False,"High chair,TV,Cable TV,Wifi,Kitchen,Elevator,Bed linens,Free street parking,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",False,False,2.0,Firm,ZAR,0.0,0.0,35,4.63,4.5,4.6,4.8,4.7,4.8,4.7,2315.0,41950.0,137.7,2503.7,0.047,0.115,6.3,114.9,15.6,283.4,17,217,348,365,1477.0,26579.0,212.4,3822.8,0.078,0.143,16.4,295.3,30.1,542.4,7,41,83,90,Cape Town,South Africa,ZA,Africa
114218,Table Mountain mid-century magic,Entire home,entire_home,https://a0.muscache.com/im/pictures/5738351/d394d026_original.jpg,83,579839,Oliver,,,False,-33.9386,18.3987,8.0,4.0,4.0,3.5,False,"Bathtub,Hair dryer,Shampoo,Body soap,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Game console,Air conditioning,Indoor fireplace,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Patio or balcony,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Single level home,Pets allowed,Luggage dropoff allowed,Cleaning before checkout",,False,4.0,Firm,ZAR,50.0,0.0,28,4.96,4.9,5.0,4.6,5.0,5.0,4.7,59713.0,1080833.0,790.4,14372.5,0.186,0.8,162.4,2939.0,697.2,12620.4,68,280,297,365,50383.0,906641.0,903.2,16253.9,0.622,0.767,555.4,9993.8,684.7,12321.1,56,17,34,90,Cape Town,South Africa,ZA,Africa
122455,Ocean Views | Open Plan | Pool | 4 Bed,Entire home,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-122455/original/338a6c58-f4a1-4126-83f0-9d5e09e3d8f5.jpeg,23,613674,Randolf,"166525517,470889398,536769060,676928952,725259022","James,James,Shamiel,Daniel,Eben",False,-33.9103,18.4047,7.0,4.0,4.0,2.5,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Ceiling fan,Pets allowed,Free street parking,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Fire extinguisher,Bidet,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Children’s books and toys,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Exercise equipment,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,True,2.0,Moderate,ZAR,83.0,0.0,44,4.77,4.8,4.9,4.6,5.0,5.0,4.7,33717.0,619796.0,415.6,7575.4,0.214,0.269,89.0,1636.7,112.0,2060.0,78,75,287,365,2184.0,39302.0,498.7,8974.7,0.056,0.068,23.3,420.1,28.4,510.9,5,16,85,90,Cape Town,South Africa,ZA,Africa
123012,The Studio,Entire place,entire_home,https://a0.muscache.com/im/pictures/102797151/a5b4f8ed_original.jpg,18,615652,Doreen,,,False,-33.9314,18.4063,2.0,,2.0,1.0,False,"High chair,TV,Cable TV,Wifi,Pool,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Outdoor furniture,Hammock,Refrigerator,Fire pit,Heating,Washer,Dryer,First aid kit,Backyard,Fire extinguisher,Essentials,Shampoo,Outdoor dining area",,False,1.0,Non-refundable,ZAR,0.0,0.0,33,4.7,4.9,4.9,5.0,4.9,4.9,4.7,3024.0,55725.0,184.2,3352.3,0.044,0.048,8.3,152.7,9.1,167.3,16,32,349,365,1096.0,19722.0,179.3,3226.4,0.067,0.097,12.2,219.1,17.7,318.1,6,28,84,90,Cape Town,South Africa,ZA,Africa
123076,GARDEN COTTAGE,Entire place,entire_home,https://a0.muscache.com/im/pictures/794538/1beedd9f_original.jpg,24,615652,Doreen,,,False,-33.9327,18.4077,4.0,2.0,4.0,2.0,False,"TV,Wifi,Pool,Kitchen,Board games,Books and reading material,Portable fans,Conditioner,Mini fridge,Free street parking,Outdoor furniture,Hammock,Cleaning products,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Outdoor dining area,Private entrance,Bathtub,Baby bath,Changing table,Children’s books and toys,Babysitter recommendations,Crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Mosquito net,Bed linens,Microwave,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",,False,1.0,Refundable,ZAR,0.0,0.0,15,5.0,4.9,5.0,5.0,5.0,4.9,5.0,14465.0,262114.0,239.1,4353.8,0.17,0.225,39.6,718.1,52.6,953.1,62,90,303,365,1534.0,27605.0,219.0,3940.8,0.078,0.159,17.0,306.7,34.9,627.4,7,46,83,90,Cape Town,South Africa,ZA,Africa
