listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
3243265,Cozy Val Fleurie Maarif,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3243265/original/17438ee2-458e-4029-8a7e-75ee5aa9ab87.jpeg,17,16409425,Oumaima,,,False,33.5725,-7.6373,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Wifi,Kitchen,Cooking basics,Dishes and silverware,Freezer,Oven,Coffee maker,Baking sheet,Dining table,Coffee,Patio or balcony,Backyard,Free parking on premises,Free street parking,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,MAD,8.0,0.0,56,4.91,5.0,4.9,5.0,4.9,4.8,4.8,4702.0,44146.0,48.8,456.6,0.255,0.0,12.6,118.5,0.0,0.0,93,0,272,365,1658.0,15321.0,55.8,515.8,0.311,0.0,18.2,168.6,0.0,0.0,28,0,62,90,Casablanca,Morocco,MA,Africa
3537520,Big Apt 140m2-High speed Internet-Private Parking,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3537520/original/9104cab9-cd01-4723-be29-989b1bb30a6e.jpeg,37,8495625,Yasmina,34265492,Albert & Yasmina,True,33.5859,-7.6382,6.0,3.0,4.0,2.0,False,"Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Oven,Coffee maker,Patio or balcony,Free parking on premises,Elevator,Long term stays allowed",,False,2.0,Firm,MAD,0.0,0.0,72,4.53,4.7,4.5,4.4,4.6,4.8,4.5,6600.0,63798.0,118.1,1109.6,0.153,0.279,18.1,174.8,32.8,317.4,56,164,309,365,0.0,0.0,117.5,1086.0,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Casablanca,Morocco,MA,Africa
5628257,Studio With Exceptionnal View Over Casablanca,Entire rental unit,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/f3d68fb9-b05d-4f6c-bc84-20b59df549bd.jpg,16,8625964,Jalil,,,True,33.5866,-7.6479,2.0,,1.0,1.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,Kitchen,Essentials,Shampoo,Paid parking off premises,Smoking allowed,Hangers,Hair dryer,Hot water,Iron,Elevator,Coffee maker,Refrigerator,Dishes and silverware,Heating",,,3.0,Moderate,MAD,0.0,,407,4.79,4.8,4.9,4.7,4.9,4.8,4.7,691.0,6645.0,42.0,393.9,0.047,0.051,1.9,18.2,2.1,19.8,17,29,348,365,0.0,0.0,42.3,390.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Casablanca,Morocco,MA,Africa
6631300,"Great location, sunny and good price.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9be17e88-6c55-4c04-9a7b-be90b1ce6b50.jpg,17,34711970,Jad,,,False,33.5835,-7.642,3.0,2.0,2.0,1.5,False,"Bathtub,Cleaning products,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Oven,Coffee maker,Toaster,Patio or balcony,Free parking on premises,Free street parking,Elevator,Single level home,Smoking allowed",,False,2.0,Flexible,MAD,32.0,0.0,37,4.62,4.8,4.7,4.5,4.8,4.9,4.5,15692.0,146979.0,57.6,540.6,0.701,0.0,40.8,382.4,0.0,0.0,256,0,109,365,3486.0,32212.0,61.8,571.2,0.567,0.0,35.9,331.6,0.0,0.0,51,0,39,90,Casablanca,Morocco,MA,Africa
7041336,Apartment in the center of Casablanca N 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4e95a595-4883-49a8-8b41-5e71b23d6fd7.jpg,46,29818050,Soumia,,,True,33.5733,-7.6286,10.0,3.0,5.0,2.0,False,"Wifi,Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Air conditioning,Indoor fireplace,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Baking sheet,Patio or balcony,Outdoor furniture,BBQ grill,Elevator,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,MAD,46.0,0.0,86,4.7,4.7,4.8,4.7,4.8,4.3,4.6,7299.0,68295.0,91.4,856.8,0.2,0.0,18.6,174.3,0.0,0.0,73,0,292,365,471.0,4352.0,98.5,910.1,0.044,0.0,4.7,43.6,0.0,0.0,4,0,86,90,Casablanca,Morocco,MA,Africa
7756924,Spacious sunny calm superb place in heart of city,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7756924/original/9e4f5124-546a-4a5e-8885-807bddf349dd.jpeg,24,40785961,⁨Sophia B.⁩,,,True,33.5786,-7.647,6.0,2.0,2.0,2.0,False,"TV,Blender,Window guards,Wifi,Air conditioning,Babysitter recommendations,Kitchen,Free parking on premises,Room-darkening shades,Children’s dinnerware,Smoking allowed,Pets allowed,Hot water,Body soap,Conditioner,Elevator,Bed linens,Laundromat nearby,Cleaning products,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Baby monitor,Baby bath",,False,,Flexible,MAD,19.0,0.0,19,4.84,5.0,5.0,4.8,5.0,5.0,4.9,15044.0,139752.0,59.0,553.4,0.674,0.715,40.4,375.2,42.8,398.1,246,21,119,365,5086.0,46994.0,63.0,582.2,0.9,0.91,55.9,516.3,56.5,522.1,81,1,9,90,Casablanca,Morocco,MA,Africa
7774372,Charming Studio in the center of Casa,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1ba99a66-8716-4da3-90c8-4758713cf2d1.jpg,21,25447542,Imane,,,True,33.5766,-7.6425,3.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Free parking on premises,Elevator",,False,5.0,Moderate,MAD,17.0,0.0,65,4.78,4.9,5.0,4.7,5.0,4.6,4.7,1198.0,11103.0,46.0,432.1,0.063,0.082,3.1,29.1,4.1,37.7,23,83,342,365,0.0,0.0,44.5,411.3,0.0,0.0,0.0,0.0,0.0,0.0,0,53,90,90,Casablanca,Morocco,MA,Africa
9336362,Habous district near Palais Royal,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-9336362/original/af686a9b-f342-4c5c-b100-2f1a789805dd.jpeg,10,29981647,Mouhcine,,,True,33.5701,-7.5952,6.0,2.0,4.0,2.5,False,"Shampoo,Washer,Dryer,Essentials,Hangers,TV,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Private entrance,Free parking on premises,Elevator",,False,2.0,Firm,MAD,40.0,0.0,23,4.7,4.5,4.8,4.4,4.8,4.8,4.7,10980.0,102475.0,58.3,545.6,0.466,0.491,26.0,243.2,27.5,256.6,170,19,195,365,2242.0,20717.0,80.2,741.2,0.3,0.38,23.1,213.7,29.3,270.9,27,19,63,90,Casablanca,Morocco,MA,Africa
11888612,Casablanca Studio (NetFlix & Fiber),Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11888612/original/4c0bb850-a199-409c-9d74-be22b476fb9d.jpeg,9,51405029,Henry,"475764590,576900337","Youness,Albaz",True,33.5696,-7.6433,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Elevator",,False,2.0,Firm,MAD,23.0,0.0,242,4.75,4.8,4.8,4.7,4.8,4.7,4.7,3766.0,35851.0,39.5,370.2,0.247,0.333,9.6,91.2,12.9,123.3,90,95,275,365,1162.0,10737.0,38.9,359.6,0.3,0.0,11.9,109.8,0.0,0.0,27,0,63,90,Casablanca,Morocco,MA,Africa
13042435,Fundays Stay Casablanca,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-13042435/original/3abf94d6-5e2c-42cd-a9b9-b65ef4e641d6.jpeg,9,72138204,Hassan,,,True,33.5708,-7.6426,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Hangers,Bed linens,Iron,Drying rack for clothing,TV,Air conditioning,Exterior security cameras on property,Dedicated workspace,Kitchen,Refrigerator,Microwave,Dishes and silverware,Hot water kettle,Coffee maker,Toaster,Blender,Outdoor dining area,Free parking on premises,Elevator",,False,,Flexible,MAD,16.0,5.0,35,4.94,4.9,4.9,4.9,4.9,4.9,4.9,11109.0,103555.0,44.3,414.5,0.638,0.0,29.0,270.7,0.0,0.0,233,0,132,365,3842.0,35508.0,50.3,464.5,0.811,0.0,41.1,379.7,0.0,0.0,73,0,17,90,Casablanca,Morocco,MA,Africa
