listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
197904,"12 PALMS Dahab, sun, sea, serenity.",Entire villa,entire_home,https://a0.muscache.com/im/pictures/1686668/2f0a9c84_original.jpg,47,960219,Gilliane,"9627341,116109637","Katarzyna Aneta,Maja",False,28.5116,34.5154,10.0,5.0,10.0,4.0,False,"Cable TV,Pets allowed,Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Air conditioning,Portable fans,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Patio or balcony,Backyard,Free street parking,Long term stays allowed",,False,5.0,Moderate,EGP,23.0,23.0,31,4.84,4.8,4.9,4.7,4.9,4.6,4.7,2450.0,121804.0,24.5,1219.4,0.26,0.495,6.5,324.4,12.4,616.6,95,173,270,365,400.0,19796.0,24.5,1210.3,0.167,1.0,4.2,207.3,25.1,1243.9,15,75,75,90,Dahab,Egypt,EG,Africa
355894,Octopus Apt. Lagoon Villa Dahab,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/394e283a-862d-4de2-a8ee-7baa0fbae5a4.jpg,24,1450973,Fi And Toby,,,False,28.4817,34.4908,4.0,2.0,4.0,1.0,False,"High chair,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Beach access,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance",,False,3.0,Strict,EGP,33.0,0.0,21,4.86,4.8,4.9,4.8,4.9,4.8,4.6,3316.0,165282.0,106.9,5330.7,0.077,0.085,8.7,434.9,9.7,484.0,28,37,337,365,0.0,0.0,96.4,4769.9,0.0,0.0,0.0,0.0,0.0,0.0,0,37,90,90,Dahab,Egypt,EG,Africa
358932,Seahorse Apt-Lagoon Villa (spa bath & shared pool),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/afd62c2a-de79-4450-b338-33835b90ecf9.jpg,28,1450973,Fi And Toby,,,False,28.4811,34.4918,3.0,1.0,2.0,1.0,False,"High chair,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Hot water,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Dryer,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Outdoor dining area",,False,3.0,Strict,EGP,21.0,0.0,63,4.9,4.9,5.0,4.8,5.0,4.8,4.8,1218.0,61195.0,83.5,4163.0,0.038,0.047,3.2,162.0,3.9,198.4,14,67,351,365,0.0,0.0,77.7,3845.4,0.0,0.0,0.0,0.0,0.0,0.0,0,23,90,90,Dahab,Egypt,EG,Africa
611251,"Spacious, 100m from sea, big garden COLOR",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7991670/e04753e1_original.jpg,15,3017550,Mats,,,True,28.5046,34.5199,4.0,1.0,3.0,1.0,False,"Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Air conditioning,Wifi,Dedicated workspace,Kitchen,Cooking basics,Free street parking,Long term stays allowed",,False,2.0,Strict,EGP,20.0,0.0,39,4.85,4.8,4.9,4.8,4.9,4.9,4.8,8634.0,430806.0,40.2,2002.7,0.57,0.0,22.5,1123.3,0.0,0.0,208,0,157,365,2446.0,121060.0,38.9,1925.8,0.644,0.0,25.6,1268.1,0.0,0.0,58,0,32,90,Dahab,Egypt,EG,Africa
630664,"Spacious, 100m from sea, big garden UP",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/10303757/3ea0f022_original.jpg,11,3017550,Mats,,,True,28.5041,34.5194,4.0,1.0,3.0,1.0,False,"Cleaning products,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Safe,Clothing storage,Air conditioning,Portable fans,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Wine glasses,Blender,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,EGP,20.0,0.0,72,4.72,4.8,4.9,4.7,4.9,4.8,4.5,7069.0,350909.0,39.9,1987.9,0.49,0.595,18.9,937.0,22.9,1136.2,179,64,186,365,2345.0,116061.0,36.9,1825.2,0.689,1.0,25.4,1256.6,36.9,1824.0,62,28,28,90,Dahab,Egypt,EG,Africa
742817,"Sinai Sun Villa - spacious house, sleeps 4",Entire home,entire_home,https://a0.muscache.com/im/pictures/10210611/d17af50b_original.jpg,24,3889586,Sun Sinai Villa,,,True,28.5125,34.5162,4.0,2.0,3.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,Children’s books and toys,Air conditioning,Ceiling fan,Portable fans,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Firm,EGP,35.0,0.0,46,4.84,4.8,4.8,4.7,5.0,4.6,4.7,7838.0,390929.0,43.8,2181.0,0.474,0.569,20.5,1023.6,24.6,1229.0,173,61,192,365,1110.0,54938.0,43.8,2168.4,0.267,0.828,11.6,571.9,35.9,1775.0,24,61,66,90,Dahab,Egypt,EG,Africa
788246,Sea Stars 2 -  Balcony Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1a52276b-c10f-4084-a7ab-58fde16121c4.jpg,13,4154959,Tim,,,True,28.5066,34.5176,6.0,2.0,4.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Baby monitor,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Free street parking,Smoking allowed",,False,3.0,Strict,EGP,35.0,0.0,121,4.78,4.7,4.9,4.7,4.9,4.7,4.6,5513.0,275870.0,81.5,4063.2,0.173,0.178,14.2,713.1,14.7,737.3,63,12,302,365,1032.0,51081.0,81.6,4040.6,0.122,0.0,10.7,529.1,0.0,0.0,11,0,79,90,Dahab,Egypt,EG,Africa
915538,villa whitehouse dahab,Entire villa,entire_home,https://a0.muscache.com/im/pictures/b9d9dd18-c074-4ba2-b8b3-11d144b6f246.jpg,20,4914751,Axel,,,False,28.5042,34.5191,6.0,3.0,3.0,2.0,False,"Hot water,Washer,Essentials,TV,Air conditioning,Indoor fireplace,Heating,Wifi,Kitchen,Cooking basics,Dishes and silverware,Beach access,Free parking on premises,Pets allowed",,False,7.0,Firm,EGP,0.0,0.0,19,5.0,4.9,5.0,5.0,5.0,5.0,5.0,13663.0,678122.0,217.4,10837.1,0.173,0.185,37.4,1857.9,40.1,1988.6,63,24,302,365,6409.0,317225.0,227.5,11261.1,0.322,0.337,71.2,3524.7,74.5,3688.7,29,4,61,90,Dahab,Egypt,EG,Africa
965779,3 bedroom villa - sleeps 7 - very central location,Entire villa,entire_home,https://a0.muscache.com/im/pictures/14401922/e41b03d8_original.jpg,35,5266261,Sophie,,,True,28.5003,34.5165,7.0,3.0,4.0,2.5,False,"Bathtub,Hot water,Hangers,Bed linens,Extra pillows and blankets,Safe,Clothing storage,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Ceiling fan,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Private entrance,Outdoor furniture,Hammock,BBQ grill,Sun loungers,Free street parking,Cleaning before checkout",,False,4.0,Firm,EGP,0.0,0.0,49,4.92,4.9,5.0,4.7,5.0,4.8,4.8,17860.0,892404.0,146.4,7298.1,0.337,0.378,48.9,2444.9,55.0,2745.9,123,40,242,365,4738.0,234524.0,147.0,7276.3,0.356,0.4,52.6,2605.8,59.2,2931.6,32,10,58,90,Dahab,Egypt,EG,Africa
966854,Garden apartment sleeps 3 - very central location,Entire condo,entire_home,https://a0.muscache.com/im/pictures/14718716/ec5e7be2_original.jpg,33,5266261,Sophie,,,True,28.5013,34.5171,3.0,1.0,2.0,1.0,False,"Children’s books and toys,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Hot water kettle,Ceiling fan,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Hammock,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,BBQ grill,Patio or balcony,Backyard,Long term stays allowed,Safe,Cleaning before checkout,Hangers,Dining table,Barbecue utensils,Freezer,Sun loungers,Private entrance,Toaster",,False,4.0,Firm,EGP,0.0,0.0,10,4.9,5.0,5.0,4.5,5.0,4.5,4.7,2422.0,119879.0,57.4,2863.6,0.115,0.171,6.6,328.4,9.9,489.3,42,120,323,365,905.0,44794.0,56.4,2791.0,0.178,0.381,10.1,497.7,21.5,1066.5,16,48,74,90,Dahab,Egypt,EG,Africa
