listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1942407,"new apartment, furnished, all comforts",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/63082085/6b000f3a_original.jpg,12,10048358,Catherine,264708618,Francois Mitterand,True,14.7447,-17.4638,4.0,1.0,3.0,1.0,False,"Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Air conditioning,Ceiling fan,Portable fans,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Patio or balcony,Free parking on premises,Pets allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,5.0,Flexible,XOF,17.0,0.0,90.0,4.72,4.8,4.9,4.8,4.9,4.6,4.8,6231.0,3685554.0,33.0,19431.4,0.49,0.5,16.2,9586.0,16.5,9773.4,179,7,186,365,1267.0,732285.0,31.9,18430.8,0.422,0.458,13.5,7809.0,14.7,8467.6,38,7,52,90,Dakar,Senegal,SN,Africa
2002722,Ngor Island,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/75cac086-3bd4-4c69-bfff-12ca0900698e.jpg,27,10312958,Momar,,,False,14.7561,-17.5122,4.0,2.0,2.0,1.5,False,"Cable TV,TV,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Drying rack for clothing,Mosquito net,Clothing storage,TV,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Beach access,Patio or balcony,Backyard,BBQ grill,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,XOF,5.0,0.0,56.0,4.41,4.3,4.8,4.5,4.6,4.8,4.4,1550.0,919968.0,61.4,36155.4,0.068,0.075,4.2,2504.6,4.6,2745.3,25,32,340,365,415.0,239856.0,57.8,33380.7,0.078,0.121,4.6,2633.0,7.1,4085.6,7,32,83,90,Dakar,Senegal,SN,Africa
2231524,Beautiful apartment in Les Mamelles⭐️⭐️⭐️,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f6725110-bf64-4ddb-9bef-f79e8aad8392.jpg,85,11389429,René,,,False,14.7298,-17.5009,6.0,3.0,6.0,3.0,False,"Pets allowed,Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Crib,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Rice maker,Barbecue utensils,Dining table,Coffee,Bread maker,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Limited,XOF,64.0,0.0,82.0,4.78,4.9,4.9,4.8,4.9,4.5,4.8,13183.0,7688754.0,94.0,55445.3,0.378,0.0,34.5,20153.0,0.0,0.0,138,0,227,365,5687.0,3286882.0,84.2,48658.1,0.711,0.0,60.3,34876.9,0.0,0.0,64,0,26,90,Dakar,Senegal,SN,Africa
2478488,Mixta city furnished apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/484d2078-38e6-42be-8163-e5a6c7cc4879.jpg,32,12676950,Sourakhata Gaye,,,False,14.7469,-17.4559,4.0,2.0,4.0,2.0,False,"Hair dryer,Shampoo,Hot water,Dryer,Essentials,Hangers,Iron,Ethernet connection,TV,Baby safety gates,Air conditioning,Smoke alarm,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Beach essentials,Free parking on premises,Free street parking,Gym,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,XOF,0.0,0.0,35.0,4.57,4.7,4.7,4.7,4.8,4.5,4.5,1938.0,1126830.0,32.9,19333.2,0.156,0.199,5.3,3087.2,6.8,3926.2,57,78,308,365,0.0,0.0,32.9,19015.2,0.0,0.0,0.0,0.0,0.0,0.0,0,19,90,90,Dakar,Senegal,SN,Africa
2607573,Studio in the gardens - Villa - city center,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/93cb81f9-14de-4829-a650-dd6d47b6d300.jpg,9,7087376,Sobel,,,False,14.6713,-17.4343,2.0,1.0,1.0,1.0,False,"Window guards,Wifi,Air conditioning,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Pets allowed,Hot water,Body soap,Breakfast,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Drying rack for clothing,Dishes and silverware,Coffee,Clothing storage,Wine glasses,Washer,Single level home,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Iron,Dedicated workspace,Private entrance",False,False,2.0,Moderate,XOF,0.0,0.0,145.0,4.67,4.7,4.9,4.7,4.7,4.8,4.7,2526.0,1538372.0,56.0,32933.2,0.129,0.157,6.9,4214.7,8.4,5145.1,47,66,318,365,380.0,219626.0,54.7,31614.6,0.078,0.1,4.2,2440.3,5.4,3137.5,7,20,83,90,Dakar,Senegal,SN,Africa
2814122,"Eco-friendly apartment 160 m² \Le Paradis des Canaris\""""",Entire home,entire_home,https://a0.muscache.com/im/pictures/36527091/40233d5a_original.jpg,20,14170951,Marie-Louise,,,False,14.7131,-17.4655,6.0,2.0,3.0,3.0,False,"Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Mosquito net,Clothing storage,TV,Crib,High chair,Window guards,Outlet covers,Air conditioning,Ceiling fan,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Barbecue utensils,Dining table,Private entrance,Laundromat nearby,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,6.0,Moderate,XOF,0.0,5.0,82.0,4.83,4.9,5.0,4.8,4.9,4.8,4.8,2435.0,1485249.0,44.8,26296.4,0.173,0.186,6.7,4069.2,7.2,4381.3,63,26,302,365,0.0,0.0,48.3,27909.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26,90,90,Dakar,Senegal,SN,Africa
2912011,"\Belle Vue\"" Eco-Friendly Studio""",Entire home,entire_home,https://a0.muscache.com/im/pictures/93696063/3b29a957_original.jpg,10,14170951,Marie-Louise,,,False,14.7091,-17.4654,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Children’s dinnerware,Window guards,Outlet covers,Table corner guards,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free street parking,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,6.0,Moderate,XOF,0.0,5.0,57.0,4.84,4.9,5.0,4.8,5.0,4.8,4.8,1275.0,769012.0,27.1,15982.2,0.129,0.186,3.5,2106.9,5.0,3039.6,47,112,318,365,239.0,138133.0,27.7,16009.6,0.1,0.265,2.7,1534.8,7.0,4062.7,9,56,81,90,Dakar,Senegal,SN,Africa
2913693,"\Le Flamboyant\"" Eco-Friendly Studio""",Entire home,entire_home,https://a0.muscache.com/im/pictures/93699477/77c3c0bd_original.jpg,8,14170951,Marie-Louise,,,False,14.7091,-17.4654,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Crib,Children’s dinnerware,Window guards,Outlet covers,Table corner guards,Air conditioning,Ceiling fan,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Barbecue utensils,Dining table,Private entrance,Laundromat nearby,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,60.0,Moderate,XOF,0.0,5.0,60.0,4.85,4.8,5.0,4.8,4.9,4.9,4.9,655.0,378564.0,25.5,15187.3,0.071,0.0,1.8,1037.2,0.0,0.0,26,0,339,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dakar,Senegal,SN,Africa
2918403,"\Le Soleil Levant\"" Eco-Friendly Studio""",Entire home,entire_home,https://a0.muscache.com/im/pictures/37626433/3fc8a72f_original.jpg,6,14170951,Marie-Louise,,,False,14.7091,-17.4654,2.0,1.0,1.0,1.0,False,"Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Mosquito net,Clothing storage,Window guards,Outlet covers,Table corner guards,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Cooking basics,Dishes and silverware,Mini fridge,Stove,Dining table,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Outdoor kitchen,Paid parking off premises,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,6.0,Moderate,XOF,0.0,5.0,109.0,4.86,4.9,4.9,4.8,4.9,4.9,4.8,3552.0,2087751.0,15.1,8905.2,0.644,0.683,9.7,5719.9,10.3,6069.0,235,21,130,365,942.0,544411.0,14.5,8373.6,0.722,0.0,10.5,6049.0,0.0,0.0,65,0,25,90,Dakar,Senegal,SN,Africa
2918483,"\Le Soleil Couchant\"" Eco-Friendly Studio""",Entire home,entire_home,https://a0.muscache.com/im/pictures/37626985/5321ba27_original.jpg,5,14170951,Marie-Louise,,,False,14.7091,-17.4654,2.0,1.0,1.0,1.0,False,"Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,Window guards,Outlet covers,Table corner guards,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Baking sheet,Dining table,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Outdoor kitchen,Paid parking off premises,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,6.0,Moderate,XOF,0.0,5.0,102.0,4.77,4.8,4.9,4.8,4.9,4.8,4.8,1952.0,1128720.0,15.1,8910.5,0.362,0.478,5.3,3092.4,7.1,4089.6,132,89,233,365,745.0,430559.0,13.7,7911.2,0.6,0.0,8.3,4784.0,0.0,0.0,54,0,36,90,Dakar,Senegal,SN,Africa
