listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
3024152,1 bedroom Apt close to KFC mikocheni with pool,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3024152/original/fe5033b5-cf68-4b99-93c3-3f76056a0dbf.jpeg,28.0,15409016,LEN Apartments,215904152,Loice,False,-6.7674,39.2481,2.0,1.0,2.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Rice maker,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Sun loungers,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1,Strict,TZS,5.0,10.0,156,4.5,4.6,4.6,4.7,4.7,4.6,4.6,1635.0,4390722.0,27.4,73259.5,0.173,0.196,4.4,11881.9,5.0,13510.5,63,44,302,365,0.0,0.0,32.0,86122.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dar Es-Salaam,Tanzania,TZ,Africa
4711574,1 bedroom Apt with POOL - Mikocheni Rose Garden Rd,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4711574/original/17202a8f-4ff3-4f9f-aa5e-8f2a33cdd952.jpeg,40.0,15409016,LEN Apartments,215904152,Loice,False,-6.7661,39.248,2.0,1.0,1.0,1.0,False,"Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Air conditioning,Ceiling fan,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Blender,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,1,Firm,TZS,5.0,5.0,169,4.65,4.7,4.8,4.7,4.8,4.8,4.7,2576.0,6847455.0,36.1,96299.0,0.192,0.0,6.9,18465.1,0.0,0.0,70,0,295,365,286.0,769992.0,39.6,106733.8,0.078,0.0,3.1,8405.9,0.0,0.0,7,0,83,90,Dar Es-Salaam,Tanzania,TZ,Africa
4778606,STUDIO APARTMENT IN UPANGA,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/59957993/941df3e8_original.jpg,5.0,19621387,Emmanuel,,,False,-6.8032,39.278,,,1.0,0.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,First aid kit,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Iron,Dedicated workspace,Cooking basics",False,False,1,Flexible,TZS,0.0,0.0,4,4.5,4.2,4.8,4.5,4.8,4.2,4.8,419.0,1128064.0,27.3,72854.8,0.041,0.0,1.1,3090.6,0.0,0.0,15,0,350,365,419.0,1128064.0,28.2,75832.5,0.167,0.0,4.7,12534.0,0.0,0.0,15,0,75,90,Dar Es-Salaam,Tanzania,TZ,Africa
4797243,Treeshade Single Apartment Opp Slipway,Entire condo,entire_home,https://a0.muscache.com/im/pictures/e4b4a9e6-d1cf-46a2-8411-623381ab2adf.jpg,26.0,24720474,Irene,,,True,-6.7518,39.2738,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Pets allowed,Hot water,Resort access,Bed linens,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Wine glasses,Shower gel,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers",,False,2,Flexible,TZS,0.0,20.0,66,4.5,4.5,4.6,4.6,4.5,4.9,4.4,9148.0,24185170.0,80.5,214846.9,0.312,0.538,25.1,66260.7,43.2,114081.0,114,153,251,365,0.0,0.0,78.9,212331.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48,90,90,Dar Es-Salaam,Tanzania,TZ,Africa
5816924,Marina Standard Apartment Opp  Slipway,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/80492351/070540b0_original.jpg,21.0,24720474,Irene,,,True,-6.7546,39.2738,4.0,2.0,2.0,1.0,False,"Hot water,Washer,Essentials,TV,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Backyard,Free parking on premises,Free street parking,Hot tub,Pets allowed,Smoking allowed",,False,2,Firm,TZS,0.0,0.0,122,4.69,4.7,4.8,4.8,4.8,4.9,4.6,12067.0,32103770.0,65.0,173509.9,0.521,0.534,33.1,87955.5,33.9,90179.1,190,9,175,365,2054.0,5529936.0,71.3,191869.6,0.322,0.358,22.8,61443.7,25.4,68270.8,29,9,61,90,Dar Es-Salaam,Tanzania,TZ,Africa
5871325,APARTMENT AND UPANGA,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/93091334/9a5a380d_original.jpg,5.0,19621387,Emmanuel,,,False,-6.8006,39.2766,4.0,3.0,4.0,4.0,False,"TV,Washer,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Iron,Gym,Dedicated workspace,Elevator,Cooking basics",False,False,1,Flexible,TZS,5.0,0.0,1,,,,,,,,991.0,2668047.0,82.8,220930.5,0.033,0.0,2.7,7272.8,0.0,0.0,12,0,353,365,0.0,0.0,83.0,223548.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dar Es-Salaam,Tanzania,TZ,Africa
8012034,"Baobab Ville, your home in Dar",Floor,entire_home,https://a0.muscache.com/im/pictures/102576263/c0a4eed1_original.jpg,57.0,42301972,Halima,,,False,-6.8358,39.3411,6.0,3.0,4.0,1.0,False,"Wifi,Babysitter recommendations,Crib,Kitchen,Free parking on premises,Portable fans,Ceiling fan,Pets allowed,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Pocket wifi,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Stove,Beach access,Patio or balcony,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Iron,Freezer,Private entrance",False,,2,Moderate,TZS,0.0,0.0,69,4.46,4.4,4.5,4.5,4.6,4.2,4.5,676.0,1802074.0,37.9,101331.9,0.058,0.0,1.9,4937.2,0.0,0.0,21,0,344,365,0.0,0.0,46.8,125938.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dar Es-Salaam,Tanzania,TZ,Africa
8284184,Hotel Raha Tower and Apartments - Standard Rooms,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-8284184/original/27526ab6-e316-4baa-9ed0-c0f3e3586689.jpeg,5.0,43679899,Imran,,,False,-6.8123,39.2846,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Blender,Wifi,Air conditioning,Crib,Hot water kettle,Paid parking off premises,Children’s dinnerware,Portable fans,Ceiling fan,Hot water,Body soap,Breakfast,Conditioner,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Refrigerator,Paid parking on premises,Coffee,Clothing storage,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Iron,Freezer,Private entrance",,False,1,Flexible,TZS,0.0,10.0,2,,,,,,,,902.0,2428435.0,59.0,157281.9,0.038,0.0,2.5,6653.2,0.0,0.0,14,0,351,365,0.0,0.0,51.8,139400.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dar Es-Salaam,Tanzania,TZ,Africa
9793531,Imwi,Entire home,entire_home,https://a0.muscache.com/im/pictures/6f60acbc-4456-484d-acdf-1a95d0a6ad5d.jpg,11.0,48848748,Lina,,,False,-6.7866,39.2775,2.0,1.0,1.0,1.5,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Hot water,Mini fridge,Bed linens,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Dedicated workspace,Private entrance",,False,1,Flexible,TZS,0.0,0.0,38,4.82,4.9,4.8,4.9,4.9,4.7,4.8,4508.0,12078061.0,38.3,102240.2,0.323,0.355,12.4,33090.6,13.6,36379.7,118,33,247,365,540.0,1453830.0,39.1,105327.9,0.156,0.0,6.0,16153.7,0.0,0.0,14,0,76,90,Dar Es-Salaam,Tanzania,TZ,Africa
10519665,"\All in one\"" Furnished Studio""",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/b7b62afa-393b-4c5e-9807-1cd649ed43b6.jpg,6.0,36362492,Mary,,,False,-6.7609,39.2518,2.0,1.0,1.0,1.0,False,"Washer,Essentials,Hangers,Iron,TV,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Free parking on premises",,False,1,Flexible,TZS,8.0,0.0,35,4.71,4.7,4.7,4.8,4.7,4.7,4.7,309.0,831911.0,30.8,82403.6,0.03,0.0,0.8,2220.2,0.0,0.0,11,0,354,365,0.0,0.0,34.0,91417.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dar Es-Salaam,Tanzania,TZ,Africa
