listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
41931,Super charming apartment next to main square!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/71adf17b-fa95-483a-85f0-b6354a785746.jpg,30.0,183259,Matthias,,,False,31.5109,-9.7726,3.0,2.0,3.0,1.0,False,"Hot water,Essentials,Hangers,Extra pillows and blankets,Drying rack for clothing,Books and reading material,Window guards,Babysitter recommendations,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Mini fridge,Beach access,Private entrance,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,3,Strict,MAD,23.0,0.0,109,4.33,4.5,4.7,4.3,4.8,4.8,4.4,2836.0,27291.0,59.3,557.4,0.132,0.158,7.6,73.0,9.1,88.0,48,62,317,365,0.0,0.0,58.1,537.0,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Essaouira,Morocco,MA,Africa
180048,A charming apartment in the medina,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/46769438/a4ae2719_original.jpg,20.0,862364,Franck,,,True,31.5154,-9.7678,4.0,2.0,3.0,1.0,False,"Cable TV,Wifi,Bathtub,Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Crib,Pack ’n play/Travel crib,Window guards,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Baking sheet,Barbecue utensils,Dining table,Beach access,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2,Flexible,MAD,29.0,0.0,362,4.62,4.7,4.8,4.6,4.8,4.6,4.7,13382.0,125721.0,58.3,546.5,0.575,0.631,32.8,308.5,35.9,338.1,210,32,155,365,1201.0,11097.0,60.8,561.9,0.2,0.305,11.4,105.4,17.4,160.8,18,31,72,90,Essaouira,Morocco,MA,Africa
191039,4-Bed Riad in Essaouira,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-191039/original/8891c200-6b0e-46cd-8518-56926f80dc59.jpeg,21.0,923591,Emma,,,False,31.5149,-9.7678,8.0,4.0,4.0,2.0,False,"Wifi,Air conditioning,Hair dryer,Cleaning products,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Sound system,Books and reading material,Pack ’n play/Travel crib,High chair,Babysitter recommendations,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Blender,Dining table,Coffee,Private entrance,Resort access,Patio or balcony,Outdoor furniture,Outdoor dining area,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,4,Firm,MAD,93.0,40.0,8,4.38,4.4,4.4,4.5,5.0,4.5,4.2,12883.0,120814.0,223.0,2106.2,0.145,0.167,32.7,307.5,37.6,352.9,53,47,312,365,4665.0,43105.0,204.2,1886.5,0.233,0.244,47.7,440.8,49.9,461.3,21,4,69,90,Essaouira,Morocco,MA,Africa
201714,Beautiful central riad with terrace,Entire villa,entire_home,https://a0.muscache.com/im/pictures/1ccb8fde-6e6e-4c0a-afcf-fbb939ce0b34.jpg,18.0,987202,Brigitte,,,False,31.5122,-9.7678,6.0,3.0,4.0,3.0,False,"Gym,Wifi,Cable TV,Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Children’s dinnerware,Board games,Baby safety gates,Indoor fireplace,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Paid parking off premises,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,2,Strict,MAD,4.0,0.0,189,4.7,4.7,4.9,4.7,4.9,4.9,4.7,30830.0,288879.0,156.9,1470.7,0.526,0.578,84.2,788.7,92.5,867.1,192,33,173,365,3222.0,29775.0,149.0,1377.1,0.233,0.284,35.6,329.2,43.3,400.4,21,16,69,90,Essaouira,Morocco,MA,Africa
214404,"\Souiri\"" Room in Dar Skala""",Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/14245631/da67e639_original.jpg,12.0,1106700,Jorge,,,True,31.5127,-9.7725,,,1.0,0.0,False,"Wifi,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Books and reading material,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Baking sheet,Dining table,Breakfast,Smoking allowed",,False,2,Flexible,MAD,0.0,0.0,637,4.76,4.8,4.9,4.3,4.9,4.9,4.8,11175.0,105331.0,46.7,438.1,0.663,0.0,30.6,288.6,0.0,0.0,242,0,123,365,2855.0,26380.0,49.8,460.0,0.633,0.0,31.7,293.1,0.0,0.0,57,0,33,90,Essaouira,Morocco,MA,Africa
289391,Very nice apartment near the beach,Entire condo,entire_home,https://a0.muscache.com/im/pictures/897b9eec-0fda-4d47-9816-59aa8ebde80a.jpg,35.0,1502934,Federico,,,True,31.5044,-9.7629,6.0,2.0,4.0,2.0,False,"TV,Gym,Bathtub,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Exercise equipment,Books and reading material,Crib,Pack ’n play/Travel crib,High chair,Board games,Babysitter recommendations,Indoor fireplace,Portable fans,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Beach access,Patio or balcony,Backyard,Outdoor furniture,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2,Firm,MAD,30.0,0.0,523,4.84,4.8,4.9,4.9,4.9,4.7,4.8,28362.0,266491.0,104.5,980.1,0.71,0.0,73.8,694.4,0.0,0.0,259,0,106,365,6958.0,64298.0,100.2,926.0,0.722,0.0,74.0,683.6,0.0,0.0,65,0,25,90,Essaouira,Morocco,MA,Africa
322238,Beautiful apartment near the beach,Entire condo,entire_home,https://a0.muscache.com/im/pictures/d3b6973e-a902-40fd-90a6-ef43d0ed010b.jpg,35.0,1502934,Federico,,,True,31.5044,-9.763,6.0,2.0,4.0,2.0,False,"TV,Cable TV,Gym,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Board games,Babysitter recommendations,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Beach access,Patio or balcony,Backyard,Outdoor furniture,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2,Firm,MAD,30.0,0.0,517,4.84,4.9,4.9,4.9,4.9,4.8,4.7,34393.0,322508.0,107.0,1003.4,0.822,0.0,88.8,833.5,0.0,0.0,300,0,65,365,7290.0,67359.0,111.8,1033.4,0.656,0.0,76.0,702.3,0.0,0.0,59,0,31,90,Essaouira,Morocco,MA,Africa
327044,"\Beldi\"" room in DAR ROCK""",Private room in home,private_room,https://a0.muscache.com/im/pictures/11164782/7093bf6e_original.jpg,10.0,1106700,Jorge,,,True,31.5133,-9.7719,,,2.0,0.0,False,"Stove,Wifi,Fire extinguisher,Essentials,Hot water kettle,Hangers,Hair dryer,Hot water,Baking sheet,Freezer,Refrigerator,Dishes and silverware,Heating,Cooking basics",False,False,2,Flexible,MAD,0.0,0.0,412,4.7,4.7,4.9,4.2,4.9,5.0,4.7,575.0,5334.0,50.8,476.2,0.033,0.203,1.6,14.6,9.7,90.4,12,306,353,365,0.0,0.0,54.0,499.1,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Essaouira,Morocco,MA,Africa
385735,"Room 1 at Riad Lunetoile, Essaouira",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/c35bbe8e-1bd4-4770-81ae-c011b22af310.jpg,12.0,1930594,Sue,515844324,Oussama,False,31.5154,-9.7685,,,1.0,0.0,False,"Hot water,Essentials,Ethernet connection,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Breakfast,Smoking allowed,Long term stays allowed",,False,1,Firm,MAD,0.0,0.0,91,4.82,4.8,4.9,4.9,4.8,4.9,4.9,8967.0,84700.0,42.7,401.5,0.567,0.578,24.6,232.1,25.0,236.6,207,7,158,365,1156.0,10682.0,40.0,369.2,0.322,0.345,12.8,118.7,13.8,127.2,29,6,61,90,Essaouira,Morocco,MA,Africa
413051,Your studio on a roof terrace.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDEzMDUx/original/880e9000-f8db-4d66-a49d-f8eace71b2d5.jpeg,17.0,2019898,Adeline,,,True,31.5134,-9.7596,2.0,2.0,1.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,Books and reading material,Wifi,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Coffee maker,Baking sheet,Beach access,Laundromat nearby,Patio or balcony,Free parking on premises,Free street parking,Smoking allowed",,False,2,Moderate,MAD,5.0,0.0,293,4.76,4.8,4.9,4.7,4.9,4.7,4.8,7754.0,73017.0,27.1,254.9,0.762,0.906,20.6,194.4,24.5,231.1,278,58,87,365,2262.0,20903.0,29.5,272.2,0.833,0.843,24.6,227.7,24.9,230.2,75,1,15,90,Essaouira,Morocco,MA,Africa
