listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1096940,"Great Villa El Gouna, Egypt, Red Sea",Entire home,entire_home,https://a0.muscache.com/im/pictures/23361112/b90d8807_original.jpg,30,5514775,Simon,,,False,27.396,33.6748,6,3.0,3.0,2.0,False,"Stove,TV,Washer,Wifi,Patio or balcony,Air conditioning,Backyard,Pool,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Pets allowed,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven",False,False,1.0,Moderate,EGP,39.0,0.0,271,4.55,4.7,4.7,4.3,4.7,4.7,4.7,16892,842069,130.6,6515.0,0.329,0.344,43.7,2180.1,45.7,2280.1,120,16,245,365,2901,143591,123.0,6086.0,0.244,0.0,30.1,1488.2,0.0,0.0,22,0,68,90,Gamsha,Egypt,EG,Africa
1282844,Villa with 5 bed & 4 bath / private pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/a395a3c5-862c-46f9-96aa-a697620e8268.jpg,28,6979056,Vincent,,,False,27.3825,33.6784,10,5.0,8.0,4.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Essentials,Long term stays allowed,Hangers,Iron,Private entrance,Bathtub",True,False,4.0,Firm,EGP,144.0,0.0,34,4.68,4.7,4.7,4.7,4.8,4.8,4.5,6178,309358,295.4,14720.5,0.052,0.12,15.0,749.9,34.5,1732.4,19,207,346,365,0,0,298.6,14781.6,0.0,0.0,0.0,0.0,0.0,0.0,0,55,90,90,Gamsha,Egypt,EG,Africa
1308643,Beit Matta - El Gouna - Sabina,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1308643/original/8c0d6624-66fc-4bc2-8a46-f4c862d99f7e.jpeg,41,63740984,Monica,"2,612,758,577,896,610","Peter,Farid",True,27.3819,33.6698,3,2.0,2.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Theme room,High chair,Board games,Air conditioning,Ceiling fan,Heating,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Coffee,Waterfront,Beach access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Outdoor furniture,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,EGP,129.0,0.0,44,4.84,4.8,4.9,4.8,4.8,4.7,4.6,20580,1026419,114.2,5691.2,0.433,0.467,49.0,2444.8,52.9,2640.0,158,27,207,365,4603,227837,154.1,7627.6,0.267,0.381,42.5,2105.9,60.8,3008.4,24,27,66,90,Gamsha,Egypt,EG,Africa
4087418,Stunning 2BDR Sea View in the Heart of the Marina!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4087418/original/9096d9db-2bd7-49e5-80b8-cb587acb96f9.jpeg,35,20835355,Mia,,,False,27.4079,33.6768,4,2.0,3.0,2.0,False,"Smoking allowed,Gym,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Air conditioning,Ceiling fan,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Waterfront,Laundromat nearby,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Elevator,Gym,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Firm,EGP,29.0,0.0,78,4.96,5.0,5.0,5.0,5.0,5.0,4.9,27288,1359329,104.8,5225.8,0.688,0.0,72.3,3602.3,0.0,0.0,251,0,114,365,6262,309947,98.6,4882.6,0.678,0.0,66.4,3284.4,0.0,0.0,61,0,29,90,Gamsha,Egypt,EG,Africa
4462227,Relax in Luxury Apartment El Gouna.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/56459745/0d0999d6_original.jpg,111,18670868,Adel,,,False,27.3885,33.6821,2,1.0,1.0,1.0,False,"TV,Washer,Cable TV,Dryer,Beach access,Air conditioning,Pool,Kitchen,Essentials,Free parking on premises,Heating",,False,30.0,Firm,EGP,,,8,4.88,4.4,5.0,5.0,4.5,4.6,4.6,2345,117937,57.7,2882.3,0.082,0.085,6.4,323.1,6.6,334.1,30,12,335,365,269,13314,44.8,2215.2,0.067,0.0,3.0,147.9,0.0,0.0,6,0,84,90,Gamsha,Egypt,EG,Africa
6720504,GOUNA Scarab Ground Floor with terrace on pool,Entire condo,entire_home,https://a0.muscache.com/im/pictures/84837678/8af457c5_original.jpg,20,35190643,Kamel,,,False,27.4023,33.6561,4,1.0,2.0,1.0,False,"Hot water,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,Air conditioning,Heating,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Private entrance,Resort access,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Pool,Single level home,Smoking allowed,Long term stays allowed",,False,3.0,Strict,EGP,25.0,0.0,113,4.81,4.9,4.9,4.7,5.0,4.6,4.8,1997,99850,70.2,3502.1,0.063,0.0,5.1,253.2,0.0,0.0,23,0,342,365,397,19650,65.6,3248.7,0.056,0.0,4.1,204.6,0.0,0.0,5,0,85,90,Gamsha,Egypt,EG,Africa
7367974,Cozy place with an Amazing View,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7367974/original/50bdd308-2b05-4134-9692-f82da05b998d.jpeg,15,38606938,Ahmed,,,False,27.385,33.6665,3,1.0,1.0,1.0,False,"TV,Washer,Beach access,Patio or balcony,Air conditioning,Lake access,Pool,Kitchen,Free parking on premises,Iron,Dedicated workspace,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics",False,False,4.0,Flexible,EGP,0.0,0.0,2,,,,,,,,1448,72846,68.4,3404.8,0.088,0.0,4.0,199.6,0.0,0.0,32,0,333,365,0,0,98.0,4849.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Gamsha,Egypt,EG,Africa
7677341,EL GOUNA Scarab Club 1 bedroom,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7677341/original/ed6548e2-e8f8-40b2-bd70-994e80df94a4.jpeg,15,40277944,Peter,,,False,27.3931,33.6482,4,1.0,1.0,1.0,False,"Washer,TV,Air conditioning,Wifi,Kitchen,BBQ grill,Free parking on premises,Pool,Pets allowed,Smoking allowed",,False,,Moderate,EGP,0.0,0.0,4,5.0,5.0,5.0,5.0,5.0,4.8,5.0,2665,132831,71.6,3571.3,0.082,0.101,7.3,363.9,8.9,445.7,30,67,335,365,1299,64297,79.8,3948.2,0.133,0.194,14.4,714.4,21.0,1037.0,12,28,78,90,Gamsha,Egypt,EG,Africa
9195394,Magical White Villa,Entire home,entire_home,https://a0.muscache.com/im/pictures/2f636a2f-e5c4-4121-aa90-3d5e61350e44.jpg,29,47834580,Hamza,,,False,27.3895,33.679,9,3.0,4.0,2.5,False,"Cable TV,Pool,Pets allowed,Gym,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Mosquito net,Clothing storage,TV,Books and reading material,Air conditioning,Heating,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Trash compactor,Barbecue utensils,Dining table,Coffee,Bread maker,Beach access,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Pool,EV charger,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,EGP,81.0,0.0,167,4.83,4.8,4.8,4.7,5.0,4.8,4.7,28318,1413360,361.4,18010.3,0.184,0.0,74.3,3707.5,0.0,0.0,67,0,298,365,3838,189971,367.3,18182.4,0.078,0.0,41.7,2066.2,0.0,0.0,7,0,83,90,Gamsha,Egypt,EG,Africa
11159193,"Cozy 2 Bedroom Apartment, El Gouna",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11159193/original/97f7ff5d-d34e-4da5-9d8e-9a92fd893280.jpeg,11,22499627,Seifeldin,,,False,27.3948,33.6429,5,2.0,3.0,2.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Dining table,Free parking on premises,Pool,Pets allowed",,False,2.0,Firm,EGP,20.0,0.0,4,5.0,5.0,5.0,5.0,5.0,4.8,5.0,3230,159877,98.3,4901.3,0.085,0.217,8.6,424.5,21.9,1083.4,31,222,334,365,0,0,99.3,4912.9,0.0,0.0,0.0,0.0,0.0,0.0,0,55,90,90,Gamsha,Egypt,EG,Africa
