listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
19871,Guest suite for traveling couple/student/work,Private room in home,private_room,https://a0.muscache.com/im/pictures/1f2e8886-274e-44ba-8c86-85d60ba2e163.jpg,19.0,74953,Antionette,,,False,-34.1873,22.1131,,,1.0,0.0,False,"Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Indoor fireplace,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Backyard,BBQ grill,Free parking on premises,Smoking allowed,Long term stays allowed",,False,1.0,Firm,ZAR,0.0,0.0,43,4.88,4.8,4.9,4.8,4.9,4.7,4.7,1076.0,19901.0,30.4,552.9,0.099,0.113,2.9,54.5,3.4,62.6,36,47,329,365,29.0,522.0,31.1,560.0,0.011,0.023,0.3,5.8,0.7,12.1,1,47,89,90,George,South Africa,ZA,Africa
71161,WaterfrontCabin&Restaurant@OldMill 2adult2children,Private room in nature lodge,private_room,https://a0.muscache.com/im/pictures/a41c59af-0a91-41d7-a83c-3694fcdf58bf.jpg,22.0,362978,Doret,,,False,-33.5804,22.202,4.0,1.0,2.0,1.0,False,"High chair,TV,Cable TV,Wifi,Waterfront,Air conditioning,Pool,Crib,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Refrigerator,Heating,Washer,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Dedicated workspace,Baby bath",True,False,1.0,Moderate,ZAR,0.0,0.0,69,4.49,4.5,4.7,4.8,4.5,4.7,4.6,7624.0,140082.0,107.9,1966.4,0.173,0.0,20.9,383.8,0.0,0.0,63,0,302,365,1422.0,25596.0,95.0,1710.5,0.178,0.0,15.8,284.4,0.0,0.0,16,0,74,90,George,South Africa,ZA,Africa
78549,Farmgästehaus Straussennest Oudtshoorn,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/61811b52-fbff-4690-a2f1-f4e92662849b.jpg,32.0,422030,Dario,,,True,-33.505,22.0211,4.0,1.0,4.0,1.0,False,"Essentials,Fire extinguisher,First aid kit,Free parking on premises,Breakfast,Smoking allowed",,False,1.0,Moderate,ZAR,0.0,0.0,100,4.87,5.0,4.9,4.8,4.9,4.8,4.9,13749.0,250436.0,60.6,1102.6,0.627,0.664,37.7,686.1,39.9,725.9,229,20,136,365,3491.0,62838.0,63.3,1140.2,0.633,0.814,38.8,698.2,49.9,897.7,57,20,33,90,George,South Africa,ZA,Africa
135789,Stannards Guest Lodge - Standard Double bed,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/860967/56729a03_original.jpg,55.0,665476,Lezelda,,,False,-34.0608,23.0827,,6.0,8.0,0.0,False,"Breakfast,TV,Wifi,Pool,Free parking on premises,Indoor fireplace,Heating",,False,1.0,Refundable,ZAR,0.0,41.0,19,4.61,4.8,4.8,4.8,4.4,4.7,4.5,3707.0,68153.0,78.8,1438.8,0.115,0.218,10.2,186.7,19.2,353.1,42,172,323,365,136.0,2448.0,65.8,1183.6,0.022,0.095,1.5,27.2,6.5,116.6,2,69,88,90,George,South Africa,ZA,Africa
230179,Beachfront Home in Plett,Entire home,entire_home,https://a0.muscache.com/im/pictures/2111970/a9c9defe_original.jpg,30.0,1202749,Steve,,,False,-34.0663,23.3745,12.0,7.0,12.0,5.0,False,"Cable TV,TV,Gym,Pets allowed,Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Exercise equipment,Pool table,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Board games,Indoor fireplace,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Barbecue utensils,Dining table,Waterfront,Beach access,Lake access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed",,False,10.0,Flexible,ZAR,89.0,0.0,23,4.83,4.9,5.0,5.0,5.0,5.0,4.7,34125.0,630800.0,781.7,14227.5,0.107,0.124,92.3,1706.3,107.3,1983.4,39,51,326,365,3723.0,66994.0,719.3,12943.9,0.056,0.128,40.4,726.6,93.2,1676.7,5,51,85,90,George,South Africa,ZA,Africa
282554,Studio Cottage,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2999312/feaffa9e_original.jpg,5.0,1472719,Hendrik Jan,,,False,-34.0333,23.0505,2.0,1.0,1.0,1.0,False,"TV,Wifi,Fire extinguisher,Kitchen,Essentials,Free parking on premises,Lock on bedroom door,Pets allowed,Hangers,Hair dryer,Hot water,Iron,Heating",,False,1.0,Firm,ZAR,16.0,0.0,14,4.79,4.9,4.8,4.9,5.0,5.0,4.9,1522.0,27396.0,57.0,1037.8,0.071,0.0,4.0,72.7,0.0,0.0,26,0,339,365,505.0,9090.0,53.8,967.6,0.1,0.0,5.4,97.8,0.0,0.0,9,0,81,90,George,South Africa,ZA,Africa
282555,Main Cottage with balcony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2999389/bb97cf05_original.jpg,11.0,1472719,Hendrik Jan,,,False,-34.0338,23.0494,4.0,2.0,3.0,2.5,False,"TV,Wifi,Kitchen,Essentials,Free parking on premises,Pets allowed,Hangers,Hair dryer,Heating,Iron",True,False,2.0,Firm,ZAR,17.0,0.0,12,4.9,5.0,5.0,5.0,4.9,4.8,4.7,1624.0,29607.0,66.1,1203.2,0.063,0.072,4.2,76.1,4.7,86.5,23,44,342,365,433.0,7794.0,66.9,1203.8,0.067,0.095,4.4,79.8,6.3,114.0,6,27,84,90,George,South Africa,ZA,Africa
588112,Redstone Hills - Bushman Cottage,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/7333518/bc9531a1_original.jpg,15.0,2900805,Petro,,,True,-33.4996,21.8664,6.0,3.0,5.0,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Barbecue utensils,Private entrance",,False,1.0,Refundable,ZAR,0.0,12.0,140,4.79,4.7,4.8,4.8,4.8,4.9,4.8,7399.0,134362.0,50.3,915.2,0.408,0.427,20.3,368.1,21.2,385.0,149,16,216,365,2150.0,38700.0,53.5,963.8,0.467,0.568,23.9,430.0,29.1,523.0,42,16,48,90,George,South Africa,ZA,Africa
718467,Knysna Manor House - Single Rooms,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-718467/original/0070f560-ee3c-4e0c-b809-e043ebdcb03b.jpeg,47.0,3705823,Gail,,,False,-34.034,23.0453,,,1.0,0.0,False,"TV,Wifi,Smoking allowed,Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Extra pillows and blankets,TV,Indoor fireplace,Heating,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Hot water kettle,Coffee maker,Wine glasses,Dining table,Coffee,Patio or balcony,Backyard,BBQ grill,Sun loungers,Free street parking,Luggage dropoff allowed,Breakfast,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,ZAR,9.0,0.0,58,4.7,4.8,4.8,4.7,4.8,4.7,4.8,2888.0,52412.0,43.4,790.7,0.167,0.0,7.5,136.0,0.0,0.0,61,0,304,365,1021.0,18378.0,44.8,805.6,0.222,0.0,10.7,193.4,0.0,0.0,20,0,70,90,George,South Africa,ZA,Africa
774674,"Twinpalms - SuperHosts, Safe Area & Great Views !",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/108676525/2101394e_original.jpg,39.0,4086908,Mark & Liz,,,True,-34.0313,23.0342,5.0,2.0,4.0,1.0,False,"Smoking allowed,Wifi,Gym,Kitchen,Free parking on premises,TV,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Window guards,Babysitter recommendations,Ceiling fan,Heating,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Waterfront,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,ZAR,12.0,0.0,534,4.96,5.0,5.0,5.0,5.0,5.0,4.9,26485.0,479265.0,126.8,2303.9,0.534,0.694,71.7,1298.3,93.2,1686.4,195,84,170,365,12208.0,219675.0,171.8,3092.2,0.767,0.784,134.3,2416.8,137.4,2471.8,69,2,21,90,George,South Africa,ZA,Africa
