listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
359051,Apartment to rent - Modern & Classy,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/8439a84c-ac2c-46db-85ee-ab79186a233a.jpg,13.0,1804710,Pieter,,,False,-33.9821,25.5882,3.0,1.0,2,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance,Baby bath",False,False,2.0,Firm,ZAR,0,0.0,77.0,4.54,4.6,4.9,4.7,4.6,4.7,4.6,1195.0,21537.0,48.4,879.5,0.063,0.09,3.3,59.0,4.7,84.1,23,109,342,365,750.0,13500.0,50.1,902.2,0.156,0.0,8.3,150.0,0.0,0.0,14,0,76,90,Gqeberha,South Africa,ZA,Africa
359070,COTTAGE TO RENT - Modern & Classy,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/c6709593-c187-475c-96f9-2bbb1e8cc504.jpg,15.0,1804710,Pieter,,,False,-33.982,25.5893,4.0,1.0,2,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Essentials,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Baby bath",True,False,2.0,Firm,ZAR,0,0.0,46.0,4.5,4.5,4.7,4.4,4.7,4.4,4.5,3547.0,64670.0,53.1,965.9,0.184,0.192,9.7,177.2,10.2,185.3,67,16,298,365,0.0,0.0,52.7,948.0,0.0,0.0,0.0,0.0,0.0,0.0,0,16,90,90,Gqeberha,South Africa,ZA,Africa
863313,Keiskama B & B (Twin room),Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/e0a52cd0-46c2-452f-acf2-3ec2bbcfbf8a.jpg,9.0,4527312,Charmaine,,,False,-33.9904,25.6577,2.0,1.0,2,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Private entrance,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Firm,ZAR,0,36.0,7.0,4.86,5.0,4.9,4.7,5.0,5.0,5.0,1239.0,22302.0,50.5,918.8,0.066,0.0,3.4,61.1,0.0,0.0,24,0,341,365,846.0,15228.0,50.9,916.4,0.178,0.0,9.4,169.2,0.0,0.0,16,0,74,90,Gqeberha,South Africa,ZA,Africa
1500869,Beachfront Accommodation At-Staplus,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/e57e6e40-09fe-4c91-980a-105c437f7236.jpg,7.0,7998581,Cornelia,,,False,-33.9879,25.6701,2.0,1.0,2,1.0,False,"TV,Cable TV,Wifi,Pool,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Shampoo,Hangers,Hair dryer,Hot water,Iron,Breakfast,Private entrance,Refrigerator",False,False,1.0,Firm,ZAR,0,0.0,42.0,4.66,4.6,4.7,4.8,4.8,4.7,4.6,690.0,12420.0,45.1,820.8,0.041,0.0,1.9,34.0,0.0,0.0,15,0,350,365,690.0,12420.0,44.3,797.0,0.167,0.0,7.7,138.0,0.0,0.0,15,0,75,90,Gqeberha,South Africa,ZA,Africa
2579260,"Private, Peaceful, Safe, Secure & No Loadshedding!",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjU3OTI2MA%3D%3D/original/0941168b-40f1-431e-ae93-0c0c2b84e241.jpeg,34.0,13210477,David,,,True,-33.9682,25.5058,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Books and reading material,Window guards,Portable fans,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Barbecue utensils,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,ZAR,0,0.0,680.0,4.8,4.9,5.0,4.9,4.9,4.9,4.8,2427.0,44060.0,25.5,464.4,0.258,0.0,6.6,120.7,0.0,0.0,94,0,271,365,1000.0,18000.0,26.4,474.4,0.422,0.0,11.1,200.0,0.0,0.0,38,0,52,90,Gqeberha,South Africa,ZA,Africa
4765528,Self-catering garden cottage,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/003566ba-d4eb-40bc-86d7-a24c94047465.jpg,25.0,23989829,Gavin,,,False,-33.981,25.5701,2.0,1.0,2,1.0,False,"Wifi,Pool,Crib,Kitchen,Free parking on premises,Pets allowed,Hot water,Body soap,Bed linens,Free street parking,Outdoor furniture,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Single level home,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Private entrance,Bathtub",,False,2.0,Flexible,ZAR,0,0.0,9.0,4.89,4.8,5.0,4.8,5.0,4.9,4.8,1106.0,19908.0,51.8,943.7,0.058,0.085,3.0,54.5,4.5,80.3,21,117,344,365,401.0,7218.0,49.2,884.8,0.089,0.0,4.5,80.2,0.0,0.0,8,0,82,90,Gqeberha,South Africa,ZA,Africa
7311730,Luxurious garden cottage in Walmer,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/c31d06f8-17e3-4685-b202-c9574f72402f.jpg,5.0,38308394,Debbie,,,False,-33.9774,25.5745,,,1,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Hot tub,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,ZAR,4,0.0,34.0,4.88,4.9,5.0,5.0,4.9,5.0,4.9,1191.0,21438.0,45.7,831.7,0.071,0.09,3.2,58.1,4.1,73.7,26,77,339,365,1191.0,21438.0,45.2,813.0,0.289,0.299,13.1,235.8,13.6,243.9,26,3,64,90,Gqeberha,South Africa,ZA,Africa
7781628,Summerside Cottage,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/f0935e8b-f40e-425e-bd13-a885ea911ead.jpg,13.0,40943585,Cecile,,,True,-33.9958,25.6617,4.0,2.0,3,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Private entrance,Backyard,Free parking on premises,Pool",,False,1.0,Moderate,ZAR,0,21.0,397.0,4.91,4.9,5.0,5.0,5.0,4.9,4.9,2934.0,53172.0,34.6,630.2,0.227,0.371,8.0,145.7,13.1,237.4,83,141,282,365,1632.0,29376.0,36.6,658.0,0.5,0.517,18.1,326.4,18.8,337.7,45,3,45,90,Gqeberha,South Africa,ZA,Africa
7959838,"Summerstrand Studio, Port Elizabeth.",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-7959838/original/fa4a8640-c75f-4360-b668-9b6f31cd052c.jpeg,24.0,41981646,Robert,,,True,-33.9958,25.6596,2.0,1.0,1,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Mosquito net,TV,Books and reading material,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Pool",,False,1.0,Moderate,ZAR,3,12.0,274.0,4.9,4.9,5.0,5.0,4.9,4.9,5.0,2557.0,46239.0,30.9,563.4,0.225,0.23,6.9,124.0,7.0,127.2,82,9,283,365,786.0,14148.0,28.6,514.6,0.3,0.333,8.6,154.2,9.5,171.3,27,9,63,90,Gqeberha,South Africa,ZA,Africa
8394253,Susan's Self Catering,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-8394253/original/81fe5b81-4567-47f5-a58a-4620f4c3931f.jpeg,10.0,44144669,Susan,,,True,-33.9831,25.633,4.0,1.0,3,1.0,False,"Hot water,Essentials,Hangers,TV,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Backyard,Free parking on premises,Long term stays allowed",,False,3.0,Flexible,ZAR,6,0.0,126.0,4.88,4.9,5.0,4.9,5.0,4.5,4.8,3898.0,71351.0,21.7,394.3,0.477,0.582,10.3,188.4,12.6,230.0,174,66,191,365,665.0,11970.0,23.5,423.4,0.3,0.391,7.1,128.2,9.3,167.2,27,21,63,90,Gqeberha,South Africa,ZA,Africa
