listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
139231,Beautiful beachfront holiday home,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/21598786/c95691d4_original.jpg,81,74991,Roman,,,False,-30.6262,30.5442,10.0,4.0,10,3.0,False,"Cable TV,Bathtub,Cleaning products,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Air conditioning,Ceiling fan,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Waterfront,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Pets allowed,Long term stays allowed",,False,2.0,Firm,ZAR,12,0.0,11.0,4.09,4.5,4.5,4.4,4.6,4.5,3.9,3306.0,59489.0,169.0,3073.5,0.052,0.056,8.9,160.0,9.6,172.8,19,27,346,365,579.0,10419.0,184.1,3313.4,0.033,0.041,6.3,113.4,7.8,139.8,3,17,87,90,Hibiscus Coast,South Africa,ZA,Africa
2437828,The Beaches - Marine Cottage (First Floor Unit),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2437828/original/6b043e6c-4de3-4faa-bbe9-2e644b784adb.jpeg,28,12461038,Lorraine,"565127553,567830084","Lloyd,Jezanne",False,-30.7161,30.4766,4.0,2.0,3,1.0,False,"TV,Cable TV,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Bathtub,Blender,Window guards,Pack ’n play/Travel crib,Hot water,Body soap,Outdoor shower,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Long term stays allowed,Cleaning before checkout,Baking sheet,Barbecue utensils,Sun loungers,Toaster",,False,2.0,Moderate,ZAR,0,0.0,50.0,4.82,4.8,5.0,4.7,4.9,4.8,4.8,9237.0,169105.0,64.8,1178.6,0.4,0.445,25.3,463.3,28.2,515.6,146,37,219,365,997.0,17946.0,67.0,1206.6,0.189,0.315,11.1,199.4,18.5,332.3,17,36,73,90,Hibiscus Coast,South Africa,ZA,Africa
2798216,"Beach Front Double Room w/Ocean Views, B&B",Shared room in bed and breakfast,shared_room,https://a0.muscache.com/im/pictures/miso/Hosting-2798216/original/44828b5c-9e39-46e2-acd0-bedefffe3758.jpeg,34,6760504,Ali,,,True,-30.6189,30.5482,,,1,0.0,False,"Cable TV,Hot water,Washer,Dryer,Essentials,Hangers,Iron,Books and reading material,Crib,Children’s books and toys,Children’s dinnerware,Board games,Ceiling fan,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Waterfront,Beach access,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Luggage dropoff allowed",,False,1.0,Strict,ZAR,0,0.0,11.0,4.91,5.0,4.9,4.9,4.8,5.0,4.8,1787.0,32446.0,43.9,798.7,0.112,0.122,4.9,88.9,5.3,96.3,41,28,324,365,313.0,5634.0,44.0,792.4,0.078,0.113,3.5,62.6,5.0,90.9,7,28,83,90,Hibiscus Coast,South Africa,ZA,Africa
2798577,"Beach Front Dorm Room, shared room or private Room",Shared room in bed and breakfast,shared_room,https://a0.muscache.com/im/pictures/miso/Hosting-2798577/original/e6ec7da1-338c-4072-a722-455e18c55304.jpeg,19,6760504,Ali,,,True,-30.62,30.5475,,,5,0.0,False,"Wifi,Waterfront,Crib,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Hot water,Outdoor shower,Extra pillows and blankets,Outdoor furniture,Microwave,Hammock,Coffee maker,Indoor fireplace,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Beach access,BBQ grill,Patio or balcony,Backyard,Beach essentials,Fire extinguisher,Essentials,Hangers,Dining table,Iron,Dedicated workspace,Outdoor dining area,Toaster,Bathtub",,False,1.0,Non-refundable,ZAR,0,0.0,9.0,5.0,4.9,4.8,5.0,4.9,4.9,5.0,257.0,4707.0,14.2,257.7,0.047,0.05,0.7,12.9,0.8,13.8,17,24,348,365,0.0,0.0,12.6,227.4,0.0,0.0,0.0,0.0,0.0,0.0,0,24,90,90,Hibiscus Coast,South Africa,ZA,Africa
4315680,The Tweni Beach Cottage,Entire home,entire_home,https://a0.muscache.com/im/pictures/b1e042cd-0887-4911-b81d-5efe7bd23f05.jpg,20,8620938,Caryn,"8508413,13314235,62421139","Andre,Callan,Caryn",False,-30.7116,30.4796,10.0,5.0,13,3.5,False,"Gym,Cable TV,Bathtub,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Crib,Window guards,Board games,Ceiling fan,Portable fans,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,ZAR,31,0.0,27.0,4.85,4.8,4.9,4.9,4.8,4.9,4.8,18746.0,340713.0,173.6,3154.2,0.279,0.285,50.4,916.6,51.4,934.6,102,7,263,365,7482.0,134641.0,200.8,3612.6,0.389,0.0,81.4,1465.0,0.0,0.0,35,0,55,90,Hibiscus Coast,South Africa,ZA,Africa
4842858,The Beaches - Garden Cottage (Ground Floor Unit),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDg0Mjg1OA%3D%3D/original/b3d9c3c4-1b61-4ed5-a768-96f6fb7047db.jpeg,16,12461038,Lorraine,"565127553,567830084","Lloyd,Jezanne",False,-30.7128,30.477,2.0,1.0,1,1.0,False,"Bathtub,Hair dryer,Cleaning products,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Pack ’n play/Travel crib,Window guards,Ceiling fan,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Coffee,Waterfront,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,ZAR,0,0.0,175.0,4.86,4.8,4.9,4.9,5.0,4.9,4.9,10571.0,192431.0,44.5,809.7,0.649,0.0,29.0,527.2,0.0,0.0,237,0,128,365,3317.0,59706.0,45.8,824.8,0.811,0.0,36.9,663.4,0.0,0.0,73,0,17,90,Hibiscus Coast,South Africa,ZA,Africa
5036011,Sea LaVie,Entire condo,entire_home,https://a0.muscache.com/im/pictures/63042102/faac7dfc_original.jpg,81,3317628,Marc,,,False,-30.5737,30.5762,6.0,3.0,5,2.0,False,"TV,Cable TV,Window guards,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Children’s dinnerware,Ceiling fan,Hot water,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Single level home,Beach access,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Safe,Hangers,Dining table,Barbecue utensils,Outdoor dining area,Freezer,Private entrance,Toaster",,False,2.0,Firm,ZAR,38,0.0,1.0,,,,,,,,6251.0,113195.0,138.4,2518.7,0.121,0.132,16.4,297.0,18.0,325.5,44,32,321,365,0.0,0.0,139.4,2508.8,0.0,0.0,0.0,0.0,0.0,0.0,0,29,90,90,Hibiscus Coast,South Africa,ZA,Africa
5950796,Sea views. Spacious self-catering villa,Entire villa,entire_home,https://a0.muscache.com/im/pictures/9e5fc32e-30a1-4a23-877b-925ba136c8d9.jpg,96,30893364,Lynda,,,False,-31.0595,30.2197,8.0,4.0,7,0.0,False,"Cable TV,Bathtub,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Pack ’n play/Travel crib,Baby safety gates,Air conditioning,Heating,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Beach access,Resort access,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Gym",,False,2.0,Firm,ZAR,31,0.0,20.0,4.8,4.8,4.7,4.7,5.0,5.0,4.7,6353.0,114318.0,312.6,5684.7,0.055,0.0,17.2,310.1,0.0,0.0,20,0,345,365,4506.0,81082.0,324.3,5835.8,0.156,0.0,49.4,888.5,0.0,0.0,14,0,76,90,Hibiscus Coast,South Africa,ZA,Africa
7418359,Beachfront Home Ramsgate KZN South Coast,Entire home,entire_home,https://a0.muscache.com/im/pictures/de5e43de-d740-4173-86f6-0af7c075b819.jpg,33,38860869,Stephen,538664328,Joshua,False,-30.8766,30.3606,8.0,4.0,5,3.0,False,"TV,Cable TV,Children’s books and toys,Wifi,Waterfront,Kitchen,Free parking on premises,Hot water,Bed linens,Hot tub,Microwave,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Iron,Dedicated workspace,Outdoor dining area",False,,6.0,Firm,ZAR,45,0.0,13.0,4.62,4.8,4.6,4.8,5.0,4.8,4.7,2058.0,37032.0,166.4,3027.7,0.033,0.034,5.4,97.0,5.6,101.5,12,16,353,365,0.0,0.0,168.2,3026.6,0.0,0.0,0.0,0.0,0.0,0.0,0,16,90,90,Hibiscus Coast,South Africa,ZA,Africa
7909308,Large Holiday house with sea view,Entire home,entire_home,https://a0.muscache.com/im/pictures/56b24bf1-ec37-410d-99c5-00bd71b92256.jpg,19,23208530,John,,,False,-30.9649,30.2937,10.0,5.0,10,3.0,False,"TV,Cable TV,Ping pong table,Wifi,Pool,Kitchen,Board games,Free parking on premises,Pool table,Books and reading material,Ceiling fan,Pets allowed,Hot water,Mini fridge,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sun loungers,Toaster",False,False,4.0,Firm,ZAR,0,0.0,46.0,4.8,4.8,4.9,4.3,4.8,4.7,4.8,7756.0,141525.0,162.8,2960.3,0.132,0.152,21.2,387.7,24.5,447.9,48,49,317,365,518.0,9321.0,172.2,3098.6,0.033,0.056,5.8,103.6,9.6,172.6,3,36,87,90,Hibiscus Coast,South Africa,ZA,Africa
