listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
28975,B&B on 8th Avenue - Giraffe Room,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/70640516/32297d84_original.jpg,81.0,122521,Denise,,,False,-26.174,28.0111,,,1.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Dryer,Smoke alarm,BBQ grill,First aid kit,Backyard,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance",False,,2.0,Moderate,ZAR,0.0,13.0,76,4.86,4.9,5.0,4.9,4.9,4.8,4.8,790.0,14289.0,34.4,625.7,0.063,0.067,2.2,39.1,2.3,41.7,23,22,342,365,338.0,6084.0,33.2,596.8,0.111,0.0,3.8,67.6,0.0,0.0,10,0,80,90,Johannesburg,South Africa,ZA,Africa
271146,Apartment in leafy upmarket suburb,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/26fb6566-9b62-4e91-ad88-23e29e62231c.jpg,22.0,1332905,Peter,,,True,-26.1478,28.0048,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Portable fans,Heating,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Private entrance,Laundromat nearby,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,5.0,Moderate,ZAR,12.0,7.0,109,4.89,4.9,5.0,4.9,5.0,4.9,4.9,4782.0,87474.0,23.8,432.4,0.542,0.637,12.7,232.0,14.9,272.2,198,54,167,365,1231.0,22158.0,23.8,428.0,0.544,0.653,13.0,234.2,15.6,281.0,49,15,41,90,Johannesburg,South Africa,ZA,Africa
631261,B&B on 8th Avenue - Hadeda Room,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-631261/original/0a878418-c6db-4512-9a19-78158ecba15f.jpg,110.0,122521,Denise,,,False,-26.1739,28.0104,,,1.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,,2.0,Moderate,ZAR,0.0,12.0,55,4.89,5.0,5.0,4.9,5.0,4.8,4.9,2705.0,49522.0,34.2,622.6,0.216,0.249,7.4,135.7,8.5,156.2,79,48,286,365,464.0,8352.0,33.0,593.4,0.156,0.0,5.2,92.8,0.0,0.0,14,0,76,90,Johannesburg,South Africa,ZA,Africa
993458,The Corner  House  -  house with solar,Entire home,entire_home,https://a0.muscache.com/im/pictures/f8b2f0ef-0d15-47ca-92c1-2b0482745045.jpg,51.0,5457662,Helen,,,True,-26.1681,28.0207,7.0,3.0,5.0,2.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Changing table,Fireplace guards,Outlet covers,Indoor fireplace,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,ZAR,30.0,0.0,27,4.81,4.8,4.9,5.0,5.0,4.9,4.8,7782.0,141230.0,132.2,2401.9,0.159,0.192,20.7,376.6,25.1,455.1,58,63,307,365,1644.0,29582.0,150.4,2706.0,0.111,0.244,17.3,310.7,37.9,682.0,10,49,80,90,Johannesburg,South Africa,ZA,Africa
995602,"Remote Corner B&B, Parkview",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-995602/original/814e1616-7f35-4f2f-a492-757bad0dd833.jpeg,70.0,5457662,Helen,,,True,-26.1678,28.0204,,5.0,8.0,0.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Baby bath,Portable fans,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Pocket wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Free parking on premises,Free street parking,Pool,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,ZAR,0.0,30.0,94,4.86,4.9,4.9,5.0,5.0,4.9,4.9,2544.0,46338.0,41.6,756.5,0.17,0.21,7.0,127.0,8.6,157.1,62,70,303,365,556.0,10008.0,44.1,793.0,0.144,0.173,6.2,111.2,7.4,133.4,13,15,77,90,Johannesburg,South Africa,ZA,Africa
1482545,Vibrant Urban Retreat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTQ4MjU0NQ==/original/293bcc3b-7358-46a0-94f8-b7ef7ad2e2db.jpeg,27.0,3163540,Sithabile,419181683,Kenneth,False,-26.2049,28.0594,2.0,1.0,2.0,1.0,False,"Wine glasses,TV,Washer,Exercise equipment,Shower gel,Wifi,Luggage dropoff allowed,Kitchen,Long term stays allowed,Hot water kettle,Books and reading material,Portable fans,Hot water,Dedicated workspace,Body soap,Mosquito net,Bed linens,Microwave,Bathtub,Heating,Oven,Paid parking on premises",False,False,2.0,Flexible,ZAR,14.0,0.0,1,,,,,,,,906.0,16388.0,40.3,732.8,0.052,0.232,2.3,42.1,10.4,187.6,19,283,346,365,779.0,14022.0,46.5,837.6,0.178,0.327,8.2,147.4,15.0,270.7,16,41,74,90,Johannesburg,South Africa,ZA,Africa
2174279,Amongst the Trees,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/111479184/d41fadc4_original.jpg,46.0,9982835,John,,,True,-26.1558,28.0053,4.0,1.0,4.0,1.5,False,"TV,Cable TV,Wifi,Lake access,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Bathtub,Fireplace guards,Crib,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",,False,1.0,Flexible,ZAR,0.0,13.0,218,4.9,4.9,5.0,5.0,4.9,4.9,4.9,8893.0,162805.0,47.9,871.4,0.51,0.522,24.4,446.0,25.0,457.3,186,9,179,365,2522.0,45396.0,49.0,882.0,0.567,0.0,28.0,504.4,0.0,0.0,51,0,39,90,Johannesburg,South Africa,ZA,Africa
2522636,Spacious Studio Room - Private double en suite,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/8a263259-0617-4a00-9e55-def01c8973ed.jpg,15.0,12916108,Carlo,,,True,-26.1424,27.9968,2.0,1.0,2.0,1.0,False,"Wifi,Air conditioning,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Books and reading material,Portable fans,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,ZAR,0.0,12.0,76,4.86,4.8,4.9,4.9,4.9,4.9,4.9,3496.0,64157.0,21.1,384.7,0.455,0.472,9.6,175.8,9.9,182.3,166,13,199,365,586.0,10548.0,21.6,388.2,0.3,0.351,6.5,117.2,7.6,137.0,27,13,63,90,Johannesburg,South Africa,ZA,Africa
2649529,B&B on 8th Avenue - Guinea Fowl Room,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-2649529/original/3fe06b1d-7dbb-4fb2-b539-eb36824ef126.jpg,129.0,122521,Denise,,,False,-26.1736,28.0104,,,3.0,0.0,False,"TV,Cable TV,Children’s books and toys,Wifi,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Hot water,Body soap,Conditioner,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Washer,Dryer,Smoke alarm,BBQ grill,Shower gel,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,,2.0,Moderate,ZAR,0.0,12.0,51,4.96,5.0,5.0,5.0,5.0,4.9,4.9,616.0,11088.0,34.4,625.3,0.049,0.052,1.7,30.4,1.8,32.0,18,18,347,365,334.0,6012.0,33.1,595.8,0.111,0.0,3.7,66.8,0.0,0.0,10,0,80,90,Johannesburg,South Africa,ZA,Africa
2930691,B&B on 8th Avenue - Dandelion Room,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/47757995/abdb938c_original.jpg,105.0,122521,Denise,,,False,-26.1723,28.0116,,,1.0,0.0,False,"TV,Cable TV,Children’s books and toys,Wifi,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",False,,2.0,Moderate,ZAR,0.0,12.0,84,4.86,4.8,4.9,4.9,5.0,4.8,4.8,1345.0,24749.0,31.3,569.9,0.118,0.129,3.7,67.8,4.0,74.1,43,31,322,365,312.0,5616.0,31.0,558.2,0.111,0.0,3.5,62.4,0.0,0.0,10,0,80,90,Johannesburg,South Africa,ZA,Africa
