listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
152910,Jbay Surf  View Tubes Luxury Flat,Entire condo,entire_home,https://a0.muscache.com/im/pictures/3622468/03f76d3e_original.jpg,37.0,287729507,Michela,"7,166,683,775,517","Yves,Katrien",False,-34.0277,24.9292,5.0,2.0,3,2.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,TV,Crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Free parking on premises,Pets allowed",,False,2.0,Firm,ZAR,21.0,0.0,81,4.93,4.9,4.9,4.8,4.9,5.0,4.8,7116,128026,115.7,2105.4,0.17,0.209,19.4,349.7,24.0,431.2,62,69,303,365,0,0,117.6,2115.8,0.0,0.0,0.0,0.0,0.0,0.0,0,37,90,90,Kouga,South Africa,ZA,Africa
645574,Starfish Surf House. Ocean Studio Apartment.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/253095b8-8cd4-40e8-a0ff-b45c27bb1ae9.jpg,56.0,3233135,Clyde,,,False,-34.0294,24.9291,4.0,2.0,3,1.0,False,"TV,Cable TV,Pets allowed,Gym,Bathtub,Body soap,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Wine glasses,Toaster,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Cleaning before checkout",,False,2.0,Firm,ZAR,0.0,0.0,341,4.64,4.6,4.8,4.4,4.8,4.8,4.7,9138,166206,45.4,826.0,0.532,0.0,25.0,455.4,0.0,0.0,194,0,171,365,3158,56844,51.3,923.6,0.644,0.0,35.1,631.6,0.0,0.0,58,0,32,90,Kouga,South Africa,ZA,Africa
741795,Beautiful House on canals,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-741795/original/492ab140-0c90-44fd-a12a-5b59d4e95c1a.jpeg,29.0,3883496,James,,,True,-34.1501,24.8337,12.0,5.0,7,4.0,False,"Cable TV,Bathtub,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Children’s books and toys,Children’s dinnerware,Board games,Indoor fireplace,Portable fans,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Beach access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Boat slip,Sun loungers,Free parking on premises",,False,3.0,Firm,ZAR,42.0,0.0,118,4.84,4.9,4.9,4.8,4.9,5.0,4.9,34443,625963,236.7,4299.8,0.403,0.444,91.7,1667.3,101.1,1838.6,147,34,218,365,10028,180459,354.5,6379.2,0.322,0.518,109.6,1971.5,176.1,3168.5,29,34,61,90,Kouga,South Africa,ZA,Africa
861219,Starfish Surf House.  Ocean Loft  Apartment,Entire home,entire_home,https://a0.muscache.com/im/pictures/7c3fa47d-7fb1-45d6-90bb-c9d0f7ddc324.jpg,57.0,3233135,Clyde,,,False,-34.0294,24.9291,6.0,3.0,6,3.0,False,"Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Pack ’n play/Travel crib,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Firm,ZAR,15.0,0.0,258,4.58,4.6,4.8,4.3,4.8,4.9,4.7,14099,256800,61.4,1118.4,0.575,0.0,36.5,665.1,0.0,0.0,210,0,155,365,4171,75078,63.0,1133.4,0.678,0.0,44.2,795.2,0.0,0.0,61,0,29,90,Kouga,South Africa,ZA,Africa
887856,"\Paradise\""- beachfront beauty""",Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-887856/original/e37956e2-9b6c-4798-b92f-6a8bc02c0401.jpeg,47.0,669335,Lila,,,False,-34.1723,24.836,9.0,4.0,8,3.0,False,"Gym,TV,Cable TV,Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Sound system,Books and reading material,Pack ’n play/Travel crib,Board games,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Waterfront,Beach access,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Firm,ZAR,60.0,0.0,24,4.92,4.9,4.8,5.0,5.0,5.0,4.5,17843,331066,537.7,9781.2,0.093,0.178,48.1,892.2,91.8,1705.1,34,174,331,365,0,0,675.1,12148.5,0.0,0.0,0.0,0.0,0.0,0.0,0,80,90,90,Kouga,South Africa,ZA,Africa
974041,Dolphin View Guesthouse,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/7b479454-2f1f-411c-8f56-a15c3a493c77.jpg,20.0,5327241,Anita,,,False,-34.0333,24.9181,,6.0,6,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Indoor fireplace,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Breakfast",,False,2.0,Moderate,ZAR,0.0,0.0,30,4.93,5.0,5.0,4.9,4.9,4.8,4.9,907,16326,67.6,1229.8,0.036,0.0,2.5,44.7,0.0,0.0,13,0,352,365,907,16326,70.0,1260.4,0.144,0.0,10.1,181.4,0.0,0.0,13,0,77,90,Kouga,South Africa,ZA,Africa
1338097,"Seals A-Frame, Cape St. Francis",Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1338097/original/380fcc62-3a02-4635-834a-713f6e333ed1.jpeg,99.0,7256458,Laura,55511570,Richard,False,-34.2088,24.8298,6.0,3.0,3,2.0,False,"Gym,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,Sound system,Books and reading material,Board games,Ceiling fan,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Coffee,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Pets allowed,Cleaning before checkout",,False,5.0,Firm,ZAR,30.0,0.0,19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20417,368127,152.1,2765.4,0.293,0.359,54.6,984.9,66.9,1206.3,107,67,258,365,14075,253288,199.1,3582.2,0.689,0.0,153.7,2766.3,0.0,0.0,62,0,28,90,Kouga,South Africa,ZA,Africa
2321214,@Jbay Breeze- Shells- Self-catering Jeffrey’s Bay,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4763df3b-aebc-4b10-b0f6-cb04a5ba97b0.jpg,42.0,11856278,Maryke,,,True,-34.0379,24.9267,5.0,3.0,4,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Smoking allowed,Hot water,Bed linens,Trash compactor,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Hangers,Iron,Barbecue utensils,Private entrance,Toaster,Bathtub",,False,1.0,Firm,ZAR,0.0,23.0,6,4.67,4.8,5.0,4.8,4.8,4.8,4.7,985,17730,81.7,1485.7,0.033,0.035,2.7,48.6,2.9,51.5,12,21,353,365,496,8928,82.6,1487.4,0.067,0.087,5.5,99.2,7.2,129.4,6,21,84,90,Kouga,South Africa,ZA,Africa
2448223,Isolated Nature retreat for peace and tranquility,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2448223/original/f68cc989-9f1f-4100-b9e6-26890a7abd1b.jpeg,42.0,69826546,Jeanne,"12,520,869,397,066,000","John,Annie",False,-34.1674,24.6513,4.0,3.0,3,1.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Conditioner,Outdoor furniture,Hammock,Cleaning products,Indoor fireplace,Heating,Clothing storage,Wine glasses,Washer,Beach access,Fire extinguisher,Shampoo,Hangers,Outdoor dining area,Freezer,Private entrance,Bathtub,Babysitter recommendations,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",False,False,2.0,Firm,ZAR,17.0,0.0,1,,,,,,,,1673,31230,132.1,2402.1,0.036,0.042,4.5,83.9,5.2,97.8,13,52,352,365,0,0,136.7,2458.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kouga,South Africa,ZA,Africa
2573680,AT the BEACH right on the beach!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjU3MzY4MA==/original/be0619ce-e8a5-40ff-aa6c-47b81051d8de.jpeg,32.0,13178889,Glen,,,False,-34.0271,24.9303,2.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Waterfront,Hot water kettle,Smoking allowed,Ceiling fan,Resort access,Conditioner,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",,False,2.0,Firm,ZAR,0.0,0.0,68,4.94,4.9,5.0,4.9,5.0,5.0,4.9,8612,158012,95.9,1744.4,0.263,0.322,23.6,432.9,28.9,530.2,96,67,269,365,1243,22373,90.0,1620.2,0.178,0.232,13.8,248.6,18.0,324.2,16,21,74,90,Kouga,South Africa,ZA,Africa
