listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
22150,Dream Home on Simbithi Golf Estate & Granny Flat,Entire home,entire_home,https://a0.muscache.com/im/pictures/3906412/bb9b926a_original.jpg,24,84858,Amanda,,,False,-29.5185,31.2166,12.0,5.0,8,3.5,False,"Elevator,Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Room-darkening shades,Iron,TV,Exercise equipment,Board games,Air conditioning,Indoor fireplace,Ceiling fan,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,ZAR,46.0,0.0,13,4.54,4.8,4.5,4.8,4.8,4.8,4.6,7609,136926,343.5,6242.4,0.049,0.0,20.5,368.3,0.0,0.0,18,0,347,365,7297,131312,410.3,7383.8,0.189,0.0,79.5,1431.4,0.0,0.0,17,0,73,90,Kwadukuza,South Africa,ZA,Africa
2349266,The Duck Loft,Entire loft,entire_home,https://a0.muscache.com/im/pictures/599d6584-2af7-44f9-a9ee-298fc165a2f0.jpg,48,11996740,Niqui,"3,873,903,040,767,950","Paula,Andrea Day Silva",True,-29.5308,31.2173,2.0,1.0,1,1.0,False,"Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Mosquito net,Clothing storage,Portable fans,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Backyard,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,ZAR,18.0,7.0,142,4.56,4.6,4.8,4.7,4.8,4.8,4.7,8393,152893,34.4,625.7,0.644,0.0,22.0,401.1,0.0,0.0,235,0,130,365,2625,47250,39.8,717.0,0.667,0.0,27.6,496.2,0.0,0.0,60,0,30,90,Kwadukuza,South Africa,ZA,Africa
2618826,"Beachhaven: Solar/inverter, Sea, Pool, Golf, A/C",Entire home,entire_home,https://a0.muscache.com/im/pictures/a724a681-94f8-4e1b-9d57-6aa6cebcf796.jpg,47,13411628,Peter,,,False,-29.3442,31.3832,6.0,3.0,4,2.5,False,"Gym,Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,TV,Pool table,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Air conditioning,Ceiling fan,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Waterfront,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Firm,ZAR,23.0,0.0,59,4.88,4.8,4.9,4.8,5.0,4.8,4.8,19778,355897,169.4,3080.7,0.293,0.51,53.3,959.2,92.6,1667.1,107,155,258,365,15320,275680,188.8,3397.2,0.889,0.92,167.9,3021.7,173.7,3125.9,80,3,10,90,Kwadukuza,South Africa,ZA,Africa
2626583,"Sunny, spacious apartment in Ballio",Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjYyNjU4Mw==/original/851b90d1-6487-4dee-a3c8-f8079862c701.jpeg,47,5399141,Andrea,39897005,Wolfram,False,-29.5275,31.2204,5.0,3.0,6,2.0,False,"TV,Air conditioning,Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Exercise equipment,Pool table,Books and reading material,Children’s dinnerware,Outdoor playground,Ceiling fan,Portable fans,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Waterfront,Beach access,Private entrance,Resort access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,30.0,Firm,ZAR,,,105,4.61,4.8,4.7,4.7,4.7,4.9,4.8,10381,187040,80.5,1462.7,0.315,0.628,28.4,512.4,56.7,1022.1,115,182,250,365,4870,87629,94.1,1693.1,0.522,0.797,54.1,973.7,82.5,1485.2,47,31,43,90,Kwadukuza,South Africa,ZA,Africa
2658137,Crannogs Cottage @ Tiffany’s Beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/de101c67-7831-4001-b60e-ab89d6046188.jpg,35,13604044,Claire,,,False,-29.4994,31.2419,11.0,5.0,9,3.0,False,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Pool table,Books and reading material,Ceiling fan,Mini fridge,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Changing table,High chair,Children’s books and toys,Blender,Crib,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Beach essentials,Safe,Cleaning before checkout,Dining table,Barbecue utensils,Sun loungers,Toaster",,False,2.0,Firm,ZAR,0.0,0.0,59,4.75,4.7,5.0,4.8,4.9,5.0,4.6,40514,739585,524.9,9547.1,0.216,0.269,111.0,2026.3,137.8,2515.6,79,71,286,365,2601,46804,598.0,10760.8,0.056,0.122,28.9,520.0,63.4,1141.6,5,49,85,90,Kwadukuza,South Africa,ZA,Africa
2750347,8 Hewitt @ Tiffany's,Entire home,entire_home,https://a0.muscache.com/im/pictures/38471455/65558010_original.jpg,27,14070686,Christian,,,False,-29.5011,31.2404,10.0,5.0,8,3.0,False,"Cable TV,Bathtub,Hair dryer,Hot water,Washer,Essentials,Hangers,TV,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Beach access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pets allowed,Long term stays allowed",,False,2.0,Firm,ZAR,18.0,0.0,107,4.54,4.6,4.7,4.4,4.8,5.0,4.5,13123,239198,190.8,3465.7,0.203,0.224,34.9,636.7,38.6,704.2,74,35,291,365,846,15224,256.4,4613.6,0.044,0.062,9.0,162.0,12.7,227.8,4,26,86,90,Kwadukuza,South Africa,ZA,Africa
2996856,Salt Rock Escape,Entire home,entire_home,https://a0.muscache.com/im/pictures/a936cd88-e03f-4da0-b030-428a68d377a1.jpg,31,15261680,Kimber & Byron,,,False,-29.5125,31.2193,11.0,6.0,8,3.5,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Mini golf,Children’s dinnerware,Babysitter recommendations,Outdoor playground,Air conditioning,Portable fans,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Coffee,Lake access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Hot tub,Luggage dropoff allowed,Cleaning before checkout",,False,7.0,Strict,ZAR,182.0,0.0,18,4.61,4.7,4.8,4.4,4.9,4.9,4.3,3756,67589,281.1,5111.7,0.033,0.034,9.3,167.2,9.7,175.4,12,17,353,365,2022,36384,301.4,5424.6,0.067,0.082,20.4,367.9,25.2,453.5,6,17,84,90,Kwadukuza,South Africa,ZA,Africa
3009480,Little White Beach Cottage,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/38612010/acf6c49b_original.jpg,111,15336899,Aleks,,,False,-29.5294,31.2228,6.0,2.0,6,1.0,False,"Cable TV,Air conditioning,Gym,Hair dryer,Cleaning products,Shampoo,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,TV,Books and reading material,Crib,Children’s books and toys,High chair,Baby bath,Window guards,Babysitter recommendations,Air conditioning,Ceiling fan,Heating,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,ZAR,18.0,0.0,216,4.79,4.7,4.8,4.8,4.9,4.9,4.7,29381,533259,135.9,2468.2,0.542,0.0,78.6,1426.4,0.0,0.0,198,0,167,365,9852,177289,176.0,3166.4,0.522,0.0,107.7,1937.5,0.0,0.0,47,0,43,90,Kwadukuza,South Africa,ZA,Africa
3822749,"Magical views of sea & forest, 1 min walk to beach",Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3822749/original/7d4941ba-e45f-4c0d-bc6a-e9c80212ab6b.jpeg,50,27666222,Catherine,"236,953,058,626,428,000,000,000","Emily,John,Aletta",False,-29.2948,31.4328,10.0,5.0,6,3.0,False,"Cable TV,TV,Gym,Bathtub,Hair dryer,Cleaning products,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Exercise equipment,Books and reading material,Children’s books and toys,Children’s dinnerware,Board games,Children's playroom,Ceiling fan,Portable fans,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Beach access,Private entrance,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,ZAR,100.0,0.0,73,4.92,4.9,4.9,4.8,4.9,5.0,4.8,71025,1293049,301.0,5482.4,0.611,0.614,187.7,3419.3,188.8,3438.2,223,2,142,365,20520,369286,277.0,4985.2,0.8,0.0,221.3,3983.2,0.0,0.0,72,0,18,90,Kwadukuza,South Africa,ZA,Africa
4812996,Charming Cottage By The Sea,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/4d6aadb5-0abb-490e-bcf6-17a25cb18eb4.jpg,20,24788785,Annaleen,21272782,Emeline,True,-29.373,31.3488,3.0,1.0,2,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,TV,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Pets allowed,Luggage dropoff allowed",,False,2.0,Flexible,ZAR,12.0,0.0,199,4.71,4.7,4.9,4.8,4.9,4.7,4.7,2772,50082,55.6,1010.4,0.115,0.191,7.3,131.3,12.1,217.8,42,145,323,365,1761,31698,61.1,1100.2,0.278,0.0,18.8,337.8,0.0,0.0,25,0,65,90,Kwadukuza,South Africa,ZA,Africa
