listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
14943,Tranquil riad in Marrakech medina,Room in boutique hotel,hotel_room,https://a0.muscache.com/im/pictures/miso/Hosting-14943/original/1dd9aed3-8ed1-4ec8-8844-0b188d862d9b.jpeg,52.0,58811,Peter,,,False,31.6351,-7.9901,,,1.0,0.0,False,"Window guards,Wifi,Air conditioning,Pool,Room-darkening shades,Paid parking off premises,Books and reading material,Hot water,Body soap,Breakfast,Outdoor shower,Bed linens,Indoor fireplace,Heating,Cooking basics,Clothing storage,Wine glasses,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Sun loungers,Sound system",,False,1.0,Flexible,MAD,0,6.0,13,4.69,4.9,4.9,4.8,4.9,4.5,4.7,7554.0,71032.0,114.3,1075.3,0.186,0.211,20.7,194.6,23.4,219.9,68,42,297,365,1326.0,12253.0,118.6,1095.6,0.133,0.194,14.7,136.1,21.4,197.6,12,28,78,90,Marrakesh,Morocco,MA,Africa
24615,Designer's apartment in Marrakech,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-24615/original/2c34827c-0e17-400e-8980-f04322e3410b.jpeg,23.0,99958,Dana,,,True,31.6323,-8.0161,3.0,2.0,2.0,1.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Sound system,Books and reading material,Board games,Air conditioning,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Elevator,Paid parking on premises,Single level home,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,MAD,17,0.0,134,4.83,4.8,4.9,4.9,4.9,4.6,4.8,7884.0,74599.0,67.8,636.3,0.315,0.504,20.9,197.5,33.4,316.2,115,137,250,365,2107.0,19470.0,75.3,695.8,0.289,0.394,22.3,205.9,30.4,280.7,26,24,64,90,Marrakesh,Morocco,MA,Africa
29743,Beautiful apartment with private terrace,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-29743/original/ceef4a10-c832-4b85-b0a7-d39ac3de144b.jpeg,31.0,128193,Karim,,,True,31.6385,-7.9784,6.0,2.0,3.0,1.5,False,"Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Bed linens,Iron,Clothing storage,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Oven,Coffee maker,Patio or balcony,Free parking on premises,Free street parking,Pool,Smoking allowed,Long term stays allowed",,False,4.0,Moderate,MAD,0,0.0,114,4.8,4.8,4.8,4.7,4.9,4.7,4.8,18882.0,177546.0,70.6,662.6,0.732,0.0,51.7,486.4,0.0,0.0,267,0,98,365,2583.0,23868.0,71.1,657.1,0.4,0.0,28.7,265.2,0.0,0.0,36,0,54,90,Marrakesh,Morocco,MA,Africa
52373,"Riad Linda,  5 mins walk from Jamma el Fna",Riad,entire_home,https://a0.muscache.com/im/pictures/110883774/9e3b9a20_original.jpg,27.0,242111,Linda,,,False,31.6257,-7.9841,12.0,6.0,8.0,6.0,False,"Window guards,Wifi,Air conditioning,Babysitter recommendations,Crib,Kitchen,Paid parking off premises,Books and reading material,Hot water,Body soap,Breakfast,Bed linens,Extra pillows and blankets,Outdoor furniture,Cleaning products,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Smoke alarm,Shower gel,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",,False,1.0,Firm,MAD,0,0.0,85,4.54,4.7,4.8,4.7,4.8,4.6,4.4,16261.0,150267.0,617.8,5806.8,0.077,0.117,44.6,411.7,67.8,626.1,28,125,337,365,0.0,0.0,671.4,6204.4,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Marrakesh,Morocco,MA,Africa
65879,Jemma el Fna Square Dishes,Entire home,entire_home,https://a0.muscache.com/im/pictures/c494f0b8-0a83-4058-aa96-6c0465390d4c.jpg,34.0,322152,Olivier,,,True,31.6201,-7.9908,4.0,2.0,2.0,2.0,False,"Air conditioning,Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Pack ’n play/Travel crib,High chair,Air conditioning,Indoor fireplace,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Outdoor furniture,Outdoor dining area,Paid parking off premises,Luggage dropoff allowed,Smoking allowed",,False,3.0,Strict,MAD,34,0.0,242,4.72,4.8,4.9,4.8,4.9,4.8,4.8,25588.0,240269.0,79.1,742.7,0.825,0.865,65.1,611.8,68.3,641.7,301,17,64,365,7647.0,70666.0,84.9,784.7,0.933,0.0,79.3,732.8,0.0,0.0,84,0,6,90,Marrakesh,Morocco,MA,Africa
97241,Riad beldi  Magnifique Riad médina facile d’accès,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/miso/Hosting-97241/original/449c6b56-fe4a-4297-93dc-04593c90dbf2.jpeg?aki_policy=medium,9.0,514876,,,,False,31.6393,-7.9938,16.0,7.0,16.0,0.0,,"Free parking on premises,Kitchen,Wifi,Dryer,Cable TV,Dedicated workspace,Shampoo,Hair dryer,Breakfast,Iron,Hangers,Pool,TV,Essentials,Heating,Washer,Air conditioning,Indoor fireplace,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Baby monitor,Baby bath,Changing table,High chair,Children’s books and toys,Window guards,Fireplace guards,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Ski-in/Ski-out,Hot water kettle,Ceiling fan,Outdoor dining area,Sound system,Outdoor shower,Mosquito net,Safe,Dining table,Toaster,Outdoor furniture,Paid parking on premises,Freezer,Board games,Record player,Shower gel,Baking sheet,Barbecue utensils,Conditioner,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses",,,1.0,Firm,MAD,97,,15,5.0,5.0,5.0,5.0,4.9,4.5,4.9,43134.0,418395.0,649.7,6178.0,0.175,0.231,113.9,1107.0,150.1,1458.7,64,88,301,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Marrakesh,Morocco,MA,Africa
100058,BEAUTIFUL RIAD VERT * plunge pool on the roof top*,Room in boutique hotel,hotel_room,https://a0.muscache.com/im/pictures/671292/6cdae930_original.jpg?aki_policy=medium,50.0,526339,,,,True,31.64,-7.989,16.0,7.0,15.0,0.0,,"Kitchen,Wifi,Dryer,Shampoo,Hair dryer,Breakfast,Hangers,Pool,TV,Essentials,Heating,Washer,Air conditioning,Paid parking off premises,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bathtub,Baby bath,Changing table,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Patio or balcony,Luggage dropoff allowed,Cleaning before checkout,Shower gel,Clothing storage",,,3.0,Strict,MAD,0,,31,4.94,4.9,4.9,5.0,4.9,4.6,4.9,68324.0,651263.0,757.6,7119.8,0.241,0.484,187.2,1784.3,375.4,3578.4,88,183,277,365,0.0,0.0,752.7,6955.3,0.0,0.0,0.0,0.0,0.0,0.0,0,43,90,90,Marrakesh,Morocco,MA,Africa
134501,"Dar 118, 3 br, hammam, pool, rooftop, staff",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-134501/original/34f0747a-aa18-446a-9ce0-84540d6d5781.jpeg,22.0,659960,Villanovo,13193992,Jf,False,31.6208,-7.9944,5.0,3.0,3.0,3.0,False,"Stove,TV,Cable TV,Wifi,Patio or balcony,Air conditioning,Pool,Kitchen,Essentials,Safe,Hot water,Outdoor dining area,Bed linens,Outdoor furniture,Cleaning products,Indoor fireplace,Bathtub,Heating,Clothing storage",False,True,3.0,Moderate,MAD,0,0.0,27,4.78,4.8,4.9,5.0,4.7,4.8,4.7,22794.0,212036.0,573.5,5403.6,0.118,0.203,62.4,580.9,107.5,1000.2,43,153,322,365,9624.0,88935.0,471.6,4358.3,0.233,0.266,106.9,988.2,121.8,1125.8,21,11,69,90,Marrakesh,Morocco,MA,Africa
178490,The One Serenity Villa in Marrakech,Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-178490/original/1fa10217-dadc-4961-a984-59248982576c.jpeg,33.0,854285,Khalid,,,False,31.5764,-7.9737,6.0,3.0,4.0,3.0,False,"High chair,TV,Cable TV,Wifi,Air conditioning,Babysitter recommendations,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Breakfast,Cleaning products,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Single level home,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hair dryer,Iron,Dedicated workspace,Outlet covers",True,False,2.0,Flexible,MAD,17,0.0,72,4.42,4.4,4.7,4.5,4.7,4.3,4.5,6071.0,56101.0,170.5,1603.0,0.099,0.106,16.4,152.0,17.7,163.2,36,25,329,365,0.0,0.0,173.4,1602.6,0.0,0.0,0.0,0.0,0.0,0.0,0,25,90,90,Marrakesh,Morocco,MA,Africa
187610,Superb apartment with swimming pool in the center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-187610/original/182ce70d-140d-423f-9c42-ef4185309eee.jpeg,19.0,902751,Adil,,,False,31.6395,-8.0242,5.0,2.0,3.0,1.0,False,"High chair,TV,Cable TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Pets allowed,Hot water,Elevator,Bed linens,Free street parking,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Baking sheet,Bathtub",,,2.0,Flexible,MAD,21,,107,4.79,4.9,4.9,4.6,5.0,4.8,4.8,2596.0,25392.0,53.8,509.2,0.137,0.14,6.5,64.3,6.7,65.5,50,7,315,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Marrakesh,Morocco,MA,Africa
