listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
75683,Kiloranhouse Apt Prime Bedroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/5499026/efcee0e9_original.jpg,13,26997,Adriel,,,False,-1.2848,36.7924,,,1.0,0.0,False,"Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Window guards,Outdoor playground,Exterior security cameras on property,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Hot tub,Luggage dropoff allowed,Breakfast,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,KES,0.0,0.0,25,4.79,4.6,4.9,4.8,5.0,4.8,4.7,1036.0,133804.0,51.6,6661.6,0.063,0.0,2.8,366.6,0.0,0.0,23,0,342,365,0.0,0.0,61.6,7960.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Nairobi,Kenya,KE,Africa
471581,Located In a Serene Environment,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/6434524/bcd9fbe4_original.jpg,37,2280941,Bella,,,True,-1.2268,36.8577,3.0,2.0,2.0,1.0,False,"Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Mosquito net,TV,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Resort access,Backyard,Outdoor furniture,Free parking on premises",,False,2.0,Moderate,KES,8.0,0.0,82,4.81,4.8,4.8,4.7,4.9,4.8,4.8,6432.0,831249.0,44.2,5709.6,0.392,0.579,17.4,2251.9,25.7,3327.7,143,118,222,365,482.0,62279.0,42.3,5464.0,0.122,0.149,5.3,680.5,6.4,827.6,11,16,79,90,Nairobi,Kenya,KE,Africa
906958,Makena's Place Karen - Flamingo Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/68ecc57f-d57b-4d12-bfa6-bbd1fb4107e3.jpg,29,4856316,Chichi,,,True,-1.324,36.7053,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,Indoor fireplace,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed",,False,1.0,Firm,KES,10.0,20.0,69,4.91,4.9,4.9,5.0,4.9,4.9,4.9,5021.0,648571.0,52.6,6797.5,0.258,0.26,13.4,1730.9,13.5,1750.1,94,4,271,365,1787.0,230889.0,49.3,6371.2,0.4,0.419,19.5,2522.4,20.4,2639.7,36,4,54,90,Nairobi,Kenya,KE,Africa
1023556,Cozy home 3 mins from Nairobi National Park,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-1023556/original/ec997d08-2b6e-4282-975e-9c6825c11266.jpeg,54,5634522,Janet,,,False,-1.3222,36.7852,2.0,1.0,1.0,1.0,False,"Wifi,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Wine glasses,Blender,Rice maker,Free parking on premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,KES,0.0,0.0,154,4.84,4.9,4.9,4.9,4.9,4.7,4.8,219.0,28359.0,20.9,2699.8,0.03,0.0,0.6,77.7,0.0,0.0,11,0,354,365,0.0,0.0,21.7,2797.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Nairobi,Kenya,KE,Africa
1237886,Hob House,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/cbdab7e1-f840-44ed-a028-6085d21ea284.jpg?aki_policy=medium,8,6748840,,,,False,-1.2258,36.7679,2.0,7.0,9.0,1.0,,"Air conditioning,Kitchen,Dryer,Heating,Wifi,Free parking on premises,Hair dryer,Cable TV,Iron,Washer,TV,Breakfast,Hangers,Essentials,Indoor fireplace,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Shampoo,Bathtub,Baby bath,High chair,Children’s books and toys,Window guards,Fireplace guards,Babysitter recommendations,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Backyard,Luggage dropoff allowed,Long term stays allowed",,,1.0,Flexible,KES,0.0,20.0,57,4.79,4.8,4.8,4.9,4.6,4.7,4.8,1263.0,162786.0,115.8,14960.7,0.03,0.0,3.5,446.0,0.0,0.0,11,0,354,365,0.0,0.0,119.6,15451.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Nairobi,Kenya,KE,Africa
1803821,Makena's Place Karen - All Rooms,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/4780f6cc-3292-4031-8542-4c598b52119a.jpg,58,4856316,Chichi,,,True,-1.3237,36.7059,,3.0,3.0,0.0,False,"Wifi,Kitchen,Free parking on premises,Smoking allowed,Hot water,Breakfast,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",,False,1.0,Firm,KES,10.0,0.0,13,4.92,5.0,5.0,5.0,4.6,4.9,4.9,3759.0,485637.0,127.3,16446.4,0.079,0.084,10.2,1319.9,10.7,1388.4,29,18,336,365,0.0,0.0,125.2,16180.5,0.0,0.0,0.0,0.0,0.0,0.0,0,18,90,90,Nairobi,Kenya,KE,Africa
1808465,Makena's Place Karen - K Girl & Gecko Room,Private room in cottage,private_room,https://a0.muscache.com/im/pictures/cf1c76e0-0493-4149-bb66-1faea2658c8c.jpg,15,4856316,Chichi,,,True,-1.3233,36.7077,,2.0,2.0,0.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,Indoor fireplace,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed",,False,1.0,Firm,KES,5.0,30.0,80,4.98,5.0,5.0,5.0,5.0,5.0,5.0,2108.0,272410.0,36.0,4650.7,0.153,0.162,5.6,719.8,5.9,759.3,56,19,309,365,529.0,68348.0,36.1,4659.9,0.156,0.197,5.7,730.7,7.2,926.3,14,19,76,90,Nairobi,Kenya,KE,Africa
2486516,Stunning guest cottage in tranquil setting,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2486516/original/05ea2fe5-9e30-43a6-af43-4b1273aedeff.jpeg,26,3934891,Jeremy,,,True,-1.3734,36.7403,8.0,4.0,5.0,2.0,False,"TV,Window guards,Wifi,Pool,Crib,Kitchen,Board games,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Smoke alarm,BBQ grill,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Barbecue utensils,Private entrance",,False,1.0,Moderate,KES,15.0,0.0,141,4.98,5.0,5.0,5.0,5.0,5.0,4.9,13960.0,1805641.0,196.5,25397.6,0.208,0.227,37.5,4846.1,40.8,5280.1,76,30,289,365,1428.0,184502.0,207.8,26852.9,0.078,0.117,15.5,2007.0,23.3,3010.4,7,30,83,90,Nairobi,Kenya,KE,Africa
2498391,Cosy 2 Bedroom Guest House in Lavington Green,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/5dbcd0fe-18af-4c93-b10d-5e02ae627a51.jpg,42,289048986,Ciru,"12788164,501477043","Stanley,Lorna",False,-1.2743,36.7746,2.0,2.0,2.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Iron,Dedicated workspace,Freezer,Toaster",False,False,2.0,Moderate,KES,9.0,0.0,19,4.95,5.0,4.9,4.8,5.0,5.0,4.8,2969.0,383972.0,62.7,8104.8,0.126,0.135,8.0,1039.2,8.6,1109.1,46,23,319,365,0.0,0.0,59.9,7743.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Nairobi,Kenya,KE,Africa
2868580,Cosy Garden Cottage / House,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/37119989/faf28811_original.jpg,18,14663062,Jürgen,,,False,-1.2298,36.7976,1.0,1.0,1.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Extra pillows and blankets,Iron,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Oven,Backyard,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Flexible,KES,17.0,0.0,43,4.91,5.0,5.0,4.9,5.0,4.9,4.9,5809.0,750354.0,34.1,4402.8,0.468,0.638,15.5,2001.6,21.1,2726.1,171,97,194,365,0.0,0.0,35.8,4624.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,90,90,Nairobi,Kenya,KE,Africa
