listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
15431,Bucaco Sud  Villa,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-15431/original/9794c186-931a-42cd-acda-cd3178412660.jpeg,41,60443,Jean,,,False,-34.3513,18.9168,12.0,6.0,6.0,6.5,False,"TV,Cable TV,Wifi,Lake access,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Laundromat nearby,Outdoor furniture,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Crib,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,3.0,Firm,ZAR,0.0,0.0,34.0,4.76,4.6,4.9,4.9,4.8,4.6,4.6,9699.0,174529.0,526.8,9581.9,0.049,0.0,26.6,478.2,0.0,0.0,18,0,347,365,7091.0,127599.0,553.6,9961.8,0.144,0.0,78.8,1417.8,0.0,0.0,13,0,77,90,Overstrand,South Africa,ZA,Africa
193112,"Ocean front 19onWestcliff Luxury Villa, Hermanus",Entire home,entire_home,https://a0.muscache.com/im/pictures/85074982/8645d31f_original.jpg,41,936140,Eva,,,False,-34.4239,19.2335,12.0,6.0,8.0,6.5,False,"TV,Cable TV,Wifi,Waterfront,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Pets allowed,Resort access,Trash compactor,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Paid parking on premises,Clothing storage,Wine glasses,Washer,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Sound system,Outlet covers,Bathtub,High chair,Blender,Fireplace guards,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Safe,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Sun loungers,Toaster",False,False,2.0,Strict,ZAR,0.0,0.0,21.0,4.62,4.6,4.9,4.6,4.7,4.9,4.3,8229.0,148941.0,443.6,8067.2,0.049,0.053,22.5,408.1,24.3,439.4,18,26,347,365,0.0,0.0,462.2,8318.4,0.0,0.0,0.0,0.0,0.0,0.0,0,24,90,90,Overstrand,South Africa,ZA,Africa
252391,A Cape Town Paradise in Pringle Bay,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-252391/original/8a731be4-f5f2-4f48-bf96-be7397c5d22a.jpeg,56,1150324,Michael,,,False,-34.3484,18.8314,8.0,4.0,5.0,3.5,False,"Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Ceiling fan,Laundromat nearby,Outdoor furniture,Cleaning products,Indoor fireplace,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Beach access,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Bathtub,Children’s books and toys,Children’s dinnerware,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",False,False,4.0,Strict,ZAR,150.0,0.0,19.0,4.79,4.8,4.9,4.5,5.0,4.9,4.6,6432.0,117148.0,287.1,5223.4,0.055,0.056,16.8,306.2,17.2,313.9,20,9,345,365,3405.0,61269.0,297.9,5360.3,0.111,0.0,36.2,650.8,0.0,0.0,10,0,80,90,Overstrand,South Africa,ZA,Africa
683260,1.Walk to cliff path and whales.,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/950c273b-c8b6-4989-9a5c-b2499f14a292.jpg,13,3482237,Janice,,,True,-34.4204,19.2333,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,Window guards,Portable fans,Heating,Fire extinguisher,Wifi,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,ZAR,0.0,0.0,889.0,4.82,4.9,4.9,4.9,4.9,4.8,4.8,13684.0,249141.0,47.9,871.8,0.784,0.0,37.5,682.6,0.0,0.0,286,0,79,365,3841.0,69138.0,49.0,881.8,0.878,0.0,42.7,768.2,0.0,0.0,79,0,11,90,Overstrand,South Africa,ZA,Africa
683339,2.Walk to cliff path and whales,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/34c81519-ba53-4be6-bb7b-3923514680fb.jpg,13,3482237,Janice,,,True,-34.4186,19.2326,,,1.0,0.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Clothing storage,Window guards,Ceiling fan,Portable fans,Heating,Fire extinguisher,Wifi,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,ZAR,0.0,0.0,1019.0,4.81,4.9,4.9,4.9,4.9,4.8,4.8,9471.0,172702.0,47.2,859.2,0.559,0.59,25.9,473.2,27.4,499.1,204,19,161,365,2990.0,53820.0,45.0,810.2,0.756,0.0,33.2,598.0,0.0,0.0,68,0,22,90,Overstrand,South Africa,ZA,Africa
688308,Beautiful Seafront Beach House,Entire home,entire_home,https://a0.muscache.com/im/pictures/10821093/c4523e38_original.jpg,46,3513962,Debbie,,,False,-34.5681,19.3529,7.0,3.0,4.0,2.5,False,"TV,Wifi,Waterfront,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Free street parking,Laundromat nearby,Outdoor furniture,Hammock,Cleaning products,Indoor fireplace,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Sound system,Bathtub,High chair,Blender,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,3.0,Moderate,ZAR,35.0,0.0,105.0,4.86,4.9,4.8,4.8,4.9,4.9,4.8,4742.0,86218.0,250.9,4565.8,0.052,0.061,12.8,232.8,14.9,270.6,19,51,346,365,0.0,0.0,239.4,4308.2,0.0,0.0,0.0,0.0,0.0,0.0,0,51,90,90,Overstrand,South Africa,ZA,Africa
694509,Ideally located and spacious home,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-694509/original/600151a7-e911-4840-b743-084250b164ed.jpeg,35,3554678,Catarina Chemaly,,,False,-34.3433,18.8322,6.0,3.0,5.0,2.0,False,"TV,Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Clothing storage,Wine glasses,Washer,Beach access,Fire extinguisher,Essentials,Hangers,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Bathtub,Baby bath,High chair,Children’s books and toys,Crib,Children’s dinnerware,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Patio or balcony,Backyard,Beach essentials,Long term stays allowed,Dining table,Toaster",,False,2.0,Strict,ZAR,0.0,0.0,3.0,4.33,4.0,5.0,4.7,4.7,4.3,4.3,1939.0,34886.0,121.0,2201.9,0.044,0.0,5.3,95.6,0.0,0.0,16,0,349,365,1939.0,34886.0,121.6,2188.6,0.178,0.0,21.5,387.6,0.0,0.0,16,0,74,90,Overstrand,South Africa,ZA,Africa
771771,"Villa Ocean Crest B&B
🛏☕🫖🍳🍞🧃🍽",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/372cecaa-9271-426f-b8f9-083e86833ff8.jpg,36,3699571,Johannes,,,False,-34.5703,19.356,,2.0,4.0,0.0,False,"TV,Wifi,Free parking on premises,Hot water kettle,Ceiling fan,Hot water,Body soap,Breakfast,Mini fridge,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Paid parking on premises,Wine glasses,Washer,Single level home,Beach access,Smoke alarm,Shower gel,First aid kit,Beach essentials,Fire extinguisher,Luggage dropoff allowed,Essentials,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Freezer,Toaster",,False,1.0,Moderate,ZAR,0.0,0.0,61.0,4.75,4.8,4.9,4.8,4.9,4.6,4.7,605.0,10890.0,64.4,1173.4,0.027,0.03,1.7,29.8,1.8,32.8,10,33,355,365,605.0,10890.0,62.6,1127.4,0.111,0.0,6.7,121.0,0.0,0.0,10,0,80,90,Overstrand,South Africa,ZA,Africa
788694,Sixteen Guest House on Main - Twin Suite,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-788694/original/32fa7767-77fa-40a9-9bb3-c042fbe29efc.jpeg,91,4163619,Anel,,,True,-34.4201,19.2329,2.0,1.0,2.0,1.0,False,"Pets allowed,Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,TV,Books and reading material,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Mini fridge,Hot water kettle,Wine glasses,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Bikes,Kayak,Sun loungers,Free parking on premises,Pool,Single level home,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,ZAR,0.0,36.0,103.0,4.83,4.8,4.8,4.9,4.8,4.6,4.7,11384.0,207146.0,66.6,1212.5,0.463,0.476,31.2,567.5,32.1,583.5,169,10,196,365,4247.0,76446.0,69.2,1245.6,0.678,0.0,47.2,849.4,0.0,0.0,61,0,29,90,Overstrand,South Africa,ZA,Africa
893454,Jasmine Cottage. Cozy hideaway,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODkzNDU0/original/e90dce8a-8494-49fb-82c6-cea96aa45694.jpeg,79,4751866,Marinda,114792519,Mike And Pam,False,-34.4118,19.2472,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Window guards,Board games,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,ZAR,12.0,0.0,74.0,4.76,4.9,4.9,4.8,4.9,4.8,4.8,5249.0,95216.0,66.6,1212.1,0.205,0.225,13.6,247.3,14.9,271.0,75,32,290,365,1433.0,25794.0,71.9,1293.8,0.233,0.362,15.3,274.6,23.7,426.1,21,32,69,90,Overstrand,South Africa,ZA,Africa
