listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
19844,Luxury West Suite & Award Winning Spa,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/1475039d-05fd-485f-83cf-1fb6471eab4c.jpg,25.0,74932,Quint,,,False,-25.7731,28.2207,2.0,1.0,1.0,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Free parking on premises,Hot water,Gym,Breakfast,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Dishes and silverware,Heating,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",,False,1.0,Refundable,ZAR,0.0,0.0,3,5.0,4.7,5.0,5.0,5.0,4.7,5.0,2899.0,52357.0,83.3,1516.4,0.096,0.0,7.9,143.4,0.0,0.0,35,0,330,365,1133.0,20394.0,77.5,1395.8,0.156,0.0,12.6,226.6,0.0,0.0,14,0,76,90,Pretoria,South Africa,ZA,Africa
325623,Comfort Luxury Room,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/3533705/4320ed58_original.jpg,19.0,1665465,Billy & Anne,,,False,-25.7856,28.2877,2.0,3.0,3.0,3.0,False,"High chair,TV,Wifi,Air conditioning,Pool,Crib,Free parking on premises,Room-darkening shades,Hot water kettle,Books and reading material,Hot water,Body soap,Breakfast,Conditioner,Mini fridge,Bed linens,Extra pillows and blankets,Laundromat nearby,Outdoor furniture,Microwave,Refrigerator,Heating,Cooking basics,Coffee,Clothing storage,Smoke alarm,BBQ grill,Shower gel,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Sun loungers,Baby bath",,False,1.0,Flexible,ZAR,0.0,27.0,4,4.75,5.0,5.0,5.0,5.0,5.0,4.8,540.0,9759.0,52.1,948.5,0.027,0.0,1.5,26.7,0.0,0.0,10,0,355,365,149.0,2682.0,47.4,854.0,0.033,0.0,1.7,29.8,0.0,0.0,3,0,87,90,Pretoria,South Africa,ZA,Africa
576315,Thatched Safari-Style with Pool,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/65360216/cd4cce9d_original.jpg,17.0,2835338,Louis,,,False,-25.7322,28.2555,3.0,1.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Patio or balcony,Backyard,Free parking on premises,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,ZAR,0.0,0.0,76,4.88,4.9,5.0,4.7,5.0,4.8,5.0,219.0,4088.0,22.6,410.5,0.027,0.039,0.6,11.2,0.9,16.1,10,111,355,365,0.0,0.0,21.9,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0,75,90,90,Pretoria,South Africa,ZA,Africa
4517478,Alleyn Self-catering nr 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4517478/original/b5141736-dbab-4372-857a-960dad6317d0.jpeg,12.0,23421136,Louw,,,True,-25.748,28.222,4.0,2.0,3.0,1.0,False,"Bathtub,Hot water,Washer,Dryer,Essentials,Hangers,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Changing table,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Long term stays allowed",,False,2.0,Firm,ZAR,21.0,9.0,23,4.65,4.7,4.9,4.8,4.8,4.8,4.9,2870.0,52499.0,44.7,812.3,0.167,0.176,7.2,132.4,7.6,139.7,61,19,304,365,166.0,2988.0,46.1,829.4,0.033,0.042,1.6,29.0,2.0,36.8,3,19,87,90,Pretoria,South Africa,ZA,Africa
4872315,Share our house in Magalieskruin,Private room in home,private_room,https://a0.muscache.com/im/pictures/8be96296-9c91-42e8-accc-13fb5a6d3552.jpg,34.0,25052685,Amanda,,,True,-25.6865,28.2312,,4.0,6.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Crib,Children’s books and toys,High chair,Children’s dinnerware,Ceiling fan,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Dining table,Coffee,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Pool,EV charger,Single level home,Luggage dropoff allowed,Breakfast",,False,1.0,Flexible,ZAR,3.0,21.0,148,4.95,4.9,5.0,4.9,5.0,4.9,5.0,2596.0,47022.0,23.0,418.7,0.304,0.327,7.0,127.2,7.6,137.0,111,26,254,365,830.0,14940.0,24.1,434.6,0.378,0.531,9.1,164.2,12.8,230.9,34,26,56,90,Pretoria,South Africa,ZA,Africa
5293036,Unionview Guest Room,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/66134483/aa2d26bf_original.jpg,6.0,27411698,Suzette,,,False,-25.7624,28.2118,2.0,1.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Hangers,TV,Indoor fireplace,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Dishes and silverware,Backyard,Free parking on premises,Pool,Breakfast,Smoking allowed",,False,1.0,Flexible,ZAR,0.0,6.0,59,4.81,4.9,5.0,4.8,4.9,4.8,4.8,3092.0,55863.0,35.1,639.1,0.241,0.447,8.5,153.0,15.7,283.6,88,168,277,365,0.0,0.0,36.1,649.6,0.0,0.0,0.0,0.0,0.0,0.0,0,72,90,90,Pretoria,South Africa,ZA,Africa
6022719,Sunny Suite with a View at Thaba N'Chu Villa,Entire home,entire_home,https://a0.muscache.com/im/pictures/75008774/3fc47200_original.jpg,45.0,28441007,Stephanie,,,False,-25.725,28.2319,3.0,2.0,3.0,1.0,False,"Washer,Dryer,Wifi,Air conditioning,First aid kit,Pool,Kitchen,Essentials,Free parking on premises,Shampoo,Pets allowed,Hangers,Iron,Hot tub,Indoor fireplace,Heating",,False,3.0,Firm,ZAR,30.0,0.0,8,4.63,4.7,5.0,4.6,4.9,4.9,5.0,550.0,9900.0,39.0,709.3,0.036,0.0,1.4,25.6,0.0,0.0,13,0,352,365,0.0,0.0,39.1,704.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Pretoria,South Africa,ZA,Africa
6356845,Queensrest 2,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6356845/original/c8216a6d-4799-4b91-b9a0-c2bfb9b5eb4e.jpeg,11.0,32768129,Jan-Gerhard,"29717600,124066521","Jan Gerhardus Lodewicus,Marina",True,-25.7331,28.2516,4.0,2.0,5.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,TV,Pack ’n play/Travel crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Stove,Patio or balcony,Backyard,Fire pit,Outdoor furniture,BBQ grill,Free parking on premises",,False,1.0,Firm,ZAR,0.0,22.0,16,4.44,4.7,4.8,4.2,4.8,4.6,4.2,4116.0,74991.0,58.5,1064.8,0.192,0.235,11.3,205.5,13.8,251.6,70,67,295,365,603.0,10854.0,61.6,1109.0,0.111,0.133,6.7,120.6,8.0,144.7,10,15,80,90,Pretoria,South Africa,ZA,Africa
8376917,Self contained luxurious apartment,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/fa54ac42-b553-4d37-afbe-df3692ce8d2d.jpg,48.0,44148763,Wendy,,,False,-25.7901,28.2468,3.0,1.0,4.0,1.0,False,"Pets allowed,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Indoor fireplace,Heating,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Waterfront,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,ZAR,15.0,0.0,91,4.87,4.9,4.9,4.8,4.9,4.9,4.9,5702.0,105353.0,56.4,1026.0,0.296,0.679,15.3,283.5,35.2,650.7,108,206,257,365,1197.0,21546.0,60.4,1086.6,0.211,0.275,12.8,230.4,16.7,300.5,19,21,71,90,Pretoria,South Africa,ZA,Africa
8516025,Spacious room with garden view,Private room in home,private_room,https://a0.muscache.com/im/pictures/58bcd89c-6303-42cc-9025-14fd660bffab.jpg,15.0,20457118,René,,,False,-25.7304,28.2076,,,1.0,0.0,False,"Hair dryer,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Air conditioning,Heating,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Backyard,BBQ grill,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,ZAR,0.0,9.0,28,4.75,4.9,4.9,4.8,4.9,4.9,4.8,1154.0,21539.0,23.5,427.2,0.142,0.391,3.2,59.0,8.7,161.9,52,232,313,365,23.0,414.0,22.8,410.0,0.011,0.026,0.3,4.6,0.6,10.6,1,51,89,90,Pretoria,South Africa,ZA,Africa
