listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
466873,lovely flat in nice garden,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/18fd9333-9b97-490d-b143-0175e818da57.jpg,53,2306915,Sane,,,False,33.9706,-6.8627,5.0,2.0,5.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Board games,Free parking on premises,Books and reading material,Portable fans,Smoking allowed,Pets allowed,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance",,False,4.0,Firm,MAD,35.0,0.0,101,4.72,4.8,5.0,4.7,5.0,4.7,4.5,966.0,8927.0,76.9,723.1,0.033,0.034,2.6,23.6,2.7,24.5,12,14,353,365,158.0,1460.0,81.8,755.6,0.022,0.026,1.8,16.2,2.1,19.2,2,14,88,90,Rabat,Morocco,MA,Africa
794257,charming house Kasbah des Oudayas,Entire home,entire_home,https://a0.muscache.com/im/pictures/11184801/cc470285_original.jpg,23,4184393,John,,,False,34.0314,-6.8368,4.0,2.0,2.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Pets allowed,Smoking allowed",,False,5.0,Moderate,MAD,41.0,0.0,63,4.82,4.7,4.9,4.7,4.9,4.9,4.8,1139.0,10598.0,94.5,887.6,0.03,0.0,2.8,25.9,0.0,0.0,11,0,354,365,1009.0,9324.0,93.7,865.4,0.111,0.0,10.3,95.2,0.0,0.0,10,0,80,90,Rabat,Morocco,MA,Africa
1113694,"Lovely,cosy,modern flat, sea view !",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16750816/309aa5bd_original.jpg,16,6062417,Jean-Marc,,,True,34.0142,-6.8555,6.0,2.0,5.0,2.0,False,"Gym,Bathtub,Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Books and reading material,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Patio or balcony,BBQ grill,Free street parking,Elevator,Single level home,Pets allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,4.0,Firm,MAD,58.0,0.0,82,4.62,4.8,4.7,4.6,4.8,4.5,4.6,19279.0,179607.0,71.7,672.1,0.663,0.0,48.4,451.0,0.0,0.0,242,0,123,365,5100.0,47123.0,82.1,758.9,0.656,0.0,51.5,475.9,0.0,0.0,59,0,31,90,Rabat,Morocco,MA,Africa
1137281,New appartment - Rabat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/37f0589b-cc25-441c-9ce3-e030a29bc0b0.jpg,25,5916352,Ayoub,,,False,34.0032,-6.8657,4.0,2.0,2.0,2.0,False,"Wifi,Kitchen,Free parking on premises,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Cleaning products,Indoor fireplace,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Hangers,Bathtub",,False,5.0,Moderate,MAD,23.0,0.0,146,4.29,4.5,4.5,4.4,4.6,4.1,4.4,1946.0,17984.0,32.3,303.8,0.164,0.355,5.2,48.1,11.2,103.9,60,196,305,365,586.0,5418.0,35.4,327.2,0.167,0.0,6.3,57.8,0.0,0.0,15,0,75,90,Rabat,Morocco,MA,Africa
1808458,Deluxe & Rustic loft in RABAT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-1808458/original/1e8b399b-df09-444b-90d7-143a0bc7d23b.jpg,58,3134669,Yassir,,,False,34.0212,-6.8302,4.0,2.0,3.0,1.0,False,"Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Free street parking,Elevator,Paid parking off premises,Smoking allowed,Long term stays allowed",,False,10.0,Firm,MAD,58.0,0.0,57,4.45,4.4,4.8,4.1,4.6,4.8,4.5,3586.0,33139.0,49.2,461.7,0.195,0.287,9.3,86.4,13.8,127.7,71,118,294,365,0.0,0.0,52.9,488.8,0.0,0.0,0.0,0.0,0.0,0.0,0,77,90,90,Rabat,Morocco,MA,Africa
1819622,Riad Dar Lina-Chez Hanane,Private room in riad,private_room,https://a0.muscache.com/im/pictures/29586996/306d148f_original.jpg,27,4048858,Dar Lina,,,False,34.0292,-6.8373,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Books and reading material,Pack ’n play/Travel crib,Portable fans,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Beach access,Patio or balcony,Backyard,Outdoor furniture",,False,1.0,Moderate,MAD,11.0,0.0,348,4.71,4.8,4.7,4.9,4.6,4.7,4.7,5987.0,55761.0,58.0,545.2,0.268,0.34,15.6,145.5,19.8,184.4,98,77,267,365,528.0,4878.0,55.2,509.6,0.1,0.141,5.5,50.8,7.7,71.4,9,26,81,90,Rabat,Morocco,MA,Africa
1984586,New Charming Apartment !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6165b327-93d0-40d5-b52e-f6aaf9e5ca9f.jpg,29,5916352,Ayoub,,,False,34.0087,-6.8609,4.0,2.0,3.0,1.0,False,"Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,Ethernet connection,Portable fans,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Dining table,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,MAD,23.0,0.0,128,4.57,4.8,4.8,4.7,4.8,4.3,4.5,355.0,3528.0,29.4,276.7,0.03,0.039,0.9,9.1,1.2,11.8,11,85,354,365,0.0,0.0,28.0,259.4,0.0,0.0,0.0,0.0,0.0,0.0,0,30,90,90,Rabat,Morocco,MA,Africa
2060725,A Cozy room in Ryad Da Lina,Private room in riad,private_room,https://a0.muscache.com/im/pictures/e737b523-d63f-41bf-bf6a-5d20815abd04.jpg,27,4048858,Dar Lina,,,False,34.026,-6.8348,,,2.0,0.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Extra pillows and blankets,Iron,Clothing storage,Crib,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Beach access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,MAD,11.0,0.0,248,4.74,4.8,4.7,4.9,4.6,4.7,4.7,5547.0,52419.0,64.0,601.3,0.225,0.28,14.6,138.0,18.2,171.9,82,72,283,365,824.0,7617.0,61.4,566.9,0.133,0.174,8.5,79.0,11.1,103.0,12,21,78,90,Rabat,Morocco,MA,Africa
2350479,Pink room in Authentic&Peacefull Ryad in Medina,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/4c4ed14d-8dd0-4ec9-9f42-3108faa9b45b.jpg,34,4048858,Dar Lina,,,False,34.0275,-6.8352,,,1.0,0.0,False,"Hair dryer,Outdoor shower,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,Portable fans,Wifi,Dedicated workspace,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,MAD,11.0,0.0,487,4.68,4.8,4.6,4.9,4.6,4.7,4.7,11587.0,108828.0,60.0,564.1,0.507,0.543,30.4,286.1,32.6,306.3,185,24,180,365,993.0,9176.0,60.2,556.1,0.167,0.227,10.3,95.2,14.0,129.8,15,24,75,90,Rabat,Morocco,MA,Africa
3521714,Charming & Cosy in Heart of Gueliz WiFi,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3521714/original/3e3599f2-0f6c-4da4-b7d8-da241e1141b0.jpeg,24,13345266,Chez Salim,,,True,31.6309,-8.0137,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Air conditioning,Heating,Exterior security cameras on property,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Toaster,Dining table,Patio or balcony,Free parking on premises,Free street parking,Elevator,Single level home,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,25.0,Flexible,MAD,17.0,0.0,128,4.66,4.8,4.8,4.6,4.8,4.8,4.6,3437.0,31765.0,81.4,772.8,0.14,0.147,9.1,84.0,9.5,88.1,51,17,314,365,1586.0,14660.0,52.1,482.0,0.322,0.387,16.9,155.9,20.2,187.1,29,15,61,90,Rabat,Morocco,MA,Africa
