listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
291888,"the house at the beach, designer West Coast escape",Entire home,entire_home,https://a0.muscache.com/im/pictures/8dc55874-2705-4f4a-bfbd-4232a27739a7.jpg,38,1512003,Pierre,1500197,François,True,-32.7127,17.9655,8.0,4.0,6.0,3.5,False,"Cable TV,TV,Gym,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Pack ’n play/Travel crib,Indoor fireplace,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Dishwasher,Stove,Oven,Coffee maker,Baking sheet,Barbecue utensils,Waterfront,Beach access,Resort access,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Beach essentials,Free parking on premises,Pool,Gym,Single level home,Pets allowed,Long term stays allowed",,False,2.0,Flexible,ZAR,27,0.0,221,4.87,4.8,4.8,4.8,4.9,4.9,4.7,55857.0,1023475.0,450.8,8194.6,0.348,0.39,151.3,2772.1,169.4,3103.7,127,39,238,365,10865.0,195511.0,509.6,9170.0,0.233,0.412,119.2,2145.3,210.4,3785.9,21,39,69,90,Saldanha Bay,South Africa,ZA,Africa
657737,Absolute Beach B&B - KING ROOM 1,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-657737/original/b4567a1e-ab76-4e93-ba42-53bc3861affe.jpeg,14,3315668,Duncan,,,True,-32.72,17.935,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Iron,Heating,Wifi,Beach access,Patio or balcony,BBQ grill,Beach essentials,Free parking on premises,Pool,Luggage dropoff allowed,Breakfast",,False,1.0,Firm,ZAR,0,21.0,38,4.95,4.9,5.0,5.0,5.0,4.9,4.8,3501.0,63380.0,83.7,1522.7,0.115,0.0,9.6,173.6,0.0,0.0,42,0,323,365,1176.0,21167.0,90.1,1621.2,0.144,0.0,13.1,235.2,0.0,0.0,13,0,77,90,Saldanha Bay,South Africa,ZA,Africa
1047778,Oyster room Sandra's Guest House Langebaan,Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/5075d3d9-6fb4-4e68-8064-60febe80d028.jpg,32,5768292,Sandra,,,False,-33.0881,18.0318,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Breakfast,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Indoor fireplace,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor kitchen,Private entrance,Bathtub,Hot water,Body soap,Outdoor shower,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,BBQ grill,Shower gel,Patio or balcony,Backyard,Beach essentials,Luggage dropoff allowed,Long term stays allowed,Safe,Barbecue utensils",False,False,1.0,Firm,ZAR,0,46.0,21,4.48,4.7,4.7,4.8,4.6,4.8,4.2,3755.0,68602.0,153.7,2795.6,0.066,0.071,10.3,188.0,11.1,203.0,24,27,341,365,2246.0,40414.0,161.7,2909.0,0.156,0.222,25.0,449.0,35.7,641.5,14,27,76,90,Saldanha Bay,South Africa,ZA,Africa
2311676,Indigo Blue Beach House,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-2311676/original/1cfee770-115c-4693-a29f-5de554e18cd1.jpeg,28,11753744,Marie-Louise,,,True,-33.1021,18.0321,8.0,3.0,6.0,2.0,False,"TV,Cable TV,Pets allowed,Gym,Bathtub,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Clothing storage,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Indoor fireplace,Heating,Fire extinguisher,First aid kit,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Coffee,Beach access,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Single level home,Pets allowed,Long term stays allowed",,False,2.0,Firm,ZAR,0,0.0,33,4.88,5.0,4.8,4.7,4.8,5.0,4.6,62371.0,1136324.0,433.0,7879.9,0.386,0.0,170.9,3113.2,0.0,0.0,141,0,224,365,28579.0,514289.0,448.0,8061.9,0.7,0.0,317.5,5714.3,0.0,0.0,63,0,27,90,Saldanha Bay,South Africa,ZA,Africa
2375755,The Beach  house  Langebaan,Entire home,entire_home,https://a0.muscache.com/im/pictures/00da1225-a511-4117-abcb-e6a42b251bd6.jpg,26,11552729,Greg,,,True,-33.1035,18.0321,8.0,4.0,,3.5,False,"Bathtub,Cleaning products,Shampoo,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Clothing storage,TV,Books and reading material,Indoor fireplace,First aid kit,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Beach access,Lake access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,BBQ grill,Beach essentials,Kayak",,False,2.0,Strict,ZAR,0,0.0,11,4.82,4.7,4.8,4.5,4.8,5.0,4.5,20442.0,371338.0,236.1,4295.2,0.236,0.0,56.0,1017.4,0.0,0.0,86,0,279,365,9079.0,163384.0,236.2,4250.4,0.422,0.0,100.9,1815.4,0.0,0.0,38,0,52,90,Saldanha Bay,South Africa,ZA,Africa
2829813,"3 Dolphins, Britannia Bay",Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/b0f9e239-c747-4499-b6e1-5dd5a984381d.jpg,13,13046688,Pat,,,False,-32.7175,17.9607,8.0,4.0,6.0,2.0,False,"TV,Children’s books and toys,Wifi,Crib,Kitchen,Free parking on premises,Pets allowed,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Beach access,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Private entrance,Bathtub",,False,2.0,Non-refundable,ZAR,42,0.0,37,4.92,5.0,4.9,4.8,5.0,5.0,4.8,25291.0,459529.0,203.9,3711.0,0.31,0.329,65.3,1186.5,69.4,1262.6,113,22,252,365,11255.0,202542.0,217.3,3911.0,0.533,0.578,119.9,2158.1,130.0,2340.1,48,7,42,90,Saldanha Bay,South Africa,ZA,Africa
3899186,Dertien,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-3899186/original/bb780267-39f0-4edc-98ac-bf8acc06b9eb.jpeg,23,28233608,Vosloo,20190725,Imke,False,-32.809,17.888,6.0,3.0,3.0,1.5,False,"TV,Cable TV,Gym,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Clothing storage,Sound system,Board games,Indoor fireplace,Heating,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Beach access,Private entrance,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,ZAR,36,0.0,45,4.89,4.8,4.8,4.8,4.8,4.7,4.7,58424.0,1058596.0,368.8,6710.4,0.425,0.444,157.8,2859.4,165.0,2990.5,155,16,210,365,24627.0,443156.0,369.9,6655.6,0.722,0.0,269.6,4852.0,0.0,0.0,65,0,25,90,Saldanha Bay,South Africa,ZA,Africa
4028695,Goblins Creek1-Sunrise Surprise,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDAyODY5NQ%3D%3D/original/efd89187-f58e-4505-8aca-2c9968dc8674.jpeg?aki_policy=medium,23,15818381,,,,True,-32.7218,17.9736,2.0,1.0,1.0,0.0,,"Wifi,Kitchen,Free parking on premises,Air conditioning,Pool,TV,Indoor fireplace,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed",,,1.0,Strict,ZAR,0,16.0,19,4.79,4.8,5.0,4.8,5.0,4.4,4.7,1892.0,34839.0,35.1,640.2,0.142,0.144,5.2,95.4,5.3,96.8,52,5,313,365,393.0,7074.0,30.2,542.8,0.144,0.0,4.4,78.6,0.0,0.0,13,0,77,90,Saldanha Bay,South Africa,ZA,Africa
4254507,"House, 4 Thera Road, Calypso Beach, Langebaan",Entire home,entire_home,https://a0.muscache.com/im/pictures/1d8883bd-e6c2-4a4d-8a6c-541f4e5cd5c4.jpg,49,21074667,Hannes,,,True,-33.0542,18.0442,10.0,5.0,6.0,4.5,False,"Bathtub,Hair dryer,Cleaning products,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Pool table,Indoor fireplace,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Barbecue utensils,Dining table,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises",,False,2.0,Strict,ZAR,48,0.0,30,4.83,4.9,5.0,4.9,5.0,4.8,4.7,22243.0,404884.0,201.5,3663.3,0.285,0.317,59.0,1073.8,65.6,1194.9,104,37,261,365,10912.0,196369.0,219.2,3945.0,0.522,0.0,118.0,2124.3,0.0,0.0,47,0,43,90,Saldanha Bay,South Africa,ZA,Africa
4396995,Beach House -Die Pomphuisie,Entire home,entire_home,https://a0.muscache.com/im/pictures/55226251/1d214570_original.jpg,81,22391943,Tracey,,,False,-32.8067,17.895,10.0,4.0,5.0,3.0,False,"Cable TV,Gym,Hair dryer,Cleaning products,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Children’s books and toys,Window guards,Indoor fireplace,Ceiling fan,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Waterfront,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,ZAR,33,0.0,181,4.39,4.5,4.6,4.6,4.5,4.9,4.4,47543.0,863539.0,318.8,5786.0,0.364,0.403,126.5,2299.1,140.0,2543.0,133,35,232,365,22744.0,409273.0,469.7,8452.1,0.489,0.53,248.3,4468.3,269.3,4845.1,44,7,46,90,Saldanha Bay,South Africa,ZA,Africa
