listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
317327,"Self-catering cottage,  central in Stellenbosch",Entire home,entire_home,https://a0.muscache.com/im/pictures/108253038/7641eead_original.jpg,20,1629425,Adriaan,,,TRUE,-33.9353,18.8773,4,3,4,2,FALSE,"Pets allowed,Hair dryer,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby safety gates,Babysitter recommendations,Air conditioning,Portable fans,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,FALSE,2,Firm,ZAR,0,0,82,4.67,4.8,4.9,4.6,4.9,4.8,4.7,12283,224047,55.1,1002,0.616,0.684,33.7,613.8,37.3,681,225,36,140,365,2012,36216,59.7,1075.2,0.367,0.611,22.4,402.4,37.3,670.7,33,36,57,90,Stellenbosch,South Africa,ZA,Africa
449025,Accommodation Stellenbosch(1),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/5336386/2dabaff3_original.jpg,15,2229529,Martie,,,FALSE,-33.9519,18.8627,3,1,3,1,FALSE,"TV,Washer,Wifi,Air conditioning,Pool,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Hangers,Hair dryer,Hot water,Iron,Heating",,FALSE,3,Moderate,ZAR,0,5,77,4.62,4.6,4.8,4.8,4.7,4.6,4.7,1756,31608,47,855.2,0.09,0.113,4.8,86.6,6,108.2,33,73,332,365,1756,31608,50.7,912.8,0.367,0,19.5,351.2,0,0,33,0,57,90,Stellenbosch,South Africa,ZA,Africa
1372561,Franschhoek La Terra by Luc Luxury Suite 1,Private room in farm stay,private_room,https://a0.muscache.com/im/pictures/4ac50976-6b5e-4cd8-ac4a-25dd054a37e5.jpg,31,7439990,Lois,24576903,Damion,TRUE,-33.8993,19.1049,,,1,0,FALSE,"Bathtub,Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Clothing storage,TV,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Wine glasses,Private entrance,Patio or balcony,Backyard,Free parking on premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,FALSE,1,Firm,ZAR,0,0,63,4.63,4.8,4.7,4.8,4.8,4.9,4.7,10153,184175,138,2508.9,0.192,0,27.8,504.6,0,0,70,0,295,365,6229,112081,151.1,2719.6,0.456,0,69.2,1245.3,0,0,41,0,49,90,Stellenbosch,South Africa,ZA,Africa
1470768,Luxury garden studio in a lush tropical garden,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/pro_photo_tool/Hosting-1470768-unapproved/original/dbabedac-3f43-4a77-94db-89a874ea0348.JPEG,31,7758031,Annette,,,FALSE,-33.9511,18.8484,2,1,4,1,FALSE,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed,Cleaning before checkout",,FALSE,2,Firm,ZAR,2,11,93,4.89,4.9,4.9,5,5,4.9,4.9,11714,213359,41.1,747.2,0.764,0,31.9,580.7,0,0,279,0,86,365,4129,74322,46.5,836.2,0.978,0,45.4,817.4,0,0,88,0,2,90,Stellenbosch,South Africa,ZA,Africa
1585576,Petite France:luxury thatched 4BRcottage with pool,Entire home,entire_home,https://a0.muscache.com/im/pictures/bb705f66-b68a-455d-9416-f25f9d795ea4.jpg,26,8447856,Philippe,,,FALSE,-33.9077,19.1184,8,4,5,4.5,FALSE,"Pets allowed,Hair dryer,Outdoor shower,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Piano,Books and reading material,Crib,High chair,Indoor fireplace,Portable fans,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Long term stays allowed",,FALSE,2,Firm,ZAR,81,0,215,4.87,4.9,4.9,4.8,4.9,4.9,4.8,63476,1158224,358,6513.4,0.46,0.778,165,3013.4,278.9,5092.1,168,149,197,365,23976,431448,377,6783.4,0.667,0.759,252.9,4550.9,288.1,5184.5,60,11,30,90,Stellenbosch,South Africa,ZA,Africa
1915362,Valentina Room | CASA MORI B&B,Private room in farm stay,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1915362/original/44bcf8a9-9e52-4836-a4e5-d9d55455107d.jpeg,31,9934136,Marilyn,10837107,Yolanda,FALSE,-33.8878,18.8099,,,1,0,FALSE,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Pack ’n play/Travel crib,High chair,Baby bath,Air conditioning,Indoor fireplace,Heating,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Pool,Luggage dropoff allowed,Breakfast,Long term stays allowed",,FALSE,2,Moderate,ZAR,0,0,234,4.86,4.9,4.9,4.8,4.8,4.9,4.8,9060,166541,142.5,2593.3,0.173,0.382,24.8,456.3,54.9,1009.3,63,200,302,365,297,5344,142.9,2571,0.022,0.333,3.3,59.4,49.5,890.7,2,84,88,90,Stellenbosch,South Africa,ZA,Africa
2026426,Cook's Cottage : Charming cottage in the village,Entire home,entire_home,https://a0.muscache.com/im/pictures/858b3a42-5c29-4901-82af-23d6229ba0ba.jpg,26,10405807,Jo,,,TRUE,-33.9089,19.1186,6,3,4,2,FALSE,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Board games,Babysitter recommendations,Air conditioning,Indoor fireplace,Portable fans,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed",,FALSE,2,Firm,ZAR,0,0,115,4.92,4.9,4.9,4.9,4.9,5,4.8,50798,926965,222.7,4053.8,0.603,0.665,139.2,2539.6,153.5,2800.5,220,34,145,365,18858,339374,283,5093.5,0.744,0.798,209.5,3770.8,224.5,4040.2,67,6,23,90,Stellenbosch,South Africa,ZA,Africa
2098995,Bruno Room | MORI HOUSE B&B,Private room in farm stay,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2098995/original/946ab439-df37-40f5-826a-16204ed068bf.jpeg,41,9934136,Marilyn,10837107,Yolanda,FALSE,-33.8902,18.8092,,,1,0,FALSE,"High chair,Wifi,Pool,Pack ’n play/Travel crib,Free parking on premises,Hot water,Body soap,Breakfast,Conditioner,Bed linens,Extra pillows and blankets,Outdoor furniture,Indoor fireplace,Heating,Clothing storage,Washer,BBQ grill,Shower gel,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Bathtub,Baby bath",TRUE,FALSE,2,Refundable,ZAR,0,0,339,4.89,4.9,4.9,4.8,4.9,4.9,4.9,4667,84436,106.2,1932.5,0.121,0.204,12.8,231.3,21.6,390.9,44,149,321,365,113,2033,108.7,1955,0.011,0.056,1.3,22.6,6.3,112.9,1,72,89,90,Stellenbosch,South Africa,ZA,Africa
2167767,Bianca Room | CASA MORI B&B,Private room in farm stay,private_room,https://a0.muscache.com/im/pictures/8f5d43fb-1a79-47dd-aa65-2f9319e0a936.jpg,28,9934136,Marilyn,10837107,Yolanda,FALSE,-33.8854,18.8071,,,2,0,FALSE,"High chair,Wifi,Pool,Pack ’n play/Travel crib,Free parking on premises,Hot water,Breakfast,Bed linens,Outdoor furniture,Heating,Washer,BBQ grill,Patio or balcony,First aid kit,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area",,FALSE,2,Non-refundable,ZAR,0,0,258,4.84,4.9,4.9,4.8,4.9,4.9,4.9,4455,80509,103.6,1884.3,0.121,0.218,12.2,220.6,22.1,398.6,44,163,321,365,0,0,106.2,1910,0,0,0,0,0,0,0,70,90,90,Stellenbosch,South Africa,ZA,Africa
2408309,Franschhoek La Terra by Luc Luxury Suite 2,Private room in farm stay,private_room,https://a0.muscache.com/im/pictures/fe527abf-dabf-4a4a-8fc2-2ddc0f628376.jpg,31,7439990,Lois,24576903,Damion,TRUE,-33.9053,19.1117,,,1,0,FALSE,"TV,Wifi,Air conditioning,Free parking on premises,Hot water kettle,Hot water,Body soap,Mini fridge,Bed linens,Dishes and silverware,Heating,Wine glasses,Single level home,Shower gel,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Dedicated workspace,Private entrance,Bathtub",,FALSE,1,Firm,ZAR,0,0,117,4.71,4.8,4.8,4.9,4.7,4.8,4.6,10401,189639,125,2271.4,0.225,0,28.5,519.6,0,0,82,0,283,365,4772,85861,136.1,2448,0.389,0,53,954,0,0,35,0,55,90,Stellenbosch,South Africa,ZA,Africa
