listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
470968,"Traditionnal house, the Peacock room  / wifi FIBRE",Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-470968/original/2640967a-a3e5-4ec6-a7d9-a976cc91a68b.jpeg,34.0,2336878,Michele,24399578,Nina,True,35.7879,-5.8119,,,2.0,0.0,False,"Washer,Wifi,Patio or balcony,Luggage dropoff allowed,Essentials,Paid parking off premises,Lock on bedroom door,Pets allowed,Hangers,Hair dryer,Hot water,Iron,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Heating",False,False,3.0,Firm,MAD,17.0,11.0,288,4.83,4.9,4.9,4.9,4.9,4.8,4.8,2460,23155,61.2,572.8,0.11,0.0,6.2,58.7,0.0,0.0,40,0,325,365,0,0,70.1,647.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tangier,Morocco,MA,Africa
522620,Riad with view in Tangier's Medina,Entire home,entire_home,https://a0.muscache.com/im/pictures/6644096/ab742859_original.jpg,29.0,1269128,Siriac,5373581,Manigée,False,35.7889,-5.8121,8.0,5.0,6.0,3.0,False,"Washer,Kitchen,Smoking allowed,Indoor fireplace",False,,5.0,Firm,MAD,0.0,0.0,24,4.79,5.0,4.7,4.6,4.8,4.6,4.7,18305,173758,188.6,1769.9,0.279,0.289,50.2,476.0,51.9,492.2,102,12,263,365,808,7466,201.1,1858.7,0.044,0.0,9.0,83.0,0.0,0.0,4,0,86,90,Tangier,Morocco,MA,Africa
724542,"Maa'Zhar, house in Tangier Medina",Entire home,entire_home,https://a0.muscache.com/im/pictures/11162552/15097f45_original.jpg,32.0,3430720,Aline,,,False,35.789,-5.8106,6.0,3.0,4.0,2.0,False,"Gym,TV,Wifi,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Crib,Pack ’n play/Travel crib,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Beach access,Patio or balcony",,False,4.0,Firm,MAD,82.0,0.0,78,4.6,4.7,4.7,4.4,4.7,4.7,4.5,12137,112767,122.0,1147.1,0.233,0.265,30.6,284.0,34.7,323.0,85,44,280,365,0,0,114.6,1059.0,0.0,0.0,0.0,0.0,0.0,0.0,0,38,90,90,Tangier,Morocco,MA,Africa
1116734,In the middle of the famous médina,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1116734/original/c2457614-1a8d-42d1-87fe-4adae35baa59.jpeg,19.0,5765163,Anne Marie,,,True,35.7874,-5.8115,3.0,2.0,4.0,1.5,False,"Children’s books and toys,Wifi,Babysitter recommendations,Crib,Kitchen,Pack ’n play/Travel crib,Hot water kettle,Paid parking off premises,Children’s dinnerware,Portable fans,Pets allowed,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Pocket wifi,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Washer,Dryer,Single level home,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Toaster",,False,3.0,Firm,MAD,0.0,0.0,131,4.79,4.8,5.0,4.9,5.0,4.8,4.7,11616,108192,68.4,641.9,0.463,0.531,31.8,296.4,36.5,340.2,169,47,196,365,1069,9878,71.3,658.9,0.167,0.214,11.9,109.8,15.3,141.1,15,20,75,90,Tangier,Morocco,MA,Africa
1173752,⭐OCEAN views⭐CENTER! Swimming pool. SANITIZED!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ab1f1782-307e-48f7-9787-6edc567f4972.jpg,67.0,2354308,Lluvia,5706944,Kevin,True,35.7794,-5.8073,6.0,2.0,4.0,2.0,False,"Cable TV,Kitchen,Smoking allowed,Gym,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Pack ’n play/Travel crib,Children’s dinnerware,Board games,Babysitter recommendations,Air conditioning,Air conditioning,Ceiling fan,Heating,Heating,Exterior security cameras on property,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Beach access,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Pool,Elevator,Paid parking on premises,Single level home,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,MAD,41.0,0.0,543,4.92,4.9,4.9,4.9,5.0,4.9,4.8,15237,142275,149.5,1399.0,0.249,0.0,39.2,365.9,0.0,0.0,91,0,274,365,1381,12762,130.3,1203.9,0.1,0.0,14.0,129.2,0.0,0.0,9,0,81,90,Tangier,Morocco,MA,Africa
1829066,Dar el Marsa,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTgyOTA2Ng==/original/273517e9-0b18-4a0e-800c-2c64e5214912.jpeg,26.0,9569107,Fatima,,,False,35.7835,-5.8099,4.0,2.0,2.0,1.0,False,"Shampoo,Hot water,Essentials,Hangers,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony",,False,3.0,Moderate,MAD,11.0,0.0,53,4.32,4.4,4.4,4.3,4.7,4.5,4.3,10697,99271,58.9,552.3,0.463,0.473,28.4,263.3,29.0,269.2,169,8,196,365,1820,16819,62.1,573.6,0.311,0.341,19.5,180.1,21.4,197.6,28,8,62,90,Tangier,Morocco,MA,Africa
1829074,RIAD AROUS CHAMEL  DU 18° Siecle,Room in bed and breakfast,hotel_room,,,9569107,,,,False,35.7867,-5.8135,2.0,1.0,1.0,1.0,False,"Hot water,Essentials,Indoor fireplace,Heating,Wifi,Kitchen,Patio or balcony,Breakfast",,False,2.0,Moderate,MAD,11.0,20.0,408,4.66,4.8,4.7,4.7,4.7,4.8,4.7,4462,42176,47.6,447.1,0.244,0.286,11.5,108.6,13.5,127.4,89,54,276,365,279,2581,48.3,446.1,0.056,0.07,2.9,26.4,3.6,33.5,5,19,85,90,Tangier,Morocco,MA,Africa
1829433,AROUS CHAMEL RIAD OF THE 18TH CENTURY,Room in bed and breakfast,hotel_room,,,9569107,,,,False,35.786,-5.8124,3.0,1.0,1.0,1.0,False,"Hot water,Indoor fireplace,Heating,Fire extinguisher,Wifi,Patio or balcony,Breakfast",,False,2.0,Moderate,MAD,11.0,21.0,232,4.59,4.7,4.6,4.7,4.7,4.7,4.6,6727,63792,47.1,442.1,0.378,0.4,17.3,164.2,18.3,173.7,138,20,227,365,260,2403,47.7,440.5,0.056,0.071,2.6,24.4,3.4,31.4,5,20,85,90,Tangier,Morocco,MA,Africa
1983189,"Dar 23, in the heart of the Medina",Riad,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1983189/original/f0755a49-ecb2-41b6-9c73-6b832283e7ec.jpeg,62.0,5262379,Edouard,156030510,Béatrice,False,35.7853,-5.8108,6.0,4.0,4.0,3.0,False,"High chair,TV,Washer,Smoke alarm,Wifi,First aid kit,Kitchen,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware",False,False,3.0,Moderate,MAD,33.0,0.0,5,5.0,4.8,4.8,5.0,4.8,4.8,4.8,3337,31677,191.4,1796.4,0.044,0.118,8.7,82.6,23.3,221.7,16,229,349,365,914,8447,211.7,1956.2,0.044,0.073,9.8,90.5,16.0,148.0,4,35,86,90,Tangier,Morocco,MA,Africa
2504803,nice house in the medina of Tangier,Entire home,entire_home,https://a0.muscache.com/im/pictures/f7c72b67-4714-4283-9a96-f1aee947e056.jpg,14.0,12467623,Eva,,,False,35.7876,-5.8123,5.0,1.0,4.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,TV,Board games,Portable fans,Heating,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Toaster,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Paid parking on premises,Pets allowed,Smoking allowed",,False,1.0,Flexible,MAD,0.0,0.0,371,4.55,4.6,4.8,4.3,4.9,4.8,4.5,13208,123548,62.6,586.6,0.573,0.599,36.2,338.5,37.8,354.0,209,16,156,365,2010,18576,57.7,533.4,0.389,0.473,22.3,206.4,27.2,251.0,35,16,55,90,Tangier,Morocco,MA,Africa
