listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
422934,LACASADELCENTROATUNIS.55€XJJX2PERSO,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12eafd53-fa2f-4d58-9df5-4f5ef90786a0.jpg,35,2103142,Filippo,,,True,36.803,10.1816,3.0,1.0,3.0,1.0,False,"Hair dryer,Hot water,Essentials,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Paid parking off premises,Pets allowed",,False,2.0,Strict,TND,23.0,17.0,153.0,4.78,4.8,4.9,4.8,4.9,4.8,4.7,5088.0,15330.0,43.8,132.2,0.29,0.317,13.0,39.2,14.2,42.8,106,31,259,365,610.0,1819.0,43.4,129.2,0.144,0.153,6.3,18.7,6.6,19.8,13,5,77,90,Tunis,Tunisia,TN,Africa
658111,Comfortable studio renovated  in june 25 2025,Entire home,entire_home,https://a0.muscache.com/im/pictures/8591087/cf3fa6a8_original.jpg,20,3317712,Moncef,,,True,36.8724,10.3444,2.0,1.0,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Window guards,Air conditioning,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Private entrance,Laundromat nearby,Free street parking,Single level home,Luggage dropoff allowed,Cleaning before checkout",,False,1.0,Firm,TND,11.0,0.0,317.0,4.66,4.7,4.9,4.7,4.9,4.9,4.5,1371.0,4097.0,49.5,149.4,0.071,0.0,3.6,10.8,0.0,0.0,26,0,339,365,0.0,0.0,51.8,154.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tunis,Tunisia,TN,Africa
717507,Tunis Medina  Renovated Arab House,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-717507/original/93dd66cc-c5e9-4e92-a39d-f01dbcc1b65c.jpeg,38,2699801,Philippe,,,True,36.7938,10.176,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Smoking allowed",,False,3.0,Firm,TND,34.0,0.0,125.0,4.78,4.9,4.9,4.8,4.9,4.4,4.6,5967.0,18032.0,69.9,211.4,0.211,0.236,14.4,43.5,16.1,48.7,77,39,288,365,1412.0,4218.0,72.8,217.4,0.2,0.243,14.6,43.5,17.7,52.9,18,16,72,90,Tunis,Tunisia,TN,Africa
742060,Villa in La Marsa Corniche,Entire villa,entire_home,https://a0.muscache.com/im/pictures/8553a501-b07c-446d-8942-f50f3c55cd19.jpg,37,3641983,Leda,,,True,36.8825,10.3345,6.0,4.0,8.0,4.5,False,"Gym,Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Baby safety gates,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Beach access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Beach essentials,Sun loungers,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,TND,46.0,0.0,56.0,4.91,4.9,4.9,4.7,5.0,4.9,4.8,29584.0,88659.0,171.7,519.4,0.441,0.488,77.5,232.4,85.7,257.0,161,35,204,365,1524.0,4552.0,172.8,516.5,0.089,0.121,14.9,44.5,20.3,60.7,8,24,82,90,Tunis,Tunisia,TN,Africa
805155,Nana Henani Studio B&B&Pool Gammarth Superior,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-805155/original/1dd20145-99c1-4a05-a6e7-be1d627ce1cb.jpeg,41,3469006,Foued,22863801,Achraf Sidki,True,36.8956,10.3157,4.0,1.0,2.0,1.0,False,"Gym,Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Crib,Window guards,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Coffee,Waterfront,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free street parking,Pool,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Flexible,TND,22.0,0.0,107.0,4.97,5.0,5.0,4.9,4.9,4.9,4.9,26411.0,80334.0,133.3,404.3,0.477,0.0,72.1,219.4,0.0,0.0,174,0,191,365,0.0,0.0,99.6,297.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Tunis,Tunisia,TN,Africa
857026,Private Comfortable cosy room Tunis for female,Private room in villa,private_room,https://a0.muscache.com/im/pictures/29446896/fa3a5ef7_original.jpg,35,4175454,Salma,,,True,36.811,10.1266,,,2.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Books and reading material,Pack ’n play/Travel crib,High chair,Portable fans,Heating,Heating,Exterior security cameras on property,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Toaster,Baking sheet,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,TND,0.0,6.0,104.0,4.91,4.9,5.0,5.0,5.0,4.6,4.9,185.0,555.0,12.4,37.5,0.041,0.069,0.5,1.5,0.9,2.6,15,148,350,365,173.0,519.0,12.6,37.8,0.156,0.0,1.9,5.8,0.0,0.0,14,0,76,90,Tunis,Tunisia,TN,Africa
1088832,PENTHOUSE IN TUNIS CITY CENTER WITH TERRACE,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/25456631-d12c-4456-8436-083e73c4ade8.jpg,33,2103142,Filippo,,,True,36.8014,10.18,3.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Iron,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Paid parking off premises",,False,3.0,Strict,TND,23.0,17.0,127.0,4.82,4.9,4.9,4.8,4.9,4.9,4.8,7814.0,23645.0,44.0,132.8,0.455,0.0,19.8,59.9,0.0,0.0,166,0,199,365,1087.0,3240.0,45.1,134.5,0.233,0.0,10.5,31.4,0.0,0.0,21,0,69,90,Tunis,Tunisia,TN,Africa
1103419,"The Blue Room, Tunis' Medina",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/34432377-0616-4c74-9c3f-b5d7138537bb.jpg,22,3049644,"⁨Marouane,⁩",719672858,Leila,True,36.7996,10.1694,,2.0,2.0,0.0,False,"Hair dryer,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Crib,Pack ’n play/Travel crib,Children’s books and toys,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,Paid parking off premises,Luggage dropoff allowed,Breakfast,Smoking allowed",,False,1.0,Moderate,TND,3.0,0.0,97.0,4.96,5.0,5.0,5.0,5.0,4.9,4.9,16968.0,50979.0,114.8,347.7,0.397,0.523,46.2,138.7,60.8,182.8,145,88,220,365,6136.0,18354.0,113.2,338.6,0.589,0.654,67.7,202.5,75.2,225.0,53,9,37,90,Tunis,Tunisia,TN,Africa
1103420,"Le Makhzen, in the Médina",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/05ad73bb-5368-4e23-a377-5e21cf677446.jpg,25,3049644,"⁨Marouane,⁩",719672858,Leila,True,36.7988,10.1695,,,1.0,0.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,Movie theater,Crib,Pack ’n play/Travel crib,Children’s books and toys,Board games,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Outdoor furniture,Outdoor dining area,Paid parking off premises,Luggage dropoff allowed,Breakfast,Smoking allowed",,False,1.0,Moderate,TND,3.0,0.0,80.0,4.94,5.0,4.9,4.9,5.0,4.9,4.8,14886.0,45266.0,95.0,287.8,0.438,0.539,40.4,122.8,49.6,151.0,160,68,205,365,5059.0,15119.0,87.0,260.1,0.644,0.0,55.6,166.2,0.0,0.0,58,0,32,90,Tunis,Tunisia,TN,Africa
1128813,Guest Apartment in Tunis Medina,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/90dbc08c-2ab7-4312-b7b7-415f49c9f4af.jpg,17,6192896,Isabelle Et Selim,6300757,Selim,True,36.802,10.17,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Coffee maker,Baking sheet,Patio or balcony,Backyard,Free street parking,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,TND,5.0,5.0,370.0,4.95,5.0,5.0,5.0,5.0,4.9,4.9,12110.0,36549.0,56.9,171.8,0.573,0.0,32.4,97.8,0.0,0.0,209,0,156,365,2820.0,8413.0,59.1,176.3,0.522,0.0,30.7,91.5,0.0,0.0,47,0,43,90,Tunis,Tunisia,TN,Africa
