listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
88260,Warehouse Apartment,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-88260/original/bb3ab0b8-a29f-4795-818f-ec235dd30ef9.jpeg,35,474564,John,,,False,-34.9256,138.6429,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Ceiling fan,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Moderate,AUD,0.0,0.0,349,4.9,4.9,5.0,5.0,5.0,4.9,4.9,30988,48607,96.2,150.9,0.874,0.0,84.9,133.2,0.0,0.0,319,0,46,365,7298,11332,93.1,144.5,0.867,0.0,81.1,125.9,0.0,0.0,78,0,12,90,Adelaide,Australia,AU,Asia Pacific
150424,"The Lotus Eater, Garden bungalow 5 min to CBD",Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/1018564/264fb017_original.jpg,32,724810,Angela,,,True,-34.9432,138.6085,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Free street parking,Single level home,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Firm,AUD,0.0,0.0,305,4.83,4.9,5.0,4.9,4.9,4.8,4.8,17522,27545,107.5,168.3,0.441,0.488,48.0,75.5,53.1,83.5,161,35,204,365,6269,9735,109.1,169.4,0.633,0.0,69.7,108.2,0.0,0.0,57,0,33,90,Adelaide,Australia,AU,Asia Pacific
354709,Self Contained Suite in Magill,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/89a86b21-b86f-4e62-a69d-083bfd80e4da.jpg,19,1796381,Neil,,,True,-34.9053,138.671,2.0,1.0,1.0,1.0,False,"TV,Washer,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Hot water,Iron,Breakfast,Refrigerator,Dishes and silverware,Heating",,False,3.0,Firm,AUD,40.0,0.0,102,4.72,4.8,4.9,4.8,5.0,4.8,4.8,7783,12228,49.2,77.0,0.386,0.547,18.7,29.4,26.4,41.6,141,107,224,365,2718,4221,52.4,81.4,0.511,0.59,26.6,41.4,30.7,47.8,46,12,44,90,Adelaide,Australia,AU,Asia Pacific
361582,Adelaide CBD large Private Studio,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/7394998/71d58c67_original.jpg,16,1827221,Tricia,,,False,-34.9083,138.6252,3.0,1.0,2.0,1.0,False,"TV,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Pets allowed,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Drying rack for clothing,Dishes and silverware,Heating,Clothing storage,Wine glasses,Smoke alarm,First aid kit,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Private entrance,Toaster",False,False,4.0,Strict,AUD,19.0,0.0,183,4.19,4.3,4.7,4.4,4.7,4.8,4.1,4182,6496,187.7,294.6,0.063,0.074,11.3,17.6,13.2,20.5,23,53,342,365,997,1548,164.3,255.2,0.067,0.0,10.9,16.9,0.0,0.0,6,0,84,90,Adelaide,Australia,AU,Asia Pacific
558613,Just Right @ Hyde Park - Between Prestige & Boho,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTU4NjEz/original/93f48456-289d-4abc-ac4f-954289ab655c.jpeg,51,2741843,Krissy,,,True,-34.9559,138.5973,4.0,2.0,3.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Window guards,Air conditioning,Ceiling fan,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Rice maker,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Single level home",,False,3.0,Limited,AUD,26.0,0.0,126,4.81,4.9,5.0,4.8,5.0,4.9,4.8,32621,51114,131.7,206.1,0.655,0.0,86.6,135.8,0.0,0.0,239,0,126,365,10386,16125,139.4,216.5,0.789,0.0,111.6,173.4,0.0,0.0,71,0,19,90,Adelaide,Australia,AU,Asia Pacific
730690,East End CBD Apt-2 Beds+sofabed+free park+Netflix,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-730690/original/4bc12fa1-0ff1-44e7-accf-6c5ba2cbc565.jpeg,23,2939465,Andy,,,True,-34.9231,138.6073,6.0,2.0,3.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Children’s books and toys,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Free parking on premises,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,AUD,66.0,0.0,324,4.69,4.7,4.8,4.6,4.9,4.9,4.7,40587,63532,143.4,224.6,0.759,0.0,107.6,168.5,0.0,0.0,277,0,88,365,8861,13755,159.7,247.9,0.556,0.0,93.3,144.9,0.0,0.0,50,0,40,90,Adelaide,Australia,AU,Asia Pacific
844437,"ReTrO Beach Shack, Wi-Fi, 75\ TV"," Arcade Machine""",entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-844437/original/ecb2f958-fd44-4591-bcf6-af3daa3cb08f.jpeg,59,4408569,John,,,True,-35.2775,138.4439,6.0,3.0,4.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Game console,Arcade games,Books and reading material,Theme room,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Board games,Air conditioning,Ceiling fan,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Barbecue utensils,Dining table,Coffee,Beach access,Private entrance,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Single level home,Pets allowed,Long term stays allowed",,False,3.0,Moderate,AUD,66.0,0.0,215,4.95,5.0,5.0,4.9,5.0,4.9,4.9,27005,42225,127.0,198.7,0.496,0.0,66.8,104.5,0.0,0.0,181,0,184,365,10032,15574,160.6,249.3,0.633,0.0,104.1,161.7,0.0,0.0,57,0,33,90,Adelaide,Australia,AU,Asia Pacific
865037,Orchid Garden Reynella,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12416587/ec73af98_original.jpg,18,4540979,Trevor And My Partner Rozz,,,True,-35.0937,138.5414,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Paid parking on premises,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Bathtub,Hot water,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Baking sheet,Barbecue utensils,Toaster",,False,1.0,Firm,AUD,0.0,0.0,59,4.8,4.9,4.9,4.8,4.9,4.8,4.8,6806,10775,179.0,280.2,0.101,0.0,18.6,29.5,0.0,0.0,37,0,328,365,2279,3539,177.8,276.0,0.144,0.0,25.3,39.3,0.0,0.0,13,0,77,90,Adelaide,Australia,AU,Asia Pacific
913489,"Close to CBD, 2B/R Quality & Warmth",Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-913489/original/7dd80542-f1f4-4da8-a998-385813b62bb5.jpeg,20,4903466,Suzann,,,True,-34.9568,138.6337,,2.0,2.0,0.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free street parking,Single level home,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Strict,AUD,13.0,20.0,431,4.85,4.9,4.9,4.8,5.0,4.9,4.8,12187,19077,59.5,93.1,0.526,0.0,31.7,49.6,0.0,0.0,192,0,173,365,3534,5485,59.6,92.6,0.611,0.0,37.4,58.1,0.0,0.0,55,0,35,90,Adelaide,Australia,AU,Asia Pacific
919896,Hindmarsh House on College,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/959ccf0d-a7dc-46d6-b382-509118a09bdf.jpg,25,4955440,Beverly,,,True,-34.981,138.513,7.0,3.0,5.0,1.5,False,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Oven,Coffee maker,Patio or balcony,Free parking on premises,Free street parking",,False,2.0,Firm,AUD,0.0,0.0,128,4.89,4.9,5.0,5.0,4.9,5.0,4.9,34281,53807,223.0,349.1,0.425,0.0,93.9,147.4,0.0,0.0,155,0,210,365,12496,19395,219.2,340.3,0.633,0.0,138.8,215.5,0.0,0.0,57,0,33,90,Adelaide,Australia,AU,Asia Pacific
