listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1533916,Dynamic - Deluxe Room with Netflix & Disney+,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/53521311/857c89b8_original.jpg,31.0,8180419,⁨Haru(YoungSoo)⁩,,,True,35.1502,129.0577,,,2.0,0.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Breakfast,Elevator,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",False,False,1.0,Moderate,KRW,0.0,0.0,151,4.67,4.8,4.7,4.6,4.7,4.7,4.7,6799,9549862.0,56.4,79478.9,0.326,0.356,18.6,26164.0,20.4,28592.4,119,31,246,365,1198,1656810.0,50.2,69471.7,0.267,0.273,13.3,18409.0,13.6,18827.4,24,2,66,90,Busan,South Korea,KR,Asia Pacific
1543309,Dynamic - a bed in 6 beds female dorm,Shared room in rental unit,shared_room,https://a0.muscache.com/im/pictures/26572408/1387789e_original.jpg,31.0,8180419,⁨Haru(YoungSoo)⁩,,,True,35.1502,129.0577,,,3.0,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Waterfront,Patio or balcony,Free parking on premises,Free street parking,Hot tub,Elevator,Breakfast",,False,1.0,Moderate,KRW,0.0,0.0,339,4.7,4.8,4.8,4.7,4.7,4.8,4.8,1352,1902671.0,15.4,21658.7,0.227,0.228,3.7,5212.8,3.7,5227.1,83,1,282,365,158,218514.0,13.1,18101.9,0.144,0.0,1.8,2427.9,0.0,0.0,13,0,77,90,Busan,South Korea,KR,Asia Pacific
1543580,Dynamic - a bed in 4 beds mixed dorm,Shared room in rental unit,shared_room,https://a0.muscache.com/im/pictures/53517140/cc8e40f3_original.jpg,32.0,8180419,⁨Haru(YoungSoo)⁩,,,True,35.1502,129.0577,,,2.0,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Free parking on premises,Free street parking,Elevator,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Moderate,KRW,0.0,0.0,362,4.72,4.8,4.8,4.8,4.7,4.8,4.8,1752,2467320.0,15.7,22029.7,0.293,0.298,4.8,6759.8,4.9,6872.8,107,6,258,365,140,193620.0,14.0,19362.0,0.111,0.0,1.6,2151.3,0.0,0.0,10,0,80,90,Busan,South Korea,KR,Asia Pacific
1548800,Dynamic - Suite Room with Netflix & Disney+,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/53519631/c0aa32f5_original.jpg,30.0,8180419,⁨Haru(YoungSoo)⁩,,,True,35.1502,129.0577,,,2.0,0.0,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Patio or balcony,Free parking on premises,Hot tub,Elevator,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Moderate,KRW,0.0,0.0,128,4.77,4.8,4.8,4.7,4.7,4.8,4.7,11315,16000000.0,71.9,101196.7,0.438,0.476,31.0,43702.3,33.7,47474.2,160,29,205,365,2328,3219587.0,64.6,89340.8,0.4,0.414,25.9,35773.2,26.8,37006.7,36,3,54,90,Busan,South Korea,KR,Asia Pacific
1629839,"Busan Hanok Daranhyang
Traditional Hanok on the hill (private house)
626-7 Gomnae-gil",Entire home,entire_home,https://a0.muscache.com/im/pictures/47a321b5-971d-4ade-a3dc-13b0e4c238b3.jpg,91.0,8662480,다란향,,,False,35.3143,129.1713,8.0,2.0,1.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Smoking allowed,Hot water,Extra pillows and blankets,Free street parking,Outdoor furniture,Refrigerator,Dishes and silverware,Heating,Clothing storage,Washer,Smoke alarm,BBQ grill,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Outdoor dining area",,False,1.0,Moderate,KRW,0.0,0.0,40,4.68,4.8,4.9,4.7,4.9,4.3,4.6,20017,28400000.0,293.6,413449.0,0.184,0.184,54.8,77683.7,55.0,77897.1,67,1,298,365,1921,2656702.0,275.9,381563.9,0.078,0.0,21.3,29518.9,0.0,0.0,7,0,83,90,Busan,South Korea,KR,Asia Pacific
2668564,태평양과 광안대교가 펼쳐져보이는 전망 좋은집 (해운대 엑소디움),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-2668564/original/77823158-005d-4859-a8b3-400fcf3c0e91.jpg,58.0,13658661,Soon  Hwa,516943249,중경,False,35.1628,129.1377,,,1.0,0.0,False,"TV,Cable TV,Window guards,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Hot tub,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Dryer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace",,False,3.0,Flexible,KRW,0.0,0.0,315,4.87,4.9,4.9,4.8,4.9,4.8,4.8,4516,6449939.0,127.5,179026.1,0.104,0.0,12.4,17671.1,0.0,0.0,38,0,327,365,899,1243298.0,133.5,184581.7,0.078,0.0,10.0,13814.4,0.0,0.0,7,0,83,90,Busan,South Korea,KR,Asia Pacific
2936826,Busan Harbour view APT. 3 Bedroom 2 bathroom,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjkzNjgyNg%3D%3D/original/fe840e2a-40eb-4c49-86de-cb3b23367b3b.png,48.0,7815854,⁨A.J.⁩,"143,451,900,696,535,000","Sujin,미스터멘션",True,35.0941,129.0352,8.0,3.0,6.0,2.0,True,"Kitchen,Gym,Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Children’s books and toys,Window guards,Air conditioning,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Rice maker,Elevator,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Firm,KRW,20.0,0.0,520,4.91,5.0,5.0,4.8,5.0,4.9,4.9,45877,64400000.0,157.6,221322.4,0.751,0.0,120.8,169600.9,0.0,0.0,274,0,91,365,9614,13300000.0,160.9,222490.8,0.6,0.0,102.4,141586.4,0.0,0.0,54,0,36,90,Busan,South Korea,KR,Asia Pacific
3252102,sunshine,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-3252102/original/3d9332cd-61be-42a2-8233-bb2b7e364f37.jpg,38.0,10643348,Teresa,,,True,35.1393,129.0674,,,1.0,0.0,True,"Hair dryer,Hot water,Washer,Hangers,Iron,TV,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Free parking on premises,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,KRW,10.0,0.0,80,4.81,4.8,5.0,4.9,4.8,4.9,4.8,1388,1946681.0,38.6,54244.7,0.099,0.173,3.7,5219.7,6.5,9159.6,36,157,329,365,0,0.0,39.5,54627.5,0.0,0.0,0.0,0.0,0.0,0.0,0,66,90,90,Busan,South Korea,KR,Asia Pacific
3556914,#Lido Edition #Gwangalli Beach #Gwangandaegyo Bridge Panorama #Ocean View & AVEDA Amenities,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/524c2fd8-3b54-439a-ac9b-f8476bc896d4.jpg,27.0,17908102,동근,,,True,35.1525,129.1249,2.0,1.0,1.0,1.0,True,"Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Paid parking off premises,Mini fridge,Elevator,Trash compactor,Laundromat nearby,Heating,Coffee,Clothing storage,Wine glasses,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Dedicated workspace,Freezer,Sound system,Outlet covers,Window guards,Table corner guards,Hot water,Mosquito net,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,EV charger,Shower gel,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table",,False,1.0,Firm,KRW,19.0,0.0,278,4.94,4.9,4.9,4.9,4.9,4.9,4.9,45669,64000000.0,143.9,201466.1,0.844,0.0,120.2,168525.7,0.0,0.0,308,0,57,365,9387,13000000.0,164.8,227945.7,0.6,0.0,100.9,139573.4,0.0,0.0,54,0,36,90,Busan,South Korea,KR,Asia Pacific
4207859,Dynamic - Double Room with Netflix & Disney+,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/53517766/7db42653_original.jpg,34.0,8180419,⁨Haru(YoungSoo)⁩,,,True,35.1502,129.0577,,,1.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Breakfast,Elevator,Free street parking,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hair dryer,Iron,Outdoor dining area",False,False,1.0,Moderate,KRW,0.0,0.0,95,4.6,4.8,4.7,4.6,4.7,4.8,4.6,1961,2718594.0,37.9,53381.2,0.14,0.142,5.4,7448.2,5.5,7572.7,51,6,314,365,0,0.0,31.1,42994.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Busan,South Korea,KR,Asia Pacific
