listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1001735,2 BDRM Condo in Cebu - opp Ayala.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1001735/original/2b43bbc4-335b-47b3-954d-2fdfe3cc13fb.jpeg,32.0,5509436,Brian,,,False,10.3179,123.9035,4.0,2.0,3.0,2.0,False,"Essentials,Hangers,TV,Air conditioning,Heating,Wifi,Kitchen,Laundromat nearby,Pool,Elevator,Gym",,False,6.0,Flexible,PHP,0.0,0.0,16.0,4.5,4.7,4.8,4.3,4.7,4.7,4.6,9601,542899,73.7,4149.9,0.348,0.407,26.3,1487.4,30.8,1740.1,127,53,238,365,1076,60006,71.2,3968.9,0.167,0.0,12.0,666.7,0.0,0.0,15,0,75,90,Cebu,Philippines,PH,Asia Pacific
1596348,"Romantic Penthouse with a view, King Bed & parking",Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU5NjM0OA%3D%3D/original/ad617142-a7e0-4b7c-a010-8af493e99e42.jpeg,67.0,7069051,Amy,544813462,Pearlie,False,10.3103,123.8937,4.0,2.0,3.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Gym,Conditioner,Elevator,Laundromat nearby,Outdoor furniture,Cleaning products,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Private entrance,Rice maker,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Dining table,Baking sheet,Toaster",False,False,2.0,Flexible,PHP,42.0,0.0,122.0,4.5,4.5,4.6,4.5,4.6,4.7,4.4,33249,1871987,140.4,7903.7,0.636,0.72,86.7,4884.9,98.3,5537.2,232,43,133,365,3982,222073,147.7,8236.6,0.322,0.617,41.4,2311.3,79.4,4426.0,29,43,61,90,Cebu,Philippines,PH,Asia Pacific
2165373,BEAUTIFUL MODERN GUEST HOUSE,Entire home,entire_home,https://a0.muscache.com/im/pictures/d0a3fb97-d37d-4d6c-803e-e274c98151ff.jpg,39.0,11048634,"Nelson,T",,,False,10.3615,123.9123,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Stove,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Single level home,Luggage dropoff allowed",,False,1.0,Moderate,PHP,5.0,0.0,124.0,4.9,4.9,4.9,4.9,4.9,4.7,4.8,749,42797,37.5,2115.0,0.049,0.113,2.0,113.4,4.6,260.4,18,206,347,365,0,0,33.4,1863.2,0.0,0.0,0.0,0.0,0.0,0.0,0,83,90,90,Cebu,Philippines,PH,Asia Pacific
2765144,3BR/3T&B Luxury 84sqm. Condo,Entire loft,entire_home,https://a0.muscache.com/im/pictures/36000949/851c6923_original.jpg,31.0,14144348,Kevin Allen,,,False,10.309,123.8954,5.0,3.0,3.0,1.0,False,"Hair dryer,Shampoo,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Pool,Elevator,Gym",,False,3.0,Firm,PHP,25.0,25.0,96.0,4.46,4.5,4.6,4.5,4.6,4.5,4.1,1718,96639,95.8,5393.1,0.047,0.0,4.4,249.5,0.0,0.0,17,0,348,365,1018,56773,95.6,5334.1,0.111,0.0,10.8,599.8,0.0,0.0,10,0,80,90,Cebu,Philippines,PH,Asia Pacific
2797660,Budget Stay in Cebu City | Old but Clean & Central,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2797660/original/0b10e551-1ce1-47fd-8e1d-6ef9c8527b5f.jpeg,35.0,14310547,Chun CHIA,"116,625,821,504,669,000,000,000,000","郁璇,Pei,Jessah Jay Manapsal",False,10.3379,123.9083,,,2.0,0.0,False,"Hair dryer,Shampoo,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,Air conditioning,Smoke alarm,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Stove,Private entrance,Laundromat nearby,Pool,Elevator",,False,1.0,Firm,PHP,5.0,0.0,72.0,4.69,4.8,4.8,4.7,4.9,4.8,4.8,4896,275816,19.1,1076.5,0.655,0.0,12.6,711.3,0.0,0.0,239,0,126,365,1095,61063,20.2,1128.9,0.567,0.0,11.5,641.3,0.0,0.0,51,0,39,90,Cebu,Philippines,PH,Asia Pacific
3839466,The Crossroad Apt,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/50859116/c1ad9b6d_original.jpg,12.0,19653124,John,,,True,10.3276,123.9086,2.0,1.0,2.0,1.0,False,"Shampoo,Hot water,Washer,Essentials,Iron,TV,Air conditioning,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Pool,Elevator,Gym,Long term stays allowed",,False,30.0,Firm,PHP,,,32.0,4.81,4.9,5.0,4.8,5.0,4.8,4.8,1590,88978,19.1,1076.5,0.26,0.385,4.4,243.8,6.4,360.2,95,118,270,365,741,41328,13.4,747.4,0.622,0.0,8.2,459.2,0.0,0.0,56,0,34,90,Cebu,Philippines,PH,Asia Pacific
4026631,1 Bedroom with Shower For Rent,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/50623529/ef504776_original.jpg,7.0,3564250,Stephanie,,,False,10.3217,123.9117,2.0,1.0,1.0,1.0,False,"TV,Washer,Cable TV,Smoke alarm,Wifi,Air conditioning,Fire extinguisher,Luggage dropoff allowed,Kitchen,Free parking on premises,Hangers,Hot water,Gym,Elevator,Free street parking,Hot tub,Paid parking on premises",,False,180.0,Firm,PHP,0.0,0.0,1.0,,,,,,,,249,13888,21.6,1215.6,0.033,0.0,0.7,38.0,0.0,0.0,12,0,353,365,116,6470,19.7,1096.1,0.067,0.0,1.3,71.9,0.0,0.0,6,0,84,90,Cebu,Philippines,PH,Asia Pacific
4516686,No Pest Big 1 BR at Cebu Cntr w/ own Parking,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4516686/original/8e2275de-3167-431c-8d1b-84c23cce2476.png,63.0,23417601,Jerry,,,True,10.3124,123.9114,3.0,1.0,2.0,1.0,False,"Wifi,Pets allowed,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Books and reading material,Theme room,Outlet covers,Outdoor playground,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Laundromat nearby,Free parking on premises,Pool,Elevator,Gym,Paid parking on premises,Single level home,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,PHP,27.0,0.0,62.0,4.85,4.8,5.0,4.8,4.8,4.8,4.8,6563,368660,49.6,2791.2,0.332,0.0,17.4,977.0,0.0,0.0,121,0,244,365,1885,105129,47.2,2629.9,0.4,0.0,20.0,1117.9,0.0,0.0,36,0,54,90,Cebu,Philippines,PH,Asia Pacific
4560747,Super Cebu Loft Condo Fountain,Entire loft,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-4560747/original/5eb62e5e-f987-4ce0-a98a-070d8026c6cf.jpeg,31.0,23644355,Jessamine,,,False,10.3068,123.8952,8.0,1.0,4.0,2.5,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Elevator,Bed linens,Hot tub,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Fire extinguisher,Essentials,Long term stays allowed,Safe,Shampoo,Hangers,Dining table,Hair dryer,Dedicated workspace,Toaster,Rice maker,Bathtub",,False,1.0,Strict,PHP,28.0,0.0,68.0,4.81,4.7,5.0,4.6,4.9,4.9,4.7,2007,113270,114.4,6428.1,0.047,0.079,5.2,293.2,8.8,497.8,17,150,348,365,0,0,127.2,7095.3,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Cebu,Philippines,PH,Asia Pacific
4863139,The Purple Room,Entire loft,entire_home,https://a0.muscache.com/im/pictures/65277305/febbf388_original.jpg,37.0,19653124,John,,,True,10.3087,123.8947,2.0,1.0,1.0,2.0,False,"Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Stove,Private entrance,Elevator,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,30.0,Firm,PHP,,,48.0,4.79,4.9,4.9,4.9,4.9,4.8,4.8,880,50171,45.8,2583.7,0.06,0.09,2.4,137.5,3.6,204.8,22,120,343,365,0,0,27.1,1509.4,0.0,0.0,0.0,0.0,0.0,0.0,0,89,90,90,Cebu,Philippines,PH,Asia Pacific
