listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
35336,Fan & WiFi with Private bathroom_N4,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/2053880/849aa03d_original.jpg,76.0,152114,Parichart,,,True,18.7948,99.0015,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Cooking basics",,False,2,Moderate,THB,0.0,0.0,262.0,4.75,4.8,4.9,4.5,4.9,4.6,4.7,2995,99268,20.5,678.7,0.403,0.416,8.2,272.0,8.5,281.2,147,12,218,365,1480,48552,20.7,678.0,0.8,0.0,16.4,539.5,0.0,0.0,72,0,18,90,Chiang-Mai,Thailand,TH,Asia Pacific
181568,Apartment Galare Thong - STANDARD A,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/18331072/8d8eb8d7_original.jpg,29.0,539550,Wanwisa,,,False,18.7665,98.9971,4.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Free parking on premises,Hot water kettle,Hot water,Breakfast,Elevator,Bed linens,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Clothing storage,Washer,Smoke alarm,Shower gel,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Toaster",True,,1,Moderate,THB,0.0,0.0,60.0,4.02,4.2,4.3,3.7,4.3,4.0,4.3,272,9220,19.6,651.8,0.041,0.067,0.7,25.3,1.2,41.0,15,140,350,365,0,0,19.7,645.6,0.0,0.0,0.0,0.0,0.0,0.0,0,74,90,90,Chiang-Mai,Thailand,TH,Asia Pacific
222627,Inside the City Center-Inside the old city - 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/59957042/dd899f61_original.jpg,28.0,1156175,Ketsuda,239663410,Kriengkrai,False,18.7937,98.979,2.0,1.0,1.0,1.0,False,"Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Ethernet connection,TV,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2,Moderate,THB,0.0,0.0,233.0,4.39,4.6,4.8,4.5,4.8,4.5,4.5,642,21383,16.7,553.9,0.104,0.144,1.8,58.6,2.4,81.0,38,101,327,365,187,6138,16.8,552.9,0.122,0.44,2.1,68.2,7.5,245.5,11,65,79,90,Chiang-Mai,Thailand,TH,Asia Pacific
299106,Cozy room at heart of Chiangmai,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-299106/original/e4995bb0-d706-46a2-bf6f-19c8eb09f84f.jpeg,18.0,1541733,Bert,,,False,18.7899,98.9919,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Iron,Drying rack for clothing,Clothing storage,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Private entrance,Patio or balcony,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,3,Flexible,THB,9.0,0.0,264.0,4.89,4.9,4.9,4.8,5.0,5.0,4.8,2440,81191,22.6,748.6,0.29,0.662,6.4,213.6,14.6,487.2,106,205,259,365,952,31239,28.7,941.0,0.389,0.946,10.3,337.3,25.0,820.4,35,53,55,90,Chiang-Mai,Thailand,TH,Asia Pacific
348929,Inside the City Center-Inside the old city - 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/48fed7d5-9369-4349-9e6b-1d51a60e73a2.jpg,28.0,1156175,Ketsuda,239663410,Kriengkrai,False,18.7937,98.9792,2.0,1.0,1.0,1.0,False,"Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Ethernet connection,TV,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2,Moderate,THB,0.0,0.0,200.0,4.51,4.7,4.8,4.5,4.8,4.6,4.6,2711,89029,15.6,517.6,0.474,0.0,7.4,243.9,0.0,0.0,173,0,192,365,1176,38580,15.5,507.4,0.844,0.0,13.1,428.7,0.0,0.0,76,0,14,90,Chiang-Mai,Thailand,TH,Asia Pacific
531584,Inside the City Center-Inside the old city - 3,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/348e86eb-722f-4e3d-abeb-276d8ae5fed8.jpg,26.0,1156175,Ketsuda,239663410,Kriengkrai,False,18.7938,98.979,2.0,1.0,1.0,1.0,False,"Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Ethernet connection,TV,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2,Moderate,THB,0.0,0.0,218.0,4.64,4.8,4.8,4.7,4.9,4.7,4.8,1960,65505,17.8,590.4,0.301,0.37,5.4,179.5,6.6,220.6,110,68,255,365,197,6468,17.9,589.1,0.122,0.344,2.2,71.9,6.2,202.1,11,58,79,90,Chiang-Mai,Thailand,TH,Asia Pacific
818915,Inside the City Center-Inside the old city - 5,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6ODE4OTE1/original/207c0408-8d44-4434-81db-89528c36f85b.jpeg,10.0,1156175,Ketsuda,239663410,Kriengkrai,False,18.794,98.979,2.0,1.0,1.0,1.0,False,"Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Ethernet connection,TV,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Mini fridge,Hot water kettle,Coffee,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2,Moderate,THB,0.0,0.0,118.0,4.46,4.7,4.8,4.5,4.8,4.6,4.5,3193,105513,15.8,523.6,0.551,0.0,8.7,289.1,0.0,0.0,201,0,164,365,1187,38952,16.1,529.8,0.811,0.0,13.2,432.8,0.0,0.0,73,0,17,90,Chiang-Mai,Thailand,TH,Asia Pacific
856604,A/C Free WiFi & Private bathroom_A1,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/12465993/a19a09ec_original.jpg,31.0,152114,Parichart,,,True,18.7948,99.0015,2.0,1.0,5.0,1.5,False,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Iron,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Stove,Oven,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Outdoor kitchen,BBQ grill,Single level home,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,2,Moderate,THB,0.0,0.0,325.0,4.74,4.7,4.9,4.6,4.9,4.7,4.7,3134,103817,19.9,659.4,0.433,0.562,8.6,284.4,11.2,369.5,158,84,207,365,1487,48779,20.5,674.0,0.811,0.901,16.5,542.0,18.4,602.2,73,9,17,90,Chiang-Mai,Thailand,TH,Asia Pacific
915605,HeyHa House @ Deluxe Comfortable Room,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/5157f3a3-fa8a-4d96-be86-62676756514e.jpg,39.0,4914893,HeyHa House Chiang Mai,,,True,18.8045,98.9903,,,1.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Free parking on premises,Room-darkening shades,Hot water kettle,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Oven,Coffee,Wine glasses,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Dedicated workspace,Private entrance,Toaster",,False,2,Firm,THB,0.0,0.0,328.0,4.89,4.9,4.9,4.9,5.0,4.5,4.9,1233,40714,22.2,736.8,0.151,0.152,3.4,111.5,3.4,112.5,55,3,310,365,914,29993,23.5,770.5,0.444,0.46,10.2,333.3,10.5,344.7,40,3,50,90,Chiang-Mai,Thailand,TH,Asia Pacific
924131,HeyHa House @ Deluxe King Room,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-924131/original/46e50b3a-98fa-458c-a5e7-548963bb64c6.jpeg,35.0,4914893,HeyHa House Chiang Mai,,,True,18.804,98.9916,2.0,1.0,1.0,1.0,False,"Hair dryer,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,TV,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Oven,Hot water kettle,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Bikes,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2,Firm,THB,0.0,0.0,384.0,4.84,4.8,4.9,4.9,4.9,4.6,4.8,706,23373,21.6,715.9,0.09,0.095,1.9,64.0,2.0,67.6,33,19,332,365,512,16800,21.5,704.0,0.267,0.338,5.7,186.7,7.2,236.6,24,19,66,90,Chiang-Mai,Thailand,TH,Asia Pacific
