listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
296725,BALI Beautiful 4br villa by the sea,Entire villa,entire_home,https://a0.muscache.com/im/pictures/102369378/7db6f4dd_original.jpg,21,1407565,Monique,,,True,-8.7052,115.2579,10.0,4.0,5,4.5,FALSE,"High chair,TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Patio or balcony,Backyard,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",,False,3,Moderate,IDR,39,0.0,183,4.96,5.0,4.9,4.9,4.9,4.9,4.9,46007.0,754000000.0,214.7,3526801.3,0.562,0.762,123.2,2017517.8,167.1,2737524.2,205.0,96,160,365,13824,226000000.0,235.3,3851191.4,0.644,0.0,151.4,2478766.8,0.0,0.0,58,0,32,90,Denpasar,Indonesia,ID,Asia Pacific
510644,"Tropical Oasis, Sanur Village",Entire villa,entire_home,https://a0.muscache.com/im/pictures/11098494/6e86cb7e_original.jpg,27,2516343,Vanessa - Cool Bali Villas,,,True,-8.6854,115.2527,7.0,3.0,4,3.5,FALSE,"Hair dryer,Shampoo,Body soap,Outdoor shower,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,3,Super Strict 60 Days,IDR,0,0.0,47,4.91,4.9,4.9,4.8,4.9,4.6,4.8,29000.0,476000000.0,177.9,2923982.0,0.438,0.65,79.5,1304591.9,117.9,1935674.9,160.0,119,205,365,1541,25200000.0,169.3,2771221.0,0.1,0.2,17.1,280268.5,34.2,560537.0,9,45,81,90,Denpasar,Indonesia,ID,Asia Pacific
531530,Wahyu wonderful private honeymoon joglo,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-531530/original/18b82635-ebb2-4b47-87c4-1f0852bef116.jpeg,52,1568932,Odile,,,False,-8.6866,115.1775,2.0,1.0,1,1.0,FALSE,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Breakfast,Conditioner,Outdoor furniture,Hot tub,Drying rack for clothing,Clothing storage,Wine glasses,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,High chair,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Coffee maker,Refrigerator,Dishes and silverware,Single level home,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",FALSE,False,2,Firm,IDR,0,0.0,109,4.94,5.0,4.9,4.9,4.9,4.7,4.8,2967.0,48600000.0,194.7,3199048.3,0.038,0.039,8.1,133057.4,8.4,136805.4,14.0,10,351,365,0,0.0,178.5,2921449.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Denpasar,Indonesia,ID,Asia Pacific
589181,"3BR Jacuzzi, Airport Transfer, Without Breakfast",Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-589181/original/e0dd73f2-7510-4816-a63d-45730f5e54ab.jpeg,76,2906296,Adenova,,,True,-8.6823,115.1771,10.0,3.0,8,3.5,FALSE,"TV,Wifi,Air conditioning,Pool,Ski-in/Ski-out,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Portable fans,Smoking allowed,Resort access,Conditioner,Trash compactor,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,First aid kit,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Theme room,Dedicated workspace,Laser tag,Outdoor dining area,Freezer,Outdoor kitchen,Private entrance,Sound system,Rice maker,Bathtub,Baby bath,High chair,Children’s books and toys,Babysitter recommendations,Crib,Room-darkening shades,Hot water,Body soap,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Cooking basics,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Sun loungers,Toaster",,False,14,Firm,IDR,30,0.0,1,,,,,,,,5211.0,85300000.0,149.9,2462660.6,0.099,0.107,13.9,226964.4,15.0,245094.6,36.0,27,329,365,1863,30500000.0,166.4,2723569.8,0.144,0.178,20.0,327919.6,24.7,404284.5,13,17,77,90,Denpasar,Indonesia,ID,Asia Pacific
698266,Shady Grove Healing Centre & Homestay Sun Bedroom,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/73a4844c-78d7-4df1-a5db-6e368fd8ff88.jpg,69,1486331,Ann-Ion,,,False,-8.7101,115.2512,,,1,0.0,FALSE,"Hair dryer,Cleaning products,Hot water,Washer,Iron,TV,High chair,Air conditioning,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Baking sheet,Blender,Rice maker,Dining table,Bread maker,Beach access,Patio or balcony,Beach essentials,Free street parking,Single level home,Pets allowed,Breakfast",,False,1,Firm,IDR,4,0.0,34,4.91,4.9,4.9,4.8,4.9,4.9,4.8,1268.0,20800000.0,43.4,712502.1,0.079,0.099,3.4,56399.1,4.3,70498.8,29.0,73,336,365,471,7709658.0,41.6,681665.3,0.122,0.208,5.2,84935.4,8.8,144229.9,11,37,79,90,Denpasar,Indonesia,ID,Asia Pacific
718442,Cozy Tropical Homestay in Sanur Bali,Private room in hostel,private_room,https://a0.muscache.com/im/pictures/110327924/11cd663b_original.jpg,35,3705669,Narita,,,False,-8.6757,115.2581,16.0,12.0,14,12.0,FALSE,"TV,Wifi,Air conditioning,First aid kit,Pool,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Free parking on premises,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hot water,Refrigerator,Dishwasher",FALSE,False,1,Firm,IDR,5,0.0,34,4.29,4.3,4.6,4.4,4.4,4.1,4.2,251.0,4121297.0,24.3,399596.0,0.027,0.0,0.7,11067.0,0.0,0.0,10.0,0,355,365,23,376480.0,22.6,369750.6,0.011,0.0,0.3,4183.1,0.0,0.0,1,0,89,90,Denpasar,Indonesia,ID,Asia Pacific
750401,"Cosy 2 Storey Villa, Pool, Garden.",Entire villa,entire_home,https://a0.muscache.com/im/pictures/9e43b01b-2dc3-491d-b653-a4cfd6511bcc.jpg,59,3945043,Lily,,,False,-8.6812,115.2572,2.0,1.0,1,1.0,FALSE,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,Pack ’n play/Travel crib,Children’s books and toys,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Resort access,Patio or balcony,Backyard,Outdoor dining area,Free street parking,Pool,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,7,Firm,IDR,0,0.0,56,4.75,4.9,4.9,4.5,4.9,4.6,4.8,14769.0,243000000.0,73.2,1203128.1,0.551,0.555,40.5,664777.9,40.8,670287.2,201.0,3,164,365,2749,45000000.0,75.0,1228380.1,0.4,0.0,30.5,499972.9,0.0,0.0,36,0,54,90,Denpasar,Indonesia,ID,Asia Pacific
764311,"Luxurious Room, Pool, and beautiful Garden",Private room in guest suite,private_room,https://a0.muscache.com/im/pictures/03aad06f-c627-4113-85b9-22fbfc251e44.jpg,36,3945043,Lily,,,False,-8.6827,115.2559,,4.0,1,0.0,FALSE,"TV,Children’s books and toys,Wifi,Air conditioning,Pool,Pack ’n play/Travel crib,Hot water kettle,Books and reading material,Smoking allowed,Hot water,Outdoor shower,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Clothing storage,Single level home,Beach access,Patio or balcony,Backyard,Luggage dropoff allowed,Essentials,Long term stays allowed,Lock on bedroom door,Hangers,Dining table,Outdoor dining area,Toaster",FALSE,False,7,Firm,IDR,0,0.0,40,4.77,4.9,4.8,4.8,4.9,4.5,4.8,3304.0,54300000.0,54.8,900011.3,0.164,0.198,9.1,148683.8,10.9,179107.5,60.0,62,305,365,0,0.0,53.7,878999.2,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Denpasar,Indonesia,ID,Asia Pacific
800729,Luxury Family Villa w/pool and access to the beach,Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-800729/original/fa30b067-3e99-4426-880d-41067fbe70fb.jpeg,71,2940361,Star Villas Bali,,,True,-8.6864,115.2641,10.0,5.0,6,4.0,FALSE,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Safe,Clothing storage,TV,Exercise equipment,Books and reading material,Air conditioning,Ceiling fan,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Dining table,Coffee,Waterfront,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Sun loungers,Free parking on premises,Pool",,False,3,Strict,IDR,0,0.0,15,4.8,4.6,4.8,4.9,4.9,4.6,4.6,86511.0,1420000000.0,415.6,6830253.1,0.567,0.719,237.0,3901073.1,300.4,4944068.3,207.0,77,158,365,11321,185000000.0,388.6,6361058.7,0.322,0.453,125.8,2059000.6,176.9,2895469.6,29,26,61,90,Denpasar,Indonesia,ID,Asia Pacific
898795,Bali Corner Residence,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/13073399/3b59dc12_original.jpg,13,4797584,Lisa,,,False,-8.6667,115.2375,15.0,3.0,5,4.0,FALSE,"TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Pool,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Smoking allowed,Pets allowed,Hot water,Resort access,Extra pillows and blankets,Outdoor furniture,Hot tub,Refrigerator,Dishes and silverware,Heating,Washer,EV charger,Dryer,BBQ grill,Patio or balcony,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Children's playroom,Outdoor playground,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Changing table",TRUE,False,4,Flexible,IDR,0,7.0,13,4.92,4.9,4.9,4.6,4.8,4.5,4.9,3727.0,61000000.0,247.2,4060786.6,0.044,0.0,10.2,167140.1,0.0,0.0,16.0,0,349,365,329,5385302.0,290.2,4750378.7,0.011,0.0,3.7,59836.7,0.0,0.0,1,0,89,90,Denpasar,Indonesia,ID,Asia Pacific
