listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
506824,Modern Apartment in Central Hanoi,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6092061/238e4b79_original.jpg,10.0,1337687,Ha Dong,243006345,Quang,False,21.0303,105.8504,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Elevator,Long term stays allowed",,False,2,Firm,VND,15.0,0.0,212,4.84,4.8,4.9,4.8,5.0,4.9,4.8,7065,182000000.0,45.5,1178440.6,0.411,0.0,18.5,477034.9,0.0,0.0,150,0,215,365,1991,51800000.0,45.4,1181665.5,0.467,0.0,21.3,553969.0,0.0,0.0,42,0,48,90,Hanoi,Vietnam,VN,Asia Pacific
722902,Especen hotel: Balcony family room,Room in boutique hotel,private_room,https://a0.muscache.com/im/pictures/30350558/ede53703_original.jpg,30.0,3691707,Thanh,,,False,21.029,105.8485,3.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Drying rack for clothing,Clothing storage,TV,Books and reading material,Window guards,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Mini fridge,Hot water kettle,Lake access,Laundromat nearby,Patio or balcony,Free street parking,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1,Moderate,VND,0.0,0.0,336,4.4,4.3,4.8,4.4,4.7,4.7,4.5,319,8300500.0,20.7,536525.0,0.044,0.0,0.9,22741.1,0.0,0.0,16,0,349,365,276,7181938.0,19.7,512912.8,0.156,0.0,3.1,79799.3,0.0,0.0,14,0,76,90,Hanoi,Vietnam,VN,Asia Pacific
1195413,25B House Flat of 35m2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/20134491/211c51df_original.jpg,17.0,5491715,Nguyen,,,False,21.0183,105.8507,2.0,2.0,1.0,1.0,False,"TV,Washer,Cable TV,Smoke alarm,Wifi,Patio or balcony,Air conditioning,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Hot water,Iron,Elevator,Coffee maker,Heating",,False,3,Moderate,VND,0.0,0.0,42,4.81,4.9,4.9,4.6,4.9,4.7,4.8,2056,53500000.0,22.1,576013.6,0.252,0.267,5.6,146575.9,6.0,155073.1,92,20,273,365,795,20700000.0,22.1,576231.9,0.389,0.5,8.8,229856.7,11.4,295530.0,35,20,55,90,Hanoi,Vietnam,VN,Asia Pacific
1271743,Peaceful Homestay in Hanoi #1,Private room in home,private_room,https://a0.muscache.com/im/pictures/4ae178ac-277f-48d9-ab7d-5966287db08c.jpg,30.0,6921922,Liên,,,False,21.0511,105.8878,,,1.0,0.0,False,"TV,Washer,Cable TV,Dryer,Wifi,Air conditioning,Kitchen,Free parking on premises,Hangers,Hair dryer,Iron,Heating",,False,1,Moderate,VND,0.0,0.0,54,4.74,4.8,4.8,4.8,4.8,4.3,4.8,290,7546237.0,23.6,610775.5,0.036,0.0,0.8,20674.6,0.0,0.0,13,0,352,365,290,7546237.0,22.6,587797.0,0.144,0.0,3.2,83847.1,0.0,0.0,13,0,77,90,Hanoi,Vietnam,VN,Asia Pacific
4612134,Unique Hanoi old quarter APT*2Bdr*2Balc*2Bath*,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4612134/original/be3b05b6-495b-41a0-8391-e61cd0106d5c.png,53.0,23895268,Bien,572058478,Lan,True,21.03,105.8468,5.0,2.0,2.0,2.0,False,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,High chair,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Rice maker,Trash compactor,Dining table,Private entrance,Patio or balcony",,False,2,Moderate,VND,0.0,0.0,150,4.87,4.8,4.9,4.6,5.0,4.9,4.9,18583,481000000.0,61.4,1587975.3,0.827,0.0,50.9,1316676.1,0.0,0.0,302,0,63,365,4660,121000000.0,56.7,1476575.9,0.911,0.0,51.8,1347335.7,0.0,0.0,82,0,8,90,Hanoi,Vietnam,VN,Asia Pacific
5842921,Garden house center of Old quarter,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/b81f0200-baae-41d3-bcf2-afe427097882.jpg,49.0,23674824,Nhung,"458,745,558,551,472,000","Dzung,Nguyen",True,21.0341,105.8479,3.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Laundromat nearby,Patio or balcony,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,1,Moderate,VND,0.0,5.0,735,4.88,4.9,4.9,4.9,5.0,4.9,4.9,9601,248000000.0,30.5,789501.5,0.863,0.0,26.3,680783.7,0.0,0.0,315,0,50,365,2923,76100000.0,36.2,941689.4,0.9,0.0,32.5,845120.7,0.0,0.0,81,0,9,90,Hanoi,Vietnam,VN,Asia Pacific
6208123,Near HNOperaHouse Serviced Apartment|FreeWashDryer,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/2f507c49-1e11-4b35-9b1c-843b50d9aa8f.jpg,16.0,32192457,Tracy,,,True,21.019,105.8554,3.0,,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Air conditioning,Ceiling fan,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Toaster,Rice maker,Dining table,Private entrance,Laundromat nearby,Free parking on premises,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1,Flexible,VND,5.0,0.0,24,4.96,5.0,4.9,4.9,5.0,5.0,5.0,3830,99100000.0,19.0,490992.1,0.537,0.708,10.4,268296.9,13.7,353532.0,196,88,169,365,1385,36000000.0,19.7,511756.5,0.767,0.802,15.2,394659.7,15.9,413015.9,69,4,21,90,Hanoi,Vietnam,VN,Asia Pacific
6531350,Very brighten room with balcony,Private room in home,private_room,https://a0.muscache.com/im/pictures/82180721/b18f15dc_original.jpg,3.0,34160990,Au,,,False,21.0622,105.835,,,1.0,0.0,False,"Washer,Wifi,Air conditioning,Kitchen,Free parking on premises,Shampoo,Smoking allowed,Hangers,Hair dryer,Iron,Hot tub,Heating",,False,2,Moderate,VND,5.0,0.0,12,4.25,4.7,4.4,4.6,4.7,4.2,4.7,221,5750756.0,17.6,456752.4,0.033,0.036,0.6,15042.6,0.6,16292.4,12,28,353,365,117,3044518.0,18.0,467809.0,0.067,0.0,1.2,32382.3,0.0,0.0,6,0,84,90,Hanoi,Vietnam,VN,Asia Pacific
6909493,New apt at Hanoi EcoPark great view and safe,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e2cc05d3-d881-4364-a571-a42d5d1fd389.jpg,57.0,36139191,Minh,,,True,20.9746,105.926,5.0,3.0,3.0,2.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Crib,High chair,Window guards,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Toaster,Baking sheet,Dining table,Lake access,Patio or balcony,Free street parking,Pool,Elevator,Gym,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,2,Flexible,VND,18.0,0.0,79,4.78,4.8,4.9,4.9,5.0,4.7,4.8,3721,96600000.0,34.4,890052.0,0.279,0.294,9.8,255578.5,10.4,268836.1,102,18,263,365,0,0.0,35.2,916535.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Hanoi,Vietnam,VN,Asia Pacific
7042426,Amy's Home,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/93879467/e9088d99_original.jpg,13.0,5312964,Amy,,,False,21.0014,105.8083,5.0,2.0,2.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,High chair,Air conditioning,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Rice maker,Patio or balcony,Long term stays allowed",,False,2,Moderate,VND,14.0,0.0,70,4.9,4.9,4.9,4.7,5.0,4.6,4.9,5080,132000000.0,22.0,570057.7,0.605,0.686,13.5,348524.2,15.3,395066.3,221,43,144,365,1900,49400000.0,22.9,596181.7,0.889,0.92,20.3,529104.0,21.0,547349.0,80,3,10,90,Hanoi,Vietnam,VN,Asia Pacific
