listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
159356,Welcome to my house ☺☺☺★★★★★,Private room in home,private_room,https://a0.muscache.com/im/pictures/1009412/709b0dc2_original.jpg,61.0,764726,Le,,,False,10.7412,106.6212,,,1.0,0.0,False,"Kitchen,Wifi",False,False,1.0,Flexible,VND,0.0,5.0,20.0,4.5,4.4,4.7,4.1,5.0,4.2,4.5,192,4995885.0,14.9,385499.6,0.036,0.0,0.5,13687.4,0.0,0.0,13,0,352,365,88,2289894.0,14.5,378179.3,0.067,0.0,1.0,25443.3,0.0,0.0,6,0,84,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
171286,Saigon river Central 2xKing BR + 2 WC,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e5d5cf50-a13d-4409-877e-8041e3b2b36c.jpg,78.0,805299,Bach'S,,,True,10.7636,106.7085,5.0,2.0,3.0,2.0,False,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Sound system,Children’s dinnerware,Outlet covers,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Waterfront,Private entrance,Laundromat nearby,Boat slip,Elevator,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,VND,20.0,0.0,182.0,4.72,4.8,4.8,4.8,4.9,4.5,4.6,11335,293000000.0,69.6,1801227.1,0.425,0.464,30.5,787634.8,33.3,860738.7,155,31,210,365,2320,60400000.0,64.6,1680700.0,0.378,0.576,25.3,659211.4,38.6,1005576.7,34,31,56,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
476176,Zoo & Botanic Garden-D1  Border-Best view balcony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/47b25b8f-a5f7-4e4e-b350-0a68f498149d.jpg,49.0,805299,Bach'S,,,True,10.7899,106.7073,3.0,1.0,2.0,1.0,False,"Wifi,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Sound system,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Waterfront,Private entrance,Laundromat nearby,Patio or balcony,Bikes,Boat slip,Free street parking,Elevator,Paid parking off premises,Paid parking on premises,Single level home,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,VND,25.0,0.0,90.0,4.66,4.8,4.9,4.7,4.9,4.6,4.6,6558,171000000.0,45.7,1181733.8,0.384,0.0,17.4,453273.2,0.0,0.0,140,0,225,365,2174,56600000.0,44.4,1155354.9,0.522,0.0,23.0,599651.1,0.0,0.0,47,0,43,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
1531361,1 br type #01 - LFY Serviced Apartment in CBD HCM,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/36990383/082f9aaa_original.jpg,11.0,3964510,Dragon Fly Company,,,True,10.7849,106.6979,2.0,1.0,,1.0,False,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Air conditioning,Pool,Fire extinguisher,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Elevator,Microwave,Refrigerator,Dishes and silverware,Cooking basics",False,False,1.0,Moderate,VND,0.0,0.0,43.0,4.79,4.9,4.9,4.9,4.9,4.9,4.7,4069,105000000.0,68.2,1765067.8,0.162,0.216,11.1,287530.7,14.9,384427.5,59,92,306,365,0,0.0,65.8,1712793.2,0.0,0.0,0.0,0.0,0.0,0.0,0,65,90,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
2012633,Private room with garden in Central Saigon!,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-2012633/original/dc69ffa6-7655-4dd4-8b16-3a4d17fedded.png,22.0,8969793,Nhien,,,True,10.7736,106.6822,,,1.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Ceiling fan,Hot water,Conditioner,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Washer,Dryer,Shower gel,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Outdoor kitchen",,False,1.0,Firm,VND,5.0,0.0,154.0,4.73,4.8,4.9,4.8,4.8,4.7,4.7,573,14900000.0,22.7,586557.2,0.068,0.106,1.5,40137.3,2.4,62076.8,25,129,340,365,573,14900000.0,22.1,574208.0,0.278,0.333,6.3,162779.0,7.5,195334.8,25,15,65,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
2252850,"Centre, district 1, furnished with kitchenette",Entire home,entire_home,https://a0.muscache.com/im/pictures/42981955/b0ce1aa4_original.jpg,20.0,11505590,Chau,,,True,10.7625,106.6883,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Drying rack for clothing,Clothing storage,Children’s books and toys,Baby bath,Babysitter recommendations,Air conditioning,Portable fans,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Laundromat nearby,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,VND,0.0,0.0,121.0,4.88,4.9,4.9,4.9,5.0,4.8,4.9,3361,87500000.0,24.2,625960.1,0.386,0.491,9.2,239606.5,11.7,304726.1,141,78,224,365,1347,35100000.0,22.4,582881.8,0.622,0.0,15.0,389455.2,0.0,0.0,56,0,34,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
2954965,"Centre, district 1, furnished room",Entire home,entire_home,https://a0.muscache.com/im/pictures/42982240/9860ff5d_original.jpg,20.0,11505590,Chau,,,True,10.7625,106.6883,2.0,1.0,1.0,1.0,False,"Wifi,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Children’s books and toys,Baby bath,Babysitter recommendations,Air conditioning,Ceiling fan,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Dishes and silverware,Mini fridge,Hot water kettle,Dining table,Laundromat nearby,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,VND,0.0,0.0,110.0,4.96,5.0,5.0,4.9,5.0,4.8,5.0,6238,161000000.0,20.8,538572.6,0.816,0.887,17.1,441999.5,18.6,480148.3,298,29,67,365,1007,26200000.0,20.0,520430.2,0.556,0.725,11.2,291151.7,14.6,379763.1,50,21,40,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3434907,Prime Location Studio @ HCMC - Ideal for Exploring,Room in aparthotel,hotel_room,,,12394,,,,False,10.7654,106.6865,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,High chair,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Patio or balcony,EV charger,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,VND,5.0,0.0,445.0,4.92,4.9,5.0,4.8,5.0,4.8,4.9,3093,79500000.0,40.8,1054862.2,0.186,0.0,8.2,211489.9,0.0,0.0,68,0,297,365,480,12500000.0,35.0,910174.5,0.133,0.0,5.1,132998.8,0.0,0.0,12,0,78,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3513856,Homestay with a typical family,Private room in home,private_room,https://a0.muscache.com/im/pictures/88300739/70778d06_original.jpg,16.0,12563015,Quang,156910908,Tung,False,10.8336,106.682,,,1.0,0.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,First aid kit,Kitchen,Essentials,Shampoo,Smoking allowed,Pets allowed",,False,1.0,Firm,VND,0.0,0.0,53.0,4.53,4.6,4.6,4.7,4.7,4.2,4.5,183,4761939.0,14.9,383893.7,0.033,0.0,0.5,13046.4,0.0,0.0,12,0,353,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3563782,Sweet Studio home in the central (L2-204),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ac61db46-d26c-4697-9dd4-0a9640e78220.jpg,25.0,8969793,Nhien,,,True,10.7713,106.6846,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Dining table,Coffee,Laundromat nearby,Free parking on premises,Elevator,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,VND,7.0,0.0,147.0,4.88,4.9,4.9,4.8,4.9,4.7,4.8,7941,205000000.0,37.5,971392.6,0.567,0.575,21.2,547893.6,21.5,555503.3,207,5,158,365,2467,64200000.0,36.1,939376.4,0.744,0.0,26.6,693039.4,0.0,0.0,67,0,23,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3578868,Studio Apt-Live like a Local in District 1  HCM.C,Room in aparthotel,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-3578868/original/23d290c9-0ab4-4062-9116-80fa6a04dc78.jpeg,37.0,12394,Thu,519722525,Galvin,True,10.7654,106.6865,2.0,1.0,1.0,1.0,False,"Wifi,Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Clothing storage,TV,Crib,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Patio or balcony,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,VND,5.0,0.0,499.0,4.89,4.9,4.9,4.9,5.0,4.8,4.8,5980,155000000.0,52.0,1345959.4,0.318,0.329,16.0,414044.5,16.5,428119.6,116,12,249,365,1942,50500000.0,50.8,1321314.2,0.422,0.487,21.0,547029.9,24.3,631188.3,38,12,52,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3582599,Spacious 3BR For Families And Groups City Center,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-3582599/original/fc2ae8b5-007c-4fca-8149-678460c4ff17.jpeg,27.0,17530851,Yung,302812273,Uyen,True,10.7794,106.6891,6.0,3.0,3.0,2.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,High chair,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Toaster,Rice maker,Dining table,Patio or balcony,Free parking on premises,Elevator,Gym,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,True,2.0,Strict,VND,10.0,0.0,72.0,4.81,4.9,4.8,4.9,4.8,4.8,4.8,19023,493000000.0,96.2,2487459.0,0.534,0.0,51.0,1323221.4,0.0,0.0,195,0,170,365,5227,136000000.0,93.1,2423469.3,0.611,0.0,56.6,1473684.4,0.0,0.0,55,0,35,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3680074,Spacious Serviced 3BR Apt. Gym In The Center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-3680074/original/9cf93875-95f9-4513-b4ca-a218b04bbdd8.jpeg,20.0,17530851,Yung,302812273,Uyen,True,10.7794,106.6891,6.0,3.0,3.0,2.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Crib,High chair,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Toaster,Rice maker,Dining table,Patio or balcony,Free parking on premises,Elevator,Gym,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,True,2.0,Strict,VND,10.0,0.0,89.0,4.75,4.8,4.8,4.8,4.9,4.6,4.8,12674,328000000.0,97.9,2531594.3,0.34,0.353,34.0,880496.4,35.3,915615.9,124,14,241,365,2150,55900000.0,89.1,2319672.4,0.256,0.299,23.1,601385.9,27.0,702918.5,23,13,67,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3775782,Saigon D1  Hidden charms 3BR+3.5 WC+drying machine,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/7dd83965-5561-4a3b-8c81-e1ca3ef7cc95.jpg,62.0,805299,Bach'S,,,True,10.7871,106.7,6.0,3.0,3.0,3.5,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Sound system,Air conditioning,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Wine glasses,Rice maker,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Bikes,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Firm,VND,20.0,0.0,202.0,4.81,4.8,4.9,4.8,4.9,4.8,4.7,11752,303000000.0,121.2,3134773.8,0.252,0.257,31.0,799286.0,31.6,814914.5,92,7,273,365,2796,72800000.0,111.7,2905734.4,0.256,0.277,29.7,773706.0,32.2,838958.3,23,7,67,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
3848166,"Centre, District 1, furnished with kitchenette1",Entire home,entire_home,https://a0.muscache.com/im/pictures/98342592/0e737d1a_original.jpg,17.0,11505590,Chau,,,True,10.7625,106.6883,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Children’s books and toys,Baby bath,Children’s dinnerware,Outlet covers,Babysitter recommendations,Air conditioning,Portable fans,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Hot water kettle,Wine glasses,Toaster,Rice maker,Dining table,Laundromat nearby,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,VND,0.0,0.0,52.0,4.96,4.9,4.9,4.9,5.0,4.9,4.9,3840,99300000.0,25.0,647063.5,0.43,0.458,10.5,271927.9,11.2,289369.3,157,22,208,365,1366,35500000.0,23.3,607168.6,0.633,0.0,15.2,394948.7,0.0,0.0,57,0,33,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
4319927,Chez nous Home stay – center of HCM. Cozy room 101,Private room in home,private_room,https://a0.muscache.com/im/pictures/1dc2cba1-1d46-43ef-b9f5-873a2d2deaae.jpg,16.0,215956,Truong,,,False,10.7726,106.6851,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Wifi,Kitchen,Cooking basics,Free parking on premises,Free street parking,Hot tub,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Flexible,VND,4.0,0.0,69.0,4.7,4.8,4.8,4.8,4.8,4.8,4.8,1099,28300000.0,27.1,700334.4,0.11,0.144,2.9,75829.9,3.9,99920.2,40,88,325,365,117,3044517.0,23.9,621914.0,0.056,0.0,1.3,32671.5,0.0,0.0,5,0,85,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
4400670,Welcome to my house - Saigon,Private room in home,private_room,https://a0.muscache.com/im/pictures/69878647/0bd308c1_original.jpg,8.0,22843883,Trung,,,True,10.7565,106.6693,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,First aid kit,Wifi,Kitchen,Refrigerator,Coffee maker,Patio or balcony",,False,3.0,Flexible,VND,0.0,0.0,112.0,4.87,4.9,4.9,4.9,4.9,4.7,4.9,2115,54800000.0,16.1,417774.7,0.367,0.385,5.8,150064.1,6.1,157394.8,134,17,231,365,1018,26500000.0,15.4,401309.6,0.733,0.0,11.3,294332.3,0.0,0.0,66,0,24,90,Ho-Chi-Minh-City,Vietnam,VN,Asia Pacific
