listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
1342195,Top floor One-bedroom Suite overlooking lazy river,Room in serviced apartment,hotel_room,,,7280025,,,,False,15.8758,108.3329,2.0,1.0,2.0,2.0,False,"Hair dryer,Shampoo,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,First aid kit,Wifi,Kitchen,Refrigerator,Coffee maker,Patio or balcony,Backyard,Free street parking,Pool,Hot tub,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Flexible,VND,0.0,0.0,159,4.82,4.7,4.9,4.8,4.9,4.6,4.8,3714,95600000.0,33.3,860585.3,0.31,0.312,10.2,261899.3,10.3,264069.7,113,3,252,365,1060,27600000.0,31.6,822568.8,0.367,0.379,11.8,306475.5,12.2,317043.7,33,3,57,90,Hoi-An,Vietnam,VN,Asia Pacific
1348149,One-bedroom Villa in Elegant Orchid Garden Oasis.,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/7812e0ae-7098-4e28-808b-05d545692f51.jpg,36.0,7280025,Khuong,,,True,15.8819,108.3454,2.0,1.0,1.0,2.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Free parking on premises,Pool,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,1.0,Flexible,VND,0.0,0.0,93,4.85,4.8,4.9,4.8,4.8,4.8,4.8,916,23500000.0,47.5,1228740.4,0.052,0.0,2.5,64326.8,0.0,0.0,19,0,346,365,257,6687527.0,43.4,1129622.5,0.067,0.0,2.9,74305.9,0.0,0.0,6,0,84,90,Hoi-An,Vietnam,VN,Asia Pacific
1894271,"Cozy Hoi An Getaway - Pool, Greenery & Serenity",Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTg5NDI3MQ%3D%3D/original/13d5681d-ff78-4f56-b384-d5c74248a946.jpeg,11.0,9844327,Sen,,,True,15.877,108.3429,3.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Room-darkening shades,Hot water kettle,Bikes,Ceiling fan,Hot water,Breakfast,Conditioner,Refrigerator,Clothing storage,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Sun loungers,Bathtub",,False,1.0,Flexible,VND,0.0,8.0,273,4.9,4.9,4.9,4.9,4.9,4.7,4.9,843,21900000.0,21.0,544142.8,0.121,0.166,2.3,60099.0,3.2,82777.9,44,100,321,365,613,16000000.0,19.1,497300.1,0.356,0.0,6.8,177235.5,0.0,0.0,32,0,58,90,Hoi-An,Vietnam,VN,Asia Pacific
2151226,Serene Hoi An Retreat - Pool & Greenery,Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjE1MTIyNg%3D%3D/original/8f7e805f-ec88-4540-a803-a25d633eac04.jpeg,11.0,9844327,Sen,,,True,15.8772,108.3422,,,2.0,0.0,False,"TV,Wifi,Air conditioning,Pool,Free parking on premises,Room-darkening shades,Hot water kettle,Bikes,Ceiling fan,Hot water,Breakfast,Conditioner,Refrigerator,Clothing storage,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Sun loungers,Bathtub",True,,1.0,Flexible,VND,0.0,9.0,219,4.87,4.8,4.9,4.9,5.0,4.7,4.9,420,10900000.0,24.7,638095.2,0.049,0.118,1.2,29940.1,2.7,71425.7,18,212,347,365,340,8847315.0,22.2,577677.5,0.167,0.0,3.8,98303.5,0.0,0.0,15,0,75,90,Hoi-An,Vietnam,VN,Asia Pacific
2151261,"Cozy Hoi An Getaway - Pool, Greenery & Serenity",Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjE1MTI2MQ%3D%3D/original/a2fc997f-f213-4c2b-87de-169268a8dd93.jpeg,10.0,9844327,Sen,,,True,15.8772,108.3411,,,2.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Room-darkening shades,Hot water kettle,Bikes,Ceiling fan,Hot water,Breakfast,Conditioner,Refrigerator,Clothing storage,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Sun loungers,Bathtub",,False,1.0,Flexible,VND,0.0,8.0,225,4.91,4.9,5.0,4.9,5.0,4.8,4.9,2911,74800000.0,21.0,544027.1,0.362,0.729,8.0,204972.7,16.1,413342.7,132,184,233,365,127,3304732.0,20.2,526502.0,0.067,0.273,1.4,36719.2,5.8,150215.1,6,68,84,90,Hoi-An,Vietnam,VN,Asia Pacific
2151286,"Cozy Hoi An Getaway - Pool, Greenery & Serenity",Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjE1MTI4Ng%3D%3D/original/58afd6d0-9d3e-4c49-b737-c14c8125a6d7.jpeg,13.0,9844327,Sen,,,True,15.8772,108.3421,,2.0,3.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Room-darkening shades,Hot water kettle,Bikes,Ceiling fan,Hot water,Breakfast,Conditioner,Refrigerator,Clothing storage,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Sun loungers,Bathtub",,False,1.0,Flexible,VND,0.0,0.0,10,4.9,4.9,5.0,4.9,5.0,4.9,5.0,1821,46900000.0,69.6,1800385.5,0.071,0.114,5.0,128463.8,8.0,205654.8,26,137,339,365,63,1639355.0,65.1,1694289.0,0.011,0.026,0.7,18215.1,1.7,43140.9,1,52,89,90,Hoi-An,Vietnam,VN,Asia Pacific
2362927,Family Room<Pool View>between Town Center & Beach,Private room in resort,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-2362927/original/005deb55-1fc7-4102-b2d3-1974a72ac1e2.jpeg,24.0,12068572,Hai,,,True,15.8785,108.345,3.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Free parking on premises,Hot water kettle,Books and reading material,Smoking allowed,Free street parking,Coffee,Clothing storage,Wine glasses,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Children’s bikes,Outlet covers,High chair,Children’s books and toys,Window guards,Table corner guards,Babysitter recommendations,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Coffee maker,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Sun loungers",,False,1.0,Flexible,VND,0.0,0.0,11,4.82,4.9,5.0,4.8,4.9,4.7,5.0,4144,108000000.0,39.4,1020007.4,0.296,0.374,11.4,295422.1,14.3,373110.9,108,76,257,365,943,24500000.0,36.4,947761.1,0.289,0.0,10.5,272647.6,0.0,0.0,26,0,64,90,Hoi-An,Vietnam,VN,Asia Pacific
2673188,"Cozy Hoi An Getaway - Pool, Greenery & Serenity",Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjY3MzE4OA%3D%3D/original/921695fd-7820-49fb-8c03-338cfa53ee2e.jpeg,9.0,9844327,Sen,,,True,15.8771,108.3422,,,2.0,0.0,False,"TV,Wifi,Air conditioning,Pool,Free parking on premises,Room-darkening shades,Hot water kettle,Bikes,Ceiling fan,Hot water,Breakfast,Conditioner,Refrigerator,Clothing storage,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Dedicated workspace,Sun loungers,Bathtub",True,False,1.0,Flexible,VND,0.0,8.0,119,4.91,4.9,5.0,4.9,5.0,4.7,4.9,395,10100000.0,22.1,571169.7,0.047,0.106,1.1,27784.5,2.5,62989.7,17,204,348,365,101,2628172.0,20.0,519852.0,0.056,0.156,1.1,29201.9,3.2,82130.4,5,58,85,90,Hoi-An,Vietnam,VN,Asia Pacific
2673384,"Hoi An Gem - Pool, Greenery & Serenity",Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjY3MzM4NA%3D%3D/original/67db7fcd-116d-4824-b0c8-7cffc8fe5ffe.jpeg,12.0,9844327,Sen,,,True,15.8771,108.3422,,,2.0,0.0,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Hot water,Essentials,Hangers,Room-darkening shades,Safe,Clothing storage,TV,Air conditioning,Ceiling fan,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Hot water kettle,Dining table,Patio or balcony,Bikes,Sun loungers,Free parking on premises,Pool,Luggage dropoff allowed,Breakfast",,False,1.0,Flexible,VND,0.0,9.0,547,4.88,4.8,5.0,4.9,4.9,4.7,4.9,573,14500000.0,24.1,624090.5,0.06,0.154,1.6,39809.0,4.0,101610.5,22,222,343,365,98,2550108.0,23.2,604855.6,0.044,0.2,1.1,28334.5,4.9,127505.4,4,70,86,90,Hoi-An,Vietnam,VN,Asia Pacific
3893522,Your Home Sweet Home On The Go,Private room in home,private_room,https://a0.muscache.com/im/pictures/61f35d19-752f-4cd1-b54e-ebdc604aa299.jpg,41.0,20149549,Ngoc Hieu,,,True,15.8786,108.3466,,2.0,3.0,0.0,False,"Hair dryer,Cleaning products,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Crib,Air conditioning,Indoor fireplace,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Wine glasses,Rice maker,Dining table,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,15.0,Moderate,VND,,,235,4.87,4.9,5.0,4.9,5.0,4.7,4.8,1010,25900000.0,15.9,410285.1,0.173,0.0,2.8,71024.8,0.0,0.0,63,0,302,365,0,0.0,15.3,397261.8,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Hoi-An,Vietnam,VN,Asia Pacific
