listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
14278,FX Sudirman 28,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-14278/original/ec29dc83-0f49-4df2-961e-672354d253ac.jpeg,22.0,56048,Rieneke,,,True,-6.224,106.8031,4.0,2.0,3,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water,Gym,Elevator,Refrigerator,Dishes and silverware,Washer,Dryer,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,2.0,Firm,IDR,0.0,0.0,4,5.0,5.0,4.5,4.8,4.8,4.5,4.0,2564,42000000.0,135.3,2223085.0,0.052,0.066,7.0,114984.5,8.9,145726.9,19,77,346,365,0,0.0,131.5,2153029.7,0.0,0.0,0.0,0.0,0.0,0.0,0,77,90,90,Jakarta,Indonesia,ID,Asia Pacific
967331,"Cozy 2BR @Kebagusan City, South Jakarta",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/cb6286af-f20d-4470-90dc-56cd3b6c7a33.jpg,24.0,5277334,Widi,,,False,-6.3066,106.8382,5.0,2.0,3,1.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Paid parking off premises,Hot water,Elevator,Microwave,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Cooking basics,Paid parking on premises,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,25.0,Moderate,IDR,12.0,0.0,14,4.5,4.5,4.5,4.3,4.4,4.6,4.6,171,2799047.0,19.1,313802.8,0.033,0.0,0.4,7130.5,0.0,0.0,12,0,353,365,0,0.0,26.9,440136.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jakarta,Indonesia,ID,Asia Pacific
978796,Cozy 1BR Unit @Kuningan City in South Jakarta,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/35941368/b1695946_original.jpg,17.0,5277334,Widi,,,False,-6.2251,106.8303,2.0,1.0,1,1.5,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Gym,Mini fridge,Elevator,Cleaning products,Indoor fireplace,Drying rack for clothing,Paid parking on premises,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Rice maker,High chair,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table",,False,25.0,Moderate,IDR,0.0,0.0,18,4.72,4.8,4.4,4.8,4.6,4.7,4.6,313,5123403.0,26.7,439417.9,0.033,0.0,0.9,14036.7,0.0,0.0,12,0,353,365,0,0.0,28.2,461597.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jakarta,Indonesia,ID,Asia Pacific
980882,New York - New York Penthouse,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15546892/37bc89b7_original.jpg,18.0,5297796,Cyrille,,,False,-6.2044,106.8267,2.0,1.0,1,1.5,False,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Patio or balcony,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Elevator,Microwave,Coffee maker,Refrigerator,Dishes and silverware",False,,5.0,Strict,IDR,0.0,0.0,12,5.0,4.9,5.0,4.8,5.0,4.9,4.8,1058,17500000.0,88.3,1455126.8,0.033,0.0,2.9,47814.0,0.0,0.0,12,0,353,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jakarta,Indonesia,ID,Asia Pacific
985694,Serviced City Studio South Jakarta,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-985694/original/0c526443-f3cd-4f2d-afcb-567b0bb82e4b.jpg,21.0,5152933,Jeffry,,,False,-6.267,106.8064,,,1,0.0,False,"Washer,Hangers,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Free parking on premises",,False,2.0,Firm,IDR,0.0,0.0,37,4.78,4.8,4.9,4.6,4.8,4.7,4.8,702,11600000.0,18.7,307296.7,0.104,0.14,1.9,31750.9,2.6,42764.2,38,94,327,365,144,2357095.0,18.5,303548.5,0.089,0.127,1.6,26189.9,2.3,37414.2,8,27,82,90,Jakarta,Indonesia,ID,Asia Pacific
1035842,Ideal for long stays and business trips in Jakarta,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/627a4420-1d80-4105-88a9-a6e388bf3111.jpg,31.0,5701892,Noviandry,,,True,-6.2265,106.8197,2.0,1.0,2,1.0,False,"Wifi,Hair dryer,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Exercise equipment,Ping pong table,Children's playroom,Outdoor playground,Air conditioning,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Rice maker,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Pool,Elevator,Gym,Paid parking on premises,Single level home,Long term stays allowed,Cleaning before checkout",,False,15.0,Firm,IDR,,,60,4.62,4.8,5.0,4.4,4.9,4.8,4.7,2024,33200000.0,19.1,314155.7,0.293,0.31,5.5,90933.5,5.9,96205.0,107,20,258,365,435,7120385.0,18.2,298092.3,0.267,0.0,4.8,79115.4,0.0,0.0,24,0,66,90,Jakarta,Indonesia,ID,Asia Pacific
1241951,Jakarta's Central Business Location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/109214768/29f509c2_original.jpg,21.0,3910209,Dadas,,,False,-6.2263,106.8194,2.0,,1,1.0,False,"TV,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Patio or balcony,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Iron,Gym,Elevator,Refrigerator,Dishes and silverware",,False,10.0,Moderate,IDR,40.0,0.0,11,4.73,4.8,4.9,4.6,4.9,4.6,4.8,725,11900000.0,53.8,885104.6,0.033,0.0,1.8,28925.5,0.0,0.0,12,0,353,365,329,5385303.0,47.3,774603.3,0.067,0.0,3.2,52561.7,0.0,0.0,6,0,84,90,Jakarta,Indonesia,ID,Asia Pacific
1272109,"Green Palace, Kalibata City, Raffles Tower R07AC",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6ae26db3-1ff6-4d1b-b0b5-d841728febf3.jpg,25.0,6923541,Rudy,,,True,-6.2566,106.8572,4.0,2.0,3,1.0,False,"Air conditioning,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Movie theater,Outdoor playground,Air conditioning,Smoke alarm,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Resort access,Patio or balcony,Backyard,Pool,Elevator,Gym",,False,1.0,Flexible,IDR,5.0,0.0,170,4.82,4.8,4.9,4.7,5.0,4.8,4.8,2767,45400000.0,22.1,362999.3,0.326,0.0,7.3,119510.9,0.0,0.0,119,0,246,365,743,12200000.0,21.6,353382.1,0.367,0.0,8.1,132404.6,0.0,0.0,33,0,57,90,Jakarta,Indonesia,ID,Asia Pacific
1373421,Most Strategic in CBD Sudirman & Easy Stay,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/49412701/ee0d6c90_original.jpg,13.0,2194823,Ronni,,,False,-6.2052,106.817,2.0,,1,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Microwave,Mini fridge,Stove,Rice maker,Laundromat nearby,Pool,Elevator,Gym,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,IDR,8.0,8.0,88,4.41,4.5,4.6,4.2,4.7,4.6,4.3,1921,31400000.0,26.6,437141.0,0.195,0.25,5.2,84364.2,6.6,108425.8,71,81,294,365,1324,21700000.0,26.8,439408.8,0.544,0.817,14.5,237891.8,21.8,356837.7,49,30,41,90,Jakarta,Indonesia,ID,Asia Pacific
1482245,Homey & Clean Apartment in the SCBD Area.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/11d5808c-b660-4d65-b219-2052fbef5185.jpg,16.0,7368846,Dita Amanda,,,True,-6.226,106.817,2.0,1.0,1,1.0,False,"Wifi,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Outdoor playground,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Dining table,Coffee,Laundromat nearby,Patio or balcony,Free parking on premises,Pool,Elevator,Gym,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,IDR,9.0,0.0,150,4.87,4.9,5.0,4.9,4.9,4.8,4.8,7617,125000000.0,33.9,556279.4,0.605,0.0,20.5,336710.4,0.0,0.0,221,0,144,365,2070,33900000.0,33.1,541440.1,0.678,0.0,22.6,369932.5,0.0,0.0,61,0,29,90,Jakarta,Indonesia,ID,Asia Pacific
