listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
555066,"March bnb, Spacious for 2, near beach & airport",Entire home,entire_home,https://a0.muscache.com/im/pictures/8a841efa-53a7-4750-babf-6f8178cd57f6.jpg,15,2728114,Eugene,,,True,33.4963,126.4416,2.0,1.0,1.0,1.0,TRUE,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Room-darkening shades,Drying rack for clothing,TV,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Dining table,Coffee,Waterfront,Beach access,Private entrance,Free street parking,Luggage dropoff allowed",,False,3,Strict,KRW,20,0.0,428,4.83,4.9,5.0,4.8,4.9,4.6,4.8,3734.0,5185594.0,33.9,47707.9,0.26,0.279,9.0,12539.9,9.7,13422.5,95,24,270,365,755,1044144.0,32.0,44316.5,0.233,0.0,7.3,10064.9,0.0,0.0,21,0,69,90,Jeju,South Korea,KR,Asia Pacific
609493,A studio room near beach & airport #302,Entire home,entire_home,https://a0.muscache.com/im/pictures/97f5d6ab-9494-429d-873e-5f59fc7ae3d1.jpg,20,2728114,Eugene,,,True,33.4963,126.4417,2.0,1.0,2.0,1.0,TRUE,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Hot water kettle,Waterfront,Beach access,Private entrance,Patio or balcony,Free street parking,Luggage dropoff allowed",,False,4,Strict,KRW,17,0.0,368,4.82,4.9,4.9,4.8,4.9,4.6,4.8,5376.0,7492500.0,34.2,48125.6,0.378,0.384,13.2,18401.7,13.4,18709.3,138,6,227,365,1599,2211376.0,33.5,46298.8,0.456,0.488,15.3,21174.8,16.4,22687.3,41,6,49,90,Jeju,South Korea,KR,Asia Pacific
1081253,Private pension close to the airport and a detached house located in Dongmun Market,Pension,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1081253/original/4ce5df0e-9c33-479e-bad2-731e167dd014.jpeg,132,5844530,Suyeon,,,False,33.5155,126.5252,16.0,4.0,14.0,4.0,TRUE,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Piano,Sound system,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Hot water kettle,Toaster,Barbecue utensils,Dining table,Beach access,Private entrance,Laundromat nearby,BBQ grill,Free parking on premises,Paid parking off premises,Single level home,Luggage dropoff allowed,Cleaning before checkout",,False,1,Firm,KRW,0,0.0,108,4.52,4.5,4.6,4.3,4.6,4.8,4.5,22447.0,31500000.0,179.1,251885.0,0.342,0.0,61.5,86309.2,0.0,0.0,125,0,240,365,5972,8259149.0,176.6,244218.7,0.378,0.0,66.4,91768.3,0.0,0.0,34,0,56,90,Jeju,South Korea,KR,Asia Pacific
1848080,Gues house #Haengbok-chae,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1848080/original/c1ba1cf3-caab-4c9a-8ec3-73f57e054eae.jpeg,14,9653434,보근,,,False,33.389,126.2253,6.0,2.0,1.0,1.0,TRUE,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Children’s books and toys,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Cooking basics,Free parking on premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1,Flexible,KRW,0,0.0,14,4.36,4.4,4.6,4.3,4.7,4.4,4.4,3178.0,4395108.0,95.3,134145.3,0.09,0.0,8.7,12041.4,0.0,0.0,33,0,332,365,644,890638.0,90.9,125666.6,0.078,0.0,7.2,9896.0,0.0,0.0,7,0,83,90,Jeju,South Korea,KR,Asia Pacific
2161229,Present,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-2161229/original/69d8ec0b-f52a-4237-9040-4dbefe9258c9.jpeg,47,8315144,Sehyun,,,False,33.5381,126.6163,2.0,1.0,1.0,1.0,TRUE,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Bidet,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Mosquito net,Sound system,Books and reading material,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Outdoor dining area,Free parking on premises,Single level home,Luggage dropoff allowed",,False,1,Firm,KRW,0,0.0,84,4.9,5.0,5.0,4.9,5.0,4.8,4.9,21392.0,30100000.0,187.2,263751.7,0.307,0.309,58.6,82589.5,59.1,83273.9,112,3,253,365,4352,6018732.0,164.0,226747.4,0.3,0.0,48.4,66874.8,0.0,0.0,27,0,63,90,Jeju,South Korea,KR,Asia Pacific
2426528,Olle-Nang-Forest Retreat (2F 30 sqm),Entire cottage,entire_home,https://a0.muscache.com/im/pictures/8c836a08-f873-4a55-88af-7acf0e96214e.jpg,26,5529098,영식,,,False,33.4361,126.3797,10.0,2.0,1.0,1.0,TRUE,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Hot water,Body soap,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Dryer,Smoke alarm,BBQ grill,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Rice maker",,False,2,Firm,KRW,0,0.0,1,,,,,,,,2570.0,3554254.0,119.2,167955.9,0.058,0.061,7.0,9737.7,7.5,10332.1,21,21,344,365,0,0.0,109.5,151421.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeju,South Korea,KR,Asia Pacific
2646036,Jeju's home,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/29452200-014c-4b95-a9ea-b4e771659b80.jpg,19,13548950,인복,,,True,33.4182,126.399,4.0,,2.0,1.0,TRUE,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Children’s books and toys,Children’s dinnerware,Board games,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Private entrance,Backyard,Hammock,BBQ grill,Free parking on premises,Free street parking,Hot tub,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,3,Moderate,KRW,0,0.0,33,4.94,5.0,5.0,4.8,5.0,4.5,4.8,4610.0,6375528.0,121.3,170730.5,0.096,0.099,12.6,17467.2,13.1,18061.0,35,12,330,365,0,0.0,112.0,154924.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Jeju,South Korea,KR,Asia Pacific
2681504,TAO HOUSE-A-room (Designer of the room),Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MjY4MTUwNA%3D%3D/original/dea4e233-33bb-4259-ac4c-4771c7765f86.jpeg,38,13727156,Tao,,,True,33.5082,126.4724,,,2.0,0.0,TRUE,"Hair dryer,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Piano,Sound system,Books and reading material,Children’s books and toys,Baby bath,Board games,Air conditioning,Heating,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Coffee,Beach access,Patio or balcony,Backyard,Free parking on premises,Free street parking",,False,1,Firm,KRW,0,0.0,212,4.85,4.9,4.9,4.9,4.9,4.8,4.8,6415.0,8982828.0,59.7,83981.4,0.293,0.354,17.6,24610.5,21.2,29744.5,107,63,258,365,1078,1490855.0,56.8,78553.4,0.211,0.26,12.0,16565.1,14.8,20422.7,19,17,71,90,Jeju,South Korea,KR,Asia Pacific
2990655,The White Nest near the Hyeopjae beach,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/4a24a41e-9e5c-4f75-82fb-48b452eaf810.jpg,22,15250672,Min Ho & Ellie,,,False,33.3989,126.246,4.0,2.0,1.0,1.0,TRUE,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Conditioner,Outdoor furniture,Hammock,Heating,Coffee,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Rice maker,Baby bath,High chair,Children’s dinnerware,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Barbecue utensils,Toaster",,False,1,Limited,KRW,0,0.0,210,4.88,4.9,4.9,4.9,4.9,4.8,4.8,31259.0,43800000.0,124.3,174619.7,0.677,0.686,85.6,120031.1,86.8,121698.2,247,5,118,365,5691,7870545.0,120.6,166803.0,0.522,0.553,63.2,87450.5,67.0,92594.6,47,5,43,90,Jeju,South Korea,KR,Asia Pacific
3009491,Enchanting stone cottage in JeJu,Private room in guesthouse,private_room,https://a0.muscache.com/im/pictures/b4be6f53-8b59-45cc-8d30-2549837774a9.jpg,43,11372496,Jeeeun & Sungeun,,,True,33.3217,126.2412,2.0,,2.0,1.0,TRUE,"Hair dryer,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Clothing storage,Sound system,Books and reading material,Window guards,Air conditioning,Ceiling fan,Portable fans,Heating,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Wine glasses,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Hammock,Outdoor dining area,Sun loungers,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Breakfast",,False,2,Firm,KRW,0,0.0,219,4.96,5.0,5.0,5.0,5.0,4.7,4.9,5524.0,7683992.0,78.1,109842.6,0.189,0.209,15.1,21052.0,16.7,23284.8,69,35,296,365,1024,1416166.0,77.8,107549.3,0.144,0.194,11.4,15735.2,15.3,21136.8,13,23,77,90,Jeju,South Korea,KR,Asia Pacific
