listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
44931,Rooftop Dipping Pool Hse w/ Stay-in male Caretaker,Entire home,entire_home,https://a0.muscache.com/im/pictures/29457519/46f85012_original.jpg,47.0,198198,Jen,316029167,Nat,False,3.1353,101.6691,15.0,5.0,7.0,6.0,False,"Wifi,Air conditioning,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Coffee,Stove,Wine glasses,Washer,Dryer,BBQ grill,Shower gel,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace",,False,1.0,Firm,MYR,0.0,0.0,157.0,4.76,4.8,4.9,4.8,4.8,4.9,4.6,24359,104355,242.9,1046.5,0.268,0.27,66.7,285.9,67.1,287.5,98,2,267,365,10001,42572,247.1,1051.6,0.444,0.455,111.1,473.0,113.6,483.8,40,2,50,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
547908,"Stylish, 4 bedrooms with city view",Entire condo,entire_home,https://a0.muscache.com/im/pictures/27266007/57a5b726_original.jpg,41.0,2054224,Jake,,,True,3.1695,101.6929,8.0,4.0,6.0,2.0,False,"Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,High chair,Baby bath,Children’s dinnerware,Window guards,Outlet covers,Board games,Table corner guards,Outdoor playground,Air conditioning,Ceiling fan,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Blender,Rice maker,Dining table,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Bikes,Free parking on premises,Free street parking,Pool,Sauna,Elevator,Gym,Single level home,Luggage dropoff allowed,Breakfast,Long term stays allowed,Cleaning before checkout",,False,10.0,Strict,MYR,44.0,0.0,38.0,4.84,4.8,5.0,5.0,5.0,4.7,4.7,10475,44590,100.7,434.3,0.296,0.341,28.0,119.1,32.2,137.1,108,48,257,365,3926,16714,87.9,374.4,0.489,0.936,42.6,181.6,81.7,347.7,44,43,46,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
556098,Spacious 4-bedrooms on 27th floor,Entire condo,entire_home,https://a0.muscache.com/im/pictures/34273839/a982f5f8_original.jpg,54.0,2054224,Jake,,,True,3.1693,101.6927,8.0,4.0,6.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Ceiling fan,Gym,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Shampoo,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Rice maker,Outlet covers,Bathtub,Baby bath,High chair,Blender,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Outdoor playground,Toaster",,False,8.0,Strict,MYR,43.0,0.0,37.0,4.81,4.8,4.9,4.8,4.9,4.7,4.8,8991,38735,107.9,466.1,0.203,0.22,24.0,103.6,26.0,112.2,74,28,291,365,484,2062,88.1,374.9,0.056,0.081,4.9,20.9,7.1,30.3,5,28,85,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
989042,Classic Homely Studio in Kuala Lumpur Sanitized,Entire condo,entire_home,https://a0.muscache.com/im/pictures/b9f44208-6ba8-42e4-b02f-20198f3dc7ff.jpg,29.0,5429482,Ai Ling,,,True,3.1627,101.658,2.0,1.0,1.0,1.0,False,"Wifi,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Exercise equipment,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Rice maker,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Free street parking,Pool,Sauna,Elevator,Gym,Paid parking off premises,Paid parking on premises,Single level home,Smoking allowed,Long term stays allowed",,False,3.0,Firm,MYR,36.0,6.0,54.0,4.74,4.8,4.7,4.7,4.8,4.7,4.7,10604,45618,36.5,156.9,0.77,0.0,27.8,119.5,0.0,0.0,281,0,84,365,3032,12910,44.4,189.1,0.722,0.0,32.1,136.6,0.0,0.0,65,0,25,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
1359142,#01 KL101 at The Scott Garden Kuala Lumpur 2 to 5,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1359142/original/23d7a22f-3d2e-4daf-b3e8-364ba55fbcc9.jpeg,68.0,7377084,Jenn,,,False,3.0944,101.6732,7.0,1.0,3.0,2.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Hot water,Gym,Body soap,Conditioner,Elevator,Bed linens,Extra pillows and blankets,Outdoor furniture,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Washer,Dryer,Smoke alarm,BBQ grill,Shower gel,Bidet,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area",False,False,3.0,Firm,MYR,0.0,0.0,30.0,4.46,4.6,4.6,4.6,4.7,3.9,4.5,369,1644,39.0,168.1,0.027,0.0,1.0,4.5,0.0,0.0,10,0,355,365,0,0,38.2,162.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
1360953,A Studio Apartment Near KLCC,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6a0b73bf-d4b6-4f54-adcc-5ed8b4c95a89.jpg,15.0,7388129,Sharifah,,,False,3.1541,101.6995,2.0,1.0,,1.0,False,"TV,Air conditioning,Pool,Kitchen,Room-darkening shades,Pets allowed,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Drying rack for clothing,Cooking basics,Washer,Smoke alarm,Carbon monoxide alarm,Bidet,Essentials,Long term stays allowed,Hangers,Iron",,False,6.0,Firm,MYR,0.0,0.0,2.0,,,,,,,,689,2934,34.2,147.0,0.058,0.0,1.9,8.0,0.0,0.0,21,0,344,365,234,996,39.4,167.7,0.067,0.0,2.6,11.1,0.0,0.0,6,0,84,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
1647011,"Nature Inspired House w/ Pool, stay-in caretaker",Entire home,entire_home,https://a0.muscache.com/im/pictures/29905868/0cec9251_original.jpg,30.0,198198,Jen,316029167,Nat,False,3.1219,101.6694,16.0,7.0,9.0,8.0,False,"Hair dryer,Shampoo,Bidet,Outdoor shower,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Air conditioning,Ceiling fan,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Refrigerator,Dishes and silverware,Wine glasses,Dining table,Patio or balcony,Outdoor furniture,Outdoor dining area,Free street parking,Pool,Luggage dropoff allowed,Cleaning before checkout",,False,1.0,Firm,MYR,0.0,0.0,38.0,4.63,4.7,4.8,4.7,4.8,4.7,4.5,45225,194034,314.4,1354.1,0.378,0.383,123.9,531.6,125.6,539.0,138,5,227,365,16488,70182,338.2,1439.3,0.533,0.0,183.2,779.8,0.0,0.0,48,0,42,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
1976789,800+sqf Spacious Studio Near KLCC  Kitchen,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTk3Njc4OQ==/original/031e2033-65d8-4ef0-b8dc-26fed99f8e10.jpeg,35.0,10204055,⁨-Alice⁩,,,True,3.1682,101.7273,3.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Bidet,Hot water,Washer,Essentials,Iron,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Pool,Elevator,Long term stays allowed",,False,10.0,Strict,MYR,0.0,0.0,34.0,4.71,4.9,5.0,4.7,5.0,4.5,4.7,2882,12303,23.3,100.3,0.337,0.51,7.9,33.7,12.0,51.0,123,124,242,365,970,4132,23.3,99.1,0.467,0.724,10.8,45.9,16.7,71.2,42,32,48,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
1976935,Studio | Bus GOKL | Mosque | Near KLCC | LRT,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1976935/original/b63ca203-39f8-4224-becc-9d39f84eb88b.png,27.0,10204055,⁨-Alice⁩,,,True,3.169,101.7267,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Bidet,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Wifi,Dedicated workspace,Refrigerator,Elevator,Long term stays allowed",,False,14.0,Strict,MYR,0.0,0.0,42.0,4.69,4.8,4.9,4.6,5.0,4.7,4.8,2751,11843,18.7,80.8,0.397,0.575,7.5,32.4,10.9,47.0,145,113,220,365,138,589,18.5,78.9,0.078,0.778,1.5,6.5,15.3,65.4,7,81,83,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
2067976,Award-Winning Modern Apartment in Kuala Lumpur!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/047b9097-42b3-41e7-ac22-284ba19be940.jpg,24.0,9840915,Wan,304009836,Mozahid,False,3.1699,101.6679,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Room-darkening shades,Hot water kettle,Ceiling fan,Hot water,Gym,Body soap,Elevator,Bed linens,Extra pillows and blankets,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,BBQ grill,Shower gel,Patio or balcony,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Rice maker,Bathtub",True,False,1.0,Flexible,MYR,11.0,0.0,40.0,4.58,4.6,4.7,4.4,4.7,5.0,4.5,5551,24021,53.2,229.2,0.288,0.0,14.8,64.1,0.0,0.0,105,0,260,365,46,196,54.6,232.4,0.011,0.0,0.5,2.2,0.0,0.0,1,0,89,90,Kuala-Lumpur,Malaysia,MY,Asia Pacific
