listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
3153229,The Lodge 362 Vacation Home,Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzE1MzIyOQ==/original/dfe193ea-a765-48ef-908c-1754dbe69f56.jpeg,74,16002287,Ronnie,,,True,1.5035,110.3424,16.0,4.0,12,4.0,False,"Air conditioning,Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Books and reading material,Air conditioning,Portable fans,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Toaster,Rice maker,Dining table,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Long term stays allowed",,False,2.0,Firm,MYR,12,0.0,93,4.84,4.8,4.9,4.8,4.9,4.7,4.8,10609,45539,70.8,304.9,0.397,0.0,28.2,121.3,0.0,0.0,145,0,220,365,2787,11861,70.9,301.8,0.411,0.0,29.8,126.7,0.0,0.0,37,0,53,90,Kuching,Malaysia,MY,Asia Pacific
3909569,Kai Joo Suites #1: Loft in the City,Entire loft,entire_home,https://a0.muscache.com/im/pictures/83825715/86e07683_original.jpg,18,20250153,Reuben,"18,086,572,221,965,000,000,000,000","Rhoda,Ai Ping,Ina",True,1.5587,110.3432,3.0,2.0,2,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Ceiling fan,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Microwave,Dishes and silverware,Mini fridge,Hot water kettle,Dining table",,False,2.0,Firm,MYR,0,0.0,261,4.79,4.8,4.9,4.8,4.9,4.9,4.7,7199,31202,55.3,238.1,0.356,0.0,19.7,85.5,0.0,0.0,130,0,235,365,943,4015,51.3,218.3,0.2,0.0,10.5,44.6,0.0,0.0,18,0,72,90,Kuching,Malaysia,MY,Asia Pacific
8142202,Kai Joo Suites #2: Loft in the City,Entire loft,entire_home,https://a0.muscache.com/im/pictures/7cfb1e1d-ceb4-452a-ac23-db9000f73be3.jpg,17,20250153,Reuben,"18,086,572,221,965,000,000,000,000","Rhoda,Ai Ping,Ina",True,1.5587,110.3432,4.0,2.0,3,1.5,False,"TV,Washer,Shower gel,Wifi,Air conditioning,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hot water kettle,Paid parking off premises,Hangers,Dining table,Hair dryer,Hot water,Iron,Dedicated workspace,Mini fridge,Microwave,Dishes and silverware",,False,2.0,Firm,MYR,0,0.0,168,4.79,4.9,4.8,4.8,4.9,4.9,4.8,2020,8598,55.0,237.1,0.099,0.0,5.5,23.6,0.0,0.0,36,0,329,365,102,434,50.5,215.0,0.022,0.0,1.1,4.8,0.0,0.0,2,0,88,90,Kuching,Malaysia,MY,Asia Pacific
8721984,Cozy Arihomestay Suite (2BR+1BTH),Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-8721984/original/39c2c42b-041b-475c-9794-cdb9e613c432.jpeg,32,20827979,Ying,,,False,1.5182,110.3316,5.0,2.0,3,1.0,False,"Wifi,Pets allowed,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Portable fans,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Coffee maker,Rice maker,Dining table,Coffee,Laundromat nearby,Patio or balcony,Free parking on premises,Pool,Elevator,Gym,Long term stays allowed",,False,2.0,Firm,MYR,11,0.0,47,5.0,5.0,4.9,4.9,5.0,4.9,4.9,924,4103,47.3,205.2,0.052,0.0,2.4,10.7,0.0,0.0,19,0,346,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Kuching,Malaysia,MY,Asia Pacific
9004354,Belian Homestay 1,Entire home,entire_home,https://a0.muscache.com/im/pictures/b8cfe2f8-bf5a-4636-bda8-cdaa2fb7cf53.jpg,22,47022904,Oliver,,,True,1.5068,110.342,14.0,4.0,9,3.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Toaster,Free parking on premises,Free street parking",,False,2.0,Firm,MYR,0,0.0,84,4.89,4.9,5.0,4.8,4.9,4.9,5.0,9486,40847,76.8,330.8,0.34,0.0,26.0,111.9,0.0,0.0,124,0,241,365,3082,13119,76.7,326.4,0.444,0.0,34.2,145.8,0.0,0.0,40,0,50,90,Kuching,Malaysia,MY,Asia Pacific
11595730,Sanctuary within a Hotel in the heart of Kuching,Entire condo,entire_home,https://a0.muscache.com/im/pictures/86125b9e-7935-4884-a264-b518490cee0f.jpg,15,31383047,Delwin,,,False,1.5553,110.3524,6.0,3.0,5,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Children’s dinnerware,Books and reading material,Portable fans,Hot water,Body soap,Conditioner,Elevator,Bed linens,Free street parking,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Shower gel,Bidet,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Toaster,Rice maker",False,,2.0,Moderate,MYR,18,0.0,101,4.68,4.8,4.9,4.6,5.0,4.8,4.7,855,3710,75.4,324.5,0.033,0.066,2.2,9.7,4.5,19.4,12,182,353,365,0,0,80.2,341.5,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90,Kuching,Malaysia,MY,Asia Pacific
12276863,Imperial  Suites  Apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/cd774ee6-4c32-4ce6-bf93-e5f48fc5baff.jpg,40,45335792,Mei Mei,,,True,1.5104,110.3365,6.0,3.0,4,2.5,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Baby bath,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Pool,Elevator,Gym,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,MYR,0,0.0,49,4.8,4.8,4.9,4.8,4.9,4.8,4.7,9168,39503,73.2,315.4,0.351,0.39,25.1,108.2,28.0,120.4,128,37,237,365,1404,5975,84.4,359.2,0.2,0.261,15.6,66.4,20.3,86.6,18,21,72,90,Kuching,Malaysia,MY,Asia Pacific
13807704,Kuching Homestay,Entire home,entire_home,https://a0.muscache.com/im/pictures/13d74a6b-7c13-4335-975b-65ee85fa73c4.jpg,14,81244046,Ting SS,,,False,1.5251,110.3488,10.0,4.0,5,3.0,False,"TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Ceiling fan,Hot water,Body soap,Extra pillows and blankets,Free street parking,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Stove,Washer,First aid kit,Bidet,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Rice maker,Baby bath",,False,2.0,Firm,MYR,14,0.0,37,4.92,4.8,4.9,4.9,5.0,4.8,4.8,2011,8948,82.9,356.8,0.068,0.225,5.3,23.5,17.4,77.4,25,254,340,365,0,0,88.0,374.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Kuching,Malaysia,MY,Asia Pacific
14155351,Kuching City Homestay MGH (Room 2),Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/1b95d990-7a68-453d-b445-bbba59e60eb7.jpg,17,85561977,Jeremy,,,False,1.5477,110.3682,,,1,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,Babysitter recommendations,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Strict,MYR,0,0.0,95,4.86,4.9,4.9,4.9,4.9,4.4,4.9,666,2840,15.4,66.4,0.115,0.128,1.8,7.8,2.0,8.6,42,36,323,365,314,1337,15.7,66.9,0.222,0.0,3.5,14.9,0.0,0.0,20,0,70,90,Kuching,Malaysia,MY,Asia Pacific
14344168,Kuching City Homestay MGH (Room 10),Private room in home,private_room,https://a0.muscache.com/im/pictures/de1405e1-3976-4e56-a37e-e90bc10a84db.jpg,14,85561977,Jeremy,,,False,1.5477,110.3684,,,2,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Children’s books and toys,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Strict,MYR,0,0.0,107,4.74,4.8,4.8,4.8,4.9,4.5,4.8,1354,5844,12.7,54.5,0.29,0.463,3.7,16.0,5.9,25.5,106,136,259,365,336,1435,13.8,58.8,0.267,0.462,3.7,15.9,6.5,27.6,24,38,66,90,Kuching,Malaysia,MY,Asia Pacific
