listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
399053,Kyoto's Best Room With A View,Private room in home,private_room,https://a0.muscache.com/im/pictures/baafafe2-c16a-44b5-8fce-e166f1f2b197.jpg,33.0,1993146,Maki,,,False,35.0324,135.7974,,2.0,3.0,0.0,True,"TV,Wifi,Air conditioning,Kitchen,Smoking allowed,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",,False,4,Moderate,JPY,0.0,20.0,117.0,4.94,4.9,5.0,4.7,5.0,4.8,4.9,1190,183874.0,64.2,9358.4,0.058,0.128,3.3,503.8,7.3,1121.2,21,201,344,365,73,10509,70.6,10169.8,0.011,0.059,0.8,116.8,4.3,618.2,1,73,89,90,Kyoto,Japan,JP,Asia Pacific
432757,Modern Machiya,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/5731c12f-53be-4de9-8083-6df12e89cd5a.jpg,22.0,2151085,Mako,"152,883,483,709,641,000","航平,Erika",True,34.9956,135.7575,5.0,2.0,5.0,1.5,True,"Air conditioning,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,High chair,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Bikes,Smoking allowed,Long term stays allowed",,False,3,Strict,JPY,50.0,0.0,189.0,4.95,5.0,5.0,4.9,5.0,4.9,4.9,43185,6309513.0,206.6,30185.9,0.507,0.0,113.2,16556.7,0.0,0.0,185,0,180,365,8027,1155556,197.8,28479.7,0.367,0.0,85.3,12279.7,0.0,0.0,33,0,57,90,Kyoto,Japan,JP,Asia Pacific
533795,Historic and Elegant Suite in a Former Ryokan,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/27486764/da72caaf_original.jpg,31.0,2623657,Kojiro And Seanacey,,,True,34.9934,135.7451,4.0,3.0,4.0,1.0,True,"Wifi,Air conditioning,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Body soap,Conditioner,Bed linens,Laundromat nearby,Refrigerator,Heating,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Safe,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Bathtub",True,False,3,Strict,JPY,0.0,0.0,711.0,4.92,4.9,5.0,4.9,5.0,4.7,4.8,45043,6578386.0,184.6,26914.0,0.679,0.754,123.4,18023.0,136.9,19995.1,248,36,117,365,6203,892972,201.8,29055.6,0.322,0.537,68.9,9921.9,114.9,16536.5,29,36,61,90,Kyoto,Japan,JP,Asia Pacific
852692,Quadruple Bunk Bed with Shared Bath,Room in hostel,hotel_room,https://a0.muscache.com/im/pictures/miso/Hosting-852692/original/b6bbbfdb-ef8c-45b5-a099-67e013a8f5db.jpeg,19.0,4451607,Soi,,,True,34.9928,135.7785,,,2.0,0.0,True,"Children’s books and toys,Wifi,Air conditioning,Kitchen,Children’s dinnerware,Game console,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Heating,Cooking basics,Washer,Dryer,Smoke alarm,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",,False,1,Firm,JPY,0.0,0.0,46.0,4.72,4.9,4.9,4.8,4.8,4.7,4.7,2713,390560.0,127.7,18645.6,0.06,0.074,7.4,1070.0,9.1,1310.6,22,67,343,365,242,34838,120.7,17371.0,0.022,0.0,2.7,387.1,0.0,0.0,2,0,88,90,Kyoto,Japan,JP,Asia Pacific
875493,Traditional Twin with Bath,Room in bed and breakfast,hotel_room,https://a0.muscache.com/im/pictures/c06e2260-525e-46b3-9feb-abb11f93db6f.jpg?aki_policy=medium,12.0,4451607,,,,True,34.9908,135.7787,2.0,1.0,2.0,1.0,,"Wifi,Cable TV,Kitchen,Dryer,Iron,TV,Hair dryer,Hangers,Shampoo,Heating,Essentials,Washer,Air conditioning,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Children’s books and toys,Children’s dinnerware,Game console,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Cooking basics,Backyard,Luggage dropoff allowed,Long term stays allowed",,,1,Moderate,JPY,0.0,,93.0,4.88,4.9,4.9,5.0,4.9,4.8,4.8,14258,2118954.0,102.0,14888.9,0.364,0.619,39.1,5805.4,66.3,9855.6,133,150,232,365,0,0,93.8,13509.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Kyoto,Japan,JP,Asia Pacific
890735,Traditional Single with Shared Shower,Room in bed and breakfast,hotel_room,,,4451607,,,,False,34.9908,135.7772,1.0,1.0,2.0,3.0,True,"Children’s books and toys,Air conditioning,Kitchen,Game console,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Cooking basics,Washer,Dryer,Smoke alarm,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron",,False,1,Firm,JPY,0.0,0.0,154.0,4.81,4.9,4.9,4.8,4.9,4.8,4.8,1778,263408.0,42.3,6174.5,0.118,0.0,4.9,721.7,0.0,0.0,43,0,322,365,801,115304,38.4,5534.1,0.233,0.0,8.9,1281.2,0.0,0.0,21,0,69,90,Kyoto,Japan,JP,Asia Pacific
1064946,[Maison à Kyoto Amanogawa],Entire home,entire_home,https://a0.muscache.com/im/pictures/21551898/9b649a40_original.jpg,62.0,5685316,Seiko,,,True,35.0062,135.7787,4.0,2.0,4.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Crib,Children’s books and toys,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Patio or balcony,Paid parking off premises,Luggage dropoff allowed",,False,1,Moderate,JPY,47.0,0.0,830.0,4.94,4.9,4.9,4.9,5.0,4.9,4.9,65766,9594777.0,198.4,28909.0,0.863,0.0,169.2,24711.4,0.0,0.0,315,0,50,365,14694,2115325,209.3,30130.5,0.733,0.0,152.8,22000.1,0.0,0.0,66,0,24,90,Kyoto,Japan,JP,Asia Pacific
1160445,"Kyoto Machiya Gion \Kunitsukami\"" araka-tanaka""",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE2MDQ0NQ%3D%3D/original/f2eb3ac7-715d-46b9-b106-2a496d5cbd90.jpeg,29.0,6359156,Tokuji,"500,791,349,655,571,000","Aoina,Takako",True,34.999,135.7722,3.0,1.0,3.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Sound system,Window guards,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Private entrance,Backyard,Hot tub,Paid parking off premises,Long term stays allowed",,False,4,Strict,JPY,95.0,0.0,265.0,4.9,4.9,4.9,5.0,4.9,4.9,4.8,31760,4572121.0,205.7,30001.3,0.386,0.505,83.6,12039.3,109.4,15750.3,141,86,224,365,15681,2257415,212.4,30570.4,0.767,0.0,164.7,23714.8,0.0,0.0,69,0,21,90,Kyoto,Japan,JP,Asia Pacific
1160447,"Kyoto Machiya Arashiyama \Hanare\"" araka-tanaka""",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/21674674/69f90629_original.jpg,49.0,6359156,Tokuji,"500,791,349,655,571,000","Aoina,Takako",True,35.0152,135.6833,2.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Toaster,Coffee,Private entrance,Laundromat nearby,Backyard,Long term stays allowed",,False,4,Strict,JPY,89.0,0.0,226.0,4.95,4.9,5.0,5.0,5.0,4.9,4.8,61358,8947180.0,170.0,24792.0,0.896,0.959,153.2,22371.6,164.0,23946.2,327,24,38,365,12547,1806246,170.9,24596.2,0.722,0.985,126.6,18218.8,172.6,24843.8,65,24,25,90,Kyoto,Japan,JP,Asia Pacific
1163627,Kirakuan - a Machiya with a modern touch,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/67394730/0dfb2b73_original.jpg,50.0,2151085,Mako,"152,883,483,709,641,000","航平,Erika",True,34.9962,135.7585,5.0,2.0,2.0,1.5,True,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,Sound system,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Private entrance,Backyard,Bikes,Paid parking off premises,Smoking allowed,Long term stays allowed",,False,3,Strict,JPY,50.0,0.0,313.0,4.97,5.0,5.0,5.0,5.0,4.9,4.9,56178,8175359.0,244.1,35667.1,0.592,0.0,147.2,21431.9,0.0,0.0,216,0,149,365,14189,2042625,227.8,32793.7,0.633,0.0,150.4,21656.1,0.0,0.0,57,0,33,90,Kyoto,Japan,JP,Asia Pacific
