listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
74754,SPECTACULAR OCEAN VIEW MANILA BAY,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzQ3NTQ%3D/original/82881a2b-723c-4cfb-8e35-3eedfe92dda9.jpeg,25.0,3735784,Cha,"3,396,493,399,499","Cristiano,Camilla",False,14.5673,120.9848,6.0,3.0,3.0,2.0,False,"TV,Cable TV,Wifi,Kitchen,Hair dryer,Bidet,Hot water,Essentials,Hangers,Iron,Clothing storage,TV,High chair,Air conditioning,Portable fans,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Rice maker,Dining table,Laundromat nearby,Patio or balcony,Pool,Elevator,Gym,Paid parking off premises,Paid parking on premises,Single level home,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,7.0,Firm,PHP,115.0,0.0,167,4.57,4.7,4.8,4.5,4.8,4.4,4.6,6910,390198,112.8,6341.6,0.162,0.0,17.7,998.7,0.0,0.0,59,0,306,365,0,0,123.4,6883.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manila,Philippines,PH,Asia Pacific
119558,Coco's Garden Manila,Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-119558/original/635b03ae-24e0-4644-8883-1ec97d6ba1fa.jpg,48.0,592395,Greg,,,True,14.5856,120.9971,,,2.0,0.0,False,"Hot water,Washer,Essentials,Hangers,Iron,TV,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Moderate,PHP,10.0,0.0,394,4.84,4.8,4.9,4.8,4.9,4.5,4.8,2019,115371,69.9,3934.6,0.077,0.0,5.4,306.9,0.0,0.0,28,0,337,365,340,18963,66.9,3729.3,0.056,0.0,3.7,204.5,0.0,0.0,5,0,85,90,Manila,Philippines,PH,Asia Pacific
267104,Your Two Bedroom Vacation Home in Manila,Entire condo,entire_home,https://a0.muscache.com/im/pictures/14450038/1c3bf022_original.jpg,22.0,1400105,Sallie,525622987,Sherwin,False,14.5618,120.9945,4.0,2.0,3.0,1.0,False,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Pool,Crib,Kitchen,Pool table,Portable fans,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Bidet,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Iron,Toaster,Rice maker",,False,2.0,Firm,PHP,40.0,0.0,83,4.46,4.6,4.7,4.5,4.8,4.7,4.5,2108,118309,44.4,2493.0,0.118,0.132,4.8,269.1,5.4,302.2,43,40,322,365,0,0,54.0,3012.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manila,Philippines,PH,Asia Pacific
1115273,Studio / Condo at great location,Entire condo,entire_home,https://a0.muscache.com/im/pictures/22211992/86e4ae44_original.jpg,15.0,6037197,Stefan,,,True,14.5606,120.9917,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Elevator,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,30.0,Firm,PHP,,,67,4.67,4.7,4.7,4.6,4.8,4.3,4.6,1220,70323,20.6,1157.3,0.17,0.318,3.3,192.7,6.3,360.6,62,170,303,365,0,0,20.3,1132.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Manila,Philippines,PH,Asia Pacific
1857894,URBAN RETREAT 1 (1BR),Entire condo,entire_home,https://a0.muscache.com/im/pictures/108377061/f73b754e_original.jpg,12.0,4698234,Noel,,,False,14.57,120.9868,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Free parking on premises,Pool,Elevator,Gym",,False,3.0,Strict,PHP,0.0,0.0,69,4.7,4.8,4.5,4.6,4.7,4.9,4.4,1205,67838,60.9,3428.1,0.055,0.0,3.3,185.9,0.0,0.0,20,0,345,365,593,33070,59.6,3325.5,0.111,0.0,6.6,367.4,0.0,0.0,10,0,80,90,Manila,Philippines,PH,Asia Pacific
2029368,US Embassy & Overlooking Manila Bay Netflix Ready.,Entire condo,entire_home,https://a0.muscache.com/im/pictures/257617bd-3091-445e-a983-77ff86611868.jpg,42.0,10422752,John Paulo & Joy,,,True,14.5769,120.9816,4.0,1.0,3.0,1.0,False,"Wifi,TV,Hair dryer,Shampoo,Body soap,Hot water,Essentials,TV,Air conditioning,Portable fans,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Patio or balcony,Pool,Elevator,Gym,Paid parking off premises,Long term stays allowed",,False,2.0,Strict,PHP,13.0,0.0,115,4.72,4.8,4.9,4.7,4.9,4.7,4.7,7851,443297,41.5,2333.0,0.496,0.0,20.5,1156.9,0.0,0.0,181,0,184,365,1864,103962,40.2,2244.5,0.489,0.0,20.0,1114.9,0.0,0.0,44,0,46,90,Manila,Philippines,PH,Asia Pacific
2311047,"2 br, 3 bath, fully furnished, airconditioned.",Entire condo,entire_home,https://a0.muscache.com/im/pictures/34841606/63468c6e_original.jpg,29.0,11802755,Becky,,,False,14.5797,120.9835,6.0,2.0,3.0,3.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water,Gym,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Hot tub,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Smoke alarm,First aid kit,Backyard,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub",,False,7.0,Firm,PHP,100.0,0.0,24,4.58,4.6,4.5,4.2,4.7,4.9,4.5,2334,131476,115.7,6518.5,0.047,0.049,5.8,329.6,6.1,345.8,17,17,348,365,0,0,105.2,5869.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Manila,Philippines,PH,Asia Pacific
3083301,Fully furnished 2br. condo in avida san lazaro,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-3083301/original/21637a41-bc85-4570-8cbd-abd92f5485de.jpeg,11.0,15688908,Almira,,,False,14.6199,120.9883,5.0,2.0,2.0,1.0,False,"TV,Wifi,Air conditioning,Pool,Kitchen,Hot water kettle,Paid parking off premises,Elevator,Laundromat nearby,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Paid parking on premises,Stove,Washer,Smoke alarm,Luggage dropoff allowed,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Rice maker",,False,3.0,Moderate,PHP,11.0,0.0,35,4.49,4.5,4.7,4.0,4.8,4.9,4.5,5066,283738,46.5,2614.6,0.279,0.322,13.6,760.6,15.6,875.7,102,48,263,365,1060,59115,45.5,2537.6,0.244,0.449,11.7,650.0,21.4,1193.9,22,41,68,90,Manila,Philippines,PH,Asia Pacific
3442913,1 Bedroom Apartment,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ0MjkxMw%3D%3D/original/ff3d394e-8e46-49b5-acbe-5e378f2e709f.jpeg,38.0,13683440,Jmm Grand Suites Hotel,,,False,14.5754,120.9841,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Body soap,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Safe,TV,Crib,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Freezer,Stove,Hot water kettle,Rice maker,Free parking on premises,Pool,Elevator,Gym,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1.0,Moderate,PHP,0.0,0.0,34,4.32,4.4,4.3,4.6,4.1,4.8,4.5,2375,133471,57.2,3222.6,0.11,0.0,6.5,365.7,0.0,0.0,40,0,325,365,521,29056,45.0,2512.1,0.133,0.0,5.8,322.8,0.0,0.0,12,0,78,90,Manila,Philippines,PH,Asia Pacific
3566908,Business-Class Apartment,Room in serviced apartment,hotel_room,,,9776186,,,,False,14.5718,120.984,2.0,1.0,1.0,0.0,False,"High chair,TV,Wifi,Air conditioning,Pool,Crib,Kitchen,Free parking on premises,Paid parking off premises,Breakfast,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Clothing storage,Stove,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Private entrance",,False,1.0,Moderate,PHP,0.0,0.0,43,4.84,4.9,4.9,4.7,4.8,4.8,4.9,439,24485,37.3,2099.6,0.03,0.0,1.2,67.1,0.0,0.0,11,0,354,365,439,24485,39.9,2225.9,0.122,0.0,4.9,272.1,0.0,0.0,11,0,79,90,Manila,Philippines,PH,Asia Pacific
3640735,"Hip 1BD, Amazing View, New World",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/46790786/c19289c8_original.jpg,55.0,3699401,Suzette,,,False,14.5723,120.9828,4.0,1.0,1.0,1.0,False,"Shampoo,Hot water,Essentials,TV,Air conditioning,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Stove,Oven,Coffee maker,Pool,Elevator,Gym",,False,3.0,Firm,PHP,10.0,0.0,103,4.72,4.8,4.8,4.7,4.9,4.7,4.7,3120,175761,56.5,3181.8,0.151,0.162,8.4,470.8,9.0,506.9,55,26,310,365,721,40210,56.4,3144.2,0.133,0.0,7.8,434.4,0.0,0.0,12,0,78,90,Manila,Philippines,PH,Asia Pacific
