listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
87929,Pool View Studio Apt in Candolim Beach Resort,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/605323/dec5c319_original.jpg,36,3284,Dominic,,,True,15.517,73.7622,4.0,,3,1.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Safe,TV,Books and reading material,Board games,Outdoor playground,Air conditioning,Ceiling fan,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Hot water kettle,Wine glasses,Coffee,Waterfront,Beach access,Private entrance,Resort access,Outdoor furniture,Beach essentials,Bikes,Sun loungers,Free parking on premises,Free street parking,Single level home,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,1,Firm,INR,0,0.0,21,4.86,4.8,4.8,4.8,4.9,5.0,4.9,2647,227151,93.6,8034.0,0.074,0.079,7.3,622.3,7.8,668.1,27,25,338,365,757,64774,107.0,9154.8,0.078,0.0,8.4,719.7,0.0,0.0,7,0,83,90,Mumbai,India,IN,Asia Pacific
446602,2 Bedroom Row House in Candolim near the beach - 7,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDQ2NjAy/original/b7f7fdc7-5016-4930-a33c-16a4243091b9.jpeg,32,2157761,Nitin,,,False,15.5315,73.7645,5.0,2.0,3,2.0,False,"Air conditioning,Cleaning products,Shampoo,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Sun loungers,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2,Firm,INR,0,0.0,8,4.75,4.9,5.0,4.9,4.8,4.6,4.9,1777,152054,83.5,7157.9,0.052,0.054,4.9,416.6,5.1,435.7,19,16,346,365,1077,92156,100.8,8627.1,0.111,0.135,12.0,1024.0,14.6,1245.4,10,16,80,90,Mumbai,India,IN,Asia Pacific
518598,"A Tranquil Holiday Home in Candolim, GOA",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/6233796/5e70cacc_original.jpg,26,154159400,Dean,,,False,15.5178,73.7744,4.0,1.0,2,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Hot water kettle,Ceiling fan,Hot water,Body soap,Bed linens,Free street parking,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Clothing storage,Stove,Washer,Patio or balcony,Backyard,Essentials,Long term stays allowed,Shampoo,Dining table,Iron,Toaster,Bathtub",,,2,Strict,INR,0,,155,4.36,4.5,4.6,4.5,4.6,4.6,4.4,902,78423,20.6,1765.0,0.121,0.518,2.5,214.9,10.6,922.6,44,280,321,365,0,0,20.6,1763.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Mumbai,India,IN,Asia Pacific
758022,"Entire Villa   in Candolim, Goa !",Entire villa,entire_home,https://a0.muscache.com/im/pictures/52816585/71fefe00_original.jpg,21,3059288,Prannay,44229573,Pranay,True,15.528,73.7661,7.0,2.0,2,2.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Crib,Outdoor playground,Air conditioning,Ceiling fan,Heating,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Toaster,Dining table,Patio or balcony,Backyard,Free parking on premises,Pool,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3,Firm,INR,0,0.0,29,4.76,4.7,4.8,4.6,4.9,4.7,4.6,5255,452750,60.0,5141.9,0.247,0.265,14.4,1240.4,15.5,1331.6,90,25,275,365,993,84970,69.7,5968.0,0.189,0.262,11.0,944.1,15.3,1307.2,17,25,73,90,Mumbai,India,IN,Asia Pacific
800587,"A1 Apartment on candolim beach, with wifi 50mbps,",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/42b87d4e-61da-4fff-9bc9-4f1e72bbf0e9.jpg,27,4214874,Anil,,,False,15.5182,73.7646,2.0,1.0,1,1.0,True,"Cleaning products,Shampoo,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Window guards,Air conditioning,Ceiling fan,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Toaster,Dining table,Beach access,Private entrance,Patio or balcony,Beach essentials,Bikes,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2,Firm,INR,0,0.0,10,4.6,4.5,4.7,4.3,4.8,4.1,4.3,529,45277,18.9,1622.3,0.085,0.0,1.4,124.0,0.0,0.0,31,0,334,365,268,22933,22.6,1935.8,0.167,0.0,3.0,254.8,0.0,0.0,15,0,75,90,Mumbai,India,IN,Asia Pacific
843108,2 Bedroom Row House in Candolim near the beach - 6,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-843108/original/1d38b334-ddfa-48bf-8a62-a4b4d7d77c7c.jpeg,36,2157761,Nitin,,,False,15.5315,73.7641,5.0,2.0,3,2.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Air conditioning,Ceiling fan,Exterior security cameras on property,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Wine glasses,Toaster,Dining table,Beach access,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2,Firm,INR,0,0.0,12,4.75,4.4,4.8,4.8,4.8,4.8,4.7,1282,110651,82.7,7090.6,0.038,0.061,3.5,303.2,5.5,479.0,14,134,351,365,324,27724,98.7,8444.6,0.044,0.069,3.6,308.0,5.6,478.0,4,32,86,90,Mumbai,India,IN,Asia Pacific
852318,"3 Bedroom Villa in Candolim near the beach, Goa-7",Entire home,entire_home,https://a0.muscache.com/im/pictures/5d397daa-bd1b-48be-919a-a8480f72a501.jpg,32,2157761,Nitin,,,False,15.5236,73.7631,7.0,3.0,3,4.0,True,"TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Ceiling fan,Pets allowed,Free street parking,Laundromat nearby,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Beach access,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Private entrance,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Cleaning before checkout,Dining table,Sun loungers,Toaster",,False,2,Firm,INR,0,0.0,48,4.77,4.6,4.9,4.8,4.9,4.8,4.5,13525,1163347,144.1,12361.8,0.258,0.271,37.1,3187.3,39.0,3352.6,94,18,271,365,2768,236853,185.1,15836.7,0.178,0.216,30.8,2631.7,37.4,3200.7,16,16,74,90,Mumbai,India,IN,Asia Pacific
864716,Beach villa Old Portugees home 5 min from beach,Entire home,entire_home,https://a0.muscache.com/im/pictures/12410795/bbb2c555_original.jpg,54,4538313,Mildred,,,False,15.5219,73.7651,7.0,3.0,4,3.0,True,"Hair dryer,Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,Ethernet connection,TV,Sound system,Books and reading material,Crib,Pack ’n play/Travel crib,Board games,Babysitter recommendations,Air conditioning,Ceiling fan,Portable fans,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Beach access,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Long term stays allowed,Cleaning before checkout",,False,3,Firm,INR,0,0.0,86,4.52,4.7,4.7,4.7,4.6,4.6,4.5,1556,134245,95.5,8191.0,0.041,0.043,4.3,367.8,4.5,388.0,15,19,350,365,0,0,105.9,9060.7,0.0,0.0,0.0,0.0,0.0,0.0,0,19,90,90,Mumbai,India,IN,Asia Pacific
1580628,BEACH TOUCH 2BHK VILLA IN CANDOLIM (Blue Palm C-7),Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1580628/original/04b33ebb-652e-44d5-b984-30687613dfe2.jpeg,48,8406834,Puneet,,,False,15.5152,73.7666,6.0,2.0,2,2.0,True,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Books and reading material,High chair,Air conditioning,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Blender,Barbecue utensils,Patio or balcony,Backyard,Free parking on premises,Free street parking,Pool,Hot tub,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2,Firm,INR,0,0.0,86,4.67,4.7,4.9,4.6,4.8,4.8,4.5,13848,1192206,133.5,11449.1,0.252,0.0,37.9,3266.3,0.0,0.0,92,0,273,365,4086,349630,170.8,14618.8,0.233,0.0,45.4,3884.8,0.0,0.0,21,0,69,90,Mumbai,India,IN,Asia Pacific
1743337,Beautiful Old Portugese Cottage,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/24715369/cbe8b33f_original.jpg,22,9139934,Sam,,,True,15.5316,73.7636,6.0,2.0,4,2.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Beach access,Patio or balcony,Backyard,Free street parking,Hot tub,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,1,Flexible,INR,5,0.0,225,4.61,4.6,4.8,4.7,4.8,4.6,4.6,7227,621212,57.6,4936.0,0.332,0.376,19.6,1680.8,22.2,1905.3,121,43,244,365,2049,175330,71.2,6088.7,0.344,0.646,22.7,1943.4,42.6,3643.8,31,42,59,90,Mumbai,India,IN,Asia Pacific
