listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
4337729,"10 mins Namba, Umeda, USJ, Osaka Castle♪",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e712fe03-7087-4318-b941-e46f9373f760.jpg,29.0,22085135,Awaza House,,,False,34.6792,135.4855,5.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Ceiling fan,Pets allowed,Conditioner,Mini fridge,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Washer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Window guards,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Luggage dropoff allowed,Long term stays allowed,Dining table",False,False,1.0,Strict,JPY,6,6.0,84,4.49,4.6,4.8,4.5,4.8,4.7,4.6,6398,934401.0,52.7,7684.9,0.323,0.752,16.9,2472.4,39.3,5748.0,118,208,247,365,299,43046,55.5,7985.2,0.056,0.263,3.2,459.1,15.1,2174.6,5,71,85,90,Osaka,Japan,JP,Asia Pacific
4460860,Toki no ie,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-4460860/original/10a3eab0-0323-44be-9250-88b3029ef9e1.jpeg,102.0,22229559,Yohta,,,True,34.6811,135.4671,8.0,1.0,14.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Clothing storage,TV,Books and reading material,Crib,Children’s books and toys,High chair,Children’s dinnerware,Changing table,Table corner guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Rice maker,Dining table,Private entrance,Laundromat nearby,Long term stays allowed",,False,2.0,Moderate,JPY,31,0.0,119,4.96,4.9,5.0,4.9,4.9,4.9,4.9,35928,5179913.0,156.9,22824.8,0.532,0.0,93.5,13482.4,0.0,0.0,194,0,171,365,12503,1799915,173.3,24951.2,0.744,0.0,134.4,19354.4,0.0,0.0,67,0,23,90,Osaka,Japan,JP,Asia Pacific
4589321,201 KUROMONmarket/KUROMONmarket/KUROMONmarket/WIFI FREE,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7d09b5ae-8776-49c1-be17-079234587ff7.jpg,35.0,23789800,Kosuke,,,False,34.6645,135.5069,4.0,1.0,3.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Private entrance,Laundromat nearby,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Firm,JPY,28,0.0,293,4.7,4.8,4.8,4.7,4.9,4.8,4.7,15822,2310771.0,76.7,11182.5,0.537,0.583,40.0,5845.0,43.4,6349.4,196,29,169,365,3541,509754,70.8,10193.8,0.511,0.0,35.9,5171.3,0.0,0.0,46,0,44,90,Osaka,Japan,JP,Asia Pacific
4592256,Osaka kuma house Room No.3C,Private room in home,private_room,https://a0.muscache.com/im/pictures/77194497/9ce66f08_original.jpg,38.0,23804686,Anna,,,False,34.6027,135.5349,,,5.0,0.0,True,"TV,Cable TV,Wifi,Air conditioning,Lake access,Kitchen,Paid parking off premises,Resort access,Hot tub,Cleaning products,Indoor fireplace,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Children’s books and toys,Window guards,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Exercise equipment,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Strict,JPY,12,0.0,26,4.46,4.4,4.4,4.5,4.5,4.1,4.4,3157,458160.0,91.4,13290.1,0.099,0.0,8.4,1222.1,0.0,0.0,36,0,329,365,348,50099,111.2,16001.8,0.033,0.0,3.7,537.5,0.0,0.0,3,0,87,90,Osaka,Japan,JP,Asia Pacific
4988956,"2nd/Cat lovers inn+Dome, 1-3 single beds, 24.12㎡",Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDk4ODk1Ng%3D%3D/original/0aa70659-0634-460a-ad39-64caca71c398.jpeg,99.0,25721049,Junjun,25564889,Naoya,True,34.6714,135.4757,3.0,1.0,2.0,1.5,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Ethernet connection,Piano,Record player,Books and reading material,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Coffee maker,Rice maker,Dining table,Coffee,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Firm,JPY,0,39.0,436,4.98,5.0,5.0,5.0,5.0,4.9,5.0,18082,2642521.0,51.6,7541.5,0.959,0.0,49.5,7239.8,0.0,0.0,350,0,15,365,4664,671424,56.6,8143.3,0.911,0.0,51.8,7460.3,0.0,0.0,82,0,8,90,Osaka,Japan,JP,Asia Pacific
5014755,Coco House #203,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b079d37d-3d98-4e98-a725-f7e9dde23d8b.jpg,9.0,25839924,Yuka,,,True,34.6382,135.4928,2.0,1.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Room-darkening shades,Hot water kettle,Hot water,Body soap,Conditioner,Mini fridge,Laundromat nearby,Microwave,Dishes and silverware,Heating,Cooking basics,Stove,Smoke alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Toaster,Bathtub",,False,2.0,Firm,JPY,12,0.0,342,4.86,4.9,5.0,4.8,5.0,4.8,4.9,10099,1477123.0,35.7,5213.7,0.723,0.913,25.8,3772.3,32.5,4764.4,264,76,101,365,568,81772,36.3,5232.2,0.156,1.0,5.8,831.8,37.1,5347.1,14,76,76,90,Osaka,Japan,JP,Asia Pacific
5133494,N ° 5 Condominium ModernUnique 2BedRoom Corner Apt,Entire condo,entire_home,https://a0.muscache.com/im/pictures/991f4745-7963-4771-98a0-b585ddc3b3bc.jpg,60.0,26537534,Hossy,,,True,34.6081,135.5094,3.0,2.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Rice maker,Bathtub,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",,False,3.0,Firm,JPY,41,0.0,105,4.86,4.9,4.9,4.9,4.9,4.7,4.8,14524,2130006.0,65.3,9508.9,0.595,0.68,38.2,5609.3,43.7,6418.1,217,46,148,365,1677,241415,66.7,9603.5,0.233,0.339,16.4,2354.5,23.7,3417.8,21,28,69,90,Osaka,Japan,JP,Asia Pacific
5215388,Coco House #303,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/7ade9c5b-3617-4e2e-ac9d-87bbfdfae449.jpg,10.0,25839924,Yuka,,,True,34.636,135.4925,2.0,1.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Room-darkening shades,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Toaster,Dining table,Laundromat nearby,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,JPY,12,0.0,306,4.82,4.9,5.0,4.8,5.0,4.7,4.8,13144,1916077.0,36.2,5279.3,0.951,0.0,34.4,5022.3,0.0,0.0,347,0,18,365,3367,484722,36.3,5232.2,1.0,0.0,36.3,5232.2,0.0,0.0,90,0,0,90,Osaka,Japan,JP,Asia Pacific
5350987,"5min walk to UMEDA & Osaka STN, convenient APT!",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c5406d35-79a1-4bb4-9b45-2f19c12b1ef8.jpg,61.0,20672224,Hideki,,,False,34.7013,135.5034,4.0,1.0,4.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,TV,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Private entrance,Laundromat nearby,Paid parking off premises,Long term stays allowed",,False,2.0,Firm,JPY,43,0.0,309,4.61,4.8,4.8,4.7,4.9,4.6,4.7,19863,2892452.0,86.4,12595.5,0.551,0.552,48.5,7076.6,48.7,7096.0,201,1,164,365,2952,424963,87.0,12529.2,0.322,0.0,29.0,4171.6,0.0,0.0,29,0,61,90,Osaka,Japan,JP,Asia Pacific
5387283,ShinOsaka 2min!! Private room 201,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3addf65c-b431-4ae1-864b-269e033f385b.jpg,38.0,24675923,Kazuma,,,True,34.742,135.4977,2.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Freezer,Stove,Hot water kettle,Toaster,Private entrance,Laundromat nearby,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Moderate,JPY,3,0.0,837,4.9,4.9,5.0,4.9,5.0,4.9,4.9,13692,1996439.0,37.3,5439.1,0.989,0.994,36.9,5378.6,37.1,5408.2,361,2,4,365,3540,509610,39.6,5707.1,0.978,1.0,38.8,5580.7,39.6,5707.6,88,2,2,90,Osaka,Japan,JP,Asia Pacific
5527618,"Studio Room + Bathroom & Kitchen, 2 min from Sta.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-5527618/original/9c2f5a09-9351-4a29-a258-063740b2f329.jpeg,42.0,24675923,Kazuma,,,True,34.742,135.4977,2.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Freezer,Stove,Hot water kettle,Toaster,Private entrance,Laundromat nearby,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Moderate,JPY,3,0.0,628,4.92,4.9,5.0,4.9,5.0,4.8,4.9,13800,2010080.0,38.3,5577.5,0.967,0.0,37.1,5402.9,0.0,0.0,353,0,12,365,3543,510035,41.6,5988.5,0.922,0.0,38.7,5566.3,0.0,0.0,83,0,7,90,Osaka,Japan,JP,Asia Pacific
5575836,Authentic Osaka Life 2BR + Tatami N°5 HOSSY STYLE,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-5575836/original/587a4e34-44be-43d4-9c7b-8f3ff8b8d246.jpeg,66.0,26537534,Hossy,,,True,34.6075,135.5112,2.0,2.0,3.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Books and reading material,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Rice maker,Patio or balcony,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Limited,JPY,36,0.0,93,4.77,4.8,4.8,4.9,4.8,4.8,4.8,12329,1796871.0,58.3,8500.1,0.537,0.618,31.7,4624.7,36.5,5325.0,196,48,169,365,3446,496087,56.7,8159.3,0.578,0.658,33.9,4878.6,38.6,5557.9,52,11,38,90,Osaka,Japan,JP,Asia Pacific
5613507,Coco House #403,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/17e2102f-b71c-412c-81d9-c246a17b1895.jpg,12.0,25839924,Yuka,,,True,34.6359,135.4923,2.0,1.0,2.0,1.5,True,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Room-darkening shades,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Toaster,Dining table,Laundromat nearby,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,JPY,12,0.0,328,4.84,4.9,4.9,4.9,5.0,4.8,4.9,8946,1308060.0,36.1,5265.2,0.652,0.739,23.3,3413.3,26.4,3869.1,238,43,127,365,1800,259106,37.8,5436.4,0.522,1.0,19.9,2859.8,38.0,5476.1,47,43,43,90,Osaka,Japan,JP,Asia Pacific
5632685,6beds mixed dorm (1),Room in hostel,hotel_room,,,22267772,,,,False,34.6227,135.4779,1.0,1.0,4.0,4.5,True,"Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,1.0,Firm,JPY,0,0.0,58,4.74,4.8,5.0,4.6,4.9,4.8,4.8,1751,259646.0,27.5,4012.4,0.178,0.0,4.8,711.4,0.0,0.0,65,0,300,365,158,22745,22.0,3160.6,0.078,0.0,1.8,252.7,0.0,0.0,7,0,83,90,Osaka,Japan,JP,Asia Pacific
