listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
567462.0,"★★★★★Pattaya Hill, minutes Beach / Walking street",Entire villa,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-567462/original/c421647c-b146-4322-bb62-68bc72d59458.jpeg,71,2254032,Hans,,,True,12.921,100.9133,12.0,6.0,6.0,5.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Smoking allowed,Free street parking,Outdoor furniture,Clothing storage,Wine glasses,Washer,Beach access,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Rice maker,Baby bath,High chair,Babysitter recommendations,Crib,Pack ’n play/Travel crib,Hot water,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Fire pit,Dishes and silverware,Oven,Stove,Single level home,BBQ grill,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Safe,Barbecue utensils,Sun loungers,Toaster",,False,3.0,Firm,THB,0.0,0.0,24,4.79,4.8,4.7,4.7,4.9,4.5,4.6,7659,257352,239.8,7948.6,0.09,0.163,21.0,705.1,37.9,1274.0,33,163,332,365,2682,88009,264.6,8682.1,0.111,0.208,29.8,977.9,55.9,1833.5,10,42,80,90,Pattaya,Thailand,TH,Asia Pacific
4327641.0,A large studio near the sea,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-4327641/original/acc5a061-954d-45e3-aec9-c55fd008713b.jpeg,15,22471468,Dmitry,,,False,12.9589,100.8898,3.0,,1.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Bed linens,Iron,TV,Air conditioning,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Stove,Hot water kettle,Wine glasses,Dining table,Patio or balcony,Outdoor furniture,Outdoor dining area,Beach essentials,Sun loungers,Pool,Hot tub,Elevator",,False,,Moderate,THB,38.0,0.0,1,,,,,,,,777,25496,51.9,1701.9,0.041,0.0,2.2,71.3,0.0,0.0,14,0,326,340,777,25496,51.1,1678.3,0.156,0.0,8.2,269.4,0.0,0.0,14,0,76,90,Pattaya,Thailand,TH,Asia Pacific
9073002.0,A1/152 S&D -CCondominium2 -All inclusive / 3 pools,Entire condo,entire_home,https://a0.muscache.com/im/pictures/a640e64e-5366-4b65-8383-db9564149d43.jpg,173,47320702,S&D,,,True,12.9167,100.9098,4.0,1.0,1.0,1.0,False,"Shampoo,Outdoor shower,Hot water,Shower gel,Essentials,Hangers,Bed linens,Drying rack for clothing,Mosquito net,TV,Air conditioning,Portable fans,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Hot water kettle,Wine glasses,Baking sheet,Dining table,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pool,Elevator,Gym",,False,30.0,Firm,THB,,,14,4.79,4.8,4.7,4.7,4.8,4.4,4.6,3104,103063,14.2,469.4,0.586,0.759,8.5,282.4,11.0,365.5,214,83,151,365,1190,39049,15.3,502.4,0.844,1.0,13.2,433.9,15.7,513.8,76,14,14,90,Pattaya,Thailand,TH,Asia Pacific
9811459.0,house 5 bedrooms pool jacuzzi billiard all private,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-9811459/original/23bd5460-fced-4c14-b6a1-2ba0928b75d3.jpeg,57,50265623,Kanjana,,,True,12.9519,100.9176,10.0,5.0,5.0,3.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Safe,Mosquito net,Clothing storage,Ethernet connection,TV,Sound system,Exercise equipment,Pool table,Books and reading material,Air conditioning,Ceiling fan,Exterior security cameras on property,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Toaster,Baking sheet,Rice maker,Barbecue utensils,Dining table,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Outdoor kitchen,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Hot tub,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,THB,47.0,0.0,181,4.76,4.8,4.9,4.8,4.9,4.3,4.8,23997,789437,115.1,3818.8,0.534,0.687,62.5,2057.2,80.4,2644.0,195,81,170,365,9436,309635,116.6,3824.7,0.856,0.0,99.6,3269.1,0.0,0.0,77,0,13,90,Pattaya,Thailand,TH,Asia Pacific
12552011.0,"★★★★★Pattaya Hill, minutes Beach / Walking street",Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-12552011/original/46b30a9f-1898-4e26-b10f-2cdffb69f2fe.jpeg,79,68030824,Hans,,,True,12.921,100.9133,12.0,6.0,6.0,5.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Rice maker,Barbecue utensils,Dining table,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Pool,Single level home,Smoking allowed,Long term stays allowed",,False,3.0,Strict,THB,58.0,0.0,96,4.89,4.8,5.0,5.0,4.9,4.5,4.8,68137,2257813,229.3,7606.2,0.789,0.818,180.5,5982.5,187.1,6203.4,288,13,77,365,19348,634891,254.0,8334.9,0.822,0.831,207.2,6800.6,209.6,6877.0,74,1,16,90,Pattaya,Thailand,TH,Asia Pacific
15525710.0,Pool Villas by Honey-Luxury Family Resort,Entire villa,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-15525710/original/404ec57f-ac2b-4f19-b3d8-91e31696db68.jpeg,69,32891754,Honeys,,,True,12.9008,100.9411,16.0,5.0,16.0,5.5,False,"TV,Cable TV,Ping pong table,Wifi,Air conditioning,Lake access,Pool,Kitchen,Board games,Free parking on premises,Hot water kettle,Pool table,Portable fans,Ceiling fan,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Private entrance,Sound system,Rice maker,Hot water,Body soap,Outdoor shower,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Outdoor playground,Baking sheet,Barbecue utensils,Toaster",True,False,1.0,Moderate,THB,0.0,0.0,6,5.0,5.0,5.0,5.0,5.0,4.7,4.8,15512,514106,234.8,7791.2,0.181,0.218,42.5,1408.5,51.2,1696.7,66,62,299,365,1543,50633,247.5,8123.1,0.067,0.113,17.1,562.6,29.1,955.3,6,37,84,90,Pattaya,Thailand,TH,Asia Pacific
16248687.0,Entire villa 4 bedrooms in Central Pattaya,Entire villa,entire_home,https://a0.muscache.com/im/pictures/773cce98-e1f1-4b1d-b5fd-fa6c8e952c6a.jpg,32,104297428,Suthida,,,False,12.9268,100.9122,8.0,4.0,4.0,2.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Ceiling fan,Pets allowed,Gym,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Window guards,Hot water,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,BBQ grill,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table",,False,2.0,Firm,THB,21.0,0.0,99,4.79,4.8,4.8,4.7,4.6,4.4,4.8,10310,343603,45.5,1508.8,0.616,0.859,27.2,905.5,37.8,1261.5,225,103,140,365,0,0,50.3,1651.1,0.0,0.0,0.0,0.0,0.0,0.0,0,85,90,90,Pattaya,Thailand,TH,Asia Pacific
17267728.0,B2/94 S&D - CCondominium2 -All inclusive / 3 pools,Entire condo,entire_home,https://a0.muscache.com/im/pictures/4314e8b2-61d8-4fea-88fb-1b0be58bdee4.jpg,205,47320702,S&D,,,True,12.9196,100.909,4.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Kitchen,Free parking on premises,Hot water kettle,Portable fans,Hot water,Gym,Body soap,Outdoor shower,Mosquito net,Elevator,Bed linens,Free street parking,Laundromat nearby,Outdoor furniture,Microwave,Refrigerator,Drying rack for clothing,Dishes and silverware,Cooking basics,Wine glasses,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Dining table,Baking sheet,Outdoor dining area,Freezer,Private entrance",,False,30.0,Firm,THB,,,11,4.73,4.9,4.8,4.8,4.9,4.4,4.9,2576,86060,14.2,471.0,0.504,0.716,7.1,235.8,10.0,334.9,184,108,181,365,398,13052,14.2,465.0,0.311,0.737,4.4,145.0,10.5,343.5,28,52,62,90,Pattaya,Thailand,TH,Asia Pacific
21219854.0,Baan Dhewaran. Beachfront Villa Na Jomtien Pattaya.,Entire villa,entire_home,https://a0.muscache.com/im/pictures/93295caf-8b8e-4a99-8853-0195e0a9f0c9.jpg,123,153326789,Kanjana,,,False,12.8464,100.9045,6.0,3.0,3.0,2.5,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Baby bath,Babysitter recommendations,Air conditioning,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Rice maker,Trash compactor,Coffee,Waterfront,Beach access,Patio or balcony,Backyard,Beach essentials,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,THB,0.0,0.0,80,4.75,4.6,4.8,4.8,4.9,4.7,4.6,9216,306117,210.4,6978.5,0.118,0.156,25.2,838.7,33.4,1109.1,43,89,322,365,2946,96671,229.2,7520.7,0.144,0.0,32.7,1074.1,0.0,0.0,13,0,77,90,Pattaya,Thailand,TH,Asia Pacific
22539576.0,Lumpini Apartment Pattaya 20 meters from Jomtien Beach Sea View High Floor Two Bedroom Short Term Lo,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0b51e8e1-18be-495f-98a9-364c7b5121f8.jpg,35,134439124,Erin,51550930,燕,False,12.8455,100.9086,4.0,2.0,2.0,2.0,False,"TV,Washer,Cable TV,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Pool,Kitchen,Essentials,Shampoo,Paid parking off premises,Hair dryer,Gym,Elevator,Dishes and silverware",,False,30.0,Flexible,THB,0.0,0.0,7,4.14,4.4,3.9,4.7,4.1,4.0,4.3,233,7645,19.4,645.4,0.03,0.04,0.6,20.9,0.8,27.7,11,89,354,365,0,0,16.6,544.4,0.0,0.0,0.0,0.0,0.0,0.0,0,45,90,90,Pattaya,Thailand,TH,Asia Pacific
