listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
193474,GoldRush #1,Entire home,entire_home,https://a0.muscache.com/im/pictures/prohost-api/Hosting-193474/original/b9a8b916-6de8-40ed-a092-f1c44d8538c7.jpeg,51,938627,Kristen,,,False,-45.0212,168.6972,6.0,3.0,3.0,2.0,False,"TV,Wifi,Air conditioning,Lake access,Kitchen,Free parking on premises,Hot water kettle,Conditioner,Free street parking,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Freezer,Private entrance,Rice maker,Baby safety gates,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Barbecue utensils,Toaster",,True,1.0,Firm,NZD,0,0.0,122,4.91,4.9,4.8,5.0,4.9,4.8,4.8,38868,65777,384.7,652.8,0.271,0.344,106.5,180.2,135.0,228.4,99,77,266,365,5540,9269,366.7,613.5,0.167,0.278,61.6,103.0,102.6,171.6,15,36,75,90,Queenstown,New Zealand,NZ,Asia Pacific
260719,Million Dollar Views Queenstown,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/2559247/83e0e8b4_original.jpg,12,1367966,Brian,,,True,-45.0337,168.6491,4.0,2.0,4.0,1.0,False,"Free parking on premises,Pets allowed,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Dining table,Private entrance,Patio or balcony,Free parking on premises,Free street parking,Single level home",,False,3.0,Strict,NZD,0,0.0,410,4.74,4.8,4.9,4.7,4.9,4.8,4.8,44586,75458,126.4,214.0,0.962,0.0,122.2,206.7,0.0,0.0,351,0,14,365,16660,27870,192.1,321.3,0.956,0.0,185.1,309.7,0.0,0.0,86,0,4,90,Queenstown,New Zealand,NZ,Asia Pacific
368177,Paradise on the Hill,Entire home,entire_home,https://a0.muscache.com/im/pictures/bb54f6c7-c8ef-47b7-8a19-58821135a28a.jpg,65,1857558,Tim,492230072,Amelia,True,-45.0319,168.6754,16.0,6.0,10.0,4.0,False,"Hair dryer,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,TV,High chair,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Barbecue utensils,Patio or balcony,BBQ grill,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,NZD,420,0.0,153,4.95,4.9,5.0,4.9,5.0,4.9,4.7,293720,498293,1005.3,1706.9,0.718,0.78,727.6,1236.1,790.4,1342.8,262,29,103,365,61177,102351,987.2,1651.5,0.611,0.902,614.4,1027.9,906.5,1516.5,55,29,35,90,Queenstown,New Zealand,NZ,Asia Pacific
368998,Beeches - Downtown Queenstown in Luxury,Entire condo,entire_home,https://a0.muscache.com/im/pictures/d88d63c0-c8f6-464d-9b39-adadd2b377a6.jpg,84,1857558,Tim,492230072,Amelia,True,-45.0302,168.6646,12.0,5.0,5.0,4.0,False,"Free parking on premises,Hair dryer,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Pack ’n play/Travel crib,High chair,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Dining table,Patio or balcony,BBQ grill,Free parking on premises,Free street parking,Long term stays allowed",,False,3.0,Firm,NZD,334,0.0,337,4.85,4.9,5.0,4.9,5.0,4.9,4.7,166644,282255,714.3,1211.4,0.564,0.577,410.8,696.7,420.0,712.3,206,8,159,365,36914,61757,798.0,1335.0,0.422,0.463,369.3,617.9,405.4,678.1,38,8,52,90,Queenstown,New Zealand,NZ,Asia Pacific
863259,GoldRush #2,Entire home,entire_home,https://a0.muscache.com/im/pictures/bf20b97d-7c7a-46f9-90e7-67b887e2f1a6.jpg,41,938627,Kristen,,,False,-45.0214,168.6968,8.0,3.0,3.0,2.0,False,"TV,Wifi,Air conditioning,Lake access,Crib,Kitchen,Free parking on premises,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron",,False,1.0,Firm,NZD,0,0.0,93,4.86,4.9,4.8,4.9,4.8,4.9,4.8,18235,31193,427.2,724.9,0.118,0.198,50.0,85.5,84.0,143.7,43,148,322,365,3521,5891,443.1,741.3,0.089,0.129,39.1,65.5,56.8,95.0,8,28,82,90,Queenstown,New Zealand,NZ,Asia Pacific
960609,Catalina 3 Luxury Central Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c4056315-fd10-4ae9-afd8-1ef98d025c08.jpg,18,4858560,Queenstown Holiday Homes,,,True,-45.0312,168.6655,6.0,3.0,,3.0,False,"TV,Cable TV,Wifi,Kitchen,Free parking on premises,Hot water kettle,Hot water,Body soap,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,BBQ grill,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Essentials,Hangers,Dining table,Hair dryer,Iron,Outdoor dining area,Freezer,Toaster,Bathtub",,,3.0,Strict,NZD,0,,155,4.95,4.9,4.9,5.0,4.9,4.9,4.7,12572,22367,492.7,836.6,0.071,0.179,34.4,61.3,86.7,154.3,26,220,339,365,0,0,514.1,860.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Queenstown,New Zealand,NZ,Asia Pacific
1151781,Commonage | 3br Promenade Villa,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/fa0de18b-b657-4604-81e3-8ea25aab1bc6.jpg,16,6313195,Staysouth Queenstown,,,True,-45.027,168.6653,6.0,3.0,3.0,3.5,False,"TV,Cable TV,Wifi,Crib,Kitchen,Free parking on premises,Hot water kettle,Hot water,Outdoor furniture,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster,Rice maker",True,,3.0,Firm,NZD,0,0.0,2,,,,,,,,13597,22747,790.0,1343.1,0.047,0.053,37.3,62.3,42.4,70.9,17,44,348,365,1386,2318,719.2,1203.3,0.022,0.027,15.4,25.8,19.0,31.8,2,17,88,90,Queenstown,New Zealand,NZ,Asia Pacific
1151900,"Aspen Heights Villa Queenstown 
New Zealand",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/966047a1-daf9-4dc7-aa9f-17a5b8e6243a.jpg,35,6314050,Rodger,,,True,-45.0423,168.6336,6.0,3.0,4.0,2.0,False,"Pets allowed,Wifi,Free parking on premises,TV,Hair dryer,Cleaning products,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Board games,Air conditioning,Indoor fireplace,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Waterfront,Private entrance,Laundromat nearby,Resort access,Patio or balcony,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Moderate,NZD,128,0.0,208,4.91,5.0,4.9,4.9,5.0,4.9,4.8,94450,160159,327.8,556.0,0.718,0.0,239.5,406.5,0.0,0.0,262,0,103,365,33379,55841,390.9,654.0,0.867,0.0,339.6,568.1,0.0,0.0,78,0,12,90,Queenstown,New Zealand,NZ,Asia Pacific
1160513,Crown Range Historic Stables,Entire cottage,entire_home,https://a0.muscache.com/im/pictures/7d42ced9-4186-4fd2-9f96-c3a11d3639c7.jpg,34,6359460,Kerryn,,,True,-44.9767,168.8658,2.0,1.0,1.0,1.0,False,"Pets allowed,Elevator,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Sound system,Air conditioning,Indoor fireplace,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Sauna,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,NZD,31,0.0,182,4.91,4.9,5.0,4.9,4.9,4.9,4.8,42126,71819,197.5,335.1,0.573,0.0,111.8,190.8,0.0,0.0,209,0,156,365,11994,20068,201.8,337.7,0.633,0.0,129.1,216.0,0.0,0.0,57,0,33,90,Queenstown,New Zealand,NZ,Asia Pacific
1168216,Awesome Accomodation and Spectacular Views !,Entire home,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1168216/original/da273315-55e4-46b0-bab5-faab68f92b44.jpeg,36,6397994,Nicole Marie,,,True,-45.0225,168.6933,12.0,5.0,10.0,3.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,TV,Ping pong table,Crib,Children’s books and toys,High chair,Children’s dinnerware,Board games,Baby safety gates,Indoor fireplace,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Barbecue utensils,Lake access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Flexible,NZD,172,0.0,81,4.89,4.9,4.9,5.0,4.9,4.9,4.7,75850,128386,514.6,873.5,0.364,0.408,196.5,332.8,220.0,372.6,133,39,232,365,23502,39323,465.1,778.2,0.511,0.0,243.9,408.1,0.0,0.0,46,0,44,90,Queenstown,New Zealand,NZ,Asia Pacific
