listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
50809,SLA-Duplex Loft (Not Recommened under 12yr),Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/215ee9be-e8e6-41c8-b530-539cfcc97f5e.jpg,55.0,233925,Dennis,,,True,37.5765,126.9975,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Body soap,Conditioner,Bed linens,Trash compactor,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Shower gel,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Freezer,Toaster",,,1.0,Super Strict 30 Days,KRW,100.0,,19,4.63,4.8,5.0,4.6,4.8,4.8,4.6,2787,4073197.0,164.5,231516.9,0.041,0.0,6.8,10022.7,0.0,0.0,15,0,350,365,0,0.0,154.0,212917.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Seoul,South Korea,KR,Asia Pacific
69022,Design Penthouse with amazing view in Gangnam,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c925a23d-2929-461b-b669-599e5310c2de.jpg,46.0,336731,Kay,"29,973,852,230,573,000","Heezin,Ray",True,37.5154,127.0618,8.0,2.0,3.0,2.5,True,"High chair,TV,Cable TV,Children’s books and toys,Wifi,Air conditioning,Kitchen,Children’s dinnerware,Hot water,Gym,Breakfast,Elevator,Bed linens,Extra pillows and blankets,Pocket wifi,Hot tub,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Backyard,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",,False,5.0,Strict,KRW,150.0,0.0,157,4.89,4.9,4.9,4.9,4.9,4.9,4.8,103435,145000000.0,349.0,490984.5,0.77,0.805,269.0,377993.2,281.3,395322.4,281,16,84,365,19827,27400000.0,348.2,481522.8,0.589,0.716,205.3,283925.7,249.7,345315.1,53,16,37,90,Seoul,South Korea,KR,Asia Pacific
265944,Artist gallery house,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/8347950/45f9f13e_original.jpg,54.0,1446422,Vivi,,,True,37.5374,127.0727,4.0,3.0,3.0,2.0,False,"Wifi,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Children’s books and toys,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Free parking on premises,Hot tub,Elevator,EV charger,Gym,Luggage dropoff allowed",,False,4.0,Firm,KRW,0.0,0.0,62,4.95,5.0,5.0,4.9,5.0,4.9,4.9,42458,59900000.0,255.0,359090.4,0.455,0.493,116.3,163993.8,126.0,177619.4,166,28,199,365,4016,5554044.0,236.6,327258.9,0.189,0.0,44.6,61711.6,0.0,0.0,17,0,73,90,Seoul,South Korea,KR,Asia Pacific
305641,"Local Apartment 10 min Seoul Station, Trail 3 min",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12752938/88ec26dc_original.jpg,28.0,1572120,Seok,,,False,37.5657,126.9624,2.0,,1.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Hot water,Mosquito net,Bed linens,Free street parking,Cleaning products,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Clothing storage,Washer,Dryer,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",False,False,4.0,Firm,KRW,30.0,18.0,122,4.51,4.5,4.8,4.4,4.9,4.3,4.3,4139,5884053.0,79.7,112124.9,0.129,0.129,10.7,15211.3,10.7,15295.2,47,2,318,365,0,0.0,81.3,112436.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Seoul,South Korea,KR,Asia Pacific
348991,[Ha Eunjae] Private Hanok Stay in Hyoja-dong,Entire house,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ4OTkx/original/8362827d-d1d7-4ca1-8d05-4f3a898e9a84.jpeg,28.0,1768470,하은재,,,False,37.5811,126.9719,2.0,2.0,1.0,1.0,True,"Wifi,Air conditioning,Kitchen,Hot water kettle,Hot water,Body soap,Conditioner,Mini fridge,Bed linens,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Private entrance,Sound system,Toaster",,False,,Limited,KRW,0.0,0.0,197,4.89,4.8,4.9,4.9,4.9,4.8,4.7,20308,28100000.0,167.0,230911.0,0.332,0.0,55.6,76946.9,0.0,0.0,121,0,244,365,10747,14900000.0,166.5,230235.8,0.711,0.0,119.4,165143.4,0.0,0.0,64,0,26,90,Seoul,South Korea,KR,Asia Pacific
382990,Modern house at Gwanghwamun area,Private room in home,private_room,https://a0.muscache.com/im/pictures/09339cb3-bf86-410c-91a7-a87b6020fa82.jpg,12.0,1919468,Sun-Mi,,,True,37.5932,126.9504,,,1.0,0.0,False,"Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Portable fans,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Toaster,Rice maker,Dining table,Laundromat nearby,Breakfast",,False,21.0,Moderate,KRW,0.0,0.0,47,4.89,4.9,4.9,4.7,5.0,4.8,4.9,3923,5560262.0,16.5,23267.8,0.636,0.8,10.7,15233.6,13.5,19173.3,232,75,133,365,0,0.0,15.1,20837.2,0.0,0.0,0.0,0.0,0.0,0.0,0,75,90,90,Seoul,South Korea,KR,Asia Pacific
448840,Center in Seoul(Good location!!),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-448840/original/a3d04cf1-f9c5-49f4-9a5c-e6aa7fbba696.jpeg,43.0,2228658,Young Mi,,,False,37.5598,127.0395,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Free parking on premises,Hot tub,Elevator,EV charger,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,KRW,19.0,0.0,45,4.87,4.9,5.0,4.8,5.0,5.0,4.9,2646,3711053.0,81.7,114828.4,0.085,0.0,7.0,9879.3,0.0,0.0,31,0,334,365,0,0.0,86.0,118889.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Seoul,South Korea,KR,Asia Pacific
483613,typical Korean-traditional house,Entire home,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-483613/original/2102a858-5eb6-44cf-886a-099b668662f8.jpg,99.0,2359171,정,370704701,춘채,True,37.5753,126.9872,7.0,3.0,2.0,3.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Smoking allowed,Conditioner,Mini fridge,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Coffee,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Bidet,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Rice maker,High chair,Children’s dinnerware,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Stove,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Toaster",False,False,1.0,Moderate,KRW,20.0,0.0,320,4.77,4.7,4.9,4.8,4.9,4.9,4.6,26413,36900000.0,251.5,354164.9,0.274,0.308,71.1,99475.0,79.9,111718.1,100,40,265,365,3021,4177979.0,227.6,314827.5,0.144,0.0,33.1,45807.3,0.0,0.0,13,0,77,90,Seoul,South Korea,KR,Asia Pacific
533802,2BR Home $73 center of Metro Seoul,Private room in home,private_room,https://a0.muscache.com/im/pictures/11441531/33138e84_original.jpg,22.0,2623918,Mina,,,False,37.5877,126.9789,4.0,2.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Bed linens,Iron,TV,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Dishes and silverware,Outdoor furniture",,False,4.0,Strict,KRW,0.0,0.0,71,4.86,4.8,4.8,4.8,4.8,4.8,4.8,8967,12500000.0,89.9,126437.6,0.266,0.0,24.6,34255.5,0.0,0.0,97,0,268,365,2109,2916699.0,89.0,123085.0,0.267,0.0,23.4,32407.8,0.0,0.0,24,0,66,90,Seoul,South Korea,KR,Asia Pacific
534569,3BR House $99 in Metro Seoul,Entire home,entire_home,https://a0.muscache.com/im/pictures/6469044/d9230903_original.jpg,24.0,2623918,Mina,,,False,37.5884,126.981,5.0,3.0,2.0,2.0,False,"TV,Wifi,Air conditioning,Kitchen,Portable fans,Hot water,Body soap,Conditioner,Mini fridge,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Refrigerator,Dishes and silverware,Heating,Oven,Washer,Fire extinguisher,Bidet,Essentials,Hangers,Dining table,Hair dryer,Dedicated workspace,Bathtub",False,False,4.0,Strict,KRW,0.0,0.0,29,4.72,4.7,4.7,4.6,4.8,4.6,4.7,3327,4750190.0,107.2,150842.0,0.085,0.0,9.1,13014.2,0.0,0.0,31,0,334,365,1282,1772982.0,107.2,148224.9,0.133,0.0,14.2,19699.8,0.0,0.0,12,0,78,90,Seoul,South Korea,KR,Asia Pacific
