listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
507746,Private bungalow with pool in villa,Entire bungalow,entire_home,https://a0.muscache.com/im/pictures/7458cf5f-8b96-4a3c-adce-15338df05eb4.jpg,60.0,2502514,⁨Avy (& Fred)⁩,,,True,13.387,103.8513,4.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Babysitter recommendations,Air conditioning,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Private entrance,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Pool,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,KHR,10.0,0.0,410,4.94,4.9,5.0,5.0,4.9,4.6,4.9,7816,31200000.0,53.6,214494.5,0.384,0.491,20.7,82727.4,26.5,105949.1,140,80,225,365,3021,12100000.0,55.5,221774.2,0.589,0.946,32.9,131518.8,52.9,211369.5,53,34,37,90,Siem-Reap,Cambodia,KH,Asia Pacific
2229742,Tropical garden flat with kitchen F,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30053386/6234ea07_original.jpg,20.0,11381302,Thony,,,False,13.3682,103.8623,3.0,2.0,2.0,1.5,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,TV,Air conditioning,Wifi,Kitchen,Private entrance,Free parking on premises",,False,2.0,Flexible,KHR,0.0,0.0,22,4.82,4.8,5.0,5.0,4.9,4.9,4.8,1106,4439185.0,52.6,210395.8,0.058,0.125,3.0,12162.2,6.6,26423.7,21,197,344,365,108,431734.0,52.3,208893.3,0.022,0.062,1.2,4797.0,3.4,13491.7,2,58,88,90,Siem-Reap,Cambodia,KH,Asia Pacific
3032094,Twin bedroom with tropical garden,Private room in home,private_room,https://a0.muscache.com/im/pictures/38848721/4a0459f9_original.jpg,14.0,11381302,Thony,,,False,13.3725,103.8613,,,2.0,0.0,False,"TV,Washer,Cable TV,Wifi,Air conditioning,Free parking on premises,Shampoo,Hair dryer",False,False,2.0,Flexible,KHR,0.0,0.0,113,4.85,4.9,5.0,5.0,4.9,4.7,4.9,442,1759086.0,21.0,84125.8,0.058,0.06,1.2,4819.4,1.3,5011.6,21,14,344,365,80,319804.0,19.4,77374.5,0.044,0.053,0.9,3553.4,1.1,4207.9,4,14,86,90,Siem-Reap,Cambodia,KH,Asia Pacific
4425421,ROOM 25m2,Private room in home,private_room,https://a0.muscache.com/im/pictures/60269823/cdb5f4c5_original.jpg,4.0,20638651,Pages,,,False,13.3544,103.8604,,,1.0,0.0,False,"TV,Cable TV,Wifi,Air conditioning,Pool,Essentials,Free parking on premises,Shampoo,Hangers,Hair dryer,Iron,Breakfast",,False,1.0,Flexible,KHR,0.0,0.0,4,4.5,4.5,4.0,4.8,4.5,4.8,4.5,511,2042739.0,52.2,208754.7,0.027,0.0,1.4,5596.5,0.0,0.0,10,0,355,365,511,2042739.0,51.7,206494.8,0.111,0.0,5.7,22697.1,0.0,0.0,10,0,80,90,Siem-Reap,Cambodia,KH,Asia Pacific
4572478,"Villa Moringa, Private luxury villa with pool",Entire villa,entire_home,https://a0.muscache.com/im/pictures/752d535e-d998-429e-80a3-13463dda650c.jpg,58.0,2502514,⁨Avy (& Fred)⁩,,,True,13.385,103.8533,8.0,3.0,5.0,3.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Safe,Clothing storage,TV,Crib,High chair,Babysitter recommendations,Air conditioning,Ceiling fan,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Barbecue utensils,Dining table,Private entrance,Patio or balcony,Backyard,BBQ grill,Beach essentials,Free parking on premises,Free street parking,Pool,Single level home,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Moderate,KHR,30.0,0.0,306,4.94,4.9,5.0,4.9,5.0,4.7,4.9,20887,83600000.0,182.3,729379.3,0.296,0.0,55.0,220215.9,0.0,0.0,108,0,257,365,7772,31100000.0,180.7,722265.4,0.456,0.0,82.4,329219.0,0.0,0.0,41,0,49,90,Siem-Reap,Cambodia,KH,Asia Pacific
5252890,The White House II-Free pick up+Breakfast,Entire home,entire_home,https://a0.muscache.com/im/pictures/72acea86-0204-48f1-8793-da06b0246948.jpg,35.0,14563964,Mao,,,False,13.3966,103.8122,6.0,2.0,4.0,1.0,False,"High chair,Children’s books and toys,Wifi,Air conditioning,Kitchen,Free parking on premises,Room-darkening shades,Children’s dinnerware,Smoking allowed,Game console,Pets allowed,Hot water,Breakfast,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,BBQ grill,Patio or balcony,First aid kit,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Cleaning before checkout,Hangers,Hair dryer,Iron,Private entrance",True,False,2.0,Flexible,KHR,0.0,0.0,105,4.71,4.6,4.9,4.5,4.9,4.5,4.7,332,1327179.0,27.2,108977.3,0.033,0.0,0.9,3636.1,0.0,0.0,12,0,353,365,172,687575.0,26.6,106334.3,0.067,0.0,1.9,7639.7,0.0,0.0,6,0,84,90,Siem-Reap,Cambodia,KH,Asia Pacific
5904899,Chhouy Vathna-Family Room for 4 adults + Pick Up,Room in boutique hotel,hotel_room,,,23680874,,,,False,13.3605,103.8531,4.0,1.0,2.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Fireplace guards,Air conditioning,Fire extinguisher,Wifi,Mini fridge,Hot water kettle,Free parking on premises,Free street parking,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,KHR,0.0,0.0,189,4.59,4.7,4.8,4.6,4.8,4.8,4.7,702,2801204.0,30.6,122225.0,0.058,0.0,1.9,7674.5,0.0,0.0,21,0,344,365,253,1011376.0,30.8,123035.3,0.089,0.0,2.8,11237.5,0.0,0.0,8,0,82,90,Siem-Reap,Cambodia,KH,Asia Pacific
6191255,Spacious Deluxe King Room with pool View + Pick Up,Room in boutique hotel,hotel_room,,,23680874,,,,False,13.361,103.8535,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Safe,Clothing storage,Ethernet connection,TV,Air conditioning,Indoor fireplace,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Mini fridge,Hot water kettle,Laundromat nearby,Free parking on premises,Pool,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,KHR,0.0,0.0,157,4.69,4.7,4.8,4.7,4.8,4.8,4.8,1983,7925137.0,24.5,97882.5,0.233,0.0,5.4,21712.7,0.0,0.0,85,0,280,365,317,1267216.0,26.6,106289.9,0.133,0.0,3.5,14080.2,0.0,0.0,12,0,78,90,Siem-Reap,Cambodia,KH,Asia Pacific
7415439,Lotus Villa,Entire home,entire_home,https://a0.muscache.com/im/pictures/7e9fa36e-e501-48b6-a542-8469d9208d35.jpg,20.0,38556281,Sothea,,,False,13.3656,103.8758,8.0,4.0,4.0,4.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Patio or balcony,Backyard,BBQ grill,Free parking on premises,Free street parking,Pool,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,KHR,10.0,0.0,91,4.69,4.5,4.8,4.8,4.8,4.3,4.6,14827,59300000.0,143.0,571762.8,0.282,0.344,39.8,159289.7,48.6,194450.7,103,66,262,365,1622,6483998.0,144.5,577643.5,0.122,0.262,17.6,70267.8,37.7,150573.8,11,48,79,90,Siem-Reap,Cambodia,KH,Asia Pacific
7874970,Good Location: Family Room for 3 adults + PickUp,Room in boutique hotel,hotel_room,,,23680874,,,,False,13.361,103.8535,3.0,1.0,2.0,1.0,False,"Bathtub,Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Safe,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Free parking on premises,Pool,Hot tub,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,KHR,0.0,0.0,83,4.77,4.6,4.9,4.6,4.9,4.8,4.8,1700,6803199.0,28.4,113519.7,0.159,0.0,4.7,18638.9,0.0,0.0,58,0,307,365,655,2618386.0,28.7,114818.0,0.244,0.0,7.3,29093.2,0.0,0.0,22,0,68,90,Siem-Reap,Cambodia,KH,Asia Pacific
