listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
15253,Unique Designer Rooftop Apartment in City Location,Private room in condo,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-15253/original/a9634a6c-d83c-4500-9b62-c53675af91f6.jpeg,27,59850,Morag,,,False,-33.8796,151.2168,,,2.0,0.0,True,"Wifi,Kitchen,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Portable fans,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Coffee maker,Wine glasses,Dining table,Coffee,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Paid parking off premises,Pets allowed,Luggage dropoff allowed",,False,1.0,Firm,AUD,16.0,6.0,653,4.56,4.7,4.8,4.5,4.8,4.8,4.6,23922,37441,92.0,143.9,0.677,0.0,62.8,98.3,0.0,0.0,247,0,118,365,6506,10109,96.8,150.3,0.711,0.0,69.8,108.4,0.0,0.0,64,0,26,90,Sydney,Australia,AU,Asia Pacific
44545,Sunny Darlinghurst Warehouse Apartment,Entire loft,entire_home,https://a0.muscache.com/im/pictures/a88d8e14-4f63-46d8-9cb7-ad3a74373aed.jpg,18,112237,Atari,,,True,-33.8789,151.2144,2.0,1.0,1.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Sound system,Ceiling fan,Heating,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Dining table,Coffee,Free parking on premises,Elevator,Paid parking off premises,Long term stays allowed",,False,90.0,Strict,AUD,44.0,0.0,88,4.89,4.9,4.9,4.9,5.0,4.9,4.8,3538,5496,118.9,187.3,0.079,0.0,9.5,14.7,0.0,0.0,29,0,336,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Sydney,Australia,AU,Asia Pacific
58506,"Studio Yindi @ Mosman, Sydney",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/23497720/d30fd26d_original.jpg,18,279955,John,,,True,-33.8175,151.2348,4.0,1.0,3.0,1.0,True,"Hair dryer,Cleaning products,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Sun loungers,Free street parking,Luggage dropoff allowed",,False,2.0,Flexible,AUD,0.0,0.0,463,4.65,4.7,4.9,4.3,4.9,4.8,4.7,40169,62884,138.2,216.3,0.795,0.0,110.1,172.3,0.0,0.0,290,0,75,365,10591,16441,139.2,216.0,0.844,0.0,117.7,182.7,0.0,0.0,76,0,14,90,Sydney,Australia,AU,Asia Pacific
68999,A little bit of Sydney - Australia,Private room in home,private_room,https://a0.muscache.com/im/pictures/5266670/da85c84c_original.jpg,42,333581,Brian,,,True,-33.7297,151.0523,,2.0,3.0,0.0,True,"Elevator,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Rice maker,Dining table,Coffee,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Long term stays allowed,Cleaning before checkout",,False,1.0,Flexible,AUD,0.0,0.0,126,4.97,5.0,5.0,5.0,5.0,4.8,4.9,14259,22386,72.9,114.1,0.542,0.673,39.1,61.3,48.5,76.1,198,71,167,365,3222,5001,80.5,124.9,0.444,0.0,35.8,55.6,0.0,0.0,40,0,50,90,Sydney,Australia,AU,Asia Pacific
69956,"Cosy, Private, Self-Contained & Close to the City",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/9109a71f-a041-4a42-a6f3-4cf5837da54a.jpg,22,352614,Ben,495073,Maria,False,-33.9366,151.1339,2.0,1.0,2.0,1.0,True,"High chair,TV,Wifi,Air conditioning,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Single level home,Smoke alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Shampoo,Cleaning before checkout,Hangers,Hair dryer,Iron,Private entrance",,False,2.0,Moderate,AUD,65.0,0.0,56,4.88,4.9,5.0,4.9,5.0,4.7,4.8,2198,3407,92.5,143.5,0.063,0.0,5.8,9.1,0.0,0.0,23,0,342,365,2198,3407,92.5,143.5,0.256,0.0,23.7,36.7,0.0,0.0,23,0,67,90,Sydney,Australia,AU,Asia Pacific
71866,A Jewel Amongst Greenery,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-71866/original/b4318f40-15ee-491a-b94d-9bfce686ef15.jpeg,93,292913,Marzena,,,True,-33.9108,151.2512,5.0,2.0,2.0,1.0,True,"Elevator,Shampoo,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Coffee,Patio or balcony,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,AUD,260.0,0.0,22,4.45,4.7,4.9,4.6,4.7,4.9,4.4,19978,31022,218.3,341.5,0.233,0.407,51.9,80.6,90.6,140.7,85,156,280,365,4224,6559,258.2,400.9,0.156,0.233,44.0,68.4,66.1,102.6,14,30,76,90,Sydney,Australia,AU,Asia Pacific
71867,Quiet and bright apt with green aspect,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-71867/original/60e3aa2c-8696-4308-b464-9f1f81054fee.jpeg,64,292913,Marzena,,,True,-33.9054,151.2529,5.0,2.0,,1.0,True,"Air conditioning,Shampoo,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Barbecue utensils,Dining table,Coffee,Free parking on premises,Pets allowed",,False,2.0,Firm,AUD,257.0,0.0,3,4.67,4.7,4.7,5.0,4.7,5.0,4.7,12609,20191,230.9,361.1,0.153,0.198,31.0,49.9,40.0,64.3,56,82,309,365,0,0,281.9,437.7,0.0,0.0,0.0,0.0,0.0,0.0,0,41,90,90,Sydney,Australia,AU,Asia Pacific
73791,Restored 1940's Holiday Flat,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3008423/b07f182b_original.jpg,34,386265,Tracey,28320818,Anthony,True,-33.732,150.3129,4.0,2.0,2.0,1.0,True,"TV,Wifi,Kitchen,Board games,Free parking on premises,Hot water kettle,Portable fans,Outdoor furniture,Cleaning products,Indoor fireplace,Heating,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Freezer,Private entrance,Sound system,Rice maker,Bathtub,Children’s books and toys,Fireplace guards,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Dining table,Toaster",,False,2.0,Moderate,AUD,73.0,0.0,424,4.82,4.9,4.9,4.8,4.9,4.9,4.7,18469,28831,177.8,278.2,0.249,0.261,43.8,68.5,45.9,71.8,91,17,274,365,575,892,191.1,296.7,0.033,0.041,5.6,8.7,6.9,10.7,3,17,87,90,Sydney,Australia,AU,Asia Pacific
75702,Beachside haven with gorgeous sea & Headland views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzU3MDI%3D/original/d754eb71-9631-4f94-a670-6f31a6c6e238.jpeg,28,402292,Helen,,,True,-33.9664,151.2489,2.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Pool,Gym,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Waterfront,Beach access,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Moderate,AUD,55.0,0.0,360,4.95,5.0,5.0,5.0,5.0,4.9,4.9,35791,55983,104.2,163.1,0.882,0.915,91.6,143.4,95.0,148.7,322,13,43,365,8461,13131,112.4,174.5,0.767,0.896,86.1,133.6,100.6,156.2,69,13,21,90,Sydney,Australia,AU,Asia Pacific
86853,Bondi Beach Break 2 Bedroom Apt,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-86853/original/0e21555d-03f0-4ecd-8436-2b8812c5b533.jpeg,37,476047,Ann,,,False,-33.8946,151.2664,4.0,2.0,2.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Board games,Hot water kettle,Books and reading material,Ceiling fan,Conditioner,Mini fridge,Free street parking,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Dryer,Beach access,Smoke alarm,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Rice maker,High chair,Children’s books and toys,Blender,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Long term stays allowed,Dining table,Baking sheet,Toaster",,False,2.0,Firm,AUD,150.0,0.0,183,4.66,4.8,4.8,4.7,4.8,4.8,4.6,23397,37123,220.4,344.9,0.279,0.685,58.3,92.8,142.9,227.3,102,216,263,365,3244,5038,237.5,368.8,0.122,0.262,29.4,45.6,63.0,97.8,11,48,79,90,Sydney,Australia,AU,Asia Pacific
