listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
68398,Tonghua Studio C near MRT & Taipei 101,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/69e75442-f365-432c-882f-1924a5da83c1.jpg,30.0,339014,Lisa,,,True,25.0288,121.5547,1.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Long term stays allowed",,False,30.0,Strict,TWD,,,15,4.67,4.8,4.9,4.5,4.9,5.0,4.7,7308,228303,36.0,1112.7,0.551,0.736,20.0,625.5,26.8,836.3,201,92,164,365,34,1017,34.9,1044.0,0.011,0.036,0.4,11.3,1.2,36.3,1,62,89,90,Taipei,Taiwan,TW,Asia Pacific
271733,Taipei Rooftop - Whole apartment!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-271733/original/c2f7151e-3eb0-4d1e-9734-da96e660b7d2.jpeg,17.0,242033,Robyn And David,,,True,25.0058,121.5552,2.0,2.0,2.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Rice maker,Private entrance,Patio or balcony,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,14.0,Firm,TWD,,,78,4.97,5.0,5.0,4.9,5.0,4.8,4.9,12774,393662,42.6,1313.6,0.825,0.959,35.0,1078.5,40.7,1253.7,301,51,64,365,3464,103617,43.8,1310.2,0.878,0.0,38.5,1151.3,0.0,0.0,79,0,11,90,Taipei,Taiwan,TW,Asia Pacific
272314,"Long Stay Welcome, Taipei 101 Building is here",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-272314/original/45659fff-020e-464f-99db-66776afefc16.jpeg,19.0,1425203,Chen,,,False,25.0422,121.5427,1.0,1.0,1.0,1.0,False,"TV,Washer,Smoke alarm,Wifi,Carbon monoxide alarm,Air conditioning,Elevator,Lock on bedroom door,Dedicated workspace",,False,2.0,Firm,TWD,,,9,4.2,4.1,3.9,4.3,4.1,4.7,3.7,658,19683,54.5,1689.9,0.033,0.0,1.8,53.9,0.0,0.0,12,0,353,365,251,7508,42.2,1262.2,0.067,0.0,2.8,83.4,0.0,0.0,6,0,84,90,Taipei,Taiwan,TW,Asia Pacific
333362,"3min walk to MRT, Quiet good sleep",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/22516115/7f97de7d_original.jpg,49.0,6542367,Mickey,1698423,Jojo,False,25.0789,121.5506,2.0,1.0,1.0,1.0,False,"Wifi,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Clothing storage,TV,Board games,Air conditioning,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Rice maker,Hot tub,Elevator,Paid parking off premises",,False,3.0,Moderate,TWD,30.0,7.0,122,4.75,4.7,4.7,4.6,4.9,4.7,4.7,12984,398182,59.1,1822.7,0.553,0.0,32.9,1009.7,0.0,0.0,202,0,163,365,3469,103786,61.7,1845.2,0.578,0.0,35.2,1053.4,0.0,0.0,52,0,38,90,Taipei,Taiwan,TW,Asia Pacific
646629,Skygarden Central Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16748604/679c342a_original.jpg,22.0,3204303,Kate,,,True,25.0171,121.5323,3.0,1.0,1.0,1.0,False,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Air conditioning,Portable fans,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Rice maker,Trash compactor,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,3.0,Firm,TWD,0.0,0.0,297,4.65,4.7,4.8,4.5,4.9,4.9,4.6,10415,318945,83.7,2584.8,0.34,0.343,28.5,873.8,28.9,883.5,124,4,241,365,2544,76106,79.5,2379.0,0.344,0.36,28.3,845.6,29.6,885.0,31,4,59,90,Taipei,Taiwan,TW,Asia Pacific
718493,<35 nights or more | Light relocation> Loft style Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-718493/original/5b082693-73fd-4f84-aba9-0572ad269c32.jpeg,20.0,3705836,Julian,,,True,25.0692,121.5858,4.0,2.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Pets allowed,Conditioner,Mini fridge,Cleaning products,Drying rack for clothing,Heating,Clothing storage,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance,Bathtub,Baby bath,High chair,Fireplace guards,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Piano,Dishes and silverware,Cooking basics,Stove,Single level home,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Dining table",False,,14.0,Moderate,TWD,50.0,0.0,93,4.59,4.6,4.8,4.5,4.8,4.4,4.5,4523,137796,47.9,1487.2,0.216,0.367,12.0,365.2,20.3,620.0,79,150,286,365,0,0,35.1,1051.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,90,90,Taipei,Taiwan,TW,Asia Pacific
761561,Studio with kitchen near Guting MRT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/d795a777-12b0-46d5-9d5a-4e3a11521a9b.jpg,10.0,4014285,Pei,,,False,25.0246,121.5232,2.0,,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Ethernet connection,TV,Air conditioning,Heating,Exterior security cameras on property,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Toaster,Blender,Rice maker,Private entrance,Laundromat nearby,Elevator,Long term stays allowed",,False,5.0,Strict,TWD,40.0,0.0,44,4.77,4.8,4.9,4.7,5.0,4.9,4.8,21834,676723,74.5,2301.4,0.773,0.976,58.3,1808.1,73.6,2283.6,282,76,83,365,4917,147094,70.1,2098.4,0.744,0.957,52.4,1567.9,67.4,2015.8,67,20,23,90,Taipei,Taiwan,TW,Asia Pacific
963051,Short-term rental suite. Taipei Rian,Private room in home,private_room,https://a0.muscache.com/im/pictures/f9d23b57-1241-44b6-bf01-8ac5ab4e7965.jpg,7.0,5247611,Fiona,,,True,25.0365,121.5581,,,1.0,0.0,False,"TV,Washer,Cable TV,Wifi,Carbon monoxide alarm,Air conditioning,First aid kit,Fire extinguisher,Kitchen,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Dedicated workspace,Elevator,Heating",,False,3.0,Moderate,TWD,0.0,0.0,1,,,,,,,,771,23069,62.3,1923.2,0.033,0.036,2.1,63.2,2.3,69.9,12,35,353,365,0,0,57.4,1717.7,0.0,0.0,0.0,0.0,0.0,0.0,0,35,90,90,Taipei,Taiwan,TW,Asia Pacific
1072857,Classic Double Suite (Separate Bathroom) - Songshan Nanjing Sanmin Station/Private Air Conditioning/,Room in hotel,hotel_room,,,5785514,,,,False,25.0516,121.5697,2.0,1.0,2.0,1.5,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Ethernet connection,TV,Books and reading material,High chair,Baby bath,Children’s dinnerware,Window guards,Board games,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Mini fridge,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Rice maker,Laundromat nearby,Elevator,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Breakfast,Long term stays allowed,Cleaning before checkout",,False,1.0,Moderate,TWD,0.0,0.0,69,4.72,4.7,4.9,4.8,4.9,4.4,4.7,2912,93712,86.9,2684.3,0.088,0.0,8.0,256.7,0.0,0.0,32,0,333,365,484,14481,78.5,2348.8,0.067,0.0,5.4,160.9,0.0,0.0,6,0,84,90,Taipei,Taiwan,TW,Asia Pacific
1094125,2 bedroom unit at the HEART of TPE!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/35234097/ec22f892_original.jpg,30.0,51827,Jan,,,True,25.0418,121.5531,4.0,2.0,2.0,2.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Iron,Drying rack for clothing,TV,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Hot water kettle,Coffee maker,Toaster,Dining table,Elevator,Paid parking off premises,Long term stays allowed",,False,7.0,Firm,TWD,,,111,4.79,4.8,4.9,4.8,4.8,4.9,4.6,36158,1119452,176.1,5432.6,0.57,0.621,99.1,3067.0,107.9,3341.6,208,30,157,365,10347,309550,186.3,5574.8,0.622,0.0,115.0,3439.4,0.0,0.0,56,0,34,90,Taipei,Taiwan,TW,Asia Pacific
