listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
531675,3 bdr Double Bay Villa,Private room in home,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-531675/original/23d54be1-fb99-481e-a6e3-14e65515c6d8.jpeg,24.0,2612893,Lynette,,,True,-41.3234,174.7893,,,1,0.0,False,"Pets allowed,Gym,Hair dryer,Cleaning products,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Rice maker,Dining table,Coffee,Backyard,Outdoor dining area,BBQ grill,Free parking on premises,Free street parking,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Moderate,NZD,0.0,0.0,67,4.96,5.0,5.0,5.0,5.0,4.9,4.9,6613,11359,48.7,82.7,0.378,0.0,18.1,31.1,0.0,0.0,138,0,227,365,1433,2395,47.9,80.1,0.333,0.0,15.9,26.6,0.0,0.0,30,0,60,90,Wellington,New Zealand,NZ,Asia Pacific
765703,Boutique historic stable: No cleaning fee,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/398400b1-1964-4cae-ab70-e1e7f478e037.jpg,29.0,4037762,Alison,,,True,-41.2935,174.7745,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Private entrance,Backyard,Paid parking off premises,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,2.0,Moderate,NZD,0.0,0.0,311,4.94,5.0,5.0,4.9,5.0,5.0,4.8,24185,41227,150.3,255.1,0.441,0.468,66.3,113.0,70.3,119.8,161,21,204,365,10100,16902,147.3,246.4,0.756,0.0,112.2,187.8,0.0,0.0,68,0,22,90,Wellington,New Zealand,NZ,Asia Pacific
950177,The Penthouse on Evans Bay,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-950177/original/fa59d14a-6ecf-4b17-a534-50e8dc07600f.jpeg,50.0,5154613,Giles,31370975,Vince,True,-41.3039,174.8025,6.0,3.0,4,2.0,False,"TV,Cable TV,Air conditioning,Kitchen,Smoking allowed,Gym,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Board games,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Barbecue utensils,Dining table,Coffee,Waterfront,Beach access,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Kayak,Boat slip,Free parking on premises,Free street parking,Long term stays allowed",,False,3.0,Firm,NZD,40.0,0.0,178,4.87,4.9,4.9,4.8,5.0,4.9,4.8,56915,96687,213.3,362.5,0.718,0.0,151.8,257.9,0.0,0.0,262,0,103,365,17480,29251,201.0,336.4,0.944,0.0,189.3,316.8,0.0,0.0,85,0,5,90,Wellington,New Zealand,NZ,Asia Pacific
954154,"Sunny, cosy, vibrant city fringe",Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-954154/original/4b11061e-54af-4b25-950a-30c617076ee2.jpg,24.0,5182084,Howard And Joan,,,False,-41.3058,174.7656,,,1,0.0,False,"Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Hot water kettle,Wine glasses,Toaster,Coffee,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,EV charger,Luggage dropoff allowed,Breakfast",,False,1.0,Moderate,NZD,14.0,0.0,429,4.89,4.9,4.9,4.9,5.0,4.8,4.9,8430,14365,65.3,110.6,0.348,0.384,22.3,38.0,24.6,41.9,127,34,238,365,2835,4740,66.5,111.2,0.456,0.0,30.4,50.9,0.0,0.0,41,0,49,90,Wellington,New Zealand,NZ,Asia Pacific
962267,At Home In The City - Mt Victoria,Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/14330780/28dcb4fd_original.jpg,18.0,3464417,Peta,,,False,-41.2993,174.7864,2.0,2.0,2,1.0,False,"TV,Washer,Smoke alarm,Wifi,Backyard,Fire extinguisher,Luggage dropoff allowed,Kitchen,Essentials,Shampoo,Paid parking off premises,Hangers,Hair dryer,Hot water,Iron,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven",False,,5.0,Moderate,NZD,30.0,0.0,88,4.72,4.8,5.0,4.8,4.9,4.9,4.6,1664,2863,110.2,188.9,0.038,0.041,4.1,7.0,4.4,7.6,14,27,351,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Wellington,New Zealand,NZ,Asia Pacific
1022614,Bright sunny room with sea views  - friendly home,Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1022614/original/ecf9e775-f9ac-486a-80ef-f2864304dc81.jpeg,7.0,5629960,Carla,,,False,-41.3395,174.7636,,,1,0.0,False,"Cable TV,TV,Gym,Pets allowed,Elevator,Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Books and reading material,Babysitter recommendations,Indoor fireplace,Smoke alarm,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Blender,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Free street parking,Single level home,Long term stays allowed",,False,1.0,Flexible,NZD,8.0,0.0,53,4.73,4.8,4.9,4.8,4.9,4.7,4.7,4370,7429,42.7,72.6,0.277,0.0,11.9,20.2,0.0,0.0,101,0,264,365,1158,1937,46.0,77.0,0.278,0.0,12.8,21.4,0.0,0.0,25,0,65,90,Wellington,New Zealand,NZ,Asia Pacific
1074846,"Sunny studio, vibrant city fringe",Private room in home,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-1074846/original/f7c3c349-d32b-4377-8f0f-f48bc804575c.jpeg,26.0,5182084,Howard And Joan,,,False,-41.3051,174.7672,,,1,0.0,False,"Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Books and reading material,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Microwave,Dishes and silverware,Dishwasher,Coffee maker,Wine glasses,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,EV charger,Breakfast",,False,1.0,Moderate,NZD,14.0,0.0,460,4.88,4.9,4.9,4.9,5.0,4.8,4.8,8821,15001,61.8,104.8,0.373,0.0,23.0,39.2,0.0,0.0,136,0,229,365,1973,3298,62.9,105.2,0.322,0.0,21.1,35.4,0.0,0.0,29,0,61,90,Wellington,New Zealand,NZ,Asia Pacific
1122020,"Sunny, vibrant city fringe",Private room in home,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-1122020/original/f6d4713e-2cd5-4242-a41a-9bbb75a2970b.jpg,26.0,5182084,Howard And Joan,,,False,-41.3045,174.7667,,2.0,2,0.0,False,"Hair dryer,Shampoo,Conditioner,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Books and reading material,Heating,Exterior security cameras on property,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Dishes and silverware,Dishwasher,Wine glasses,Patio or balcony,Backyard,Free parking on premises,Free street parking,EV charger,Breakfast",,False,1.0,Moderate,NZD,21.0,0.0,164,4.84,4.9,5.0,4.9,4.9,4.8,4.8,18271,31192,115.8,196.4,0.425,0.445,48.1,82.2,50.5,86.2,155,17,210,365,4643,7770,111.6,186.7,0.444,0.0,49.5,82.8,0.0,0.0,40,0,50,90,Wellington,New Zealand,NZ,Asia Pacific
1135047,Charming apartment with private entry & sea views,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1135047/original/5dbf2b2d-3681-461f-a01c-7f196e49f44f.jpeg,38.0,6226614,Wendy,,,True,-41.2584,174.7783,2.0,1.0,2,1.0,False,"TV,Kitchen,Gym,Elevator,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Ethernet connection,Sound system,Books and reading material,Children’s books and toys,Children’s dinnerware,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Barbecue utensils,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Sun loungers,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,NZD,11.0,0.0,136,4.55,4.6,4.8,4.5,4.8,4.6,4.4,15655,26619,86.3,146.8,0.485,0.548,42.1,71.7,47.6,81.0,177,42,188,365,1876,3135,76.8,128.4,0.267,0.5,20.4,34.0,38.2,63.8,24,42,66,90,Wellington,New Zealand,NZ,Asia Pacific
1156851,COMPACT CENTRAL APARTMENT WITH STUNNING VIEW,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-1156851/original/8598f55a-66ad-45cd-9fc1-6e624dd7a274.jpeg,16.0,1913521,Sam,16777966,Melody,True,-41.2842,174.7731,2.0,1.0,1,1.0,False,"Hair dryer,Cleaning products,Body soap,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Sound system,Crib,High chair,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Patio or balcony,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Firm,NZD,34.0,5.0,283,4.82,4.9,4.8,4.8,4.9,4.9,4.8,22683,38488,75.0,127.2,0.775,0.0,58.1,98.7,0.0,0.0,283,0,82,365,5685,9512,78.9,131.9,0.733,0.0,59.0,98.7,0.0,0.0,66,0,24,90,Wellington,New Zealand,NZ,Asia Pacific
