listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
2818,Quiet Garden View Room & Super Fast Wi-Fi,Private room in condo,private_room,https://a0.muscache.com/im/pictures/10272854/8dcca016_original.jpg,14.0,3159,Daniel,,,True,52.3644,4.9436,,,2.0,0.0,True,"Wifi,Room-darkening shades,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Hot water,Body soap,Mini fridge,Mosquito net,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Drying rack for clothing,Heating,Clothing storage,Washer,Single level home,Smoke alarm,Exercise equipment,Shower gel,Carbon monoxide alarm,First aid kit,Backyard,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Sound system",,,3.0,Firm,EUR,0.0,0.0,398,4.91,4.9,5.0,5.0,5.0,4.7,4.8,10513,9616,98.3,88.0,0.315,0.553,28.8,26.3,50.5,46.2,115,157,250,365,0,0,90.3,79.5,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Amsterdam,Netherlands,NL,Europe
27886,"Romantic, stylish B&B houseboat in canal district",Private room in houseboat,private_room,https://a0.muscache.com/im/pictures/02c2da9d-660e-451d-8a51-2f7a17469df7.jpg,24.0,97647,Flip,,,True,52.3876,4.8919,2.0,1.0,1.0,1.5,True,"Wifi,Kitchen,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Safe,Clothing storage,TV,Books and reading material,Air conditioning,Portable fans,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Mini fridge,Coffee maker,Wine glasses,Dining table,Coffee,Waterfront,Lake access,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Bikes,Kayak,Boat slip,Paid parking off premises,Luggage dropoff allowed,Breakfast,Long term stays allowed",,False,3.0,Strict,EUR,0.0,0.0,320,4.93,4.9,5.0,4.9,4.9,4.9,4.8,47086,42332,176.5,158.6,0.74,0.0,129.0,116.0,0.0,0.0,270,0,95,365,2749,2425,185.1,163.2,0.167,0.0,30.5,26.9,0.0,0.0,15,0,75,90,Amsterdam,Netherlands,NL,Europe
28871,Comfortable double room,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/e031fcb5-ef52-48a5-b0ab-7f79fa827fcb.jpg,6.0,124245,Edwin,,,True,52.3678,4.8909,,,1.0,0.0,True,"Hair dryer,Cleaning products,Shampoo,Hot water,Essentials,Hangers,Bed linens,Iron,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Refrigerator,Coffee maker,Private entrance",,False,2.0,Moderate,EUR,0.0,0.0,762,4.87,4.9,4.9,4.8,4.9,4.9,4.8,31077,27918,90.3,81.1,0.945,0.0,85.1,76.5,0.0,0.0,345,0,20,365,7612,6708,96.6,85.1,0.878,0.0,84.6,74.5,0.0,0.0,79,0,11,90,Amsterdam,Netherlands,NL,Europe
29051,Comfortable single / double room,Private room in condo,private_room,https://a0.muscache.com/im/pictures/423587/246d0fa4_original.jpg,4.0,124245,Edwin,,,True,52.3658,4.8911,,,1.0,0.0,True,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Refrigerator,Coffee maker,Private entrance",,False,2.0,Moderate,EUR,0.0,17.0,873,4.82,4.9,4.9,4.8,4.9,4.9,4.8,23306,20939,68.3,61.4,0.937,0.969,63.9,57.4,66.0,59.3,342,12,23,365,5265,4640,70.2,61.9,0.833,0.962,58.5,51.6,67.5,59.5,75,12,15,90,Amsterdam,Netherlands,NL,Europe
49552,Multatuli Luxury Guest Suite in top location,Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/a6d6d2ee-3196-4e3b-b0ec-d26b71d598ec.jpg,72.0,225987,Joanna & MP,,,True,52.3803,4.8909,3.0,2.0,2.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,TV,Exercise equipment,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Changing table,Board games,Babysitter recommendations,Outdoor playground,Children’s bikes,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Refrigerator,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Bikes,Paid parking off premises,Luggage dropoff allowed,Cleaning before checkout",,False,3.0,Firm,EUR,58.0,0.0,632,4.94,4.9,5.0,4.9,5.0,5.0,4.8,103834,93127,383.8,344.4,0.718,0.0,273.8,245.8,0.0,0.0,262,0,103,365,18873,16630,392.2,345.6,0.511,0.0,200.7,176.8,0.0,0.0,46,0,44,90,Amsterdam,Netherlands,NL,Europe
50263,Central de Lux 2 bedrooms (4p) apt 125 sqm,Entire condo,entire_home,https://a0.muscache.com/im/pictures/677876/7cb949b4_original.jpg,41.0,230246,Donald,,,False,52.3694,4.9296,4.0,2.0,3.0,1.5,True,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Life size games,Crib,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Private entrance,Laundromat nearby,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Elevator,EV charger,Paid parking off premises,Single level home,Pets allowed,Luggage dropoff allowed,Breakfast,Cleaning before checkout",,False,3.0,Moderate,EUR,98.0,0.0,180,4.86,4.9,4.8,4.8,4.8,4.7,4.8,88500,79475,549.4,493.0,0.438,0.0,239.0,214.7,0.0,0.0,160,0,205,365,22404,19740,596.8,525.8,0.411,0.0,245.7,216.5,0.0,0.0,37,0,53,90,Amsterdam,Netherlands,NL,Europe
50515,"Family Home (No drugs, smoking or parties)",Entire townhouse,entire_home,https://a0.muscache.com/im/pictures/3ff93cac-38e0-4985-89cf-5b7aeaaa093e.jpg,26.0,231864,Karin,,,False,52.3756,4.8386,5.0,3.0,3.0,1.5,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Iron,Clothing storage,TV,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Outdoor dining area,Paid parking off premises,Luggage dropoff allowed,Cleaning before checkout",,False,5.0,Moderate,EUR,94.0,0.0,20,4.8,4.8,4.8,4.8,4.9,4.5,4.8,28740,26138,218.8,196.3,0.378,0.868,76.2,69.3,174.8,159.2,138,206,227,365,0,0,251.0,221.1,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Amsterdam,Netherlands,NL,Europe
50523,B&B de 9 Straatjes (city center),Private room in bed and breakfast,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTA1MjM%3D/original/8e441c80-3dfd-42ea-861f-3f527c0054a3.jpeg,18.0,231946,Raymond,169225910,Ruben,True,52.3696,4.8842,2.0,1.0,1.0,1.0,True,"Hair dryer,Hot water,Essentials,Hangers,Clothing storage,Ethernet connection,TV,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Microwave,Mini fridge,Coffee maker,Coffee,Private entrance,Laundromat nearby,Luggage dropoff allowed",,False,2.0,Moderate,EUR,29.0,0.0,599,4.88,4.9,4.9,4.8,4.8,4.9,4.8,67185,60241,195.3,175.3,0.899,0.0,175.8,157.6,0.0,0.0,328,0,37,365,15599,13758,210.3,185.3,0.789,0.0,166.6,146.8,0.0,0.0,71,0,19,90,Amsterdam,Netherlands,NL,Europe
55709,Bright Loft in Centre Amsterdam,Entire loft,entire_home,https://a0.muscache.com/im/pictures/14896636/c2667327_original.jpg,25.0,263233,Jan-Willem,,,False,52.3581,4.8976,2.0,1.0,2.0,1.5,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Elevator,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,EV charger,Single level home,Shower gel,Patio or balcony,Long term stays allowed,Dining table,Toaster",False,,28.0,Firm,EUR,37.0,0.0,69,4.96,4.9,4.9,4.9,5.0,4.9,4.8,8572,7846,203.4,184.9,0.107,0.126,23.3,21.3,27.5,25.2,39,56,326,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Amsterdam,Netherlands,NL,Europe
91535,"Privat room and shared Houseboat \Ramona\"" centre""",Private room in boat,private_room,https://a0.muscache.com/im/pictures/a06c2476-caf8-4f56-afc6-f4d1ce489dc7.jpg,21.0,494281,Michiel,,,True,52.3577,4.8965,2.0,1.0,1.0,1.0,True,"Bathtub,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Clothing storage,TV,Air conditioning,Portable fans,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Coffee maker,Waterfront,Laundromat nearby,Paid parking off premises,Single level home,Cleaning before checkout",,False,1.0,Firm,EUR,29.0,0.0,328,4.8,4.8,4.8,4.7,4.9,4.9,4.6,34858,31349,215.2,193.0,0.43,0.0,92.1,82.8,0.0,0.0,157,0,208,365,0,0,219.9,193.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Amsterdam,Netherlands,NL,Europe
