listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
33945,Spacious Cosy aprtm very close to Metro!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1a7a1026-f5f1-41ce-8744-c79431731acc.jpg,36,146553,Katerina,,,False,38.0067,23.7278,4.0,2.0,3.0,1.0,True,"TV,Wifi,Air conditioning,Paid parking off premises,Hot water,Elevator,Bed linens,Extra pillows and blankets,Free street parking,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Oven,Patio or balcony,First aid kit,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hair dryer,Iron",,False,5.0,Strict,EUR,0.0,0.0,90,4.77,4.8,4.9,4.7,4.9,4.7,4.8,5481.0,4836.0,54.5,49.0,0.29,0.311,15.0,13.2,16.1,14.2,106,24,259,365,651.0,576.0,60.0,53.0,0.133,0.182,7.2,6.4,9.9,8.7,12,24,78,90,Athens,Greece,GR,Europe
49489,44 Ermou st - 3bdr apt in the heart of Athens,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/9640239/4bfd2031_original.jpg,27,225612,Stathis,,,False,37.9767,23.7306,7.0,3.0,4.0,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Children’s books and toys,High chair,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Elevator,Paid parking off premises",,False,2.0,Moderate,EUR,58.0,0.0,142,4.68,4.8,4.8,4.7,4.9,4.9,4.7,24609.0,21679.0,228.8,205.0,0.241,0.346,62.5,55.1,89.8,79.1,88,111,277,365,1451.0,1280.0,221.2,195.0,0.067,0.0,14.8,13.1,0.0,0.0,6,0,84,90,Athens,Greece,GR,Europe
60394,Cosy apartment! Great central Athens location!,Entire condo,entire_home,https://a0.muscache.com/im/pictures/477282/db550f8b_original.jpg,30,290864,Mika,,,False,37.9674,23.7404,2.0,1.0,3.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Air conditioning,Ceiling fan,Portable fans,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Laundromat nearby,Patio or balcony,Beach essentials,Free street parking,Elevator,Single level home,Long term stays allowed",,False,6.0,Moderate,EUR,70.0,0.0,37,4.97,5.0,4.9,5.0,5.0,4.9,4.9,6733.0,5936.0,65.7,58.8,0.279,0.4,17.7,15.6,25.3,22.3,102,110,263,365,933.0,823.0,79.7,70.2,0.111,0.0,9.6,8.5,0.0,0.0,10,0,80,90,Athens,Greece,GR,Europe
134340,Neo Pagrati Athens Apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/1232312/4edebae6_original.jpg,30,659406,Konstantinos,,,True,37.9641,23.7497,2.0,1.0,1.0,1.0,True,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Pets allowed,Hot water,Body soap,Conditioner,Bed linens,Extra pillows and blankets,Free street parking,Ethernet connection,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Single level home,Shower gel,Backyard,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Dining table,Iron,Dedicated workspace,Toaster",,False,,Firm,EUR,0.0,0.0,61,4.68,4.7,5.0,4.4,4.9,4.6,4.8,1143.0,1040.0,51.5,46.1,0.071,0.078,3.1,2.8,3.4,3.1,26,30,339,365,0.0,0.0,60.2,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Athens,Greece,GR,Europe
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1051559/9d6ddb05_original.jpg,38,741851,Yagos,,,False,37.9857,23.7332,4.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Washer,Dryer,Hangers,Iron,TV,Air conditioning,Wifi,Dedicated workspace,Kitchen,Elevator,Pets allowed,Smoking allowed",,False,2.0,Moderate,EUR,58.0,0.0,229,4.73,4.8,4.9,4.7,4.9,4.6,4.7,10404.0,9253.0,80.2,71.9,0.304,0.335,25.3,22.6,27.9,24.9,111,34,254,365,0.0,0.0,83.3,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Athens,Greece,GR,Europe
306234,Athens AVATON - Parthenon Suite,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/aec8269c-693e-4218-9c5d-59494715e13b.jpg,36,1574876,Agis,,,True,37.9785,23.7248,2.0,1.0,1.0,1.0,True,"Wifi,Hair dryer,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Strict,EUR,58.0,0.0,735,4.98,5.0,5.0,5.0,5.0,4.9,4.9,84101.0,75320.0,423.1,378.8,0.521,0.562,221.5,198.5,239.2,214.4,190,27,175,365,11081.0,9764.0,336.9,296.9,0.378,0.54,120.5,106.2,172.2,151.7,34,27,56,90,Athens,Greece,GR,Europe
350321,BEAUTIFUL CENTRAL APARTMENT ATHENS,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/bddbfa04-7570-48c8-b823-a1eed034a7e0.jpg,26,1775281,Christina,162272814,Christina,True,37.9648,23.7454,4.0,2.0,3.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Pack ’n play/Travel crib,Hot water,Free street parking,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace",True,,2.0,Moderate,EUR,0.0,0.0,297,4.67,4.8,4.7,4.9,4.7,4.6,4.7,5866.0,5330.0,47.4,42.4,0.304,0.348,16.1,14.6,18.4,16.7,111,46,254,365,0.0,0.0,32.2,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Athens,Greece,GR,Europe
361393,Hermes Historical Center apt.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4294065/07c8d5ab_original.jpg,31,1826598,Apartments Historical Centre,,,False,37.9777,23.73,8.0,2.0,4.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Dining table,Coffee,Private entrance,Elevator,Pets allowed,Luggage dropoff allowed",,False,1.0,Moderate,EUR,23.0,0.0,220,4.69,4.7,4.8,4.8,4.8,4.8,4.7,3054.0,2723.0,107.0,96.1,0.074,0.103,7.9,7.1,11.0,9.9,27,103,338,365,1506.0,1328.0,111.1,97.9,0.144,0.148,16.0,14.1,16.3,14.4,13,2,77,90,Athens,Greece,GR,Europe
401423,Apartment with Leafy Backyard Steps from the Acropolis,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/airflow/Hosting-401423/original/3c6b95c6-e564-471b-afe3-60517671ace9.jpg,44,745805,Ralou,193841307,Hosthub,True,37.9683,23.7278,2.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Body soap,Washer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s dinnerware,Window guards,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Backyard,Free street parking,Elevator,Long term stays allowed",,False,2.0,Moderate,EUR,43.0,0.0,622,4.92,4.9,5.0,4.9,5.0,5.0,4.9,23286.0,20844.0,103.9,93.0,0.542,0.0,57.1,51.2,0.0,0.0,198,0,167,365,955.0,842.0,103.0,90.7,0.1,0.0,9.7,8.5,0.0,0.0,9,0,81,90,Athens,Greece,GR,Europe
469140,Our first love #01 | Thiseio Residencies,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/12df25da-0374-4c2a-9ad8-10714f2e40dd.jpg,26,2289590,Live In Athens Apartments,,,False,37.9767,23.7185,4.0,1.0,2.0,1.0,True,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Patio or balcony,Free street parking,Elevator,Single level home,Pets allowed",,False,1.0,Moderate,EUR,0.0,0.0,115,4.77,4.7,4.9,4.9,4.9,4.9,4.7,21073.0,19033.0,185.1,166.1,0.304,0.407,57.7,52.1,77.2,69.7,111,92,254,365,3270.0,2882.0,166.1,146.4,0.211,0.244,36.3,32.0,41.9,36.9,19,12,71,90,Athens,Greece,GR,Europe
