listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
18674,Apartment capacity for 8 people.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/13031453/413cdbfc_original.jpg,13,71615,Maria Y Mireia Barcelona4Seaso,,,False,41.4056,2.1726,8.0,3.0,6,2.0,True,"Wifi,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Elevator,Pets allowed",,False,1.0,Firm,EUR,87.0,0.0,54,4.36,4.4,4.6,4.6,4.6,4.8,4.3,85201.0,76026.0,324.7,291.6,0.641,0.0,219.8,196.3,0.0,0.0,234,0,131,365,11648.0,10267.0,254.8,224.5,0.433,0.0,118.8,104.7,0.0,0.0,39,0,51,90,Barcelona,Spain,ES,Europe
23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-23197/original/ff51bce4-b9cc-439e-8261-9e8f951af863.jpeg,52,90417,Marnie,329334048,Jake,True,41.4124,2.2198,5.0,3.0,4,2.0,True,"Wifi,Hair dryer,Cleaning products,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Air conditioning,Ceiling fan,Heating,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Waterfront,Beach access,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free street parking,Elevator,Paid parking off premises,Paid parking on premises,Long term stays allowed",,False,3.0,Strict,EUR,163.0,0.0,92,4.82,4.9,4.9,4.9,5.0,4.7,4.7,62285.0,55863.0,317.2,284.0,0.488,0.517,155.9,140.0,165.4,148.6,178,21,187,365,0.0,0.0,329.1,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21,90,90,Barcelona,Spain,ES,Europe
32711,Sagrada Familia area - Còrsega 1,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/357b25e4-f414-48c5-aad0-e89342b1daa2.jpg,33,135703,Nick,404655,Anna,False,41.4057,2.1702,6.0,2.0,3,1.5,True,"High chair,TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Paid parking off premises,Hot water,Body soap,Conditioner,Elevator,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Bathtub",,False,1.0,Flexible,EUR,86.0,0.0,155,4.47,4.4,4.9,4.4,4.9,4.9,4.5,47635.0,42840.0,222.6,199.7,0.474,0.523,117.8,106.1,129.9,117.0,173,34,192,365,547.0,482.0,166.1,146.3,0.033,0.038,5.1,4.5,5.8,5.1,3,10,87,90,Barcelona,Spain,ES,Europe
34241,Stylish Top Floor Apartment - Ramblas Plaza Real,Entire condo,entire_home,https://a0.muscache.com/im/pictures/2437facc-2fe7-431b-8b83-d91b40329184.jpg,10,73163,Andres,,,True,41.3806,2.1752,2.0,1.0,1,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Hot water,Elevator,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Carbon monoxide alarm,Bidet,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Sound system,Toaster",False,False,5.0,Firm,EUR,,,25,4.36,4.5,4.7,4.5,4.7,4.7,4.2,2636.0,2441.0,143.4,129.3,0.041,0.046,7.2,6.7,8.2,7.6,15,42,350,365,0.0,0.0,134.6,118.6,0.0,0.0,0.0,0.0,0.0,0.0,0,20,90,90,Barcelona,Spain,ES,Europe
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS (AVENUE),Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c4d1723c-e479-44e8-b56e-4b51c1292cbf.jpg,33,73163,Andres,,,True,41.3798,2.1762,9.0,4.0,6,3.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Beach access,Private entrance,Elevator,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,5.0,Firm,EUR,133.0,0.0,286,4.58,4.6,4.7,4.7,4.7,4.7,4.5,143706.0,128915.0,510.1,457.3,0.71,0.0,376.2,337.8,0.0,0.0,259,0,106,365,16898.0,14888.0,444.0,391.3,0.378,0.0,173.0,152.4,0.0,0.0,34,0,56,90,Barcelona,Spain,ES,Europe
40983,Soho Colonial Eclectic Apartment,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-40983/original/eef27fa9-0cba-4b8c-bd2f-c5610f088dc2.jpeg,27,177617,Joaquin,410246,Iván,True,41.3963,2.1683,4.0,1.0,2,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Wine glasses,Toaster,Dining table,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,EUR,101.0,0.0,418,4.54,4.6,4.8,4.6,4.8,4.9,4.5,64551.0,57792.0,183.2,164.0,0.844,0.903,155.0,139.1,165.9,148.9,308,24,57,365,12353.0,10885.0,160.3,141.2,0.733,0.0,117.1,103.1,0.0,0.0,66,0,24,90,Barcelona,Spain,ES,Europe
41952,Modern Apartment - Sagrada Familia,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4215368/059dcf20_original.jpg,26,183340,Teresa,215065532,Marc,False,41.4057,2.1694,4.0,2.0,4,2.0,False,"TV,Washer,Dryer,Wifi,Air conditioning,Kitchen,Essentials,Hangers,Hair dryer,Iron,Elevator,Coffee maker,Refrigerator,Heating",True,,3.0,Firm,EUR,34.0,0.0,118,4.31,4.4,4.6,4.2,4.5,4.7,4.2,27313.0,24668.0,212.5,190.5,0.351,0.382,72.1,65.2,78.6,71.0,128,30,237,365,1520.0,1340.0,209.2,184.4,0.078,0.0,16.5,14.6,0.0,0.0,7,0,83,90,Barcelona,Spain,ES,Europe
49968,Sagrada Familia area - Còrsega 2,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/82927561-3785-4b27-8ad2-4dfc66d57519.jpg,31,135703,Nick,404655,Anna,False,41.4057,2.1702,5.0,2.0,7,1.0,True,"Wifi,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Elevator,Paid parking off premises,Luggage dropoff allowed",,False,1.0,Flexible,EUR,88.0,0.0,147,4.64,4.8,4.9,4.4,5.0,4.9,4.6,61479.0,55222.0,230.4,206.7,0.627,0.0,152.3,137.0,0.0,0.0,229,0,136,365,3712.0,3271.0,187.2,165.0,0.2,0.0,37.3,32.9,0.0,0.0,18,0,72,90,Barcelona,Spain,ES,Europe
58512,Stylish & cozy 3BR near Sagrada Familia,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/92ddeb30-589a-4346-b065-4fce6ddc2946.jpg,24,280070,Cristina,,,True,41.4113,2.1819,5.0,3.0,3,2.0,False,"TV,Blender,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Ceiling fan,Hot water,Conditioner,Bed linens,Extra pillows and blankets,Laundromat nearby,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Fire extinguisher,Bidet,Essentials,Long term stays allowed,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster,Bathtub",False,,10.0,Strict,EUR,0.0,0.0,410,4.5,4.5,4.7,4.5,4.8,4.4,4.5,20409.0,19285.0,224.4,202.0,0.247,0.479,55.9,52.8,108.6,102.6,90,177,275,365,0.0,0.0,238.7,210.3,0.0,0.0,0.0,0.0,0.0,0.0,0,17,90,90,Barcelona,Spain,ES,Europe
71553,Best deals for penthouse near Sagrada Familia!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/848b37fa-aa4f-43d6-9b57-6755fed71080.jpg,25,366654,Watermelon Barcelona Apartment,692539373,Franco,False,41.3971,2.1747,2.0,1.0,1,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Crib,High chair,Air conditioning,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Patio or balcony,Outdoor furniture,Outdoor dining area,BBQ grill,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,3.0,Firm,EUR,82.0,0.0,84,4.23,4.1,4.4,4.5,4.6,4.6,4.1,8587.0,7913.0,235.6,211.2,0.099,0.181,21.7,20.1,39.9,36.9,36,166,329,365,3655.0,3220.0,225.8,199.0,0.144,0.157,37.9,33.4,41.1,36.2,13,7,77,90,Barcelona,Spain,ES,Europe
