listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
3176,Fabulous Flat in great Location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzE3Ng==/original/725892bf-6973-4121-8ec0-98b234db3657.jpeg,38,3718,Britta,,,True,52.5347,13.4181,2.0,1.0,2.0,1.0,True,"TV,Wifi,Kitchen,Board games,Hot water kettle,Books and reading material,Outdoor furniture,Hot tub,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Outdoor dining area,Freezer,Bathtub,High chair,Crib,Children’s dinnerware,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony,Long term stays allowed,Dining table,Baking sheet,Toaster",,False,63.0,Strict,EUR,287.0,0.0,150,4.63,4.7,4.7,4.5,4.7,4.9,4.6,6133,5411,86.3,77.5,0.197,0.248,16.8,14.8,21.1,18.7,72,75,293,365,0,0,88.7,78.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Berlin,Germany,DE,Europe
20858,Designer Loft in Berlin Mitte,Entire loft,entire_home,https://a0.muscache.com/im/pictures/108232/205b19a3_original.jpg,10,71331,Marc,"156,006,343,489,050,000","Sascha,Angela",True,52.5371,13.4089,4.0,2.0,2.0,1.0,True,"Wifi,Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Indoor fireplace,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony,Elevator,Single level home,Long term stays allowed",,False,3.0,Firm,EUR,92.0,0.0,143,4.49,4.6,4.5,4.7,4.5,4.9,4.4,11301,9995,262.6,235.6,0.11,0.0,28.2,24.9,0.0,0.0,40,0,325,365,980,864,302.2,266.3,0.033,0.0,9.9,8.7,0.0,0.0,3,0,87,90,Berlin,Germany,DE,Europe
22677,"\Prenzel Garten\"" with terrace""",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-22677/original/2e6b81fa-6371-4725-bd5c-41b8ff92a4e9.jpeg,15,87357,Ramfis,,,True,52.5336,13.4048,5.0,2.0,5.0,1.0,True,"High chair,TV,Children’s books and toys,Wifi,Babysitter recommendations,Crib,Kitchen,Hot water kettle,Children’s dinnerware,Portable fans,Pets allowed,Hot water,Laundromat nearby,Outdoor furniture,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Single level home,Smoke alarm,Backyard,Luggage dropoff allowed,Essentials,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",,False,3.0,Firm,EUR,70.0,0.0,615,4.82,4.8,4.9,4.8,4.9,4.9,4.7,61004,54712,216.2,193.9,0.701,0.0,152.6,137.0,0.0,0.0,256,0,109,365,10763,9488,211.3,186.2,0.511,0.0,107.9,95.1,0.0,0.0,46,0,44,90,Berlin,Germany,DE,Europe
30295,PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4551295/95263036_original.jpg,36,485838,Michele,,,True,52.546,13.4229,8.0,2.0,4.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,High chair,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Oven,Coffee maker,Private entrance,Backyard,Free parking on premises,Elevator",,False,4.0,Firm,EUR,58.0,0.0,516,4.8,4.8,4.9,4.8,4.9,4.9,4.7,51936,46479,172.2,154.3,0.762,0.0,132.3,118.5,0.0,0.0,278,0,87,365,12033,10605,181.5,160.0,0.656,0.0,124.7,109.9,0.0,0.0,59,0,31,90,Berlin,Germany,DE,Europe
37004,WONDERFUL ROOM for a bubble in Berlin Central,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/209257/e21b186d_original.jpg,25,159734,Bernd,,,False,52.4938,13.3641,,,1.0,0.0,True,"TV,Cable TV,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Single level home,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Private entrance",False,False,21.0,Firm,EUR,0.0,29.0,38,4.74,4.9,4.9,4.7,5.0,4.8,4.9,853,753,62.2,55.9,0.038,0.054,2.3,2.1,3.3,2.9,14,108,351,365,0,0,59.9,52.9,0.0,0.0,0.0,0.0,0.0,0.0,0,21,90,90,Berlin,Germany,DE,Europe
42487,Weekend in Berlin Party Center - I,Private room in condominium (condo),private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NDI0ODc=/original/808855f2-04d4-433b-bdc2-a1519f9b93cb.jpeg,27,272316,Desiree,,,True,52.4966,13.4404,,,1.0,0.0,True,"Shampoo,Washer,Essentials,TV,Crib,Heating,Smoke alarm,Carbon monoxide alarm,First aid kit,Wifi,Dedicated workspace,Kitchen,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Backyard,Paid parking off premises,Smoking allowed",,False,1.0,Moderate,EUR,46.0,34.0,37,4.84,4.9,4.9,4.7,5.0,4.8,4.7,13013,11879,99.2,89.3,0.318,0.348,35.3,32.2,38.7,35.3,116,32,249,365,0,0,80.5,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Berlin,Germany,DE,Europe
55853,Capital City Domicile,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1804371/486c2e9c_original.jpg,12,264072,Britta,,,False,52.5047,13.2941,2.0,1.0,2.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Outdoor playground,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Lake access,Private entrance,Patio or balcony,Backyard,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,100.0,Strict,EUR,,,22,4.82,5.0,4.9,5.0,4.8,4.7,4.7,1737,1527,57.0,51.2,0.082,0.099,4.8,4.2,5.7,5.0,30,62,335,365,0,0,56.6,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0,62,90,90,Berlin,Germany,DE,Europe
57049,130 sqm with a view on Mauer Park,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-57049/original/2ef88085-751b-47e0-9be4-8adfd8a24716.jpeg,31,54283,Marine,,,True,52.5476,13.4063,4.0,2.0,3.0,2.0,True,"TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Hot water,Body soap,Elevator,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Shower gel,Patio or balcony,Bidet,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Toaster,Bathtub",,False,3.0,Firm,EUR,93.0,0.0,152,4.93,5.0,5.0,4.9,5.0,4.8,4.8,70018,62280,338.9,304.5,0.548,0.787,185.2,164.8,266.1,236.8,200,111,165,365,3158,2786,338.8,298.7,0.1,0.9,34.1,30.0,306.5,270.4,9,80,81,90,Berlin,Germany,DE,Europe
58780,"Charming, light 2 rooms in 4 room apartment",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NTg3ODA=/original/dd508c70-72b5-4709-ab69-ffda449f53f5.jpeg,16,281614,Katja,,,True,52.5357,13.4274,4.0,3.0,3.0,1.5,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,TV,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Patio or balcony",,False,5.0,Strict,EUR,57.0,17.0,98,4.84,4.9,4.8,4.8,4.9,4.9,4.7,18085,15938,267.5,240.3,0.181,0.0,47.5,41.9,0.0,0.0,66,0,299,365,2925,2579,285.3,251.5,0.111,0.0,31.9,28.1,0.0,0.0,10,0,80,90,Berlin,Germany,DE,Europe
62613,Super Apartment in Berlin/Kreuzberg,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjI2MTM=/original/76eb09a2-97f0-4a6a-9710-961ec2bb22a7.jpeg,9,227954,Guidi,,,False,52.4961,13.4231,2.0,,1.0,1.0,False,"Stove,Washer,Smoke alarm,Wifi,Patio or balcony,Bidet,Kitchen,Hot water kettle,Hair dryer,Freezer,Outdoor furniture,Refrigerator,Dishes and silverware,Heating",False,,4.0,Strict,EUR,45.0,28.0,36,4.71,4.7,4.8,4.7,4.8,4.9,4.5,8106,7465,109.7,98.6,0.203,0.374,21.7,20.0,40.0,36.9,74,167,291,365,0,0,109.8,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Berlin,Germany,DE,Europe
