listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
130097,Very close to Grand'Place,Room in bed and breakfast,hotel_room,,,641036,,,,False,50.8458,4.3501,2.0,1.0,1.0,1.0,False,"Wifi,Room-darkening shades,Paid parking off premises,Portable fans,Hot water,Body soap,Breakfast,Conditioner,Bed linens,Coffee maker,Heating,Smoke alarm,Shower gel,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Bathtub",,False,2.0,Moderate,EUR,0.0,0.0,305.0,4.91,4.9,5.0,5.0,4.9,5.0,4.9,34719.0,31307.0,143.3,128.7,0.663,0.0,95.1,85.8,0.0,0.0,242,0,123,365,5681.0,5007.0,137.3,121.0,0.456,0.0,63.1,55.6,0.0,0.0,41,0,49,90,Brussels,Belgium,BE,Europe
268652,Contemporary Art Flat in Centre,Entire loft,entire_home,https://a0.muscache.com/im/pictures/064ac64d-02dc-40c3-8131-57870434c4e6.jpg,22.0,1408080,Luc,,,True,50.852,4.3402,2.0,1.0,2.0,1.0,False,"Wifi,Crib,Kitchen,Pets allowed,Hot water,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Smoke alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",,False,1.0,Moderate,EUR,58.0,0.0,406.0,4.86,4.9,5.0,4.8,5.0,4.9,4.8,43747.0,39167.0,129.6,116.3,0.833,0.861,108.4,97.2,112.1,100.6,304,12,61,365,8876.0,7821.0,135.7,119.6,0.633,0.704,88.3,77.8,98.1,86.5,57,9,33,90,Brussels,Belgium,BE,Europe
269844,Beautiful apartment near EU offices,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2701157/dfc371cc_original.jpg,38.0,1171205,Elena,,,True,50.8458,4.3756,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Portable fans,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Patio or balcony,Outdoor furniture,Outdoor dining area,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,EUR,46.0,11.0,181.0,4.85,4.9,4.9,5.0,5.0,4.8,4.8,39587.0,35338.0,142.0,127.4,0.721,0.0,103.2,92.1,0.0,0.0,263,0,102,365,11413.0,10063.0,142.0,125.2,0.867,0.0,123.2,108.6,0.0,0.0,78,0,12,90,Brussels,Belgium,BE,Europe
293281,Cute private suite in EU District,Room in aparthotel,private_room,https://a0.muscache.com/im/pictures/7698969/21fa2ada_original.jpg,21.0,674142,RAS Residence,,,False,50.846,4.3742,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Pack ’n play/Travel crib,Hot water kettle,Paid parking off premises,Hot water,Mini fridge,Bed linens,Extra pillows and blankets,Ethernet connection,Laundromat nearby,Heating,Clothing storage,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Safe,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",,,1.0,Flexible,EUR,23.0,,119.0,4.79,4.8,4.9,4.8,4.8,4.7,4.7,3554.0,3409.0,137.7,123.7,0.066,0.253,9.2,8.8,35.2,34.0,24,270,341,365,0.0,0.0,139.1,122.6,0.0,0.0,0.0,0.0,0.0,0.0,0,59,90,90,Brussels,Belgium,BE,Europe
348575,Duplex first floor - Brussels,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4fe86297-f0ee-4a76-afc7-540e832ef654.jpg,19.0,1764707,Marcelo,,,True,50.849,4.3653,3.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Sound system,Crib,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Stove,Coffee maker,Laundromat nearby,Patio or balcony,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,6.0,Firm,EUR,40.0,0.0,238.0,4.7,4.8,4.9,4.6,4.9,4.8,4.7,10534.0,9342.0,134.7,120.9,0.208,0.466,28.4,25.2,63.6,56.5,76,202,289,365,2094.0,1847.0,141.2,124.5,0.156,0.452,22.8,20.1,66.3,58.5,14,59,76,90,Brussels,Belgium,BE,Europe
348607,Central renovated duplex – Elegant & Equipped,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzQ4NjA3/original/6948a65f-6780-44eb-8ff7-6c09af57c8e2.jpeg,17.0,1764707,Marcelo,,,True,50.8473,4.3634,4.0,1.0,3.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Pack ’n play/Travel crib,Hot water kettle,Hot water,Heating,Paid parking on premises,Coffee,Stove,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Toaster",False,,15.0,Strict,EUR,0.0,0.0,218.0,4.69,4.7,4.8,4.5,4.8,4.9,4.6,6614.0,6246.0,131.4,117.9,0.151,0.179,18.1,17.1,21.5,20.3,55,57,310,365,0.0,0.0,134.1,118.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Brussels,Belgium,BE,Europe
623192,Cute flat down town Brussels,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjIzMTky/original/d0d358c8-4d0b-40d7-9fc8-83bae4529d2f.jpeg,7.0,3090043,Amélie,,,True,50.8439,4.3491,2.0,1.0,1.0,1.0,False,"Hot water,Bed linens,Clothing storage,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Backyard",,False,4.0,Firm,EUR,58.0,11.0,284.0,4.77,4.7,4.9,4.8,4.8,4.9,4.7,17491.0,15794.0,91.0,81.6,0.496,0.675,43.3,39.2,59.0,53.4,181,97,184,365,0.0,0.0,101.1,89.1,0.0,0.0,0.0,0.0,0.0,0.0,0,79,90,90,Brussels,Belgium,BE,Europe
659834,Downtown Grand-Place Artist Loft-Studio,Entire loft,entire_home,https://a0.muscache.com/im/pictures/38abe4f6-a740-4b41-8c01-8f9caa65d1d6.jpg,18.0,2996959,Hervé,,,True,50.8472,4.3403,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,TV,Heating,Wifi,Pocket wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Hot water kettle,Baking sheet,Private entrance,Patio or balcony,Luggage dropoff allowed,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Firm,EUR,0.0,12.0,165.0,4.86,4.8,5.0,4.7,5.0,4.9,4.8,23788.0,21283.0,117.2,105.2,0.553,0.0,65.2,58.3,0.0,0.0,202,0,163,365,5274.0,4645.0,115.0,101.3,0.5,0.0,58.6,51.6,0.0,0.0,45,0,45,90,Brussels,Belgium,BE,Europe
753573,B&B Berlaymont - EU area,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-753573/original/24197537-21aa-4013-8f07-f0e2d237126e.jpg,21.0,3925484,Madeleine,,,True,50.8487,4.3866,,,2.0,0.0,False,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Pack ’n play/Travel crib,Children’s books and toys,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Pocket wifi,Mini fridge,Hot water kettle,Coffee,Private entrance,Patio or balcony,Backyard,Bikes,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed",,False,1.0,Moderate,EUR,9.0,37.0,306.0,4.93,4.9,5.0,4.9,4.9,4.8,4.9,25130.0,22596.0,75.6,67.8,0.893,0.929,67.2,60.5,69.9,62.9,326,14,39,365,4867.0,4288.0,78.5,69.2,0.667,0.789,52.8,46.5,62.5,55.1,60,14,30,90,Brussels,Belgium,BE,Europe
807834,A Flat with a View,Entire condo,entire_home,https://a0.muscache.com/im/pictures/13025035/f954a7d2_original.jpg,65.0,4250257,Bernard,,,True,50.8383,4.3507,3.0,1.0,3.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Private entrance,Paid parking off premises,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,2.0,Flexible,EUR,0.0,0.0,1107.0,4.87,4.9,4.9,4.8,5.0,4.9,4.8,26893.0,24244.0,96.6,86.8,0.764,0.0,73.7,66.4,0.0,0.0,279,0,86,365,5935.0,5228.0,100.7,88.7,0.656,0.0,65.9,58.1,0.0,0.0,59,0,31,90,Brussels,Belgium,BE,Europe
