listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
42075,studio with a view,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/450aa466-0768-4dfc-8fa6-2b03a4445e61.jpg,14,183912,Stefan,7911019,Nacea,True,44.4427,26.0918,2.0,1.0,1.0,1.0,False,"Wifi,Bathtub,Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Private entrance,Patio or balcony,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Smoking allowed,Long term stays allowed",,False,5.0,Flexible,RON,58.0,0.0,48.0,4.81,4.9,4.8,4.7,5.0,4.9,4.7,5331.0,24384.0,34.1,154.0,0.4,0.785,13.8,63.3,27.1,124.1,146,179,219,365,0.0,0.0,36.0,160.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Bucharest,Romania,RO,Europe
104676,Charming historic house (1928) with big garden,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/30788d3c-99dd-4a5b-ad28-fd0455c17575.jpg,22,544408,Ion,,,False,44.4373,26.0672,,,5.0,0.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Mosquito net,Clothing storage,TV,Crib,Pack ’n play/Travel crib,Fireplace guards,Air conditioning,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Free parking on premises,Free street parking,Pool,Hot tub",,False,2.0,Moderate,RON,0.0,33.0,36.0,4.89,4.8,4.9,4.8,4.9,4.8,4.8,2887.0,12872.0,39.7,178.9,0.192,0.257,7.9,35.3,10.6,47.3,70,93,295,365,450.0,2007.0,45.9,204.8,0.111,0.0,5.0,22.3,0.0,0.0,10,0,80,90,Bucharest,Romania,RO,Europe
148397,Apartment capitol 2 rooms,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/938844/c477b2c1_original.jpg,7,716576,Romania,,,False,44.435,26.0968,3.0,1.0,3.0,1.0,False,"Shampoo,Dryer,Essentials,TV,Air conditioning,Heating,Wifi,Kitchen,Hot tub,Elevator,Smoking allowed",,False,1.0,Flexible,RON,0.0,0.0,1.0,,,,,,,,961.0,4282.0,66.4,299.9,0.041,0.0,2.6,11.7,0.0,0.0,15,0,350,365,0.0,0.0,69.6,310.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bucharest,Romania,RO,Europe
154753,One bedroom apartment with WIFI,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-154753/original/c45a8895-975e-4969-925a-b2bdc226fb89.jpeg,4,530068,Anelise,,,False,44.4415,26.1416,2.0,1.0,2.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Dishes and silverware,Patio or balcony,Free parking on premises,Hot tub,Elevator,Pets allowed",,False,2.0,Moderate,RON,0.0,0.0,124.0,4.64,4.8,4.7,4.6,4.8,4.5,4.7,1011.0,4690.0,30.5,137.9,0.096,0.0,2.8,12.8,0.0,0.0,35,0,330,365,0.0,0.0,30.5,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Bucharest,Romania,RO,Europe
516676,#kap suites - Charming Studio Dalles Downtown,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-516676/original/0e3a30fd-6730-4cdc-9109-35048607a7e8.jpeg,9,2068127,Florin,584037052,Alex,False,44.4368,26.1017,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Carbon monoxide alarm,Wifi,Dedicated workspace,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Toaster,Laundromat nearby,Paid parking off premises,Long term stays allowed",,False,2.0,Flexible,RON,25.0,0.0,130.0,4.53,4.7,4.8,4.5,4.9,4.8,4.6,5559.0,25081.0,39.5,177.8,0.345,0.441,12.7,57.5,16.2,73.3,126,79,239,365,1151.0,5130.0,43.7,195.0,0.233,0.318,10.6,47.1,14.4,64.3,21,24,69,90,Bucharest,Romania,RO,Europe
527712,"AMZEI Studio very quiet, close Ateneul Roman",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/16651d20-1c76-43c1-94ca-888ee25e5f6c.jpg,22,2586626,RomPromo Plus Accommodation,,,False,44.4441,26.0964,2.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Smoking allowed,Ceiling fan,Hot water,Mini fridge,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Outdoor furniture,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Cleaning before checkout,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Private entrance,Toaster",,False,5.0,Firm,RON,0.0,0.0,31.0,4.13,4.1,4.4,4.2,4.5,4.7,4.2,332.0,1480.0,33.3,150.5,0.027,0.0,0.9,4.1,0.0,0.0,10,0,355,365,225.0,1002.0,31.7,141.4,0.078,0.0,2.5,11.1,0.0,0.0,7,0,83,90,Bucharest,Romania,RO,Europe
571752,#kap suites - Victoria Avenue downtown,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-571752/original/8484660b-0854-4f89-9e9e-642ba3577187.jpeg,21,2068127,Florin,584037052,Alex,False,44.4336,26.0968,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Dryer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Exterior security cameras on property,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Laundromat nearby,Patio or balcony,Elevator,Paid parking off premises,Single level home,Long term stays allowed",,False,2.0,Flexible,RON,25.0,2.0,149.0,4.62,4.7,4.9,4.6,4.9,4.9,4.7,6948.0,31326.0,43.2,194.9,0.384,0.0,16.7,75.5,0.0,0.0,140,0,225,365,1579.0,7044.0,45.6,203.4,0.344,0.0,16.2,72.1,0.0,0.0,31,0,59,90,Bucharest,Romania,RO,Europe
1151263,Central studio Romana square,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/17531996/5f20c381_original.jpg,21,4445552,Filip,,,False,44.444,26.0986,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Hot water,Shower gel,Washer,Essentials,Bed linens,Iron,TV,Air conditioning,Heating,Wifi,Kitchen,Microwave,Cooking basics,Stove,Coffee maker,Elevator",,False,2.0,Moderate,RON,0.0,0.0,237.0,4.78,4.8,4.9,4.8,4.9,4.8,4.8,10693.0,48317.0,40.2,181.5,0.726,0.753,29.3,132.4,30.4,137.3,265,13,100,365,2101.0,9364.0,38.7,172.7,0.589,0.688,23.3,104.0,27.3,121.6,53,13,37,90,Bucharest,Romania,RO,Europe
1195390,5 new studios - Titulescu Apartments,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/17970615/045bab85_original.jpg,22,6532902,Laura,,,True,44.4543,26.0702,,5.0,8.0,0.0,False,"Hair dryer,Essentials,Hangers,Iron,Pack ’n play/Travel crib,High chair,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Long term stays allowed",,False,2.0,Moderate,RON,0.0,0.0,64.0,4.86,4.9,5.0,4.9,5.0,4.7,4.8,4479.0,20039.0,34.4,155.4,0.348,0.418,12.3,54.9,14.7,65.9,127,61,238,365,1632.0,7286.0,35.3,157.4,0.511,0.0,18.1,81.0,0.0,0.0,46,0,44,90,Bucharest,Romania,RO,Europe
1304867,Central University Studio,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/20024515/ec82b1e2_original.jpg,18,7094215,"Stéphane,Olivier,Simon",,,False,44.4402,26.1004,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Ethernet connection,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free street parking,Elevator,Smoking allowed",,False,5.0,Moderate,RON,0.0,0.0,445.0,4.56,4.8,4.7,4.5,4.7,4.9,4.7,10953.0,49477.0,40.3,182.1,0.745,0.0,30.0,135.6,0.0,0.0,272,0,93,365,2258.0,10068.0,41.7,185.7,0.6,0.0,25.1,111.9,0.0,0.0,54,0,36,90,Bucharest,Romania,RO,Europe
