listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
6020,"Perfect location in the center,clean,personal care",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-6020/original/d53ecab3-6528-491f-8db7-b54978501207.jpeg,38,2850,Janos,,,True,47.5143,19.0483,3.0,2.0,2.0,1.0,True,"Wifi,Hair dryer,Shampoo,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Crib,Window guards,Air conditioning,Indoor fireplace,Portable fans,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Backyard,Elevator,Paid parking off premises,Long term stays allowed,Cleaning before checkout",,False,2.0,Strict,HUF,31.0,0.0,137.0,4.81,4.7,4.8,4.9,4.9,4.9,4.7,14798.0,5350811.0,90.2,32575.4,0.433,0.503,37.7,13662.9,43.9,15882.0,158,51,207,365,561.0,199534.0,74.3,26410.8,0.1,0.231,5.5,1972.0,12.8,4550.8,9,51,81,90,Budapest,Hungary,HU,Europe
6022,"2 bedrooms , quiet-local-clean perfect location",Entire condo,entire_home,https://a0.muscache.com/im/pictures/2bb86bba-4ed1-43ac-b537-9276852d599f.jpg,47,2850,Janos,,,True,47.5148,19.0487,3.0,2.0,3.0,1.0,False,"Wifi,Air conditioning,Pets allowed,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Books and reading material,Crib,Air conditioning,Portable fans,Heating,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Backyard,Elevator,Paid parking on premises",,False,2.0,Strict,HUF,35.0,0.0,64.0,4.81,4.8,4.9,5.0,5.0,5.0,4.8,18308.0,6566398.0,106.9,38553.9,0.477,0.481,46.7,16762.3,47.1,16901.2,174,3,191,365,5308.0,1887927.0,92.1,32761.6,0.511,0.0,55.1,19593.7,0.0,0.0,46,0,44,90,Budapest,Hungary,HU,Europe
15306,Budapesting's Astoria Residence Double Central AC,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-15306/original/1acb27a1-34ac-4124-bd4b-33a34b0430db.jpeg,72,60010,Zsuzsanna,"115828809,360179413,417928947,540615542","Lauren,Ambrus,Ori,Orsolya",True,47.4953,19.061,,,2.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Portable fans,Pets allowed,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Baby bath,High chair,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",True,,700.0,Moderate,HUF,0.0,0.0,267.0,4.56,4.6,4.7,4.5,4.7,4.9,4.7,8429.0,3098333.0,111.8,41171.7,0.205,0.227,23.1,8488.6,25.5,9360.5,75,34,290,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Budapest,Hungary,HU,Europe
15307,Budapesting's Astoria Residence Triple Centre AC,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-15307/original/7bf606c4-e854-4ea7-8d33-4128f755c799.jpeg,75,60010,Zsuzsanna,"115828809,360179413,417928947,540615542","Lauren,Ambrus,Ori,Orsolya",True,47.4953,19.061,,,2.0,0.0,False,"TV,Wifi,Air conditioning,Kitchen,Hot water kettle,Paid parking off premises,Pets allowed,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Baby bath,High chair,Crib,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Long term stays allowed,Cleaning before checkout,Dining table,Toaster",True,,2.0,Moderate,HUF,0.0,0.0,261.0,4.54,4.6,4.7,4.4,4.7,4.9,4.7,8459.0,3105685.0,113.7,41832.3,0.203,0.224,23.2,8508.7,25.6,9411.2,74,35,291,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Budapest,Hungary,HU,Europe
15309,Grandious Parliament View Penthouse by Budapesting,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTUzMDk%3D/original/26afb89b-fc9f-4115-840f-bd11271ecf81.jpeg,139,60010,Zsuzsanna,"115828809,360179413,540615542,714181329","Lauren,Ambrus,Orsolya,Rebeka",True,47.5042,19.0547,16.0,5.0,10.0,3.0,True,"Air conditioning,Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,High chair,Baby bath,Air conditioning,Portable fans,Heating,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Elevator,Paid parking off premises,Single level home,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,HUF,0.0,14.0,552.0,4.79,4.8,4.8,4.7,4.9,4.9,4.8,136220.0,49100172.0,413.1,149072.5,0.882,0.0,373.2,134521.0,0.0,0.0,322,0,43,365,36462.0,12968604.0,446.0,158646.6,0.889,0.0,405.1,144095.6,0.0,0.0,80,0,10,90,Budapest,Hungary,HU,Europe
15313,Central Astoria Station Residence by Budapesting,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-15313/original/4a4b4c35-555e-44ab-9854-0a59ab71698e.jpeg,99,60010,Zsuzsanna,"115828809,360179413,540615542,714181329","Lauren,Ambrus,Orsolya,Rebeka",True,47.4947,19.0608,9.0,3.0,6.0,2.0,True,"Air conditioning,Wifi,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,High chair,Baby bath,Air conditioning,Portable fans,Heating,Heating,Heating,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Paid parking off premises,Single level home,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,HUF,0.0,8.0,205.0,4.64,4.8,4.8,4.5,4.9,4.9,4.7,63507.0,22873379.0,198.2,71450.8,0.866,0.0,174.0,62666.8,0.0,0.0,316,0,49,365,15728.0,5594051.0,189.1,67269.9,0.922,0.0,174.8,62156.1,0.0,0.0,83,0,7,90,Budapest,Hungary,HU,Europe
15315,Central Deluxe Király st. Residence by Budapesting,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTUzMTU%3D/original/c04c5532-090e-44fa-88c7-0b4acaaa8929.jpeg,75,60010,Zsuzsanna,"115828809,360179413,540615542,714181329","Lauren,Ambrus,Orsolya,Rebeka",True,47.5043,19.0677,7.0,2.0,4.0,1.0,True,"Wifi,Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Crib,High chair,Baby bath,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Single level home,Pets allowed,Long term stays allowed,Cleaning before checkout",,False,2.0,Moderate,HUF,0.0,8.0,273.0,4.79,4.8,4.8,4.8,4.9,4.8,4.8,36216.0,13077010.0,118.3,42669.5,0.816,0.0,99.2,35827.4,0.0,0.0,298,0,67,365,8161.0,2902662.0,123.5,43929.8,0.656,0.0,90.7,32251.8,0.0,0.0,59,0,31,90,Budapest,Hungary,HU,Europe
33301,Elegant Home in Town Center,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/84728af5-9762-470f-ade8-d2a83f8c685c.jpg,18,144371,Julie,,,False,47.5072,19.0615,2.0,1.0,1.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Paid parking off premises,Hot water,Elevator,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Dryer,Smoke alarm,Exercise equipment,Patio or balcony,Bidet,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",False,False,30.0,Moderate,HUF,0.0,0.0,7.0,5.0,5.0,5.0,4.7,5.0,5.0,4.9,6274.0,2243241.0,91.0,33038.6,0.192,0.526,17.2,6145.9,47.2,16866.5,70,232,295,365,0.0,0.0,91.4,32504.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Budapest,Hungary,HU,Europe
33474,(P1/SZA) City center apartment at River Danube,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzM0NzQ%3D/original/fed452ac-2e7a-47d8-82cf-943f48f53c62.jpeg,54,144924,Andras,28932675,Norbert,True,47.4936,19.0552,4.0,2.0,3.0,1.0,True,"TV,Cable TV,Wifi,Air conditioning,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Hot water,Body soap,Elevator,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Shower gel,Carbon monoxide alarm,Fire extinguisher,Essentials,Safe,Shampoo,Hangers,Dining table,Hair dryer,Iron,Private entrance,Toaster",,False,3.0,Firm,HUF,46.0,0.0,521.0,4.9,4.9,4.9,4.9,4.9,5.0,4.9,87628.0,31537533.0,242.0,87106.3,0.921,0.0,230.0,82818.2,0.0,0.0,336,0,29,365,13767.0,4896571.0,161.2,57342.6,0.844,0.0,141.7,50407.0,0.0,0.0,76,0,14,90,Budapest,Hungary,HU,Europe
33480,(P2/SZA) Quiet place in heart of the city center,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-33480/original/e6d69411-7a05-427f-b703-6bf6bc428ad8.jpeg,60,144924,Andras,28932675,Norbert,True,47.4936,19.0552,3.0,1.0,1.0,1.0,True,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Safe,Clothing storage,TV,Air conditioning,Portable fans,Heating,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Private entrance,Laundromat nearby,Elevator,Paid parking off premises",,False,3.0,Firm,HUF,46.0,0.0,454.0,4.9,4.9,4.9,4.9,4.9,5.0,4.9,59011.0,21344297.0,185.8,67495.3,0.849,0.852,154.5,55922.5,154.9,56076.2,310,1,55,365,11693.0,4158903.0,122.1,43435.8,0.989,0.0,121.2,43119.6,0.0,0.0,89,0,1,90,Budapest,Hungary,HU,Europe
