listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
29118,Best Location in Cool Istedgade,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b83c7003-367a-4fc2-ad32-ccad2186f2f4.jpg,11,125230,Nana,,,False,55.6702,12.555,2.0,1.0,1.0,1.0,False,"Children’s books and toys,Blender,Wifi,Kitchen,Pack ’n play/Travel crib,Room-darkening shades,Hot water kettle,Paid parking off premises,Children’s dinnerware,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Wine glasses,Washer,Patio or balcony,Backyard,Essentials,Hangers,Dining table,Hair dryer,Toaster",,False,7.0,Flexible,DKK,55.0,0.0,28,4.86,4.7,4.9,4.7,5.0,4.8,4.7,10461.0,68771.0,156.8,1050.6,0.184,0.235,28.1,184.4,35.9,236.2,67,80,298,365,0.0,0.0,164.4,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,0,34,90,90,Copenhagen,Denmark,DK,Europe
32379,"155 m2 artist flat on Vesterbro, with 2 bathrooms",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-32379/original/dcc4a7a5-d8db-47bc-a3a1-4540465b4cf3.jpeg,42,140105,Lise,,,True,55.673,12.5533,4.0,2.0,3.0,2.0,False,"TV,Children’s books and toys,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Portable fans,Hot water,Bed linens,Outdoor furniture,Hot tub,Microwave,Cleaning products,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Washer,Dryer,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Backyard,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Toaster,Bathtub",,False,3.0,Moderate,DKK,0.0,0.0,87,4.92,5.0,4.9,4.9,4.9,4.9,4.7,15839.0,104125.0,458.7,3114.4,0.093,0.099,43.4,285.3,46.0,302.7,34,21,331,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Copenhagen,Denmark,DK,Europe
38499,0 min. from everything in Cph.,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzg0OTk%3D/original/5125b7de-d2c6-4c52-b090-fcaa475078a2.jpeg,29,122489,Christina,,,True,55.6843,12.573,6.0,2.0,2.0,1.0,False,"Hair dryer,Cleaning products,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Record player,Books and reading material,Heating,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Coffee maker,Wine glasses,Toaster,Dining table,Beach access,Private entrance,Long term stays allowed",,False,2.0,Firm,DKK,160.0,0.0,47,4.91,4.8,4.8,4.9,5.0,5.0,4.9,66398.0,438829.0,419.1,2805.9,0.411,0.898,174.9,1156.2,382.3,2526.9,150,198,215,365,0.0,0.0,430.4,2829.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Copenhagen,Denmark,DK,Europe
39055,Stylish apartment in central Copenhagen,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-39055/original/12bd5f21-c0e0-4300-a277-f7a3c78397ee.jpeg,15,167511,Rikke,,,False,55.6651,12.5832,4.0,2.0,2.0,2.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Dryer,Essentials,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,TV,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Paid parking off premises",,False,2.0,Strict,DKK,78.0,0.0,125,4.83,4.8,4.9,5.0,4.9,4.8,4.6,63999.0,426194.0,319.4,2138.7,0.532,0.808,164.7,1097.4,250.4,1668.9,194,125,171,365,0.0,0.0,346.7,2279.3,0.0,0.0,0.0,0.0,0.0,0.0,0,86,90,90,Copenhagen,Denmark,DK,Europe
65902,10 min. from city centre on bike,Private room in condo,private_room,https://a0.muscache.com/im/pictures/ad5a6729-349e-41a9-aa38-323c83618429.jpg,14,322300,Sjelle,,,True,55.7071,12.5539,,,1.0,0.0,False,"Wifi,Backyard,Room-darkening shades,Hot water,Dedicated workspace,Bed linens,Refrigerator,Dishes and silverware,Heating",False,False,2.0,Strict,DKK,0.0,17.0,136,4.8,4.7,4.8,4.7,4.8,4.6,4.6,7464.0,49089.0,73.8,494.4,0.26,0.931,20.4,134.5,73.2,481.3,95,263,270,365,0.0,0.0,70.8,465.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Copenhagen,Denmark,DK,Europe
69013,Walking distance to the whole of Copenhagen,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NjkwMTM%3D/original/f3497bad-1422-4e24-bf52-b10c31371573.jpeg,22,344223,Tove,,,True,55.6885,12.5696,4.0,2.0,,1.5,False,"TV,Cable TV,Blender,Wifi,Waterfront,Kitchen,Board games,Room-darkening shades,Hot water kettle,Hot water,Bed linens,Outdoor furniture,Microwave,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Paid parking on premises,Clothing storage,Stove,Wine glasses,Beach access,Smoke alarm,BBQ grill,Patio or balcony,Backyard,Hangers,Dining table,Outdoor playground,Iron,Dedicated workspace,Barbecue utensils,Outdoor dining area,Freezer,Toaster,Bathtub",,False,5.0,Firm,DKK,0.0,0.0,4,5.0,5.0,5.0,5.0,5.0,5.0,4.8,6928.0,46214.0,187.4,1271.3,0.104,0.111,19.0,126.6,20.3,135.1,38,23,327,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Copenhagen,Denmark,DK,Europe
143230,Family home by Christianshavn Canal,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/11654014/57ac8a71_original.jpg,46,695079,Ilang & Marika,,,True,55.6737,12.5913,6.0,2.0,2.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Ethernet connection,TV,Books and reading material,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Board games,Babysitter recommendations,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Trash compactor,Dining table,Coffee,Bread maker,Waterfront,Lake access,Laundromat nearby,Patio or balcony,Backyard,Fire pit,Outdoor furniture,Hammock,Outdoor dining area,BBQ grill,Free street parking,Gym,Paid parking off premises,Paid parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,DKK,104.0,0.0,128,4.9,4.9,4.9,4.7,4.9,5.0,4.8,53295.0,352171.0,443.6,2969.9,0.334,0.803,141.7,936.7,340.4,2249.4,122,213,243,365,0.0,0.0,473.8,3114.6,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Copenhagen,Denmark,DK,Europe
155068,Cozy apartment on Vesterbro- Copenhagen,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU1MDY4/original/08ab8915-a679-4d43-a796-87830b417e21.jpeg,33,745804,Harald,,,False,55.669,12.5449,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Shampoo,Conditioner,Body soap,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Coffee maker,Baking sheet,Rice maker,Backyard",,False,7.0,Strict,DKK,61.0,0.0,51,4.7,4.7,4.8,4.3,4.9,4.8,4.5,14037.0,92272.0,135.7,909.8,0.274,0.301,36.8,241.8,40.4,265.8,100,33,265,365,3829.0,25169.0,143.3,942.0,0.278,0.368,39.8,261.8,52.7,346.5,25,22,65,90,Copenhagen,Denmark,DK,Europe
157093,Rooftop app. in cozy nørrebro area,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTU3MDkz/original/d50cc243-d156-4851-903d-d2db13f614e8.jpeg,16,754626,Sigrid,,,False,55.6896,12.5428,5.0,4.0,4.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Books and reading material,Children’s books and toys,High chair,Children’s dinnerware,Window guards,Board games,Children's playroom,Outdoor playground,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Baking sheet,Blender,Dining table,Backyard,Outdoor dining area,Long term stays allowed",,False,3.0,Moderate,DKK,0.0,0.0,41,4.8,4.9,5.0,4.8,5.0,4.9,4.8,28771.0,189396.0,260.6,1746.4,0.31,0.837,78.8,518.9,213.1,1402.9,113,230,252,365,281.0,1847.0,271.9,1787.2,0.011,0.067,3.1,20.5,18.7,123.1,1,75,89,90,Copenhagen,Denmark,DK,Europe
176963,Vesterbro Vintage Escape,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/232792c1-d4f6-45e7-945f-87fd404b10ee.jpg,11,846204,Ronald,141179218,Omar,False,55.6678,12.5484,,,1.0,0.0,False,"Hair dryer,Cleaning products,Hot water,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Dining table,Laundromat nearby,Paid parking off premises",,False,1.0,Moderate,DKK,39.0,0.0,687,4.71,4.8,4.9,4.5,4.9,4.9,4.7,33531.0,223160.0,107.0,713.8,0.753,0.762,82.8,551.8,83.7,557.9,275,4,90,365,6409.0,42128.0,88.4,581.2,0.689,0.721,64.3,422.6,67.3,442.2,62,4,28,90,Copenhagen,Denmark,DK,Europe
