listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
159889,Friendly Single Room,Private room in home,private_room,https://a0.muscache.com/im/pictures/22862257/b4de2430_original.jpg,13,766611,Marie,,,False,53.3903,-6.2355,,,1.0,0.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Baby safety gates,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Microwave,Dishwasher,Stove,Oven,Patio or balcony,Backyard,Free parking on premises,Free street parking,Single level home,Breakfast,Smoking allowed",,False,2.0,Firm,EUR,21.0,0.0,478,4.74,4.8,4.8,4.7,4.9,4.7,4.7,17893,16041,57.9,52.0,0.77,0.0,44.8,40.1,0.0,0.0,281,0,84,365,4397,3884,58.6,51.6,0.744,0.0,44.0,38.7,0.0,0.0,67,0,23,90,Dublin,Ireland,IE,Europe
165828,Pádraig Pearse apt. Kilmainham,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/34311419/b3f6c846_original.jpg,40,790601,Timothy,,,False,53.3374,-6.3236,5.0,1.0,3.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Free street parking,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Heating,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",False,,3.0,Strict,EUR,58.0,0.0,87,4.67,4.9,4.8,4.7,4.8,4.4,4.6,12940,11724,243.3,218.5,0.134,0.154,33.5,30.4,38.5,34.9,49,47,316,365,0,0,200.7,176.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dublin,Ireland,IE,Europe
165829,"The \Michael Collins\"" apartment""",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1046117/945a7031_original.jpg,22,790601,Timothy,,,False,53.3374,-6.3236,5.0,1.0,3.0,1.0,False,"TV,Cable TV,Wifi,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water,Microwave,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Backyard,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",False,,3.0,Strict,EUR,0.0,0.0,87,4.71,4.8,4.8,4.8,4.7,4.4,4.6,6879,6405,275.8,247.7,0.074,0.124,18.8,17.5,31.7,29.5,27,148,338,365,0,0,272.8,240.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dublin,Ireland,IE,Europe
237465,Cozy 1 bed apt 10 mins to airport. total privacy,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/dcca065b-b9bc-44a9-baca-f46899a61618.jpg,26,1245198,Amanda,,,False,53.3956,-6.1752,2.0,1.0,1.0,1.5,False,"Hair dryer,Hot water,Bed linens,Extra pillows and blankets,Ethernet connection,TV,Heating,Exterior security cameras on property,Wifi,Refrigerator,Microwave,Dishes and silverware,Hot water kettle,Wine glasses,Toaster,Private entrance,Free street parking",,False,1.0,Firm,EUR,41.0,11.0,616,4.56,4.7,4.8,4.6,4.8,4.4,4.5,26159,23260,95.1,85.0,0.641,0.0,64.0,57.0,0.0,0.0,234,0,131,365,3374,2973,91.8,80.8,0.356,0.0,33.8,29.8,0.0,0.0,32,0,58,90,Dublin,Ireland,IE,Europe
266654,small & cosy room for short stays,Private room in home,private_room,https://a0.muscache.com/im/pictures/9643760/44623505_original.jpg,15,1398274,Joanne,,,True,53.3909,-6.2941,1.0,1.0,1.0,1.0,False,"TV,Washer,Cable TV,Wifi,Kitchen,Essentials,Free parking on premises,Hot water,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishes and silverware,Heating",,False,2.0,Firm,EUR,9.0,0.0,82,4.85,4.8,4.9,4.7,5.0,4.6,4.8,4987,4388,44.8,40.3,0.321,0.481,13.5,11.9,20.3,17.9,117,122,248,365,709,627,51.9,45.8,0.144,0.203,7.8,6.9,10.9,9.7,13,26,77,90,Dublin,Ireland,IE,Europe
292757,Old World Converted Stables with Swimming Pool.,Entire home,entire_home,https://a0.muscache.com/im/pictures/c0f316d1-c7f1-4058-8814-114c3c5c0bee.jpg,36,1515549,Sarah,,,True,53.3695,-6.3489,9.0,4.0,5.0,2.5,False,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Record player,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Baby bath,Children’s dinnerware,Baby monitor,Window guards,Board games,Baby safety gates,Babysitter recommendations,Air conditioning,Heating,Exterior security cameras on property,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Pool,Sauna,Pets allowed,Luggage dropoff allowed,Cleaning before checkout",,False,2.0,Strict,EUR,105.0,122.0,524,4.95,4.9,5.0,4.8,5.0,5.0,4.9,57395,51503,146.3,131.4,0.923,0.0,135.1,121.5,0.0,0.0,337,0,28,365,14010,12359,157.9,139.2,0.822,0.0,131.2,115.6,0.0,0.0,74,0,16,90,Dublin,Ireland,IE,Europe
302554,Peaceful retreat for 5 - excellent location,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3c1a66d6-ffc1-4a4c-aa4d-14f29fc0acbf.jpg,21,1557844,Liam And Fiona,,,False,53.3568,-6.2909,5.0,1.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Crib,High chair,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,EUR,71.0,0.0,80,4.68,4.7,5.0,4.8,4.9,4.5,4.6,40146,36234,268.3,240.6,0.384,0.562,103.8,93.7,152.1,137.4,140,116,225,365,6166,5436,271.0,238.9,0.233,0.323,65.4,57.6,90.5,79.8,21,25,69,90,Dublin,Ireland,IE,Europe
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/10910884/fac3d849_original.jpg,17,1557844,Liam And Fiona,,,False,53.3568,-6.2909,2.0,1.0,2.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,TV,Pack ’n play/Travel crib,High chair,Heating,Exterior security cameras on property,Smoke alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Free parking on premises,Free street parking,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Moderate,EUR,46.0,0.0,188,4.63,4.7,4.8,4.7,4.9,4.6,4.5,36943,33205,115.0,103.3,0.8,0.839,93.0,83.7,97.6,87.8,292,17,73,365,5708,5039,106.8,94.1,0.522,0.644,57.3,50.5,70.6,62.3,47,17,43,90,Dublin,Ireland,IE,Europe
333950,Best location in Dublin City Centre,Private room in townhouse,private_room,https://a0.muscache.com/im/pictures/4270625/b67c6872_original.jpg,16,1607393,Daragh,,,False,53.342,-6.2737,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Books and reading material,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dishwasher,Hot water kettle,Coffee maker,Wine glasses,Coffee,Laundromat nearby,Patio or balcony,Outdoor furniture,Free street parking,Paid parking off premises",,False,2.0,Strict,EUR,28.0,0.0,309,4.79,4.8,4.8,4.6,4.9,4.9,4.7,6873,6349,95.8,86.2,0.189,0.0,18.1,16.7,0.0,0.0,69,0,296,365,0,0,92.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dublin,Ireland,IE,Europe
365854,Perfect Dublin | Residence・Romantic・Business,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MzY1ODU0/original/2a73607f-1679-4ffb-b99d-38e89443f9c2.jpeg,33,1847391,Diane,,,False,53.3531,-6.2565,2.0,1.0,1.0,1.0,False,"Wifi,Kitchen,Room-darkening shades,Hot water kettle,Paid parking off premises,Books and reading material,Hot water,Body soap,Bed linens,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Clothing storage,Stove,Wine glasses,Washer,Dryer,Single level home,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",False,,14.0,Strict,EUR,0.0,0.0,199,4.24,4.4,4.6,4.5,4.6,4.3,4.1,5217,4599,211.8,189.9,0.066,0.0,14.3,12.6,0.0,0.0,24,0,341,365,0,0,230.8,203.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dublin,Ireland,IE,Europe
