listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
28438,Apartment Bete our Blue Lagoon,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e861b2ee-d284-443a-8f06-49637622fae8.jpg,10,121326,Dragica,,,False,42.6417,18.1086,3.0,1.0,3.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,First aid kit,Fire extinguisher,Kitchen,Essentials,Shampoo,Hangers,Hair dryer,Hot water,Iron,Heating",True,False,1.0,Strict,HRK,23,0,72.0,4.42,4.6,4.6,4.6,4.7,4.8,4.4,8059,53474,115.4,778.3,0.153,0.16,20.9,139.0,21.9,145.4,56,16,309,365,0,0,97.7,647.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dubrovnik,Croatia,HR,Europe
28439,Apartment Tina central and quiet,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/79698975/817b0dd2_original.jpg,13,121326,Dragica,,,False,42.6392,18.1071,2.0,1.0,2.0,1.0,False,"Stove,TV,Cable TV,Wifi,Air conditioning,First aid kit,Fire extinguisher,Kitchen,Essentials,Long term stays allowed,Shampoo,Smoking allowed,Pets allowed,Hangers,Hair dryer,Hot water,Iron,Heating,Cooking basics",,False,2.0,Strict,HRK,23,0,184.0,4.53,4.7,4.6,4.7,4.7,4.8,4.5,14791,98259,109.6,737.7,0.288,0.0,38.5,255.9,0.0,0.0,105,0,260,365,0,0,98.5,653.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Dubrovnik,Croatia,HR,Europe
28441,Studio Tina,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0cda882a-88b0-4860-8aa3-887e59e8fa37.jpg,13,121326,Dragica,,,False,42.639,18.1068,2.0,1.0,1.0,1.0,False,"Hair dryer,Shampoo,Hot water,Essentials,Hangers,Iron,TV,Air conditioning,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Pets allowed",,False,2.0,Strict,HRK,17,0,138.0,4.49,4.7,4.4,4.7,4.5,4.7,4.5,16446,109338,99.1,667.9,0.384,0.0,43.3,288.1,0.0,0.0,140,0,225,365,220,1459,90.5,599.7,0.022,0.0,2.3,15.0,0.0,0.0,2,0,88,90,Dubrovnik,Croatia,HR,Europe
29347,"Adriatic Star A1- 3min Old Town,  2min above beach",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e470499a-cfe1-4883-a946-c420c6da52a9.jpg,56,126117,Boris,,,True,42.642,18.1156,3.0,1.0,2.0,1.0,False,"Cable TV,Air conditioning,Gym,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Window guards,Table corner guards,Air conditioning,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Coffee maker,Beach access,Private entrance,Patio or balcony,Paid parking off premises,Single level home,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,HRK,0,0,645.0,4.85,4.8,4.9,4.9,4.9,5.0,4.8,38179,257339,145.7,983.0,0.679,0.835,104.6,705.0,128.5,866.5,248,68,117,365,2981,19762,131.8,873.9,0.244,1.0,33.1,219.6,135.5,898.3,22,68,68,90,Dubrovnik,Croatia,HR,Europe
29766,A1-Nice Duplex Apartment close to the Sunset beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/c8a38431-541f-4c62-b9f5-4f488d42763a.jpg,38,128271,Nikola,178574386,Ivana,False,42.6537,18.0741,4.0,1.0,2.0,2.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Kitchen,Free parking on premises,Hot water kettle,Books and reading material,Laundromat nearby,Outdoor furniture,Drying rack for clothing,Heating,Clothing storage,Wine glasses,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Crib,Pack ’n play/Travel crib,Room-darkening shades,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Shower gel,Patio or balcony,Luggage dropoff allowed,Long term stays allowed,Safe,Dining table,Baking sheet,Toaster",True,,2.0,Moderate,HRK,0,0,32.0,4.72,4.8,4.9,5.0,4.9,4.9,4.7,13232,87785,148.3,1003.2,0.225,0.41,36.3,240.5,66.2,438.9,82,165,283,365,0,0,142.9,947.3,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Dubrovnik,Croatia,HR,Europe
29767,A2-Nice Duplex Apartment close to the Sunset Beach,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2b30bea5-a225-43d3-9363-8a188693f64b.jpg,46,128271,Nikola,178574386,Ivana,False,42.6537,18.0741,4.0,1.0,2.0,2.0,False,"TV,Wifi,Waterfront,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Beach access,Patio or balcony,Essentials,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Freezer,Toaster",True,,2.0,Moderate,HRK,0,0,31.0,4.94,4.9,4.9,4.9,5.0,4.9,4.9,2162,14367,139.1,939.5,0.044,0.129,5.9,39.4,17.4,115.9,16,241,349,365,0,0,131.9,874.4,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Dubrovnik,Croatia,HR,Europe
29768,A3- Relax Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/dd776d66-d77b-4764-af88-ebc62315bcac.jpg,30,128271,Nikola,178574386,Ivana,False,42.6537,18.0741,4.0,1.0,3.0,1.0,False,"TV,Cable TV,Wifi,Waterfront,Air conditioning,Crib,Kitchen,Free parking on premises,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace",True,False,2.0,Moderate,HRK,0,0,17.0,4.88,4.9,4.9,4.9,5.0,4.8,4.7,10221,67823,153.0,1033.3,0.164,0.312,28.0,185.8,53.2,353.2,60,173,305,365,0,0,152.6,1011.3,0.0,0.0,0.0,0.0,0.0,0.0,0,77,90,90,Dubrovnik,Croatia,HR,Europe
29771,Harmony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/eada0b2c-a9b2-4bc1-882b-0e73d31a9e75.jpg,19,128271,Nikola,178574386,Ivana,False,42.6537,18.0741,3.0,1.0,2.0,1.0,False,"TV,Cable TV,Wifi,Air conditioning,Crib,Kitchen,Pack ’n play/Travel crib,Free parking on premises,Hot water kettle,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Drying rack for clothing,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Wine glasses,Beach access,Patio or balcony,First aid kit,Fire extinguisher,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Toaster",,False,2.0,Moderate,HRK,0,0,41.0,4.88,4.9,4.9,5.0,5.0,4.8,4.8,7869,52168,122.2,825.6,0.148,0.266,21.6,142.9,38.8,257.0,54,162,311,365,0,0,116.9,774.9,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Dubrovnik,Croatia,HR,Europe
34421,Gjivo Gugilly,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0cf26d52-8cf1-4144-94fd-abeb94683968.jpg,50,121326,Dragica,,,False,42.6433,18.1064,8.0,4.0,6.0,1.5,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Smoke alarm,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Patio or balcony,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Strict,HRK,64,0,117.0,4.7,4.8,4.8,4.7,4.7,5.0,4.7,58414,388287,251.1,1685.0,0.504,0.532,151.8,1009.2,160.1,1064.6,184,19,181,365,694,4600,243.3,1613.1,0.022,0.0,7.0,46.4,0.0,0.0,2,0,88,90,Dubrovnik,Croatia,HR,Europe
34473,"Killer view, close to Banje beach and Old town",Entire condo,entire_home,https://a0.muscache.com/im/pictures/eeaaf5cb-836e-4959-a55f-ee6fee13b7a0.jpg,23,148904,Tomislav,,,True,42.6443,18.1158,2.0,1.0,1.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Hot water,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,TV,Crib,Air conditioning,Heating,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Beach access,Private entrance,Patio or balcony,Free parking on premises,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,HRK,0,0,195.0,4.83,4.9,4.9,4.9,4.7,4.8,4.7,51538,342578,288.5,1939.9,0.466,0.0,141.2,938.6,0.0,0.0,170,0,195,365,899,5959,348.2,2308.5,0.022,0.0,10.0,66.2,0.0,0.0,2,0,88,90,Dubrovnik,Croatia,HR,Europe
