listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
15420,Georgian Boutique Apt City Centre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/cf69631f-4194-4020-ae63-9d745a90ec74.jpg,51,60423,Charlotte,,,True,55.9576,-3.1881,2.0,1.0,1.0,1.0,False,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Books and reading material,Board games,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Private entrance,Paid parking off premises,Single level home,Luggage dropoff allowed",,False,3.0,Firm,GBP,80.0,0.0,669,4.98,5.0,5.0,5.0,5.0,5.0,4.9,75050.0,56457.0,198.4,149.5,0.934,0.0,186.1,140.3,0.0,0.0,341,0,24,365,16273.0,12088.0,182.3,135.5,0.878,0.0,162.1,120.5,0.0,0.0,79,0,11,90,Edinburgh,United Kingdom,GB,Europe
24288,"Cool central Loft, sleeps 4, 2 double bed+en-suite",Entire loft,entire_home,https://a0.muscache.com/im/pictures/3460007/887314c6_original.jpg,20,46498,Gordon,,,False,55.945,-3.1853,4.0,2.0,2.0,1.5,False,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Board games,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Dining table,Laundromat nearby,Elevator,Paid parking off premises,Long term stays allowed",,False,3.0,Firm,GBP,67.0,0.0,414,4.65,4.8,4.9,4.4,4.9,4.8,4.7,54107.0,40822.0,153.8,116.1,0.879,0.0,135.4,102.3,0.0,0.0,321,0,44,365,11965.0,8897.0,151.8,112.9,0.789,0.0,121.0,90.0,0.0,0.0,71,0,19,90,Edinburgh,United Kingdom,GB,Europe
38628,Edinburgh Holiday Let,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzg2Mjg%3D/original/b96fa1b8-0f81-4636-95f5-6a981fe1ce1c.jpeg,47,165635,Trish,,,False,55.9421,-3.0964,2.0,1.0,2.0,1.5,True,"TV,Window guards,Wifi,Waterfront,Fireplace guards,Lake access,Kitchen,Free parking on premises,Hot water kettle,Pets allowed,Hot water,Body soap,Mini fridge,Free street parking,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Beach access,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer",,False,5.0,Firm,GBP,53.0,0.0,75,4.68,4.8,4.8,4.7,4.8,4.7,4.8,4220.0,3139.0,148.6,112.3,0.074,0.146,10.7,8.0,21.1,15.7,27,180,338,365,2926.0,2176.0,139.1,103.5,0.211,0.247,30.2,22.4,35.2,26.2,19,13,71,90,Edinburgh,United Kingdom,GB,Europe
44552,Double room - spacious Leith flat,Private room in condo,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-44552/original/1bd34f0c-fdb6-4050-88f8-93407e4a9727.jpg,26,195950,Shaun,,,True,55.9661,-3.1718,,,1.0,0.0,False,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Paid parking off premises,Conditioner,Laundromat nearby,Outdoor furniture,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Blender,Room-darkening shades,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Cleaning before checkout,Dining table,Barbecue utensils,Toaster",,False,6.0,Strict,GBP,20.0,0.0,321,4.77,4.8,4.9,4.8,4.9,4.7,4.8,17529.0,13183.0,90.1,68.0,0.529,0.654,47.0,35.4,58.2,43.8,193,70,172,365,796.0,592.0,98.0,72.9,0.089,0.174,8.6,6.4,16.9,12.5,8,44,82,90,Edinburgh,United Kingdom,GB,Europe
48645,Large sunny room on Royal Mile,Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-48645/original/9947b2c5-682e-4d2d-8804-3abc23aaa732.jpeg,49,221474,Mark,,,True,55.9507,-3.183,,,2.0,0.0,True,"TV,Wifi,Kitchen,Room-darkening shades,Hot water kettle,Books and reading material,Ceiling fan,Hot water,Conditioner,Bed linens,Extra pillows and blankets,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Smoke alarm,Shower gel,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Dining table,Hair dryer,Iron,Freezer,Toaster",True,False,1.0,Firm,GBP,0.0,0.0,1131,4.88,4.9,4.9,4.9,5.0,5.0,4.8,51432.0,38517.0,223.3,168.3,0.573,0.597,140.9,105.5,146.9,110.0,209,15,156,365,3603.0,2679.0,189.2,140.7,0.189,0.218,40.0,29.8,46.2,34.3,17,12,73,90,Edinburgh,United Kingdom,GB,Europe
51505,Superb City Centre Apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/bc26fbc9-38a3-4d64-abd0-f9a1f9ef169b.jpg,13,236828,Francois,,,True,55.9548,-3.1964,4.0,2.0,3.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Paid parking off premises,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,5.0,Moderate,GBP,0.0,0.0,140,4.88,4.9,5.0,4.8,5.0,5.0,4.8,57005.0,43190.0,317.2,240.3,0.49,0.0,156.2,118.3,0.0,0.0,179,0,186,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Edinburgh,United Kingdom,GB,Europe
54188,The Four Sisters Boatel,Boat,entire_home,https://a0.muscache.com/im/pictures/868604d2-7951-4530-95b7-f84eaf29d8e3.jpg,42,253850,Natalie,,,False,55.9422,-3.2086,6.0,3.0,2.0,1.5,False,"TV,Wifi,Waterfront,Air conditioning,Lake access,Kitchen,Board games,Free parking on premises,Hot water kettle,Paid parking off premises,Books and reading material,Pets allowed,Conditioner,Laundromat nearby,Outdoor furniture,Boat slip,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Dryer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Baby monitor,High chair,Baby safety gates,Children’s books and toys,Crib,Pack ’n play/Travel crib,Hot water,Body soap,Bed linens,Extra pillows and blankets,Pocket wifi,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Barbecue utensils",,False,1.0,Firm,GBP,67.0,0.0,36,4.61,4.5,4.6,4.7,4.7,4.8,4.4,15723.0,12161.0,507.0,383.5,0.082,0.139,41.2,31.9,69.7,54.0,30,149,335,365,3565.0,2651.0,486.2,361.6,0.078,0.0,38.1,28.3,0.0,0.0,7,0,83,90,Edinburgh,United Kingdom,GB,Europe
58682,Beautiful Apartment in Edinburgh,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/15f09c83-6ad6-4350-8938-c9f4f25dded0.jpg,28,281109,Rona,,,True,55.9551,-3.2163,8.0,4.0,7.0,2.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Board games,Indoor fireplace,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Laundromat nearby,Paid parking off premises,Luggage dropoff allowed",,False,4.0,Firm,GBP,60.0,0.0,212,4.94,5.0,5.0,4.9,5.0,5.0,4.9,133518.0,100804.0,398.2,300.8,0.899,0.0,358.2,270.5,0.0,0.0,328,0,37,365,32930.0,24498.0,407.2,302.9,0.878,0.0,359.9,267.7,0.0,0.0,79,0,11,90,Edinburgh,United Kingdom,GB,Europe
112625,"Epicurean Clerk - Huge, Central",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-112625/original/6d8878ee-7921-4ac7-9407-23346b4156c9.jpeg,27,574430,Michele,15779496,Linda,True,55.9387,-3.1794,9.0,4.0,5.0,1.5,True,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Backyard",,False,2.0,Strict,GBP,266.0,0.0,211,4.84,4.8,4.8,4.8,4.8,4.8,4.7,257482.0,192093.0,808.8,605.8,0.707,0.733,658.1,491.0,682.4,509.2,258,13,107,365,33094.0,24608.0,455.6,338.8,0.644,0.0,323.4,240.4,0.0,0.0,58,0,32,90,Edinburgh,United Kingdom,GB,Europe
118314,Vibrant Cottage Style Flat Near Leith Links Park,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ead06a36-40c2-4b6e-8dd9-c6f2317cdcc2.jpg,20,597415,Daniela,"682371024,688090422","Cozy With Character,Nicola",False,55.9681,-3.1603,3.0,2.0,2.0,1.0,True,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Outlet covers,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Patio or balcony,Backyard,Outdoor furniture,Hammock,Free parking on premises,Free street parking,Single level home,Pets allowed",,False,2.0,Firm,GBP,94.0,0.0,270,4.84,4.8,4.9,4.8,4.9,4.7,4.7,98277.0,73923.0,412.1,310.3,0.595,0.601,256.4,192.9,259.2,195.1,217,4,148,365,15277.0,11362.0,369.7,274.9,0.4,0.419,161.4,120.0,168.9,125.6,36,4,54,90,Edinburgh,United Kingdom,GB,Europe
