listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
31840,Residenza Martin  Classic room,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/prohost-api/Hosting-31840/original/ac9e4ecf-3fe5-474b-aff5-b743d148acfb.jpeg,21,380378,Andrea Frua De Angeli,136927,Veronica,True,43.7771,11.2522,2.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Luggage dropoff allowed",,True,1.0,Limited,EUR,0.0,0.0,190,4.68,4.8,4.9,4.8,4.9,4.9,4.7,33254.0,29860.0,171.8,153.9,0.542,0.586,91.1,81.8,98.4,88.3,198,27,167,365,6377.0,5619.0,135.5,119.4,0.522,0.58,70.9,62.4,78.7,69.4,47,9,43,90,Florence,Italy,IT,Europe
32180,Charming Gem - Oltrarno City centre,Entire condo,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-32180/original/0f2706ad-9625-45d1-8d38-90d96d2425de.jpeg,16,13925330,Cesare,,,True,43.7683,11.2435,4.0,2.0,3.0,2.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Children’s books and toys,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Oven,Coffee maker,Long term stays allowed",,False,6.0,Firm,EUR,0.0,0.0,43,4.76,4.8,4.8,4.8,4.7,4.8,4.8,35758.0,32471.0,164.8,147.9,0.616,0.69,98.0,89.0,109.7,99.6,225,39,140,365,1787.0,1573.0,179.1,157.9,0.111,0.182,19.9,17.5,32.5,28.6,10,35,80,90,Florence,Italy,IT,Europe
39115,Central Double Shared Bathroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/31846251/3034d27a_original.jpg,21,167739,Lorenzo,,,False,43.7753,11.2526,,,1.0,0.0,True,"Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Laundromat nearby,Elevator,Luggage dropoff allowed",,False,2.0,Firm,EUR,0.0,0.0,90,4.52,4.7,4.8,4.6,4.7,4.9,4.6,11423.0,10077.0,108.7,97.4,0.268,0.397,31.3,27.6,46.2,40.8,98,118,267,365,121.0,107.0,107.7,94.9,0.011,0.018,1.3,1.2,2.2,1.9,1,35,89,90,Florence,Italy,IT,Europe
39165,Florence Central Double Private Bathroom,Private room in home,private_room,https://a0.muscache.com/im/pictures/7e94f597-ac04-4b8a-92d0-558d9c035827.jpg,23,167739,Lorenzo,,,False,43.7753,11.2526,2.0,1.0,1.0,1.0,True,"Air conditioning,Hair dryer,Shampoo,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Clothing storage,Ethernet connection,TV,Air conditioning,Heating,Fire extinguisher,Wifi,Dedicated workspace,Refrigerator,Laundromat nearby,Elevator,Single level home,Luggage dropoff allowed",,False,2.0,Firm,EUR,0.0,0.0,24,4.41,4.3,4.7,4.5,4.6,5.0,4.4,9547.0,8565.0,131.9,118.2,0.195,0.265,26.2,23.5,35.6,32.0,71,97,294,365,809.0,712.0,127.0,111.9,0.078,0.0,9.0,7.9,0.0,0.0,7,0,83,90,Florence,Italy,IT,Europe
39822,Apartment Santa Monaca Oltrarno old town,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/51118538/b6b95404_original.jpg,19,154769,Matilde,,,False,43.7674,11.2438,4.0,2.0,2.0,1.0,True,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Outdoor shower,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,TV,Books and reading material,Air conditioning,Portable fans,Heating,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Stove,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Laundromat nearby,Paid parking off premises,Paid parking on premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,4.0,Firm,EUR,47.0,11.0,37,4.5,4.4,4.7,4.5,4.7,4.9,4.5,20600.0,18403.0,114.5,103.1,0.474,0.906,55.4,49.5,105.9,94.6,173,174,192,365,0.0,0.0,105.8,93.3,0.0,0.0,0.0,0.0,0.0,0.0,0,89,90,90,Florence,Italy,IT,Europe
44781,Stylish Terrace on Boboli Gardens,Entire condo,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-44781/original/288e8eb4-0f46-4cba-b39a-0dcf6c626c39.png,33,33210,Rocco,"100257371,100459731","Claudia,Gokhan",True,43.7642,11.2462,4.0,1.0,2.0,1.0,True,"Air conditioning,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Bidet,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Mosquito net,Clothing storage,Ethernet connection,TV,Books and reading material,Crib,High chair,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Blender,Dining table,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor dining area,Elevator,Paid parking off premises,Single level home,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Moderate,EUR,75.0,0.0,465,4.87,4.9,4.9,4.9,4.9,4.9,4.8,65507.0,58601.0,213.7,191.2,0.773,0.0,168.6,151.0,0.0,0.0,282,0,83,365,10651.0,9384.0,188.2,165.9,0.578,0.0,111.7,98.4,0.0,0.0,52,0,38,90,Florence,Italy,IT,Europe
46520,Residenza Martin:  Superior room,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46520/original/ad9a7bc8-1fa0-4675-918c-848d5136daf4.jpeg,23,380378,Andrea Frua De Angeli,136927,Veronica,True,43.777,11.2522,3.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Single level home,Luggage dropoff allowed",,True,1.0,Limited,EUR,0.0,0.0,169,4.74,4.9,4.9,4.9,4.9,4.9,4.7,45456.0,40710.0,185.6,166.5,0.66,0.0,124.5,111.5,0.0,0.0,241,0,124,365,6877.0,6062.0,141.2,124.4,0.533,0.0,76.4,67.4,0.0,0.0,48,0,42,90,Florence,Italy,IT,Europe
46523,Residenza Martin:  Single room,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46523/original/aea0bac5-122a-429c-ba9e-30bea74c49fc.jpeg,21,380378,Andrea Frua De Angeli,136927,Veronica,True,43.777,11.2522,1.0,1.0,1.0,1.0,True,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Luggage dropoff allowed",,True,1.0,Limited,EUR,0.0,0.0,311,4.68,4.8,4.9,4.9,4.9,4.8,4.7,32758.0,29359.0,133.9,119.9,0.663,0.691,89.7,80.4,93.6,83.9,242,15,123,365,5656.0,4984.0,106.1,93.5,0.567,0.68,62.8,55.4,75.4,66.5,51,15,39,90,Florence,Italy,IT,Europe
46524,Residenza Martin:  Deluxe room,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/prohost-api/Hosting-46524/original/37713f15-17ca-4070-a40b-3116cea9ee43.jpeg,17,380378,Andrea Frua De Angeli,136927,Veronica,True,43.777,11.2522,3.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Hot water,Shower gel,Essentials,Hangers,Bed linens,Iron,Clothing storage,TV,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Hot water kettle,Coffee maker,Wine glasses,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Paid parking off premises,Single level home,Luggage dropoff allowed",,True,1.0,Limited,EUR,0.0,0.0,178,4.74,4.8,4.9,4.9,4.8,4.9,4.7,7659.0,6827.0,165.8,148.5,0.132,0.0,21.0,18.7,0.0,0.0,48,0,317,365,1338.0,1177.0,145.1,127.9,0.1,0.0,14.9,13.1,0.0,0.0,9,0,81,90,Florence,Italy,IT,Europe
47498,Leonardo House,Private room in serviced apartment,private_room,https://a0.muscache.com/im/pictures/113fbcec-612c-4664-90e3-7257e49383e5.jpg,16,215302,Darko,,,True,43.7739,11.2503,3.0,1.0,1.0,2.0,True,"Hair dryer,Hot water,Essentials,Hangers,Bed linens,Iron,Air conditioning,Heating,Fire extinguisher,Wifi,Refrigerator,Microwave,Dishes and silverware,Paid parking off premises,Single level home",,False,2.0,Flexible,EUR,0.0,0.0,567,4.6,4.7,4.9,4.6,4.9,4.9,4.6,21685.0,19398.0,90.0,80.5,0.625,0.0,59.4,53.1,0.0,0.0,228,0,137,365,2174.0,1915.0,75.2,66.2,0.3,0.0,24.2,21.3,0.0,0.0,27,0,63,90,Florence,Italy,IT,Europe
