listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
186017,Room available near Faire,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/1797893/9d4d519b_original.jpg,11.0,893415,Ana,,,False,50.1049,8.6398,,,1.0,0.0,False,"TV,Washer,Cable TV,Smoke alarm,BBQ grill,Wifi,Air conditioning,Kitchen,Lock on bedroom door,Hair dryer,Iron,Dedicated workspace,Coffee maker,Heating",False,False,2.0,Moderate,EUR,81.0,0.0,52,4.63,4.7,4.9,4.4,4.9,4.8,4.5,2228.0,1969.0,93.9,84.2,0.052,0.056,5.4,4.8,5.8,5.1,19,23,346,365,662.0,581.0,95.4,83.9,0.067,0.0,6.5,5.7,0.0,0.0,6,0,84,90,Frankfurt,Germany,DE,Europe
186062,Guest room in an apartment building,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/010b8185-6686-4235-ab86-058b901bfc02.jpg,11.0,893623,Necmi,,,False,50.1064,8.6683,,,1.0,0.0,False,"Bathtub,Hair dryer,Hot water,Essentials,Hangers,Room-darkening shades,Clothing storage,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Laundromat nearby",,False,2.0,Moderate,EUR,0.0,0.0,94,4.69,4.7,4.8,4.7,4.9,4.6,4.6,7020.0,6447.0,83.4,74.8,0.236,0.363,19.2,17.7,29.6,27.2,86,128,279,365,0.0,0.0,82.8,72.8,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Frankfurt,Germany,DE,Europe
199523,"Central, quiet location",Private room in condo,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-199523/original/5f407f3c-d042-4c87-8ab2-9a8576e1c5b4.jpeg,8.0,973221,Peter,,,True,50.1262,8.6847,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Washer,Dryer,Essentials,Room-darkening shades,Iron,TV,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Patio or balcony,Backyard,Elevator,Paid parking off premises,Pets allowed",,False,2.0,Flexible,EUR,0.0,0.0,129,4.87,4.9,4.9,4.8,4.9,5.0,4.8,10300.0,9069.0,47.1,42.2,0.586,0.79,28.2,24.8,38.0,33.5,214,94,151,365,3538.0,3105.0,47.9,42.1,0.822,0.0,39.3,34.5,0.0,0.0,74,0,16,90,Frankfurt,Germany,DE,Europe
228890,central modern accomodation,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/2122560/bf4c57f6_original.jpg,15.0,1194645,Harriet,,,True,50.1227,8.6066,,,1.0,0.0,False,"Bathtub,Hair dryer,Hot water,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,TV,Heating,Smoke alarm,Wifi,Mini fridge,Elevator",,False,2.0,Moderate,EUR,0.0,0.0,72,4.84,4.9,4.9,5.0,4.9,4.8,4.8,13213.0,11811.0,58.3,52.4,0.619,0.649,36.2,32.4,38.0,33.9,226,17,139,365,3344.0,2957.0,60.6,53.6,0.611,0.0,37.2,32.9,0.0,0.0,55,0,35,90,Frankfurt,Germany,DE,Europe
233106,Cosy and Quiet Room in Frankfurt,Private room in home,private_room,https://a0.muscache.com/im/pictures/3659916/b76c509f_original.jpg,14.0,1033436,Sabine,,,False,50.1536,8.6265,,,1.0,0.0,False,"TV,Smoke alarm,Wifi,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Hot water,Bed linens,Free street parking,Heating",False,False,3.0,Moderate,EUR,0.0,20.0,136,4.8,4.9,5.0,4.8,4.9,4.7,4.8,653.0,595.0,50.9,45.7,0.036,0.052,1.8,1.6,2.6,2.4,13,117,352,365,260.0,230.0,52.6,46.4,0.056,0.068,2.9,2.6,3.5,3.1,5,16,85,90,Frankfurt,Germany,DE,Europe
243969,Easy Travel To Frankfurt,Private room in home,private_room,https://a0.muscache.com/im/pictures/f444ce96-d41a-4617-8838-2c49dbc46305.jpg,16.0,1280134,Daniele,,,True,50.1133,8.5532,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Ethernet connection,TV,Exercise equipment,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Microwave,Dishes and silverware,Mini fridge,Freezer,Hot water kettle,Coffee maker,Coffee,Bread maker,Backyard,Free street parking,Gym,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,EUR,0.0,0.0,1128,4.81,4.9,4.9,4.7,4.9,4.6,4.8,13376.0,11978.0,42.9,38.4,0.855,0.0,36.6,32.8,0.0,0.0,312,0,53,365,3428.0,3027.0,45.7,40.3,0.844,0.0,38.1,33.6,0.0,0.0,76,0,14,90,Frankfurt,Germany,DE,Europe
285295,Best place in Frankfurt a. M. !,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/40449b75-8e8f-45ed-8f16-e0fb4b8aeddf.jpg,6.0,1484956,Cornelia,,,True,50.1039,8.6801,2.0,1.0,1.0,1.0,False,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Free street parking,Elevator,Luggage dropoff allowed,Long term stays allowed",,False,5.0,Firm,EUR,58.0,58.0,220,4.82,4.7,4.8,4.8,4.9,4.9,4.7,11878.0,10542.0,177.1,160.6,0.203,0.276,30.8,27.3,41.9,37.2,74,97,291,365,3382.0,2979.0,125.3,110.5,0.267,0.0,34.4,30.3,0.0,0.0,24,0,66,90,Frankfurt,Germany,DE,Europe
318887,"35sqm Apptm., 2 rooms, Frankfurt",Entire guest suite,entire_home,https://a0.muscache.com/im/pictures/0d318703-b18e-4539-aaf8-d52075802991.jpg,16.0,1636550,Patricia,,,True,50.1701,8.6197,1.0,1.0,3.0,1.0,False,"Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,Ethernet connection,TV,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Hot water kettle,Coffee maker,Dining table,Private entrance,Patio or balcony,Backyard,Outdoor furniture,Free parking on premises,Free street parking,Single level home,Pets allowed,Long term stays allowed",,False,20.0,Firm,EUR,,,32,4.87,4.8,4.8,4.7,4.8,4.7,4.5,11494.0,10397.0,63.9,57.2,0.523,0.713,31.5,28.5,42.9,38.8,191,97,174,365,3042.0,2683.0,76.6,67.4,0.444,0.615,33.8,29.8,46.8,41.3,40,25,50,90,Frankfurt,Germany,DE,Europe
378832,Feel very much at home in Frankfurt,Private room in apartment,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6Mzc4ODMy/original/9436e754-e620-4a80-ba02-9473c68c1963.jpeg,9.0,931894,Barbara,,,False,50.1246,8.6405,,,1.0,0.0,False,"TV,Cable TV,Children’s books and toys,Wifi,Kitchen,Hot water,Bed linens,Extra pillows and blankets,Free street parking,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Clothing storage,Stove,Washer,Dryer,Smoke alarm,Patio or balcony,Luggage dropoff allowed,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",False,False,,Flexible,EUR,17.0,29.0,19,4.84,4.9,4.8,5.0,4.8,4.8,4.8,7805.0,7225.0,80.5,72.2,0.268,0.316,21.1,19.5,24.8,23.0,98,55,267,365,580.0,509.0,82.3,72.5,0.078,0.0,6.3,5.5,0.0,0.0,7,0,83,90,Frankfurt,Germany,DE,Europe
517932,Nice room (18 qm) in lovely Nordend,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/47066890/fcbc2ab6_original.jpg,6.0,2375527,Birgit,,,False,50.1268,8.6897,,,1.0,0.0,False,"Shampoo,Washer,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Dishes and silverware",,False,1.0,Moderate,EUR,5.0,0.0,122,4.84,4.8,4.9,4.8,4.8,4.8,4.8,6710.0,6123.0,77.0,69.0,0.238,0.388,18.1,16.6,29.5,27.0,87,141,278,365,1802.0,1585.0,81.1,71.3,0.244,0.289,19.8,17.4,23.4,20.6,22,14,68,90,Frankfurt,Germany,DE,Europe
