listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
42515,Geneva center - Hosting females,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/10640298/c53e6e4b_original.jpg,17,185647,Noelle,,,False,46.202,6.1567,,,1.0,0.0,False,"Bathtub,Hair dryer,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot tub,Elevator",,False,3.0,Firm,CHF,73.0,0.0,82,4.75,4.7,4.9,4.8,4.8,4.9,4.5,3527.0,2959.0,107.9,90.6,0.085,0.092,8.9,7.4,9.6,8.1,31,29,334,365,221.0,182.0,111.8,91.9,0.022,0.0,2.5,2.0,0.0,0.0,2,0,88,90,Geneva,Switzerland,CH,Europe
203997,Top location studio 1 block from lake!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/14163740/9392557b_original.jpg,14,1001280,Mike,102506504,Nora,True,46.1996,6.1558,2.0,1.0,,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Heating,Smoke alarm,Fire extinguisher,Wifi,Kitchen,Refrigerator,Microwave,Dishes and silverware,Coffee maker,Lake access,Private entrance,Elevator,Luggage dropoff allowed",,False,5.0,Firm,CHF,62.0,0.0,101,4.91,5.0,5.0,4.9,5.0,5.0,4.8,39920.0,33653.0,208.2,175.0,0.523,0.572,106.7,90.0,116.6,98.3,191,31,174,365,4324.0,3557.0,223.0,183.4,0.2,0.3,46.0,37.8,69.0,56.7,18,30,72,90,Geneva,Switzerland,CH,Europe
338682,Top location 1 block from the lake!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/14164129/db92c79b_original.jpg,15,1001280,Mike,102506504,Nora,True,46.2071,6.1555,2.0,1.0,1.0,1.5,False,"Air conditioning,Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Iron,TV,Heating,Smoke alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Elevator,Paid parking off premises",,False,5.0,Firm,CHF,62.0,0.0,132,4.83,4.9,4.9,4.8,4.9,4.9,4.7,31238.0,26039.0,210.2,176.7,0.411,0.49,83.9,69.9,100.1,83.4,150,59,215,365,1433.0,1180.0,222.4,183.0,0.067,0.0,15.2,12.5,0.0,0.0,6,0,84,90,Geneva,Switzerland,CH,Europe
419631,Beautiful Apm't in central Geneva (NB Guest Room),Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/e591abb4-fc83-458b-b29a-edc859346567.jpg,16,2086993,Mark,,,True,46.1995,6.1731,,,1.0,0.0,False,"TV,Wifi,Lake access,Kitchen,Board games,Hot water,Elevator,Free street parking,Microwave,Coffee maker,Indoor fireplace,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Patio or balcony,Luggage dropoff allowed,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Dedicated workspace,Private entrance",True,,2.0,Moderate,CHF,122.0,61.0,83,4.94,5.0,5.0,5.0,5.0,4.9,4.9,1641.0,1450.0,131.3,110.2,0.033,0.044,3.8,3.4,5.1,4.6,12,91,353,365,0.0,0.0,127.7,105.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Geneva,Switzerland,CH,Europe
626512,Design apartment 2 blocks from lake,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/10170754/3bfad7de_original.jpg,30,3110118,Enrica,245925195,Richard,True,46.2114,6.1511,2.0,1.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Iron,Ethernet connection,TV,Indoor fireplace,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Lake access,Free street parking,Elevator,Long term stays allowed",,False,18.0,Moderate,CHF,85.0,0.0,64,4.98,5.0,5.0,5.0,5.0,4.9,4.8,19983.0,17164.0,139.0,116.9,0.384,0.551,52.9,45.5,76.0,65.4,140,111,225,365,1005.0,827.0,139.9,115.0,0.067,0.261,9.3,7.6,36.3,29.9,6,67,84,90,Geneva,Switzerland,CH,Europe
649023,Artistic studio in Geneva Old Town,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fd80075d-ff34-4c6d-872f-08e3a0202574.jpg,31,2375758,Eliora Elena,,,True,46.2017,6.1485,2.0,1.0,1.0,1.0,False,"Shampoo,Hot water,Essentials,Hangers,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Coffee maker,Hot tub,Elevator",,False,1.0,Strict,CHF,51.0,38.0,219,4.93,5.0,5.0,4.9,5.0,5.0,4.8,30652.0,25508.0,110.6,93.1,0.685,0.708,75.6,63.0,78.2,65.1,250,12,115,365,8023.0,6602.0,117.5,96.7,0.7,0.808,81.8,67.3,94.4,77.6,63,12,27,90,Geneva,Switzerland,CH,Europe
706264,Cosy and very central apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1341d00f-3566-462c-be49-158aa1ee4014.jpg,14,3629403,Louis,2956938,Audrey,False,46.212,6.1501,4.0,1.0,2.0,1.0,False,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Portable fans,Heating,Wifi,Dedicated workspace,Pocket wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Lake access,Laundromat nearby,Elevator,Long term stays allowed",,False,4.0,Flexible,CHF,75.0,0.0,152,4.75,4.8,4.9,4.8,4.8,4.8,4.6,27500.0,22844.0,166.8,140.3,0.436,0.539,71.8,59.7,88.9,73.9,159,70,206,365,2857.0,2349.0,180.3,148.3,0.167,0.429,30.1,24.7,77.3,63.6,15,55,75,90,Geneva,Switzerland,CH,Europe
751941,Double bed on a mezzanine floor,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/10621623/1468a592_original.jpg,8,777025,Maysoon,,,False,46.2028,6.162,,1.0,,0.0,False,"Stove,TV,Washer,Wifi,Kitchen,Essentials,Shampoo,Dedicated workspace,Elevator,Hot tub,Indoor fireplace,Heating",,False,1.0,Strict,CHF,62.0,0.0,76,4.51,4.6,4.7,4.6,4.8,4.8,4.5,3115.0,2565.0,109.8,92.0,0.082,0.0,8.0,6.6,0.0,0.0,30,0,335,365,0.0,0.0,121.1,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Geneva,Switzerland,CH,Europe
766186,Stylish Loft - Amazing Views,Entire loft,entire_home,https://a0.muscache.com/im/pictures/75493700-88c4-40e6-8f80-8f0a0e820438.jpg,27,3987132,Dave,,,True,46.2015,6.1315,4.0,1.0,2.0,1.0,False,"Wifi,Pets allowed,Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Sound system,Exercise equipment,Books and reading material,Theme room,Air conditioning,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Coffee,Waterfront,Laundromat nearby,Free street parking,Elevator,Paid parking off premises,Single level home,Luggage dropoff allowed",,False,2.0,Firm,CHF,87.0,0.0,247,4.91,4.9,4.9,4.9,4.9,4.8,4.8,56029.0,46959.0,199.1,167.2,0.726,0.798,144.2,121.0,158.5,133.0,265,33,100,365,15332.0,12617.0,215.8,177.5,0.733,0.786,159.7,131.4,171.1,140.8,66,6,24,90,Geneva,Switzerland,CH,Europe
775934,Charming little nest centre of Geneva WI-FI ONU,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/miso/Hosting-775934/original/5683bce3-8fac-4338-a558-0bda64e2483e.jpeg,75,3778243,Lucia,250835256,Shalem,True,46.2116,6.1277,,,1.0,0.0,False,"Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Heating,First aid kit,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Outdoor dining area,Elevator,Paid parking off premises,Single level home,Luggage dropoff allowed,Breakfast,Smoking allowed,Long term stays allowed,Cleaning before checkout",,False,30.0,Firm,CHF,,,30,4.6,4.6,4.6,4.7,4.8,4.6,4.4,2720.0,2468.0,79.3,66.5,0.115,0.198,7.5,6.8,12.8,11.6,42,153,323,365,0.0,0.0,94.6,77.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Geneva,Switzerland,CH,Europe
