listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
52390,Lovely Cottage in HH-Winterhude,Entire guesthouse,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-52390/original/12e866fe-413c-4f50-87d6-31b203a915c4.jpeg,91.0,242180,Norbert,,,False,53.5884,10.0106,4.0,1.0,2.0,1.0,True,"TV,Cable TV,Wifi,Kitchen,Board games,Hot water kettle,Books and reading material,Free street parking,Laundromat nearby,Outdoor furniture,Cleaning products,Heating,Coffee,Clothing storage,Wine glasses,Smoke alarm,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Private entrance,Sound system,Outlet covers,High chair,Children’s books and toys,Blender,Window guards,Crib,Pack ’n play/Travel crib,Room-darkening shades,Children’s dinnerware,Hot water,Body soap,Bed linens,Ethernet connection,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,BBQ grill,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Dining table,Baking sheet,Sun loungers,Toaster",,False,2.0,Firm,EUR,46.0,0.0,90.0,4.99,5.0,5.0,5.0,5.0,4.9,4.9,31522.0,28010.0,167.5,150.4,0.479,0.583,80.6,71.6,98.0,87.1,175,65,190,365,3341.0,2946.0,172.1,151.7,0.2,0.265,34.6,30.5,45.8,40.3,18,22,72,90,Hamburg,Germany,DE,Europe
118268,"The Cottage St. Pauli – central, quiet, garden",Entire home,entire_home,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTE4MjY4/original/05255dd3-1cc1-4b76-8eb0-390ab3f3fefb.jpeg,25.0,595902,Franziska,,,True,53.5528,9.9594,7.0,2.0,4.0,1.0,True,"Bathtub,Hair dryer,Cleaning products,Body soap,Hot water,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,Clothing storage,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Board games,Portable fans,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Coffee,Private entrance,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout",,False,3.0,Strict,EUR,116.0,0.0,274.0,4.79,4.8,4.9,4.8,4.8,4.9,4.6,66576.0,59391.0,225.2,201.8,0.699,0.0,159.8,142.9,0.0,0.0,255,0,110,365,12801.0,11277.0,220.8,194.6,0.544,0.0,122.9,108.3,0.0,0.0,49,0,41,90,Hamburg,Germany,DE,Europe
156469,Quiet guestroom close to the City,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/1009989/4467d1bf_original.jpg,13.0,714795,Katrin,,,False,53.5979,9.8813,,,2.0,0.0,True,"Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,TV,Window guards,Heating,Smoke alarm,Dedicated workspace,Refrigerator,Dishes and silverware,Hot water kettle,Dining table,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,BBQ grill,Bikes,Kayak,Free street parking,Paid parking off premises,Single level home",,False,5.0,Flexible,EUR,0.0,0.0,118.0,4.74,4.9,4.9,4.8,4.9,4.7,4.7,1840.0,1619.0,53.5,48.0,0.093,0.0,5.0,4.4,0.0,0.0,34,0,331,365,0.0,0.0,54.3,47.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90,Hamburg,Germany,DE,Europe
188321,Top Apartment in Hamburg scene,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fc0c418b-421f-4ec7-90f7-4cca1c7bf873.jpg,10.0,907257,Thomas,,,False,53.5979,10.0108,3.0,1.0,2.0,1.0,True,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Iron,TV,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Dishwasher,Stove,Oven,Coffee maker,Laundromat nearby,Backyard,Luggage dropoff allowed",,False,5.0,Firm,EUR,46.0,0.0,63.0,4.66,4.8,4.9,4.6,4.9,4.8,4.4,23065.0,20403.0,169.0,151.8,0.378,0.885,61.7,54.6,144.3,127.6,138,209,227,365,0.0,0.0,174.9,154.2,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90,Hamburg,Germany,DE,Europe
188369,"Quiet, creative room in artist home",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/1665507/e14f4d9b_original.jpg,20.0,907490,Cecile,,,True,53.55,9.9268,,,1.0,0.0,True,"Hair dryer,Shampoo,Essentials,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Dishes and silverware,Coffee maker,Patio or balcony,Breakfast",,False,2.0,Moderate,EUR,8.0,16.0,399.0,4.85,4.9,4.9,4.7,4.9,4.9,4.8,17035.0,15298.0,64.2,57.7,0.71,0.742,45.5,40.9,47.6,42.7,259,16,106,365,3115.0,2748.0,67.7,59.7,0.489,0.537,33.3,29.4,36.5,32.2,44,8,46,90,Hamburg,Germany,DE,Europe
191854,Only for women room to garden in Eppendorf,Private room in condo,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTkxODU0/original/6be9fcf2-25ad-4c3a-8442-0ce374ebf889.jpeg,14.0,928465,Anja,,,True,53.5968,9.9763,,,1.0,0.0,True,"Hair dryer,Body soap,Hot water,Shower gel,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Books and reading material,Heating,Smoke alarm,Fire extinguisher,First aid kit,Wifi,Refrigerator,Dishwasher,Hot water kettle,Coffee maker,Wine glasses,Toaster,Coffee,Laundromat nearby,Patio or balcony,Backyard,Outdoor furniture,Outdoor dining area,Paid parking off premises,Luggage dropoff allowed",,False,3.0,Flexible,EUR,11.0,0.0,268.0,4.92,4.9,5.0,5.0,4.9,4.8,4.9,13453.0,12086.0,49.5,44.3,0.726,0.808,35.8,32.2,39.8,35.8,265,37,100,365,3001.0,2649.0,51.4,45.3,0.633,0.781,32.5,28.7,40.1,35.3,57,17,33,90,Hamburg,Germany,DE,Europe
200386,Between Stadtpark and Alster,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/b7f728a3-92ae-4cd7-993d-fcf19e764855.jpg,27.0,977243,Vincent,,,False,53.6007,9.9987,,,2.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Sound system,Books and reading material,Outdoor playground,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Dining table,Coffee,Patio or balcony,Free street parking,Single level home,Luggage dropoff allowed",,False,1.0,Moderate,EUR,37.0,23.0,186.0,4.7,4.8,4.9,4.6,4.8,4.7,4.6,13187.0,11811.0,47.9,42.9,0.633,0.675,31.4,28.1,33.5,30.0,231,23,134,365,1489.0,1315.0,41.8,36.8,0.333,0.448,14.5,12.8,19.5,17.2,30,23,60,90,Hamburg,Germany,DE,Europe
201106,"feeling at home in St. Georg, HH",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/airflow/Hosting-201106/original/66747b18-778a-48c2-9229-49570d2b67ef.jpg,19.0,983385,Sybs,,,False,53.554,10.0088,,,2.0,0.0,True,"Bathtub,Hair dryer,Cleaning products,Hot water,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Clothing storage,Books and reading material,Heating,Smoke alarm,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Laundromat nearby,Single level home,Long term stays allowed",,False,10.0,Moderate,EUR,41.0,0.0,57.0,4.53,4.7,4.8,4.4,4.7,4.5,4.6,10992.0,9854.0,43.9,39.5,0.663,0.714,29.2,26.2,31.5,28.2,242,26,123,365,2464.0,2171.0,45.5,40.2,0.556,0.602,25.6,22.5,27.7,24.4,50,7,40,90,Hamburg,Germany,DE,Europe
201184,Great apartment Sternschanze HH,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/1721928/deb08f5a_original.jpg,9.0,641325,Alexandra,,,True,53.5643,9.964,2.0,1.0,1.0,1.0,True,"Blender,Wifi,Kitchen,Hot water kettle,Books and reading material,Hot water,Body soap,Bed linens,Extra pillows and blankets,Free street parking,Laundromat nearby,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Stove,Wine glasses,Washer,Smoke alarm,Shower gel,Patio or balcony,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer,Private entrance,Sound system,Toaster",,False,3.0,Strict,EUR,0.0,0.0,84.0,4.83,4.9,4.9,4.9,4.8,4.9,4.8,6163.0,5648.0,132.8,119.3,0.126,0.135,16.9,15.5,18.1,16.6,46,25,319,365,1869.0,1646.0,135.9,119.8,0.156,0.215,20.8,18.3,28.8,25.3,14,25,76,90,Hamburg,Germany,DE,Europe
211333,"Cosy, sunny place of Hamburg.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-211333/original/58363245-f8eb-411d-8f28-a7b7eabe2469.jpeg,11.0,1044317,Claudia,,,False,53.4634,10.1956,2.0,1.0,2.0,1.0,True,"Hair dryer,Hot water,Washer,Essentials,Hangers,Bed linens,Iron,Drying rack for clothing,TV,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Baking sheet,Blender,Dining table,Patio or balcony,Outdoor furniture,Free parking on premises,Free street parking,Long term stays allowed",,False,30.0,Firm,EUR,93.0,0.0,6.0,5.0,5.0,4.8,4.8,5.0,5.0,4.7,3259.0,2871.0,64.6,58.0,0.132,0.151,8.2,7.2,9.4,8.3,48,47,317,365,0.0,0.0,70.3,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0,47,90,90,Hamburg,Germany,DE,Europe
