listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days,city,country,country_code,geographic_zone
50107,"2bdr Kazimierz Apart, great terrace, aircon",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/e5ea2cef-10e1-4bdd-a6f5-f2a2a36f4bbb.jpg,37.0,229374,Natasza,,,True,50.0465,19.9411,6.0,2.0,3.0,1.5,False,"Bathtub,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Coffee,Patio or balcony,Outdoor furniture,Hammock,Outdoor dining area,Paid parking off premises,Pets allowed,Long term stays allowed",,False,3.0,Firm,PLN,0.0,0.0,383.0,4.83,4.8,4.9,4.8,4.9,4.8,4.8,32822.0,124699.0,132.8,503.4,0.671,0.806,89.9,341.6,108.0,410.2,245,61,120,365,1909.0,7142.0,126.4,472.7,0.189,0.459,21.2,79.4,51.6,193.0,17,53,73,90,Krakow,Poland,PL,Europe
55088,2bdr 2bth Trinity Apart in Jewish quarter,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3161184/93c03f9b_original.jpg,42.0,229374,Natasza,,,True,50.0477,19.9444,6.0,2.0,3.0,2.0,False,"Air conditioning,Bathtub,Hair dryer,Cleaning products,Shampoo,Body soap,Bidet,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,Ethernet connection,TV,Crib,Pack ’n play/Travel crib,High chair,Children’s dinnerware,Air conditioning,Air conditioning,Ceiling fan,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Dining table,Hot tub,Elevator,Paid parking off premises,Long term stays allowed",,False,3.0,Firm,PLN,0.0,0.0,145.0,4.64,4.7,4.8,4.6,4.7,4.8,4.6,3727.0,14739.0,123.1,467.6,0.09,0.216,10.2,40.4,24.4,96.3,33,212,332,365,681.0,2548.0,120.1,449.1,0.067,0.146,7.6,28.3,16.6,62.1,6,49,84,90,Krakow,Poland,PL,Europe
55090,"Modern 2bdr Irish Apt. in Kazimierz, aircon",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/32845869/7ae7a090_original.jpg,35.0,229374,Natasza,,,True,50.0486,19.9458,4.0,2.0,2.0,1.0,False,"Hair dryer,Shampoo,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Pack ’n play/Travel crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Patio or balcony,Paid parking off premises,Pets allowed,Long term stays allowed",,False,3.0,Moderate,PLN,0.0,0.0,220.0,4.55,4.7,4.8,4.5,4.7,4.9,4.6,21920.0,83109.0,105.0,398.4,0.573,0.577,60.1,227.7,60.6,229.6,209,3,156,365,5539.0,20717.0,114.1,426.6,0.556,0.575,61.5,230.2,63.7,238.1,50,3,40,90,Krakow,Poland,PL,Europe
55091,"Nicholas Studio, medieval charm by the Main Square",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/34644327/0c4c0234_original.jpg,31.0,229374,Natasza,,,False,50.064,19.9377,4.0,1.0,2.0,1.0,False,"TV,Wifi,Crib,Kitchen,Pack ’n play/Travel crib,Paid parking off premises,Pets allowed,Hot water,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Washer,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",,False,3.0,Moderate,PLN,0.0,0.0,221.0,4.73,4.9,4.8,4.8,4.8,4.9,4.8,16285.0,61838.0,87.0,330.3,0.529,0.605,44.6,169.4,51.1,193.8,193,46,172,365,978.0,3659.0,100.4,375.4,0.122,0.25,10.9,40.7,22.2,83.2,11,46,79,90,Krakow,Poland,PL,Europe
64437,"Smart Studio 5 min. to Main Square, aircon",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/885e3899-1501-4c36-8671-f562312d009c.jpg,33.0,229374,Natasza,,,True,50.0649,19.9322,4.0,1.0,1.0,1.0,False,"Wifi,Air conditioning,Hair dryer,Shampoo,Body soap,Hot water,Shower gel,Washer,Essentials,Hangers,Bed linens,Room-darkening shades,Iron,TV,Books and reading material,Crib,Pack ’n play/Travel crib,Children’s books and toys,High chair,Children’s dinnerware,Air conditioning,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,First aid kit,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Mini fridge,Stove,Oven,Hot water kettle,Coffee maker,Toaster,Coffee,Paid parking off premises,Pets allowed,Long term stays allowed",,False,3.0,Moderate,PLN,0.0,0.0,209.0,4.65,4.8,4.7,4.7,4.7,4.9,4.8,14926.0,56773.0,86.3,327.4,0.479,0.496,40.9,155.5,42.3,160.8,175,12,190,365,3613.0,13513.0,92.9,347.5,0.456,0.471,40.1,150.1,41.5,155.3,41,3,49,90,Krakow,Poland,PL,Europe
112253,Dietla Apartment in city centre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/64176100/5bdd0f79_original.jpg,30.0,229374,Natasza,,,False,50.0578,19.9459,6.0,2.0,3.0,1.0,False,"TV,Cable TV,Wifi,Crib,Kitchen,Paid parking off premises,Pets allowed,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Oven,Stove,Washer,Dryer,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron",True,False,2.0,Moderate,PLN,0.0,0.0,147.0,4.66,4.7,4.8,4.8,4.7,4.8,4.7,8868.0,33174.0,91.4,346.9,0.214,0.345,24.3,90.9,39.2,146.8,78,139,287,365,5579.0,20869.0,114.3,427.5,0.522,0.595,62.0,231.9,70.6,264.2,47,11,43,90,Krakow,Poland,PL,Europe
202001,Spacious Apartment for 8  with 2 bedrooms,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4702892/1aed263b_original.jpg,12.0,988374,Katarzyna,,,False,50.0667,19.9341,8.0,2.0,6.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,PLN,0.0,0.0,20.0,4.6,4.7,4.8,4.8,5.0,5.0,4.5,11365.0,43323.0,141.1,534.2,0.241,0.273,31.1,118.7,35.3,134.5,88,43,277,365,2965.0,11091.0,150.0,561.1,0.233,0.0,32.9,123.2,0.0,0.0,21,0,69,90,Krakow,Poland,PL,Europe
207035,Spacious Apartment with balcony and 2 bedrooms,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/cae15578-0646-46a3-a54f-5888d426a370.jpg,15.0,988374,Katarzyna,,,False,50.0667,19.9341,6.0,2.0,5.0,1.0,False,"Hair dryer,Hot water,Washer,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Dishwasher,Stove,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,2.0,Flexible,PLN,0.0,0.0,36.0,4.47,4.6,4.6,4.5,4.6,4.8,4.4,24533.0,92986.0,90.0,341.2,0.742,0.0,67.2,254.8,0.0,0.0,271,0,94,365,5205.0,19476.0,79.2,296.2,0.722,0.0,57.8,216.4,0.0,0.0,65,0,25,90,Krakow,Poland,PL,Europe
207799,Charming and bright Studio for 2  with balcony,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4704411/1a753f4f_original.jpg,11.0,988374,Katarzyna,,,False,50.0664,19.9341,2.0,1.0,1.0,1.0,False,"Hair dryer,Hot water,Essentials,Hangers,Iron,TV,Crib,Air conditioning,Heating,Wifi,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Paid parking off premises,Pets allowed,Luggage dropoff allowed,Long term stays allowed",,False,1.0,Flexible,PLN,0.0,0.0,28.0,4.61,4.8,4.8,4.8,4.6,5.0,4.6,16776.0,63502.0,64.9,246.5,0.685,0.0,46.0,174.0,0.0,0.0,250,0,115,365,3661.0,13695.0,61.6,230.5,0.633,0.0,40.7,152.2,0.0,0.0,57,0,33,90,Krakow,Poland,PL,Europe
207823,Cozy and warmly decorated Studio for 2 persons,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/4705503/845260ea_original.jpg,11.0,988374,Katarzyna,,,False,50.0681,19.9342,2.0,1.0,1.0,1.0,False,"TV,Wifi,Air conditioning,Crib,Kitchen,Paid parking off premises,Pets allowed,Hot water,Microwave,Refrigerator,Dishes and silverware,Heating,Cooking basics,Stove,Luggage dropoff allowed,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron",False,False,2.0,Flexible,PLN,0.0,0.0,8.0,4.75,4.5,4.6,4.8,4.8,5.0,4.8,3336.0,12751.0,62.0,235.4,0.159,0.256,9.1,34.9,14.7,56.2,58,138,307,365,1590.0,5948.0,54.8,205.0,0.322,0.341,17.7,66.1,18.7,70.0,29,5,61,90,Krakow,Poland,PL,Europe
